yield	block	gen	fung	row	bed
5.55	B2	G16	F1	2	18
5.37	B2	G30	F1	2	19
5.34	B2	G42	F1	2	20
5.85	B2	G23	F1	2	21
4.73	B2	G15	F2	2	22
5.08	B2	G22	F2	2	23
5.25	B2	G46	F2	2	24
5.46	B2	G40	F2	2	25
5.28	B2	G12	F2	2	26
5.44	B2	G57	F2	2	27
4.31	B2	G04	F2	2	28
5.91	B3	G57	F1	2	29
5.31	B3	G30	F1	2	30
5.97	B3	G19	F1	2	31
5.59	B3	G13	F1	2	32
6.45	B3	G03	F1	2	33
5.61	B3	G69	F1	2	34
5.36	B3	G45	F1	2	35
4.98	B3	G56	F2	2	36
4.58	B3	G24	F2	2	37
4.57	B3	G15	F2	2	38
5.19	B3	G18	F2	2	39
4.86	B3	G11	F2	2	40
5.17	B3	G47	F2	2	41
4.94	B3	G55	F2	2	42
5.25	B4	G22	F2	2	43
4.89	B4	G21	F2	2	44
5.24	B4	G53	F2	2	45
5.36	B4	G57	F2	2	46
5.01	B4	G49	F2	2	47
4.77	B4	G10	F2	2	48
4.71	B4	G02	F2	2	49
5.59	B4	G68	F1	2	50
5.71	B4	G37	F1	2	51
5.75	B4	G15	F1	2	52
5.11	B4	G49	F1	2	53
5.61	B4	G48	F1	2	54
5.75	B4	G60	F1	2	55
5.64	B4	G66	F1	2	56
5.71	B1	G02	F1	3	1
6.3	B1	G62	F1	3	2
5.7	B1	G21	F1	3	3
5.63	B1	G57	F1	3	4
5.76	B1	G32	F1	3	5
5.73	B1	G43	F1	3	6
5.89	B1	G17	F1	3	7
4.84	B1	G49	F2	3	8
4.9	B1	G30	F2	3	9
5.41	B1	G29	F2	3	10
5.65	B1	G19	F2	3	11
5.35	B1	G39	F2	3	12
5.6	B1	G52	F2	3	13
5.03	B1	G26	F2	3	14
5.63	B2	G53	F1	3	15
5.53	B2	G62	F1	3	16
6.66	B2	G03	F1	3	17
5.5	B2	G31	F1	3	18
5.22	B2	G34	F1	3	19
5.79	B2	G13	F1	3	20
5.25	B2	G63	F1	3	21
4.89	B2	G32	F2	3	22
4.28	B2	G14	F2	3	23
4.63	B2	G29	F2	3	24
4.43	B2	G24	F2	3	25
4.76	B2	G26	F2	3	26
5.1	B2	G17	F2	3	27
5.11	B2	G38	F2	3	28
5.45	B3	G42	F1	3	29
5.47	B3	G15	F1	3	30
5.42	B3	G39	F1	3	31
5.48	B3	G05	F1	3	32
5.31	B3	G34	F1	3	33
5.8	B3	G07	F1	3	34
5.52	B3	G32	F1	3	35
4.86	B3	G21	F2	3	36
5.13	B3	G60	F2	3	37
4.39	B3	G45	F2	3	38
5.07	B3	G70	F2	3	39
4.87	B3	G08	F2	3	40
5.71	B3	G13	F2	3	41
4.79	B3	G46	F2	3	42
5.2	B4	G60	F2	3	43
4.57	B4	G34	F2	3	44
5.28	B4	G09	F2	3	45
5.29	B4	G50	F2	3	46
5.3	B4	G70	F2	3	47
5.33	B4	G27	F2	3	48
5.01	B4	G45	F2	3	49
5.72	B4	G32	F1	3	50
5.88	B4	G59	F1	3	51
5.67	B4	G34	F1	3	52
5.08	B4	G24	F1	3	53
5.82	B4	G39	F1	3	54
5.66	B4	G41	F1	3	55
5.51	B4	G33	F1	3	56
6.17	B1	G66	F1	4	1
6.34	B1	G64	F1	4	2
5.88	B1	G38	F1	4	3
5.63	B1	G47	F1	4	4
5.68	B1	G55	F1	4	5
6.66	B1	G27	F1	4	6
5.93	B1	G35	F1	4	7
5.39	B1	G67	F2	4	8
5.22	B1	G42	F2	4	9
5.1	B1	G35	F2	4	10
5.5	B1	G09	F2	4	11
5.12	B1	G70	F2	4	12
4.96	B1	G28	F2	4	13
4.61	B1	G14	F2	4	14
4.97	B2	G24	F1	4	15
5.67	B2	G40	F1	4	16
5.8	B2	G38	F1	4	17
5.11	B2	G55	F1	4	18
5.59	B2	G09	F1	4	19
5.59	B2	G17	F1	4	20
5.61	B2	G46	F1	4	21
4.71	B2	G39	F2	4	22
4.77	B2	G50	F2	4	23
5.07	B2	G44	F2	4	24
4.4	B2	G10	F2	4	25
5.16	B2	G62	F2	4	26
4.76	B2	G23	F2	4	27
5.33	B2	G60	F2	4	28
5.25	B3	G51	F1	4	29
5.36	B3	G27	F1	4	30
4.68	B3	G10	F1	4	31
5.06	B3	G62	F1	4	32
5.14	B3	G37	F1	4	33
5.4	B3	G66	F1	4	34
5.56	B3	G08	F1	4	35
4.87	B3	G54	F2	4	36
4.75	B3	G25	F2	4	37
4.81	B3	G49	F2	4	38
4.94	B3	G27	F2	4	39
5.12	B3	G22	F2	4	40
5.36	B3	G67	F2	4	41
4.9	B3	G35	F2	4	42
4.59	B4	G05	F2	4	43
4.82	B4	G26	F2	4	44
4.52	B4	G01	F2	4	45
5.11	B4	G25	F2	4	46
5	B4	G08	F2	4	47
5.13	B4	G39	F2	4	48
5.26	B4	G43	F2	4	49
5.59	B4	G29	F1	4	50
6.18	B4	G18	F1	4	51
5.99	B4	G65	F1	4	52
5.45	B4	G61	F1	4	53
5.18	B4	G10	F1	4	54
5.5	B4	G11	F1	4	55
5.68	B4	G31	F1	4	56
5.94	B1	G70	F1	5	1
5.85	B1	G25	F1	5	2
5.65	B1	G34	F1	5	3
6.03	B1	G65	F1	5	4
6.68	B1	G19	F1	5	5
5.41	B1	G07	F1	5	6
6.09	B1	G56	F1	5	7
5.3	B1	G40	F2	5	8
4.83	B1	G16	F2	5	9
4.85	B1	G02	F2	5	10
4.74	B1	G34	F2	5	11
5.52	B1	G69	F2	5	12
5.02	B1	G11	F2	5	13
5.07	B1	G06	F2	5	14
5.65	B2	G70	F1	5	15
5.28	B2	G08	F1	5	16
5.28	B2	G35	F1	5	17
5.36	B2	G44	F1	5	18
5.23	B2	G11	F1	5	19
5.4	B2	G47	F1	5	20
5.14	B2	G12	F1	5	21
4.61	B2	G11	F2	5	22
5.48	B2	G19	F2	5	23
4.95	B2	G35	F2	5	24
5.11	B2	G33	F2	5	25
5.01	B2	G18	F2	5	26
4.88	B2	G31	F2	5	27
4.85	B2	G30	F2	5	28
5.01	B3	G28	F1	5	29
4.96	B3	G21	F1	5	30
5.34	B3	G60	F1	5	31
5.05	B3	G58	F1	5	32
5.02	B3	G43	F1	5	33
5.52	B3	G17	F1	5	34
5.54	B3	G11	F1	5	35
4.85	B3	G07	F2	5	36
4.89	B3	G65	F2	5	37
4.34	B3	G20	F2	5	38
5	B3	G23	F2	5	39
5.01	B3	G58	F2	5	40
5.19	B3	G51	F2	5	41
5.05	B3	G06	F2	5	42
5.23	B4	G19	F2	5	43
4.89	B4	G35	F2	5	44
4.36	B4	G14	F2	5	45
5.26	B4	G42	F2	5	46
5.36	B4	G17	F2	5	47
5	B4	G07	F2	5	48
5.35	B4	G33	F2	5	49
5.36	B4	G62	F1	5	50
5.47	B4	G64	F1	5	51
5.8	B4	G42	F1	5	52
5.33	B4	G43	F1	5	53
5.6	B4	G51	F1	5	54
5.45	B4	G06	F1	5	55
5.38	B4	G44	F1	5	56
6.8	B1	G03	F1	6	1
6.02	B1	G22	F1	6	2
5.7	B1	G01	F1	6	3
5.79	B1	G63	F1	6	4
5.35	B1	G41	F1	6	5
5.28	B1	G49	F1	6	6
5.67	B1	G05	F1	6	7
5.45	B1	G18	F2	6	8
5.11	B1	G23	F2	6	9
5.13	B1	G62	F2	6	10
5.09	B1	G43	F2	6	11
5.28	B1	G47	F2	6	12
5.51	B1	G63	F2	6	13
5.06	B1	G55	F2	6	14
6.04	B2	G33	F1	6	15
5.39	B2	G50	F1	6	16
6.05	B2	G19	F1	6	17
5.2	B2	G07	F1	6	18
5.4	B2	G02	F1	6	19
5.81	B2	G43	F1	6	20
5.69	B2	G58	F1	6	21
4.79	B2	G08	F2	6	22
5.24	B2	G58	F2	6	23
5.24	B2	G65	F2	6	24
5.25	B2	G59	F2	6	25
4.82	B2	G02	F2	6	26
5.46	B2	G03	F2	6	27
5.1	B2	G54	F2	6	28
5.07	B3	G14	F1	6	29
5.11	B3	G24	F1	6	30
5.79	B3	G09	F1	6	31
5.66	B3	G23	F1	6	32
5.85	B3	G31	F1	6	33
5.74	B3	G68	F1	6	34
5.89	B3	G12	F1	6	35
5.36	B3	G38	F2	6	36
4.49	B3	G28	F2	6	37
5.1	B3	G33	F2	6	38
4.84	B3	G42	F2	6	39
5.33	B3	G36	F2	6	40
6.22	B3	G03	F2	6	41
5	B3	G59	F2	6	42
3.95	B4	G04	F2	6	43
4.52	B4	G30	F2	6	44
4.88	B4	G32	F2	6	45
4.91	B4	G63	F2	6	46
5.21	B4	G69	F2	6	47
4.9	B4	G55	F2	6	48
4.97	B4	G29	F2	6	49
5.13	B4	G54	F1	6	50
4.14	B4	G04	F1	6	51
5.62	B4	G12	F1	6	52
5.44	B4	G70	F1	6	53
5.37	B4	G35	F1	6	54
5.04	B4	G28	F1	6	55
5.68	B4	G19	F1	6	56
6.03	B1	G31	F1	7	1
5.89	B1	G16	F1	7	2
6.05	B1	G58	F1	7	3
5.28	B1	G18	F1	7	4
4.4	B1	G04	F1	7	5
5	B1	G14	F1	7	6
6.13	B1	G52	F1	7	7
5.07	B1	G44	F2	7	8
5.29	B1	G36	F2	7	9
5.28	B1	G65	F2	7	10
4.89	B1	G15	F2	7	11
5.09	B1	G61	F2	7	12
5.32	B1	G56	F2	7	13
5.18	B1	G66	F2	7	14
5.28	B2	G06	F1	7	15
5.6	B2	G60	F1	7	16
5.24	B2	G29	F1	7	17
4.87	B2	G66	F1	7	18
5.25	B2	G69	F1	7	19
5.47	B2	G18	F1	7	20
5.11	B2	G01	F1	7	21
4.8	B2	G16	F2	7	22
4.41	B2	G20	F2	7	23
5.23	B2	G42	F2	7	24
5.17	B2	G69	F2	7	25
5.35	B2	G52	F2	7	26
5.49	B2	G09	F2	7	27
5.08	B2	G06	F2	7	28
5.97	B3	G67	F1	7	29
5.79	B3	G59	F1	7	30
5.48	B3	G20	F1	7	31
5.64	B3	G22	F1	7	32
6.11	B3	G18	F1	7	33
6.01	B3	G48	F1	7	34
5.89	B3	G50	F1	7	35
5.28	B3	G40	F2	7	36
4.69	B3	G32	F2	7	37
4.67	B3	G01	F2	7	38
5.02	B3	G57	F2	7	39
5.07	B3	G62	F2	7	40
4.62	B3	G02	F2	7	41
5.18	B3	G50	F2	7	42
5.04	B4	G31	F2	7	43
5.27	B4	G54	F2	7	44
5.13	B4	G59	F2	7	45
4.91	B4	G68	F2	7	46
5.29	B4	G18	F2	7	47
5.26	B4	G52	F2	7	48
5.72	B4	G03	F2	7	49
5	B4	G16	F1	7	50
5.3	B4	G47	F1	7	51
5.54	B4	G40	F1	7	52
5.11	B4	G53	F1	7	53
4.96	B4	G69	F1	7	54
4.93	B4	G57	F1	7	55
4.97	B4	G23	F1	7	56
5.49	B1	G30	F1	8	1
6.14	B1	G12	F1	8	2
5.8	B1	G20	F1	8	3
5.73	B1	G08	F1	8	4
5.51	B1	G28	F1	8	5
5.34	B1	G10	F1	8	6
5.59	B1	G06	F1	8	7
5.06	B1	G25	F2	8	8
5.01	B1	G68	F2	8	9
4.78	B1	G05	F2	8	10
3.88	B1	G04	F2	8	11
5.35	B1	G45	F2	8	12
4.37	B1	G20	F2	8	13
4.21	B1	G08	F2	8	14
5.08	B2	G67	F1	8	15
5.02	B2	G59	F1	8	16
5.08	B2	G65	F1	8	17
4.9	B2	G28	F1	8	18
4.98	B2	G10	F1	8	19
4.62	B2	G20	F1	8	20
4.76	B2	G37	F1	8	21
4.68	B2	G68	F2	8	22
4.86	B2	G53	F2	8	23
4.85	B2	G51	F2	8	24
4.91	B2	G61	F2	8	25
5.01	B2	G41	F2	8	26
4.88	B2	G37	F2	8	27
5.24	B2	G64	F2	8	28
5.81	B3	G52	F1	8	29
5.73	B3	G54	F1	8	30
5.47	B3	G61	F1	8	31
5.82	B3	G46	F1	8	32
5.64	B3	G41	F1	8	33
5.73	B3	G64	F1	8	34
5.26	B3	G02	F1	8	35
5.02	B3	G61	F2	8	36
4.57	B3	G05	F2	8	37
5.15	B3	G69	F2	8	38
5.13	B3	G19	F2	8	39
5.01	B3	G16	F2	8	40
5.34	B3	G52	F2	8	41
5.03	B3	G48	F2	8	42
5.01	B4	G16	F2	8	43
4.89	B4	G13	F2	8	44
4.37	B4	G20	F2	8	45
4.75	B4	G44	F2	8	46
5.16	B4	G38	F2	8	47
4.68	B4	G58	F2	8	48
4.96	B4	G66	F2	8	49
5.26	B4	G07	F1	8	50
5.2	B4	G05	F1	8	51
5.32	B4	G55	F1	8	52
4.98	B4	G20	F1	8	53
5.44	B4	G09	F1	8	54
5.25	B4	G38	F1	8	55
5.11	B4	G26	F1	8	56
5.98	B1	G39	F1	9	1
6.06	B1	G26	F1	9	2
5.69	B1	G24	F1	9	3
5.6	B1	G11	F1	9	4
6.6	B1	G36	F1	9	5
6.51	B1	G33	F1	9	6
6.13	B1	G60	F1	9	7
5.04	B1	G59	F2	9	8
5.25	B1	G64	F2	9	9
5.11	B1	G51	F2	9	10
5.11	B1	G31	F2	9	11
4.73	B1	G46	F2	9	12
4.73	B1	G22	F2	9	13
4.98	B1	G13	F2	9	14
4.72	B2	G57	F1	9	15
5.02	B2	G56	F1	9	16
4.78	B2	G61	F1	9	17
4.57	B2	G15	F1	9	18
4.86	B2	G32	F1	9	19
4.48	B2	G41	F1	9	20
4.67	B2	G52	F1	9	21
4.25	B2	G13	F2	9	22
4.59	B2	G67	F2	9	23
4.66	B2	G56	F2	9	24
4.89	B2	G48	F2	9	25
4.47	B2	G01	F2	9	26
4.35	B2	G49	F2	9	27
4.52	B2	G21	F2	9	28
4.96	B3	G01	F1	9	29
5.79	B3	G63	F1	9	30
5.41	B3	G55	F1	9	31
5.57	B3	G25	F1	9	32
5.62	B3	G49	F1	9	33
5.72	B3	G16	F1	9	34
6.16	B3	G26	F1	9	35
4.96	B3	G64	F2	9	36
4.37	B3	G14	F2	9	37
5.13	B3	G44	F2	9	38
4.72	B3	G29	F2	9	39
5.15	B3	G63	F2	9	40
5.2	B3	G31	F2	9	41
4.91	B3	G68	F2	9	42
5.02	B4	G37	F2	9	43
5.24	B4	G51	F2	9	44
4.75	B4	G46	F2	9	45
5.17	B4	G56	F2	9	46
5.07	B4	G61	F2	9	47
4.98	B4	G64	F2	9	48
5.23	B4	G48	F2	9	49
5.15	B4	G30	F1	9	50
5.65	B4	G27	F1	9	51
5.28	B4	G08	F1	9	52
5.27	B4	G25	F1	9	53
5.47	B4	G56	F1	9	54
5.32	B4	G63	F1	9	55
4.75	B4	G45	F1	9	56
6.14	B1	G48	F1	10	1
6.08	B1	G29	F1	10	2
5.82	B1	G42	F1	10	3
5.87	B1	G40	F1	10	4
5.86	B1	G09	F1	10	5
6.04	B1	G46	F1	10	6
6.86	B1	G13	F1	10	7
5.71	B1	G17	F2	10	8
5.28	B1	G12	F2	10	9
5.33	B1	G38	F2	10	10
5.07	B1	G41	F2	10	11
4.45	B1	G24	F2	10	12
4.93	B1	G32	F2	10	13
5.07	B1	G03	F2	10	14
4.82	B2	G05	F1	10	15
4.74	B2	G26	F1	10	16
4.46	B2	G14	F1	10	17
4.29	B2	G39	F1	10	18
4.56	B2	G49	F1	10	19
4.73	B2	G54	F1	10	20
4.61	B2	G25	F1	10	21
4.09	B2	G66	F2	10	22
3.83	B2	G07	F2	10	23
4.46	B2	G36	F2	10	24
3.91	B2	G25	F2	10	25
4.12	B2	G28	F2	10	26
4.32	B2	G34	F2	10	27
4.28	B2	G47	F2	10	28
4.61	B3	G06	F1	10	29
4.89	B3	G53	F1	10	30
4.27	B3	G04	F1	10	31
5.32	B3	G35	F1	10	32
5.68	B3	G40	F1	10	33
6.02	B3	G70	F1	10	34
6.09	B3	G47	F1	10	35
4.61	B3	G41	F2	10	36
4.73	B3	G39	F2	10	37
4.98	B3	G53	F2	10	38
3.81	B3	G04	F2	10	39
4.75	B3	G30	F2	10	40
5.03	B3	G26	F2	10	41
5.43	B3	G66	F2	10	42
4.85	B4	G15	F2	10	43
4.95	B4	G62	F2	10	44
4.88	B4	G06	F2	10	45
5.42	B4	G40	F2	10	46
5.17	B4	G67	F2	10	47
5.37	B4	G36	F2	10	48
4.77	B4	G23	F2	10	49
5.05	B4	G21	F1	10	50
5.59	B4	G58	F1	10	51
5.67	B4	G17	F1	10	52
5.18	B4	G01	F1	10	53
5.62	B4	G50	F1	10	54
6.22	B4	G03	F1	10	55
5.42	B4	G36	F1	10	56
