"block"	"row"	"col"	"vines"	"peas"
"B1"	17	8	12.2	1.79
"B1"	17	9	13.1	1.85
"B1"	18	1	13.7	1.62
"B1"	18	10	8.5	1.29
"B1"	18	11	6.4	0.9
"B1"	18	12	9.4	1.26
"B1"	18	13	6	0.6
"B1"	18	14	13.8	1.83
"B1"	18	15	8	1.12
"B1"	18	2	12.5	1.78
"B1"	18	3	15	2.02
"B1"	18	4	13.5	2.15
"B1"	18	5	10.8	1.65
"B1"	18	6	12.8	2.07
"B1"	18	7	12	1.91
"B1"	18	8	10.6	1.8
"B1"	18	9	14.9	2.31
"B1"	2	1	11.5	1.34
"B1"	2	10	8.9	1.16
"B1"	2	11	10.1	1.61
"B1"	2	12	9.8	1.25
"B1"	2	13	5.2	0.62
"B1"	2	14	9.8	1.18
"B1"	2	15	6.4	0.85
"B1"	2	2	10.4	1.34
"B1"	2	3	14.4	1.72
"B1"	2	4	14.7	1.71
"B1"	2	5	14.3	1.59
"B1"	2	6	12	1.25
"B1"	2	7	10.1	1.09
"B1"	2	8	8.4	1.27
"B1"	2	9	12.6	1.75
"B1"	3	1	6.8	1.21
"B1"	3	10	9.6	1.55
"B1"	3	11	8.5	1.4
"B1"	3	12	7.9	1.18
"B1"	3	13	7	0.88
"B1"	3	14	9.3	1.33
"B1"	3	15	6.8	0.87
"B1"	3	2	9.5	1.28
"B1"	3	3	12	1.6
"B1"	3	4	12.1	1.3
"B1"	3	5	11.4	1.33
"B1"	3	6	9.4	1
"B1"	3	7	7.5	0.8
"B1"	3	8	7.8	1
"B1"	3	9	10.5	1.61
"B1"	4	1	10.3	1.38
"B1"	4	10	11.4	1.62
"B1"	4	11	11.4	1.33
"B1"	4	12	12	1.76
"B1"	4	13	10.2	1.21
"B1"	4	14	13	1.86
"B1"	4	15	9.6	1.35
"B1"	4	2	10.6	1.38
"B1"	4	3	10.1	1.37
"B1"	4	4	14.5	1.81
"B1"	4	5	11.3	1.22
"B1"	4	6	14.2	1.65
"B1"	4	7	10.7	1.21
"B1"	4	8	8.6	1.26
"B1"	4	9	12.4	1.96
"B1"	5	1	9	0.8
"B1"	5	10	13.8	1.83
"B1"	5	11	10.4	1.47
"B1"	5	12	11.6	1.72
"B1"	5	13	13	1.47
"B1"	5	14	14	2.06
"B1"	5	15	14.4	1.91
"B1"	5	2	10.5	1.42
"B1"	5	3	11.5	1.51
"B1"	5	4	10	1.27
"B1"	5	5	10.6	1.36
"B1"	5	6	10.5	1.5
"B1"	5	7	8.9	1.08
"B1"	5	8	8.4	1.17
"B1"	5	9	13.5	1.92
"B1"	6	1	9.8	1.58
"B1"	6	10	11.6	1.57
"B1"	6	11	10	1.21
"B1"	6	12	10.8	1.28
"B1"	6	13	12.4	1.77
"B1"	6	14	12.4	1.83
"B1"	6	15	12.6	2.04
"B1"	6	2	11.8	1.49
"B1"	6	3	10.4	1.43
"B1"	6	4	9	1.34
"B1"	6	5	10.1	1.44
"B1"	6	6	10.3	1.34
"B1"	6	7	10.1	1.37
"B1"	6	8	7.6	1.14
"B1"	6	9	11.4	1.73
"B1"	7	1	11	1.48
"B1"	7	10	11.1	1.46
"B1"	7	11	10.8	1.21
"B1"	7	12	10.4	1.49
"B1"	7	13	13	1.91
"B1"	7	14	12.6	1.84
"B1"	7	15	12.6	1.91
"B1"	7	2	18	1.54
"B1"	7	3	11.8	1.63
"B1"	7	4	9	1.12
"B1"	7	5	12.5	1.67
"B1"	7	6	11.7	1.48
"B1"	7	7	10.5	1.21
"B1"	7	8	8.4	1.14
"B1"	7	9	13.6	1.81
"B1"	8	1	9	1.13
"B1"	8	10	11.4	1.45
"B1"	8	11	12.4	1.66
"B1"	8	12	11.2	1.46
"B1"	8	13	10.6	1.49
"B1"	8	14	13.8	2.12
"B1"	8	15	13.2	1.98
"B1"	8	2	12.6	1.5
"B1"	8	3	11.2	1.35
"B1"	8	4	11.1	1.18
"B1"	8	5	12.5	1.54
"B1"	8	6	13.5	1.53
"B1"	8	7	13	1.66
"B1"	8	8	10	1.39
"B1"	8	9	11.4	1.59
"B1"	9	1	10.6	1.2
"B1"	9	10	13	2.02
"B1"	9	11	13.5	2.01
"B1"	9	12	13.6	1.78
"B1"	9	13	15	1.9
"B1"	9	14	13.3	1.98
"B1"	9	15	13.8	2.17
"B1"	9	2	12.6	1.6
"B1"	9	3	14	1.71
"B1"	9	4	13.5	1.73
"B1"	9	5	14.8	1.99
"B1"	9	6	14.4	1.98
"B1"	9	7	12.6	1.56
"B1"	9	8	13.4	1.8
"B1"	9	9	14.7	2.21
"B2"	1	1	14.9	1.36
"B2"	1	10	14.5	1.65
"B2"	1	11	12.2	1.48
"B2"	1	12	12.5	1.47
"B2"	1	13	15.4	2
"B2"	1	14	10	1.06
"B2"	1	15	10	0.98
"B2"	1	2	15.1	1.54
"B2"	1	3	15.2	2.02
"B2"	1	4	14.5	1.86
"B2"	1	5	11.4	1.29
"B2"	1	6	9.2	1.07
"B2"	1	7	11.3	1.13
"B2"	1	8	10.6	1.06
"B2"	1	9	12	1.05
"B2"	10	1	13.4	1.36
"B2"	10	10	13	1.45
"B2"	10	11	12.5	0.83
"B2"	10	12	13.4	0.47
"B2"	10	13	8	0.48
"B2"	10	14	8.4	0.63
"B2"	10	15	11	0.5
"B2"	10	2	14	1.25
"B2"	10	3	14.9	1.62
"B2"	10	4	14	1.4
"B2"	10	5	15.4	1.43
"B2"	10	6	14.3	1.74
"B2"	10	7	9.2	1.53
"B2"	10	8	13.2	1.34
"B2"	10	9	14.1	1.25
"B2"	11	1	13.7	1.12
"B2"	11	10	13.3	1.45
"B2"	11	11	10.6	0.94
"B2"	11	12	13	0.97
"B2"	11	13	9.2	0.67
"B2"	11	14	12.5	1.15
"B2"	11	15	9.5	0.74
"B2"	11	2	14.1	1.26
"B2"	11	3	15	1.65
"B2"	11	4	15.6	1.6
"B2"	11	5	14.4	1.52
"B2"	11	6	14.4	1.57
"B2"	11	7	10	1.55
"B2"	11	8	15.4	1.42
"B2"	11	9	13.7	1.58
"B2"	12	1	13	0.99
"B2"	12	10	14.1	1.45
"B2"	12	11	12.3	0.94
"B2"	12	12	16	1.25
"B2"	12	13	10.3	0.84
"B2"	12	14	10.5	0.91
"B2"	12	15	9.6	0.68
"B2"	12	2	12	1.13
"B2"	12	3	16.5	1.48
"B2"	12	4	13.6	1.32
"B2"	12	5	16	1.5
"B2"	12	6	15.6	1.74
"B2"	12	7	13.2	1.4
"B2"	12	8	12.3	1
"B2"	12	9	15	1.5
"B2"	13	1	13.5	1.15
"B2"	13	10	14.4	1.6
"B2"	13	11	11.6	1.03
"B2"	13	12	16.8	1.22
"B2"	13	13	10.7	0.77
"B2"	13	14	12	0.58
"B2"	13	15	8	0.45
"B2"	13	2	14	1.24
"B2"	13	3	14.3	1.3
"B2"	13	4	13.5	1.32
"B2"	13	5	15	1.88
"B2"	13	6	13.9	1.62
"B2"	13	7	14.2	1.45
"B2"	13	8	15	1.25
"B2"	13	9	13.1	1.41
"B2"	14	1	13.8	1.21
"B2"	14	10	13	1.05
"B2"	14	11	13	0.96
"B2"	14	12	10.6	0.4
"B2"	14	13	8.6	0.41
"B2"	14	14	8.4	0.33
"B2"	14	15	11.6	0.88
"B2"	14	2	13.5	1.38
"B2"	14	3	12.9	1.27
"B2"	14	4	9.8	0.89
"B2"	14	5	14.3	1.53
"B2"	14	6	14.1	1.5
"B2"	14	7	14.5	1.22
"B2"	14	8	12.5	0.88
"B2"	14	9	12.1	0.98
"B2"	15	1	13.8	1.15
"B2"	15	10	10.9	0.88
"B2"	15	11	9.5	0.2
"B2"	15	12	10.5	0.29
"B2"	15	13	7.8	0.27
"B2"	15	14	7.5	0.28
"B2"	15	15	12.6	0.86
"B2"	15	2	12.5	1.24
"B2"	15	3	13.5	1.43
"B2"	15	4	13.7	1.38
"B2"	15	5	13.3	1.61
"B2"	15	6	15.4	1.71
"B2"	15	7	15	1.7
"B2"	15	8	12.5	1.1
"B2"	15	9	12	1.46
"B2"	16	1	13.5	1.11
"B2"	16	10	7.6	0.36
"B2"	16	11	10.7	0.28
"B2"	16	12	12.4	1.18
"B2"	16	13	11.6	1.27
"B2"	16	14	9.4	0.61
"B2"	16	15	11.5	1.11
"B2"	16	2	11.5	0.8
"B2"	16	3	14.2	1.33
"B2"	16	4	14.4	1.23
"B2"	16	5	12.5	1.33
"B2"	16	6	11.2	0.95
"B2"	16	7	12.8	1.06
"B2"	16	8	10.6	0.64
"B2"	16	9	7	0.2
"B2"	17	1	10.7	0.8
"B2"	17	10	14.2	1.75
"B2"	17	11	10	1.11
"B2"	17	12	15.5	1.48
"B2"	17	13	11.5	1.21
"B2"	17	14	8.5	0.68
"B2"	17	15	11.4	1.21
"B2"	17	2	12.7	1.4
"B2"	17	3	13.2	1.06
"B2"	17	4	11	0.89
"B2"	17	5	11	0.95
"B2"	17	6	11	0.99
"B2"	17	7	12.4	0.51
"B2"	17	8	8.6	0.22
"B2"	17	9	8.5	0.77
"B2"	18	1	5	0.42
"B2"	18	10	7.4	0.75
"B2"	18	11	7.2	0.79
"B2"	18	12	11.5	1.05
"B2"	18	13	10.7	1.1
"B2"	18	14	8.6	0.71
"B2"	18	15	9	0.93
"B2"	18	2	9.5	0.92
"B2"	18	3	8	0.76
"B2"	18	4	13.3	1.26
"B2"	18	5	4.4	0.29
"B2"	18	6	7.4	0.38
"B2"	18	7	7.5	0.4
"B2"	18	8	8.9	0.57
"B2"	18	9	4.8	0.52
"B2"	2	1	12.6	0.76
"B2"	2	10	11.4	1.24
"B2"	2	11	11.3	1.27
"B2"	2	12	14.5	1.53
"B2"	2	13	14.4	1.14
"B2"	2	14	8.1	0.77
"B2"	2	15	9.6	0.72
"B2"	2	2	15.2	1.5
"B2"	2	3	13.5	1.48
"B2"	2	4	14	1.48
"B2"	2	5	11.9	1.26
"B2"	2	6	8.5	0.93
"B2"	2	7	9.6	1.46
"B2"	2	8	10.8	1.04
"B2"	2	9	10.3	0.67
"B2"	3	1	13	1.13
"B2"	3	10	11.4	1.12
"B2"	3	11	14.1	1.49
"B2"	3	12	13.5	1.57
"B2"	3	13	14.4	1.27
"B2"	3	14	10.1	1.01
"B2"	3	15	8	0.67
"B2"	3	2	13.2	1.24
"B2"	3	3	14.4	1.75
"B2"	3	4	13.5	1.44
"B2"	3	5	11.2	1.22
"B2"	3	6	10.4	1.31
"B2"	3	7	6.5	1.14
"B2"	3	8	10.5	0.91
"B2"	3	9	11.5	1.39
"B2"	4	1	12.4	1.2
"B2"	4	10	12.3	0.92
"B2"	4	11	10.6	0.87
"B2"	4	12	12.6	1.11
"B2"	4	13	13	1.05
"B2"	4	14	9.2	0.96
"B2"	4	15	9.4	0.96
"B2"	4	2	14.8	1.34
"B2"	4	3	15.2	1.66
"B2"	4	4	14	1.39
"B2"	4	5	12.5	1.34
"B2"	4	6	10.8	1.16
"B2"	4	7	5.5	1.09
"B2"	4	8	8.6	0.81
"B2"	4	9	11.6	1.12
"B2"	5	1	11.8	0.94
"B2"	5	10	12	1.07
"B2"	5	11	12.1	1.03
"B2"	5	12	14.4	1.28
"B2"	5	13	14.3	1.35
"B2"	5	14	9	0.84
"B2"	5	15	10.1	0.72
"B2"	5	2	12.5	1.25
"B2"	5	3	10.4	1.15
"B2"	5	4	13.6	1.39
"B2"	5	5	14.2	1.26
"B2"	5	6	12.6	1.42
"B2"	5	7	4	0.83
"B2"	5	8	11	0.87
"B2"	5	9	11.6	0.97
"B2"	6	1	12.5	1.21
"B2"	6	10	12	0.96
"B2"	6	11	11.5	0.95
"B2"	6	12	13	1.04
"B2"	6	13	10.9	0.98
"B2"	6	14	6.8	0.54
"B2"	6	15	7.5	0.66
"B2"	6	2	12.9	1.32
"B2"	6	3	15.2	1.55
"B2"	6	4	14.8	1.5
"B2"	6	5	15.4	1.41
"B2"	6	6	12	1.39
"B2"	6	7	5.5	1.17
"B2"	6	8	10.8	1.04
"B2"	6	9	13.1	1.11
"B2"	7	1	14	1.3
"B2"	7	10	11.6	1.03
"B2"	7	11	11	0.93
"B2"	7	12	11.8	0.91
"B2"	7	13	13.9	1.16
"B2"	7	14	8.5	0.84
"B2"	7	15	10	0.72
"B2"	7	2	12.7	1.57
"B2"	7	3	12.3	1.33
"B2"	7	4	15.1	1.51
"B2"	7	5	14.4	1.62
"B2"	7	6	13.7	1.35
"B2"	7	7	6.4	1
"B2"	7	8	11.5	0.89
"B2"	7	9	13.5	1.35
"B2"	8	1	13.8	1.46
"B2"	8	10	11.7	1.04
"B2"	8	11	9.5	0.66
"B2"	8	12	11.6	0.93
"B2"	8	13	7.6	0.45
"B2"	8	14	9.5	0.72
"B2"	8	15	10	0.79
"B2"	8	2	12.7	1.24
"B2"	8	3	15	1.46
"B2"	8	4	14.4	1.27
"B2"	8	5	14.5	1.28
"B2"	8	6	13.5	1.4
"B2"	8	7	5.5	1.29
"B2"	8	8	12.6	1.2
"B2"	8	9	13.6	1.29
"B2"	9	1	13.4	1.38
"B2"	9	10	14.5	1.68
"B2"	9	11	12.7	0.88
"B2"	9	12	11.9	0.9
"B2"	9	13	9.6	0.64
"B2"	9	14	10.6	1.03
"B2"	9	15	9.8	0.8
"B2"	9	2	13.5	1.34
"B2"	9	3	15	1.59
"B2"	9	4	14	1.36
"B2"	9	5	16.3	1.6
"B2"	9	6	13.6	1.48
"B2"	9	7	8.6	1.39
"B2"	9	8	13.4	1.28
"B2"	9	9	13.1	1.29
