"isle"	"site"	"block"	"plot"	"trt"	"ears"	"yield"
"Antigua"	"TEAN"	"B2"	15	"T111"	35	2.18
"Antigua"	"TEAN"	"B2"	16	"T002"	36	3.24
"Antigua"	"TEAN"	"B2"	17	"T113"	39	3.91
"Antigua"	"TEAN"	"B2"	18	"T111"	48	4.2
"Antigua"	"TEAN"	"B3"	19	"T111"	34	2.57
"Antigua"	"TEAN"	"B3"	20	"T202"	37	2.88
"Antigua"	"TEAN"	"B3"	21	"T220"	37	3.45
"Antigua"	"TEAN"	"B3"	22	"T000"	42	2.89
"Antigua"	"TEAN"	"B3"	23	"T111"	38	3.01
"Antigua"	"TEAN"	"B3"	24	"T113"	39	2.87
"Antigua"	"TEAN"	"B3"	25	"T311"	35	3.25
"Antigua"	"TEAN"	"B3"	26	"T131"	41	3.92
"Antigua"	"TEAN"	"B3"	27	"T022"	28	0.88
"Antigua"	"TEAN"	"B4"	28	"T311"	25	1.14
"Antigua"	"TEAN"	"B4"	29	"T111"	43	3.61
"Antigua"	"TEAN"	"B4"	30	"T113"	42	3.05
"Antigua"	"TEAN"	"B4"	31	"T002"	44	3.41
"Antigua"	"TEAN"	"B4"	32	"T222"	48	4.46
"Antigua"	"TEAN"	"B4"	33	"T200"	41	4.36
"Antigua"	"TEAN"	"B4"	34	"T111"	39	3.42
"Antigua"	"TEAN"	"B4"	35	"T131"	28	1.06
"Antigua"	"TEAN"	"B4"	36	"T020"	NA	NA
"Antigua"	"WEAN"	"B1"	1	"T000"	48	4.02
"Antigua"	"WEAN"	"B1"	2	"T311"	47	5.8
"Antigua"	"WEAN"	"B1"	3	"T202"	32	2.16
"Antigua"	"WEAN"	"B1"	4	"T220"	43	5.31
"Antigua"	"WEAN"	"B1"	5	"T111"	42	5.12
"Antigua"	"WEAN"	"B1"	6	"T131"	45	5.98
"Antigua"	"WEAN"	"B1"	7	"T113"	46	5.46
"Antigua"	"WEAN"	"B1"	8	"T022"	43	3.45
"Antigua"	"WEAN"	"B1"	9	"T111"	45	4.96
"Antigua"	"WEAN"	"B2"	10	"T111"	46	4.26
"Antigua"	"WEAN"	"B2"	11	"T131"	48	6.35
"Antigua"	"WEAN"	"B2"	12	"T020"	47	4.28
"Antigua"	"WEAN"	"B2"	13	"T111"	41	4.94
"Antigua"	"WEAN"	"B2"	14	"T311"	38	4.39
"Antigua"	"WEAN"	"B2"	15	"T002"	44	3.92
"Antigua"	"WEAN"	"B2"	16	"T113"	43	5.74
"Antigua"	"WEAN"	"B2"	17	"T200"	46	4.98
"Antigua"	"WEAN"	"B2"	18	"T222"	44	5.4
"Antigua"	"WEAN"	"B3"	19	"T111"	45	6.1
"Antigua"	"WEAN"	"B3"	20	"T113"	45	5.86
"Antigua"	"WEAN"	"B3"	21	"T022"	47	4.59
"Antigua"	"WEAN"	"B3"	22	"T311"	36	4.36
"Antigua"	"WEAN"	"B3"	23	"T000"	41	4.16
"Antigua"	"WEAN"	"B3"	24	"T111"	46	6.58
"Antigua"	"WEAN"	"B3"	25	"T220"	38	5.11
"Antigua"	"WEAN"	"B3"	26	"T131"	48	5.96
"Antigua"	"WEAN"	"B3"	27	"T202"	36	3.45
"Antigua"	"WEAN"	"B4"	28	"T020"	43	5.77
"Antigua"	"WEAN"	"B4"	29	"T111"	46	6.6
"Antigua"	"WEAN"	"B4"	30	"T200"	43	3.88
"Antigua"	"WEAN"	"B4"	31	"T222"	34	4.04
"Antigua"	"WEAN"	"B4"	32	"T002"	32	2.76
"Antigua"	"WEAN"	"B4"	33	"T311"	42	6.31
"Antigua"	"WEAN"	"B4"	34	"T131"	38	5.28
"Antigua"	"WEAN"	"B4"	35	"T113"	44	4.61
"Antigua"	"WEAN"	"B4"	36	"T111"	46	5.65
"Antigua"	"WLAN"	"B1"	1	"T000"	58	2
"Antigua"	"WLAN"	"B1"	2	"T113"	56	2.39
"Antigua"	"WLAN"	"B1"	3	"T131"	52	2.04
"Antigua"	"WLAN"	"B1"	4	"T202"	44	1.64
"Antigua"	"WLAN"	"B1"	5	"T220"	45	1.83
"Antigua"	"WLAN"	"B1"	6	"T111"	47	2.08
"Antigua"	"WLAN"	"B1"	7	"T022"	55	3.13
"Antigua"	"WLAN"	"B1"	8	"T111"	53	1.96
"Antigua"	"WLAN"	"B1"	9	"T311"	43	1.3
"Antigua"	"WLAN"	"B2"	10	"T311"	68	2.16
"Antigua"	"WLAN"	"B2"	11	"T002"	40	1.74
"Antigua"	"WLAN"	"B2"	12	"T111"	58	2.46
"Antigua"	"WLAN"	"B2"	13	"T200"	44	2.17
"Antigua"	"WLAN"	"B2"	14	"T020"	42	2.72
"Antigua"	"WLAN"	"B2"	15	"T113"	55	2.07
"Antigua"	"WLAN"	"B2"	16	"T111"	54	2.87
"Antigua"	"WLAN"	"B2"	17	"T222"	48	2.14
"Antigua"	"WLAN"	"B2"	18	"T131"	38	1.45
"Antigua"	"WLAN"	"B3"	19	"T311"	69	2.05
"Antigua"	"WLAN"	"B3"	20	"T022"	60	2.44
"Antigua"	"WLAN"	"B3"	21	"T111"	50	2.88
"Antigua"	"WLAN"	"B3"	22	"T000"	40	2.28
"Antigua"	"WLAN"	"B3"	23	"T111"	51	3.44
"Antigua"	"WLAN"	"B3"	24	"T113"	54	2.56
"Antigua"	"WLAN"	"B3"	25	"T202"	41	2.41
"Antigua"	"WLAN"	"B3"	26	"T131"	53	3.24
"Antigua"	"WLAN"	"B3"	27	"T220"	51	1.66
"Antigua"	"WLAN"	"B4"	28	"T200"	57	1.76
"Antigua"	"WLAN"	"B4"	29	"T113"	55	2.84
"Antigua"	"WLAN"	"B4"	30	"T002"	39	2.25
"Antigua"	"WLAN"	"B4"	31	"T131"	63	2.73
"Antigua"	"WLAN"	"B4"	32	"T111"	48	3.55
"Antigua"	"WLAN"	"B4"	33	"T311"	51	3.13
"Antigua"	"WLAN"	"B4"	34	"T020"	39	2.41
"Antigua"	"WLAN"	"B4"	35	"T111"	43	3.49
"Antigua"	"WLAN"	"B4"	36	"T222"	56	1.96
"Antigua"	"NSAN"	"B1"	1	"T202"	25	2.43
"Antigua"	"NSAN"	"B1"	2	"T111"	13	1.28
"Antigua"	"NSAN"	"B1"	3	"T311"	10	0.83
"Antigua"	"NSAN"	"B1"	4	"T131"	24	2.44
"Antigua"	"NSAN"	"B1"	5	"T022"	30	1.3
"Antigua"	"NSAN"	"B1"	6	"T000"	25	1.34
"Antigua"	"NSAN"	"B1"	7	"T113"	25	2.06
"Antigua"	"NSAN"	"B1"	8	"T220"	32	3.02
"Antigua"	"NSAN"	"B1"	9	"T111"	27	2.18
"Antigua"	"NSAN"	"B2"	10	"T131"	26	2.35
"Antigua"	"NSAN"	"B2"	11	"T002"	28	2.15
"Antigua"	"NSAN"	"B2"	12	"T111"	36	3.24
"Antigua"	"NSAN"	"B2"	13	"T020"	34	2.78
"Antigua"	"NSAN"	"B2"	14	"T222"	27	2.91
"Antigua"	"NSAN"	"B2"	15	"T111"	32	3.1
"Antigua"	"NSAN"	"B2"	16	"T200"	28	2.86
"Antigua"	"NSAN"	"B2"	17	"T113"	32	3.33
"Antigua"	"NSAN"	"B2"	18	"T311"	32	3
"Antigua"	"NSAN"	"B3"	19	"T022"	32	2.75
"Antigua"	"NSAN"	"B3"	20	"T131"	36	2.92
"Antigua"	"NSAN"	"B3"	21	"T000"	28	1.7
"Antigua"	"NSAN"	"B3"	22	"T220"	34	3.36
"Antigua"	"NSAN"	"B3"	23	"T111"	30	1.58
"Antigua"	"NSAN"	"B3"	24	"T202"	27	1.98
"Antigua"	"NSAN"	"B3"	25	"T311"	39	2.9
"Antigua"	"NSAN"	"B3"	26	"T113"	26	2.05
"Antigua"	"NSAN"	"B3"	27	"T111"	24	1.4
"Antigua"	"NSAN"	"B4"	28	"T002"	33	1.95
"Antigua"	"NSAN"	"B4"	29	"T111"	29	2.34
"Antigua"	"NSAN"	"B4"	30	"T200"	19	1.55
"Antigua"	"NSAN"	"B4"	31	"T222"	22	1.73
"Antigua"	"NSAN"	"B4"	32	"T020"	30	2.05
"Antigua"	"NSAN"	"B4"	33	"T131"	33	3.44
"Antigua"	"NSAN"	"B4"	34	"T113"	33	2.11
"Antigua"	"NSAN"	"B4"	35	"T311"	35	3.22
"Antigua"	"NSAN"	"B4"	36	"T111"	21	1.6
"Antigua"	"OVAN"	"B1"	1	"T111"	28	2.04
"Antigua"	"OVAN"	"B1"	2	"T113"	35	3.88
"Antigua"	"OVAN"	"B1"	3	"T311"	38	5.53
"Antigua"	"OVAN"	"B1"	4	"T131"	42	6.61
"Antigua"	"OVAN"	"B1"	5	"T000"	31	2.97
"Antigua"	"OVAN"	"B1"	6	"T111"	35	4.47
"Antigua"	"OVAN"	"B1"	7	"T220"	26	4.06
"Antigua"	"OVAN"	"B1"	8	"T022"	37	5.02
"Antigua"	"OVAN"	"B1"	9	"T202"	38	4.56
"Antigua"	"OVAN"	"B2"	10	"T111"	41	3.5
"Antigua"	"OVAN"	"B2"	11	"T020"	37	4.58
"Antigua"	"OVAN"	"B2"	12	"T131"	30	4.42
"Antigua"	"OVAN"	"B2"	13	"T200"	47	6.16
"Antigua"	"OVAN"	"B2"	14	"T311"	45	6.09
"Antigua"	"OVAN"	"B2"	15	"T113"	38	4.94
"Antigua"	"OVAN"	"B2"	16	"T222"	37	5.83
"Antigua"	"OVAN"	"B2"	17	"T111"	37	5.05
"Antigua"	"OVAN"	"B2"	18	"T002"	30	3.9
"Antigua"	"OVAN"	"B3"	19	"T131"	35	3.92
"Antigua"	"OVAN"	"B3"	20	"T022"	42	4.78
"Antigua"	"OVAN"	"B3"	21	"T111"	40	5.26
"Antigua"	"OVAN"	"B3"	22	"T220"	40	5.52
"Antigua"	"OVAN"	"B3"	23	"T111"	42	5.87
"Antigua"	"OVAN"	"B3"	24	"T311"	43	6.19
"Antigua"	"OVAN"	"B3"	25	"T000"	39	5.26
"Antigua"	"OVAN"	"B3"	26	"T202"	30	3.08
"Antigua"	"OVAN"	"B3"	27	"T113"	29	3.14
"Antigua"	"OVAN"	"B4"	28	"T222"	45	4.56
"Antigua"	"OVAN"	"B4"	29	"T113"	38	4.74
"Antigua"	"OVAN"	"B4"	30	"T311"	38	5.32
"Antigua"	"OVAN"	"B4"	31	"T111"	45	5.57
"Antigua"	"OVAN"	"B4"	32	"T002"	26	1.69
"Antigua"	"OVAN"	"B4"	33	"T020"	40	4.57
"Antigua"	"OVAN"	"B4"	34	"T131"	38	6.18
"Antigua"	"OVAN"	"B4"	35	"T111"	48	6.9
"Antigua"	"OVAN"	"B4"	36	"T200"	33	3.93
"Antigua"	"ORAN"	"B1"	1	"T113"	43	5.26
"Antigua"	"ORAN"	"B1"	2	"T111"	44	6.87
"Antigua"	"ORAN"	"B1"	3	"T202"	44	7.78
"Antigua"	"ORAN"	"B1"	4	"T311"	41	6.75
"Antigua"	"ORAN"	"B1"	5	"T022"	44	6.56
"Antigua"	"ORAN"	"B1"	6	"T131"	42	6.47
"Antigua"	"ORAN"	"B1"	7	"T111"	41	6.71
"Antigua"	"ORAN"	"B1"	8	"T220"	41	6.74
"Antigua"	"ORAN"	"B1"	9	"T000"	45	6.92
"Antigua"	"ORAN"	"B2"	10	"T002"	36	3.75
"Antigua"	"ORAN"	"B2"	11	"T020"	35	3.56
"Antigua"	"ORAN"	"B2"	12	"T113"	38	5.45
"Antigua"	"ORAN"	"B2"	13	"T311"	40	7.55
"Antigua"	"ORAN"	"B2"	14	"T111"	40	7.2
"Antigua"	"ORAN"	"B2"	15	"T222"	44	6.48
"Antigua"	"ORAN"	"B2"	16	"T200"	41	7.36
"Antigua"	"ORAN"	"B2"	17	"T131"	41	7.18
"Antigua"	"ORAN"	"B2"	18	"T111"	48	7.53
"Antigua"	"ORAN"	"B3"	19	"T000"	36	5.74
"Antigua"	"ORAN"	"B3"	20	"T311"	44	7.52
"Antigua"	"ORAN"	"B3"	21	"T220"	46	7.87
"Antigua"	"ORAN"	"B3"	22	"T111"	43	6.39
"Antigua"	"ORAN"	"B3"	23	"T113"	46	7.04
"Antigua"	"ORAN"	"B3"	24	"T111"	40	6.48
"Antigua"	"ORAN"	"B3"	25	"T131"	47	7.56
"Antigua"	"ORAN"	"B3"	26	"T202"	46	6.87
"Antigua"	"ORAN"	"B3"	27	"T022"	41	6.12
"Antigua"	"ORAN"	"B4"	28	"T200"	47	7.45
"Antigua"	"ORAN"	"B4"	29	"T111"	45	6.75
"Antigua"	"ORAN"	"B4"	30	"T131"	42	6.41
"Antigua"	"ORAN"	"B4"	31	"T020"	37	5.28
"Antigua"	"ORAN"	"B4"	32	"T311"	35	5.27
"Antigua"	"ORAN"	"B4"	33	"T002"	46	7.28
"Antigua"	"ORAN"	"B4"	34	"T111"	45	7.39
"Antigua"	"ORAN"	"B4"	35	"T222"	43	6.61
"Antigua"	"ORAN"	"B4"	36	"T113"	37	4.75
"StVincent"	"CPSV"	"B1"	1	"T022"	NA	24
"StVincent"	"CPSV"	"B1"	2	"T131"	NA	27.1
"StVincent"	"CPSV"	"B1"	3	"T111"	NA	26.5
"StVincent"	"CPSV"	"B1"	4	"T000"	NA	23.1
"StVincent"	"CPSV"	"B1"	5	"T202"	NA	22.1
"StVincent"	"CPSV"	"B1"	6	"T220"	NA	24.1
"StVincent"	"CPSV"	"B1"	7	"T111"	NA	26.1
"StVincent"	"CPSV"	"B1"	8	"T113"	NA	22.5
"StVincent"	"CPSV"	"B1"	9	"T311"	NA	23
"StVincent"	"CPSV"	"B2"	10	"T111"	NA	26.4
"StVincent"	"CPSV"	"B2"	11	"T311"	NA	24.8
"StVincent"	"CPSV"	"B2"	12	"T111"	NA	23.8
"StVincent"	"CPSV"	"B2"	13	"T222"	NA	24
"StVincent"	"CPSV"	"B2"	14	"T200"	NA	22.8
"StVincent"	"CPSV"	"B2"	15	"T131"	NA	26
"StVincent"	"CPSV"	"B2"	16	"T002"	NA	20.5
"StVincent"	"CPSV"	"B2"	17	"T113"	NA	24.4
"StVincent"	"CPSV"	"B2"	18	"T020"	NA	26
"StVincent"	"CPSV"	"B3"	19	"T220"	NA	19
"StVincent"	"CPSV"	"B3"	20	"T111"	NA	21
"StVincent"	"CPSV"	"B3"	21	"T111"	NA	24.1
"StVincent"	"CPSV"	"B3"	22	"T311"	NA	23.1
"StVincent"	"CPSV"	"B3"	23	"T131"	NA	20.1
"StVincent"	"CPSV"	"B3"	24	"T022"	NA	23.2
"StVincent"	"CPSV"	"B3"	25	"T202"	NA	19.8
"StVincent"	"CPSV"	"B3"	26	"T113"	NA	19
"StVincent"	"CPSV"	"B3"	27	"T000"	NA	22.2
"StVincent"	"CPSV"	"B4"	28	"T131"	NA	25.2
"StVincent"	"CPSV"	"B4"	29	"T222"	NA	24.8
"StVincent"	"CPSV"	"B4"	30	"T200"	NA	21.2
"StVincent"	"CPSV"	"B4"	31	"T111"	NA	23.1
"StVincent"	"CPSV"	"B4"	32	"T002"	NA	20.9
"StVincent"	"CPSV"	"B4"	33	"T311"	NA	20
"StVincent"	"CPSV"	"B4"	34	"T020"	NA	20.9
"StVincent"	"CPSV"	"B4"	35	"T111"	NA	21.5
"StVincent"	"CPSV"	"B4"	36	"T113"	NA	13.4
"StVincent"	"MPSV"	"B1"	1	"T311"	NA	16.7
"StVincent"	"MPSV"	"B1"	2	"T131"	NA	13
"StVincent"	"MPSV"	"B1"	3	"T111"	NA	17.8
"StVincent"	"MPSV"	"B1"	4	"T111"	NA	11.5
"StVincent"	"MPSV"	"B1"	5	"T022"	NA	12.4
"StVincent"	"MPSV"	"B1"	6	"T113"	NA	12.1
"StVincent"	"MPSV"	"B1"	7	"T220"	NA	13.5
"StVincent"	"MPSV"	"B1"	8	"T000"	NA	8.5
"StVincent"	"MPSV"	"B1"	9	"T202"	NA	13
"StVincent"	"MPSV"	"B2"	10	"T131"	NA	12.2
"StVincent"	"MPSV"	"B2"	11	"T222"	NA	15.1
"StVincent"	"MPSV"	"B2"	12	"T200"	NA	11.8
"StVincent"	"MPSV"	"B2"	13	"T111"	NA	12.8
"StVincent"	"MPSV"	"B2"	14	"T002"	NA	7.1
"StVincent"	"MPSV"	"B2"	15	"T311"	NA	17
"StVincent"	"MPSV"	"B2"	16	"T020"	NA	6.2
"StVincent"	"MPSV"	"B2"	17	"T111"	NA	12.5
"StVincent"	"MPSV"	"B2"	18	"T113"	NA	15.2
"StVincent"	"MPSV"	"B3"	19	"T000"	NA	8.1
"StVincent"	"MPSV"	"B3"	20	"T113"	NA	13.1
"StVincent"	"MPSV"	"B3"	21	"T202"	NA	14.2
"StVincent"	"MPSV"	"B3"	22	"T311"	NA	18.9
"StVincent"	"MPSV"	"B3"	23	"T022"	NA	12.5
"StVincent"	"MPSV"	"B3"	24	"T131"	NA	17
"StVincent"	"MPSV"	"B3"	25	"T111"	NA	13.5
"StVincent"	"MPSV"	"B3"	26	"T220"	NA	12
"StVincent"	"MPSV"	"B3"	27	"T111"	NA	12.8
"StVincent"	"MPSV"	"B4"	28	"T113"	NA	14
"StVincent"	"MPSV"	"B4"	29	"T002"	NA	10.5
"StVincent"	"MPSV"	"B4"	30	"T020"	NA	14.4
"StVincent"	"MPSV"	"B4"	31	"T111"	NA	13.8
"StVincent"	"MPSV"	"B4"	32	"T311"	NA	12.8
"StVincent"	"MPSV"	"B4"	33	"T131"	NA	14.5
"StVincent"	"MPSV"	"B4"	34	"T222"	NA	13.1
"StVincent"	"MPSV"	"B4"	35	"T200"	NA	14
"StVincent"	"MPSV"	"B4"	36	"T111"	NA	13.5
"StVincent"	"AGSV"	"B1"	1	"T220"	NA	10.4
"StVincent"	"AGSV"	"B1"	2	"T000"	NA	9.1
"StVincent"	"AGSV"	"B1"	3	"T131"	NA	9.2
"StVincent"	"AGSV"	"B1"	4	"T022"	NA	10.1
"StVincent"	"AGSV"	"B1"	5	"T311"	NA	15.2
"StVincent"	"AGSV"	"B1"	6	"T111"	NA	13.9
"StVincent"	"AGSV"	"B1"	7	"T113"	NA	15.1
"StVincent"	"AGSV"	"B1"	8	"T111"	NA	12.2
"StVincent"	"AGSV"	"B1"	9	"T202"	NA	9.8
"StVincent"	"AGSV"	"B2"	10	"T113"	NA	11.8
"StVincent"	"AGSV"	"B2"	11	"T002"	NA	10.1
"StVincent"	"AGSV"	"B2"	12	"T020"	NA	13
"StVincent"	"AGSV"	"B2"	13	"T111"	NA	13.2
"StVincent"	"AGSV"	"B2"	14	"T311"	NA	10.2
"StVincent"	"AGSV"	"B2"	15	"T131"	NA	12
"StVincent"	"AGSV"	"B2"	16	"T222"	NA	13.2
"StVincent"	"AGSV"	"B2"	17	"T200"	NA	10.9
"StVincent"	"AGSV"	"B2"	18	"T111"	NA	15.1
"StVincent"	"AGSV"	"B3"	19	"T220"	NA	9.9
"StVincent"	"AGSV"	"B3"	20	"T022"	NA	12
"StVincent"	"AGSV"	"B3"	21	"T113"	NA	12.5
"StVincent"	"AGSV"	"B3"	22	"T111"	NA	14.5
"StVincent"	"AGSV"	"B3"	23	"T131"	NA	12.2
"StVincent"	"AGSV"	"B3"	24	"T111"	NA	11.5
"StVincent"	"AGSV"	"B3"	25	"T202"	NA	11.5
"StVincent"	"AGSV"	"B3"	26	"T311"	NA	16.5
"StVincent"	"AGSV"	"B3"	27	"T000"	NA	7.8
"StVincent"	"AGSV"	"B4"	28	"T200"	NA	13
"StVincent"	"AGSV"	"B4"	29	"T311"	NA	7
"StVincent"	"AGSV"	"B4"	30	"T111"	NA	12.4
"StVincent"	"AGSV"	"B4"	31	"T222"	NA	14
"StVincent"	"AGSV"	"B4"	32	"T131"	NA	13.1
"StVincent"	"AGSV"	"B4"	33	"T111"	NA	13
"StVincent"	"AGSV"	"B4"	34	"T020"	NA	16
"StVincent"	"AGSV"	"B4"	35	"T113"	NA	14.5
"StVincent"	"AGSV"	"B4"	36	"T002"	NA	11
"StVincent"	"CASV"	"B1"	1	"T311"	NA	22
"StVincent"	"CASV"	"B1"	2	"T113"	NA	18.2
"StVincent"	"CASV"	"B1"	3	"T022"	NA	14.4
"StVincent"	"CASV"	"B1"	4	"T111"	NA	22.4
"StVincent"	"CASV"	"B1"	5	"T220"	NA	22.3
"StVincent"	"CASV"	"B1"	6	"T111"	NA	20
"StVincent"	"CASV"	"B1"	7	"T000"	NA	16
"StVincent"	"CASV"	"B1"	8	"T202"	NA	17.2
"StVincent"	"CASV"	"B1"	9	"T131"	NA	16.1
"StVincent"	"CASV"	"B2"	10	"T311"	NA	22.1
"StVincent"	"CASV"	"B2"	11	"T113"	NA	20.3
"StVincent"	"CASV"	"B2"	12	"T020"	NA	16
"StVincent"	"CASV"	"B2"	13	"T111"	NA	23.8
"StVincent"	"CASV"	"B2"	14	"T131"	NA	20.2
"StVincent"	"CASV"	"B2"	15	"T111"	NA	24.5
"StVincent"	"CASV"	"B2"	16	"T222"	NA	26.8
"StVincent"	"CASV"	"B2"	17	"T200"	NA	19.9
"StVincent"	"CASV"	"B2"	18	"T002"	NA	13.7
"StVincent"	"CASV"	"B3"	19	"T202"	NA	9.1
"StVincent"	"CASV"	"B3"	20	"T113"	NA	12.2
"StVincent"	"CASV"	"B3"	21	"T000"	NA	11.1
"StVincent"	"CASV"	"B3"	22	"T131"	NA	10.5
"StVincent"	"CASV"	"B3"	23	"T311"	NA	21.8
"StVincent"	"CASV"	"B3"	24	"T111"	NA	17.2
"StVincent"	"CASV"	"B3"	25	"T111"	NA	20.5
"StVincent"	"CASV"	"B3"	26	"T220"	NA	20
"StVincent"	"CASV"	"B3"	27	"T022"	NA	16.1
"StVincent"	"CASV"	"B4"	28	"T002"	NA	19.1
"StVincent"	"CASV"	"B4"	29	"T111"	NA	22.2
"StVincent"	"CASV"	"B4"	30	"T111"	NA	24.2
"StVincent"	"CASV"	"B4"	31	"T131"	NA	20.2
"StVincent"	"CASV"	"B4"	32	"T311"	NA	21.1
"StVincent"	"CASV"	"B4"	33	"T200"	NA	22.8
"StVincent"	"CASV"	"B4"	34	"T020"	NA	20.1
"StVincent"	"CASV"	"B4"	35	"T113"	NA	20.3
"StVincent"	"CASV"	"B4"	36	"T222"	NA	22
"StVincent"	"SSSV"	"B1"	1	"T022"	NA	9.5
"StVincent"	"SSSV"	"B1"	2	"T202"	NA	10.5
