"yield"	"rep"	"gen"	"env"	"year"	"loc"
2578	"R1"	"Wilk"	"C79"	"79"	"Chazy"
1677	"R1"	"Chip"	"C79"	"79"	"Chazy"
2020	"R1"	"Hodg"	"C79"	"79"	"Chazy"
2199	"R1"	"S200"	"C79"	"79"	"Chazy"
1734	"R1"	"Cors"	"C79"	"79"	"Chazy"
1326	"R1"	"Well"	"C79"	"79"	"Chazy"
3352	"R1"	"Evan"	"G79"	"79"	"Geneseo"
2488	"R1"	"Wilk"	"G79"	"79"	"Geneseo"
2351	"R1"	"Chip"	"G79"	"79"	"Geneseo"
3428	"R1"	"Hodg"	"G79"	"79"	"Geneseo"
2849	"R1"	"S200"	"G79"	"79"	"Geneseo"
2622	"R1"	"Cors"	"G79"	"79"	"Geneseo"
2499	"R1"	"Well"	"G79"	"79"	"Geneseo"
2289	"R1"	"Evan"	"R79"	"79"	"Romulus"
722	"R1"	"Wilk"	"R79"	"79"	"Romulus"
1841	"R1"	"Chip"	"R79"	"79"	"Romulus"
2955	"R1"	"Hodg"	"R79"	"79"	"Romulus"
2103	"R1"	"S200"	"R79"	"79"	"Romulus"
1009	"R1"	"Cors"	"R79"	"79"	"Romulus"
1894	"R1"	"Well"	"R79"	"79"	"Romulus"
983	"R1"	"Evan"	"V79"	"79"	"Valatie"
824	"R1"	"Wilk"	"V79"	"79"	"Valatie"
1286	"R1"	"Chip"	"V79"	"79"	"Valatie"
1299	"R1"	"Hodg"	"V79"	"79"	"Valatie"
2196	"R1"	"S200"	"V79"	"79"	"Valatie"
2159	"R1"	"Cors"	"V79"	"79"	"Valatie"
1529	"R1"	"Well"	"V79"	"79"	"Valatie"
2884	"R1"	"Evan"	"A80"	"80"	"Aurora"
2547	"R1"	"Wilk"	"A80"	"80"	"Aurora"
2856	"R1"	"Chip"	"A80"	"80"	"Aurora"
2640	"R1"	"Hodg"	"A80"	"80"	"Aurora"
2977	"R1"	"S200"	"A80"	"80"	"Aurora"
3242	"R1"	"Cors"	"A80"	"80"	"Aurora"
2290	"R1"	"Well"	"A80"	"80"	"Aurora"
2464	"R1"	"Evan"	"C80"	"80"	"Chazy"
3231	"R1"	"Wilk"	"C80"	"80"	"Chazy"
2090	"R1"	"Chip"	"C80"	"80"	"Chazy"
2568	"R1"	"Hodg"	"C80"	"80"	"Chazy"
2159	"R1"	"S200"	"C80"	"80"	"Chazy"
2166	"R1"	"Cors"	"C80"	"80"	"Chazy"
1069	"R1"	"Well"	"C80"	"80"	"Chazy"
3867	"R1"	"Evan"	"G80"	"80"	"Geneseo"
3258	"R1"	"Wilk"	"G80"	"80"	"Geneseo"
3144	"R1"	"Chip"	"G80"	"80"	"Geneseo"
3478	"R1"	"Hodg"	"G80"	"80"	"Geneseo"
4217	"R1"	"S200"	"G80"	"80"	"Geneseo"
4083	"R1"	"Cors"	"G80"	"80"	"Geneseo"
4035	"R1"	"Well"	"G80"	"80"	"Geneseo"
4020	"R1"	"Evan"	"L80"	"80"	"Lockport"
3985	"R1"	"Wilk"	"L80"	"80"	"Lockport"
2688	"R1"	"Chip"	"L80"	"80"	"Lockport"
3974	"R1"	"Hodg"	"L80"	"80"	"Lockport"
3595	"R1"	"S200"	"L80"	"80"	"Lockport"
2673	"R1"	"Cors"	"L80"	"80"	"Lockport"
3628	"R1"	"Well"	"L80"	"80"	"Lockport"
1728	"R1"	"Evan"	"D80"	"80"	"Riverhead"
1806	"R1"	"Wilk"	"D80"	"80"	"Riverhead"
1429	"R1"	"Chip"	"D80"	"80"	"Riverhead"
2759	"R1"	"Hodg"	"D80"	"80"	"Riverhead"
2259	"R1"	"S200"	"D80"	"80"	"Riverhead"
2627	"R1"	"Cors"	"D80"	"80"	"Riverhead"
2199	"R1"	"Well"	"D80"	"80"	"Riverhead"
2566	"R1"	"Evan"	"R80"	"80"	"Romulus"
2100	"R1"	"Wilk"	"R80"	"80"	"Romulus"
1879	"R1"	"Chip"	"R80"	"80"	"Romulus"
3095	"R1"	"Hodg"	"R80"	"80"	"Romulus"
2568	"R1"	"S200"	"R80"	"80"	"Romulus"
2430	"R1"	"Cors"	"R80"	"80"	"Romulus"
1920	"R1"	"Well"	"R80"	"80"	"Romulus"
1833	"R1"	"Evan"	"V80"	"80"	"Valatie"
1810	"R1"	"Wilk"	"V80"	"80"	"Valatie"
1498	"R1"	"Chip"	"V80"	"80"	"Valatie"
2376	"R1"	"Hodg"	"V80"	"80"	"Valatie"
1685	"R1"	"S200"	"V80"	"80"	"Valatie"
1898	"R1"	"Cors"	"V80"	"80"	"Valatie"
1830	"R1"	"Well"	"V80"	"80"	"Valatie"
3059	"R1"	"Evan"	"A81"	"81"	"Aurora"
2613	"R1"	"Wilk"	"A81"	"81"	"Aurora"
2627	"R1"	"Chip"	"A81"	"81"	"Aurora"
3042	"R1"	"Hodg"	"A81"	"81"	"Aurora"
2877	"R1"	"S200"	"A81"	"81"	"Aurora"
4868	"R1"	"Cors"	"A81"	"81"	"Aurora"
2861	"R1"	"Well"	"A81"	"81"	"Aurora"
3023	"R1"	"Evan"	"C81"	"81"	"Chazy"
2937	"R1"	"Wilk"	"C81"	"81"	"Chazy"
1937	"R1"	"Chip"	"C81"	"81"	"Chazy"
2664	"R1"	"Hodg"	"C81"	"81"	"Chazy"
1754	"R1"	"S200"	"C81"	"81"	"Chazy"
2021	"R1"	"Cors"	"C81"	"81"	"Chazy"
1972	"R1"	"Well"	"C81"	"81"	"Chazy"
3553	"R1"	"Evan"	"G81"	"81"	"Geneseo"
2619	"R1"	"Wilk"	"G81"	"81"	"Geneseo"
2955	"R1"	"Chip"	"G81"	"81"	"Geneseo"
3728	"R1"	"Hodg"	"G81"	"81"	"Geneseo"
3089	"R1"	"S200"	"G81"	"81"	"Geneseo"
3753	"R1"	"Cors"	"G81"	"81"	"Geneseo"
3188	"R1"	"Well"	"G81"	"81"	"Geneseo"
2755	"R1"	"Evan"	"L81"	"81"	"Lockport"
2922	"R1"	"Wilk"	"L81"	"81"	"Lockport"
2697	"R1"	"Chip"	"L81"	"81"	"Lockport"
3167	"R1"	"Hodg"	"L81"	"81"	"Lockport"
2449	"R1"	"S200"	"L81"	"81"	"Lockport"
3209	"R1"	"Cors"	"L81"	"81"	"Lockport"
2728	"R1"	"Well"	"L81"	"81"	"Lockport"
1950	"R1"	"Evan"	"D81"	"81"	"Riverhead"
1646	"R1"	"Wilk"	"D81"	"81"	"Riverhead"
2809	"R1"	"Chip"	"D81"	"81"	"Riverhead"
3553	"R1"	"Hodg"	"D81"	"81"	"Riverhead"
1463	"R1"	"S200"	"D81"	"81"	"Riverhead"
2479	"R1"	"Cors"	"D81"	"81"	"Riverhead"
1637	"R1"	"Well"	"D81"	"81"	"Riverhead"
1525	"R1"	"Evan"	"R81"	"81"	"Romulus"
1484	"R1"	"Wilk"	"R81"	"81"	"Romulus"
2597	"R1"	"Chip"	"R81"	"81"	"Romulus"
2404	"R1"	"Hodg"	"R81"	"81"	"Romulus"
2798	"R1"	"S200"	"R81"	"81"	"Romulus"
2170	"R1"	"Cors"	"R81"	"81"	"Romulus"
2903	"R1"	"Well"	"R81"	"81"	"Romulus"
3103	"R1"	"Evan"	"V81"	"81"	"Valatie"
1825	"R1"	"Wilk"	"V81"	"81"	"Valatie"
2308	"R1"	"Chip"	"V81"	"81"	"Valatie"
2685	"R1"	"Hodg"	"V81"	"81"	"Valatie"
2498	"R1"	"S200"	"V81"	"81"	"Valatie"
2664	"R1"	"Cors"	"V81"	"81"	"Valatie"
2457	"R1"	"Well"	"V81"	"81"	"Valatie"
2127	"R1"	"Evan"	"A82"	"82"	"Aurora"
1545	"R1"	"Wilk"	"A82"	"82"	"Aurora"
2007	"R1"	"Chip"	"A82"	"82"	"Aurora"
3038	"R1"	"Hodg"	"A82"	"82"	"Aurora"
2396	"R1"	"S200"	"A82"	"82"	"Aurora"
2689	"R1"	"Cors"	"A82"	"82"	"Aurora"
1946	"R1"	"Well"	"A82"	"82"	"Aurora"
2591	"R1"	"Evan"	"L82"	"82"	"Lockport"
1682	"R1"	"Wilk"	"L82"	"82"	"Lockport"
2401	"R1"	"Chip"	"L82"	"82"	"Lockport"
2863	"R1"	"Hodg"	"L82"	"82"	"Lockport"
3342	"R1"	"S200"	"L82"	"82"	"Lockport"
3088	"R1"	"Cors"	"L82"	"82"	"Lockport"
2825	"R1"	"Well"	"L82"	"82"	"Lockport"
3160	"R1"	"Evan"	"G82"	"82"	"Geneseo"
3102	"R1"	"Wilk"	"G82"	"82"	"Geneseo"
2489	"R1"	"Chip"	"G82"	"82"	"Geneseo"
3584	"R1"	"Hodg"	"G82"	"82"	"Geneseo"
4488	"R1"	"S200"	"G82"	"82"	"Geneseo"
3671	"R1"	"Cors"	"G82"	"82"	"Geneseo"
3452	"R1"	"Well"	"G82"	"82"	"Geneseo"
2146	"R1"	"Evan"	"V82"	"82"	"Valatie"
2077	"R1"	"Wilk"	"V82"	"82"	"Valatie"
1295	"R1"	"Chip"	"V82"	"82"	"Valatie"
1484	"R1"	"Hodg"	"V82"	"82"	"Valatie"
1204	"R1"	"S200"	"V82"	"82"	"Valatie"
1520	"R1"	"Cors"	"V82"	"82"	"Valatie"
1061	"R1"	"Well"	"V82"	"82"	"Valatie"
3405	"R1"	"Evan"	"A83"	"83"	"Aurora"
1927	"R1"	"Wilk"	"A83"	"83"	"Aurora"
2212	"R1"	"Chip"	"A83"	"83"	"Aurora"
2423	"R1"	"Hodg"	"A83"	"83"	"Aurora"
2272	"R1"	"S200"	"A83"	"83"	"Aurora"
2139	"R1"	"Cors"	"A83"	"83"	"Aurora"
1930	"R1"	"Well"	"A83"	"83"	"Aurora"
1716	"R1"	"Evan"	"I83"	"83"	"Itica"
1084	"R1"	"Wilk"	"I83"	"83"	"Itica"
1431	"R1"	"Chip"	"I83"	"83"	"Itica"
1713	"R1"	"Hodg"	"I83"	"83"	"Itica"
2073	"R1"	"S200"	"I83"	"83"	"Itica"
1826	"R1"	"Cors"	"I83"	"83"	"Itica"
1730	"R1"	"Well"	"I83"	"83"	"Itica"
4511	"R1"	"Evan"	"G83"	"83"	"Geneseo"
4115	"R1"	"Wilk"	"G83"	"83"	"Geneseo"
3026	"R1"	"Chip"	"G83"	"83"	"Geneseo"
5085	"R1"	"Hodg"	"G83"	"83"	"Geneseo"
3767	"R1"	"S200"	"G83"	"83"	"Geneseo"
3659	"R1"	"Cors"	"G83"	"83"	"Geneseo"
4064	"R1"	"Well"	"G83"	"83"	"Geneseo"
3316	"R1"	"Evan"	"A84"	"84"	"Aurora"
2307	"R1"	"Wilk"	"A84"	"84"	"Aurora"
3177	"R1"	"Chip"	"A84"	"84"	"Aurora"
3958	"R1"	"Hodg"	"A84"	"84"	"Aurora"
3078	"R1"	"S200"	"A84"	"84"	"Aurora"
2923	"R1"	"Cors"	"A84"	"84"	"Aurora"
3492	"R1"	"Well"	"A84"	"84"	"Aurora"
2903	"R1"	"Evan"	"N84"	"84"	"Canton"
2567	"R1"	"Wilk"	"N84"	"84"	"Canton"
2964	"R1"	"Chip"	"N84"	"84"	"Canton"
3285	"R1"	"Hodg"	"N84"	"84"	"Canton"
3325	"R1"	"S200"	"N84"	"84"	"Canton"
3046	"R1"	"Cors"	"N84"	"84"	"Canton"
2875	"R1"	"Well"	"N84"	"84"	"Canton"
3225	"R1"	"Evan"	"C84"	"84"	"Chazy"
2815	"R1"	"Wilk"	"C84"	"84"	"Chazy"
2399	"R1"	"Chip"	"C84"	"84"	"Chazy"
2791	"R1"	"Hodg"	"C84"	"84"	"Chazy"
2332	"R1"	"S200"	"C84"	"84"	"Chazy"
3170	"R1"	"Cors"	"C84"	"84"	"Chazy"
2818	"R1"	"Well"	"C84"	"84"	"Chazy"
2206	"R1"	"Evan"	"I84"	"84"	"Itica"
1435	"R1"	"Wilk"	"I84"	"84"	"Itica"
2125	"R1"	"Chip"	"I84"	"84"	"Itica"
2278	"R1"	"Hodg"	"I84"	"84"	"Itica"
2033	"R1"	"S200"	"I84"	"84"	"Itica"
2308	"R1"	"Cors"	"I84"	"84"	"Itica"
1713	"R1"	"Well"	"I84"	"84"	"Itica"
4213	"R1"	"Evan"	"G84"	"84"	"Geneseo"
3360	"R1"	"Wilk"	"G84"	"84"	"Geneseo"
3049	"R1"	"Chip"	"G84"	"84"	"Geneseo"
3641	"R1"	"Hodg"	"G84"	"84"	"Geneseo"
4274	"R1"	"S200"	"G84"	"84"	"Geneseo"
3376	"R1"	"Cors"	"G84"	"84"	"Geneseo"
3846	"R1"	"Well"	"G84"	"84"	"Geneseo"
1058	"R1"	"Evan"	"A85"	"85"	"Aurora"
858	"R1"	"Wilk"	"A85"	"85"	"Aurora"
1010	"R1"	"Chip"	"A85"	"85"	"Aurora"
1612	"R1"	"Hodg"	"A85"	"85"	"Aurora"
2083	"R1"	"S200"	"A85"	"85"	"Aurora"
1667	"R1"	"Cors"	"A85"	"85"	"Aurora"
1213	"R1"	"Well"	"A85"	"85"	"Aurora"
2404	"R1"	"Evan"	"N85"	"85"	"Canton"
1814	"R1"	"Wilk"	"N85"	"85"	"Canton"
1748	"R1"	"Chip"	"N85"	"85"	"Canton"
2122	"R1"	"Hodg"	"N85"	"85"	"Canton"
2620	"R1"	"S200"	"N85"	"85"	"Canton"
2593	"R1"	"Cors"	"N85"	"85"	"Canton"
2484	"R1"	"Well"	"N85"	"85"	"Canton"
3127	"R1"	"Evan"	"C85"	"85"	"Chazy"
2905	"R1"	"Wilk"	"C85"	"85"	"Chazy"
2798	"R1"	"Chip"	"C85"	"85"	"Chazy"
3092	"R1"	"Hodg"	"C85"	"85"	"Chazy"
2834	"R1"	"S200"	"C85"	"85"	"Chazy"
3541	"R1"	"Cors"	"C85"	"85"	"Chazy"
2777	"R1"	"Well"	"C85"	"85"	"Chazy"
1783	"R1"	"Evan"	"I85"	"85"	"Itica"
1902	"R1"	"Wilk"	"I85"	"85"	"Itica"
1717	"R1"	"Chip"	"I85"	"85"	"Itica"
1707	"R1"	"Hodg"	"I85"	"85"	"Itica"
1419	"R1"	"S200"	"I85"	"85"	"Itica"
1814	"R1"	"Cors"	"I85"	"85"	"Itica"
1378	"R1"	"Well"	"I85"	"85"	"Itica"
3194	"R1"	"Evan"	"G85"	"85"	"Geneseo"
2619	"R1"	"Wilk"	"G85"	"85"	"Geneseo"
2742	"R1"	"Chip"	"G85"	"85"	"Geneseo"
3561	"R1"	"Hodg"	"G85"	"85"	"Geneseo"
2760	"R1"	"S200"	"G85"	"85"	"Geneseo"
3039	"R1"	"Cors"	"G85"	"85"	"Geneseo"
2285	"R1"	"Well"	"G85"	"85"	"Geneseo"
2989	"R1"	"Evan"	"A86"	"86"	"Aurora"
2652	"R1"	"Wilk"	"A86"	"86"	"Aurora"
3317	"R1"	"Chip"	"A86"	"86"	"Aurora"
3764	"R1"	"Hodg"	"A86"	"86"	"Aurora"
2900	"R1"	"S200"	"A86"	"86"	"Aurora"
3639	"R1"	"Cors"	"A86"	"86"	"Aurora"
3715	"R1"	"Well"	"A86"	"86"	"Aurora"
2826	"R1"	"Evan"	"C86"	"86"	"Chazy"
2420	"R1"	"Wilk"	"C86"	"86"	"Chazy"
2105	"R1"	"Chip"	"C86"	"86"	"Chazy"
2489	"R1"	"Hodg"	"C86"	"86"	"Chazy"
1645	"R1"	"S200"	"C86"	"86"	"Chazy"
1905	"R1"	"Cors"	"C86"	"86"	"Chazy"
1763	"R1"	"Well"	"C86"	"86"	"Chazy"
2996	"R1"	"Evan"	"G86"	"86"	"Geneseo"
3759	"R1"	"Wilk"	"G86"	"86"	"Geneseo"
2234	"R1"	"Chip"	"G86"	"86"	"Geneseo"
2846	"R1"	"Hodg"	"G86"	"86"	"Geneseo"
2040	"R1"	"S200"	"G86"	"86"	"Geneseo"
2515	"R1"	"Cors"	"G86"	"86"	"Geneseo"
3701	"R1"	"Well"	"G86"	"86"	"Geneseo"
3025	"R1"	"Evan"	"E86"	"86"	"Etna"
1990	"R1"	"Wilk"	"E86"	"86"	"Etna"
2587	"R1"	"Chip"	"E86"	"86"	"Etna"
3056	"R1"	"Hodg"	"E86"	"86"	"Etna"
3191	"R1"	"S200"	"E86"	"86"	"Etna"
3054	"R1"	"Cors"	"E86"	"86"	"Etna"
2457	"R1"	"Well"	"E86"	"86"	"Etna"
2040	"R1"	"Evan"	"N86"	"86"	"Canton"
2520	"R1"	"Wilk"	"N86"	"86"	"Canton"
1476	"R1"	"Chip"	"N86"	"86"	"Canton"
2504	"R1"	"Hodg"	"N86"	"86"	"Canton"
1711	"R1"	"S200"	"N86"	"86"	"Canton"
2100	"R1"	"Cors"	"N86"	"86"	"Canton"
1383	"R1"	"Well"	"N86"	"86"	"Canton"
2636	"R1"	"Evan"	"A87"	"87"	"Aurora"
2069	"R1"	"Wilk"	"A87"	"87"	"Aurora"
2580	"R1"	"Chip"	"A87"	"87"	"Aurora"
2803	"R1"	"Hodg"	"A87"	"87"	"Aurora"
2923	"R1"	"S200"	"A87"	"87"	"Aurora"
2856	"R1"	"Cors"	"A87"	"87"	"Aurora"
2609	"R1"	"Well"	"A87"	"87"	"Aurora"
2574	"R1"	"Evan"	"N87"	"87"	"Canton"
1989	"R1"	"Wilk"	"N87"	"87"	"Canton"
2602	"R1"	"Chip"	"N87"	"87"	"Canton"
2892	"R1"	"Hodg"	"N87"	"87"	"Canton"
2219	"R1"	"S200"	"N87"	"87"	"Canton"
2840	"R1"	"Cors"	"N87"	"87"	"Canton"
2726	"R1"	"Well"	"N87"	"87"	"Canton"
2961	"R1"	"Evan"	"C87"	"87"	"Chazy"
3348	"R1"	"Wilk"	"C87"	"87"	"Chazy"
2206	"R1"	"Chip"	"C87"	"87"	"Chazy"
2484	"R1"	"Hodg"	"C87"	"87"	"Chazy"
1267	"R1"	"S200"	"C87"	"87"	"Chazy"
2177	"R1"	"Cors"	"C87"	"87"	"Chazy"
1504	"R1"	"Well"	"C87"	"87"	"Chazy"
2962	"R1"	"Evan"	"E87"	"87"	"Etna"
2572	"R1"	"Wilk"	"E87"	"87"	"Etna"
2374	"R1"	"Chip"	"E87"	"87"	"Etna"
2795	"R1"	"Hodg"	"E87"	"87"	"Etna"
1717	"R1"	"S200"	"E87"	"87"	"Etna"
2843	"R1"	"Cors"	"E87"	"87"	"Etna"
2809	"R1"	"Well"	"E87"	"87"	"Etna"
3104	"R1"	"Evan"	"G87"	"87"	"Geneseo"
2963	"R1"	"Wilk"	"G87"	"87"	"Geneseo"
1964	"R1"	"Chip"	"G87"	"87"	"Geneseo"
3342	"R1"	"Hodg"	"G87"	"87"	"Geneseo"
2848	"R1"	"S200"	"G87"	"87"	"Geneseo"
2081	"R1"	"Cors"	"G87"	"87"	"Geneseo"
3750	"R1"	"Well"	"G87"	"87"	"Geneseo"
2720	"R1"	"Evan"	"A88"	"88"	"Aurora"
2611	"R1"	"Wilk"	"A88"	"88"	"Aurora"
2604	"R1"	"Chip"	"A88"	"88"	"Aurora"
3157	"R1"	"Hodg"	"A88"	"88"	"Aurora"
3334	"R1"	"S200"	"A88"	"88"	"Aurora"
3211	"R1"	"Cors"	"A88"	"88"	"Aurora"
2924	"R1"	"Well"	"A88"	"88"	"Aurora"
3442	"R1"	"Evan"	"N88"	"88"	"Canton"
3010	"R1"	"Wilk"	"N88"	"88"	"Canton"
2892	"R1"	"Chip"	"N88"	"88"	"Canton"
3880	"R1"	"Hodg"	"N88"	"88"	"Canton"
3395	"R1"	"S200"	"N88"	"88"	"Canton"
3450	"R1"	"Cors"	"N88"	"88"	"Canton"
3558	"R1"	"Well"	"N88"	"88"	"Canton"
4370	"R1"	"Evan"	"C88"	"88"	"Chazy"
3852	"R1"	"Wilk"	"C88"	"88"	"Chazy"
3185	"R1"	"Chip"	"C88"	"88"	"Chazy"
2824	"R1"	"Hodg"	"C88"	"88"	"Chazy"
2022	"R1"	"S200"	"C88"	"88"	"Chazy"
2770	"R1"	"Cors"	"C88"	"88"	"Chazy"
3192	"R1"	"Well"	"C88"	"88"	"Chazy"
2843	"R1"	"Evan"	"E88"	"88"	"Etna"
2779	"R1"	"Wilk"	"E88"	"88"	"Etna"
2570	"R1"	"Chip"	"E88"	"88"	"Etna"
2807	"R1"	"Hodg"	"E88"	"88"	"Etna"
2733	"R1"	"S200"	"E88"	"88"	"Etna"
2339	"R1"	"Cors"	"E88"	"88"	"Etna"
2996	"R1"	"Well"	"E88"	"88"	"Etna"
5437	"R1"	"Evan"	"G88"	"88"	"Geneseo"
4687	"R1"	"Wilk"	"G88"	"88"	"Geneseo"
3085	"R1"	"Chip"	"G88"	"88"	"Geneseo"
4275	"R1"	"Hodg"	"G88"	"88"	"Geneseo"
4615	"R1"	"S200"	"G88"	"88"	"Geneseo"
4777	"R1"	"Cors"	"G88"	"88"	"Geneseo"
4447	"R1"	"Well"	"G88"	"88"	"Geneseo"
2747	"R2"	"Evan"	"A77"	"77"	"Aurora"
2238	"R2"	"Wilk"	"A77"	"77"	"Aurora"
2425	"R2"	"Chip"	"A77"	"77"	"Aurora"
2072	"R2"	"Hodg"	"A77"	"77"	"Aurora"
3036	"R2"	"S200"	"A77"	"77"	"Aurora"
3430	"R2"	"Cors"	"A77"	"77"	"Aurora"
2951	"R2"	"Well"	"A77"	"77"	"Aurora"
2948	"R2"	"Evan"	"C77"	"77"	"Chazy"
2747	"R2"	"Wilk"	"C77"	"77"	"Chazy"
1719	"R2"	"Chip"	"C77"	"77"	"Chazy"
1839	"R2"	"Hodg"	"C77"	"77"	"Chazy"
1301	"R2"	"S200"	"C77"	"77"	"Chazy"
2115	"R2"	"Cors"	"C77"	"77"	"Chazy"
1471	"R2"	"Well"	"C77"	"77"	"Chazy"
1024	"R2"	"Evan"	"V77"	"77"	"Valatie"
891	"R2"	"Wilk"	"V77"	"77"	"Valatie"
2200	"R2"	"Chip"	"V77"	"77"	"Valatie"
2254	"R2"	"Hodg"	"V77"	"77"	"Valatie"
2074	"R2"	"S200"	"V77"	"77"	"Valatie"
2958	"R2"	"Cors"	"V77"	"77"	"Valatie"
2972	"R2"	"Well"	"V77"	"77"	"Valatie"
1965	"R2"	"Evan"	"V78"	"78"	"Valatie"
1476	"R2"	"Wilk"	"V78"	"78"	"Valatie"
1496	"R2"	"Chip"	"V78"	"78"	"Valatie"
1927	"R2"	"Hodg"	"V78"	"78"	"Valatie"
1497	"R2"	"S200"	"V78"	"78"	"Valatie"
2363	"R2"	"Cors"	"V78"	"78"	"Valatie"
1691	"R2"	"Well"	"V78"	"78"	"Valatie"
2687	"R2"	"Evan"	"A79"	"79"	"Aurora"
2861	"R2"	"Wilk"	"A79"	"79"	"Aurora"
2353	"R2"	"Chip"	"A79"	"79"	"Aurora"
3268	"R2"	"Hodg"	"A79"	"79"	"Aurora"
3061	"R2"	"S200"	"A79"	"79"	"Aurora"
2422	"R2"	"Cors"	"A79"	"79"	"Aurora"
3034	"R2"	"Well"	"A79"	"79"	"Aurora"
2807	"R2"	"Evan"	"C79"	"79"	"Chazy"
2471	"R2"	"Wilk"	"C79"	"79"	"Chazy"
1725	"R2"	"Chip"	"C79"	"79"	"Chazy"
1648	"R2"	"Hodg"	"C79"	"79"	"Chazy"
1636	"R2"	"S200"	"C79"	"79"	"Chazy"
880	"R2"	"Cors"	"C79"	"79"	"Chazy"
1272	"R2"	"Well"	"C79"	"79"	"Chazy"
2765	"R2"	"Evan"	"G79"	"79"	"Geneseo"
2504	"R2"	"Wilk"	"G79"	"79"	"Geneseo"
2286	"R2"	"Chip"	"G79"	"79"	"Geneseo"
2976	"R2"	"Hodg"	"G79"	"79"	"Geneseo"
2391	"R2"	"S200"	"G79"	"79"	"Geneseo"
3460	"R2"	"Cors"	"G79"	"79"	"Geneseo"
2416	"R2"	"Well"	"G79"	"79"	"Geneseo"
2000	"R2"	"Evan"	"R79"	"79"	"Romulus"
1055	"R2"	"Wilk"	"R79"	"79"	"Romulus"
2104	"R2"	"Chip"	"R79"	"79"	"Romulus"
2625	"R2"	"Hodg"	"R79"	"79"	"Romulus"
2024	"R2"	"S200"	"R79"	"79"	"Romulus"
1991	"R2"	"Cors"	"R79"	"79"	"Romulus"
2126	"R2"	"Well"	"R79"	"79"	"Romulus"
1445	"R2"	"Evan"	"V79"	"79"	"Valatie"
491	"R2"	"Wilk"	"V79"	"79"	"Valatie"
1258	"R2"	"Chip"	"V79"	"79"	"Valatie"
1484	"R2"	"Hodg"	"V79"	"79"	"Valatie"
2239	"R2"	"S200"	"V79"	"79"	"Valatie"
2041	"R2"	"Cors"	"V79"	"79"	"Valatie"
1767	"R2"	"Well"	"V79"	"79"	"Valatie"
2660	"R2"	"Evan"	"A80"	"80"	"Aurora"
2685	"R2"	"Wilk"	"A80"	"80"	"Aurora"
2706	"R2"	"Chip"	"A80"	"80"	"Aurora"
3202	"R2"	"Hodg"	"A80"	"80"	"Aurora"
2357	"R2"	"S200"	"A80"	"80"	"Aurora"
2469	"R2"	"Cors"	"A80"	"80"	"Aurora"
2634	"R2"	"Well"	"A80"	"80"	"Aurora"
2332	"R2"	"Evan"	"C80"	"80"	"Chazy"
3205	"R2"	"Wilk"	"C80"	"80"	"Chazy"
2472	"R2"	"Chip"	"C80"	"80"	"Chazy"
2615	"R2"	"Hodg"	"C80"	"80"	"Chazy"
2123	"R2"	"S200"	"C80"	"80"	"Chazy"
2384	"R2"	"Cors"	"C80"	"80"	"Chazy"
1295	"R2"	"Well"	"C80"	"80"	"Chazy"
4641	"R2"	"Evan"	"G80"	"80"	"Geneseo"
3592	"R2"	"Wilk"	"G80"	"80"	"Geneseo"
