"yield"	"rep"	"parent1"	"parent2"	"cross"
93.26	"R3"	"P3"	"P6"	"P3:P6"
114.38	"R3"	"P4"	"P1"	"P4:P1"
81.66	"R3"	"P4"	"P2"	"P4:P2"
96.2	"R3"	"P4"	"P3"	"P4:P3"
83.28	"R3"	"P4"	"P4"	"P4:P4"
79.06	"R3"	"P4"	"P5"	"P4:P5"
90.98	"R3"	"P4"	"P6"	"P4:P6"
110.18	"R3"	"P5"	"P1"	"P5:P1"
95.56	"R3"	"P5"	"P2"	"P5:P2"
83.66	"R3"	"P5"	"P3"	"P5:P3"
91.34	"R3"	"P5"	"P4"	"P5:P4"
52.98	"R3"	"P5"	"P5"	"P5:P5"
89.18	"R3"	"P5"	"P6"	"P5:P6"
61.66	"R3"	"P6"	"P1"	"P6:P1"
65.26	"R3"	"P6"	"P2"	"P6:P2"
85.12	"R3"	"P6"	"P3"	"P6:P3"
121.1	"R3"	"P6"	"P4"	"P6:P4"
84.48	"R3"	"P6"	"P5"	"P6:P5"
99.14	"R3"	"P6"	"P6"	"P6:P6"
76.48	"R4"	"P1"	"P1"	"P1:P1"
73.54	"R4"	"P1"	"P2"	"P1:P2"
99.52	"R4"	"P1"	"P3"	"P1:P3"
115.28	"R4"	"P1"	"P4"	"P1:P4"
129.72	"R4"	"P1"	"P5"	"P1:P5"
68	"R4"	"P1"	"P6"	"P1:P6"
88.16	"R4"	"P2"	"P1"	"P2:P1"
108.68	"R4"	"P2"	"P2"	"P2:P2"
120.12	"R4"	"P2"	"P3"	"P2:P3"
88.36	"R4"	"P2"	"P4"	"P2:P4"
106.98	"R4"	"P2"	"P5"	"P2:P5"
86.76	"R4"	"P2"	"P6"	"P2:P6"
114.34	"R4"	"P3"	"P1"	"P3:P1"
122.36	"R4"	"P3"	"P2"	"P3:P2"
69.48	"R4"	"P3"	"P3"	"P3:P3"
86.42	"R4"	"P3"	"P4"	"P3:P4"
92.52	"R4"	"P3"	"P5"	"P3:P5"
102.26	"R4"	"P3"	"P6"	"P3:P6"
105.34	"R4"	"P4"	"P1"	"P4:P1"
101.24	"R4"	"P4"	"P2"	"P4:P2"
125.48	"R4"	"P4"	"P3"	"P4:P3"
95.92	"R4"	"P4"	"P4"	"P4:P4"
99.52	"R4"	"P4"	"P5"	"P4:P5"
119.4	"R4"	"P4"	"P6"	"P4:P6"
125.68	"R4"	"P5"	"P1"	"P5:P1"
88.54	"R4"	"P5"	"P2"	"P5:P2"
85.28	"R4"	"P5"	"P3"	"P5:P3"
89.28	"R4"	"P5"	"P4"	"P5:P4"
50.98	"R4"	"P5"	"P5"	"P5:P5"
75.86	"R4"	"P5"	"P6"	"P5:P6"
64.48	"R4"	"P6"	"P1"	"P6:P1"
74.64	"R4"	"P6"	"P2"	"P6:P2"
108.76	"R4"	"P6"	"P3"	"P6:P3"
106.38	"R4"	"P6"	"P4"	"P6:P4"
90.28	"R4"	"P6"	"P5"	"P6:P5"
107.16	"R4"	"P6"	"P6"	"P6:P6"
