"field"	"sample"	"x"	"y"	"nitro"	"carbon"
"Oakley"	66	240	180	0.028	0.384
"Oakley"	67	240	150	0.03	0.48
"Oakley"	68	240	120	0.031	0.362
"Oakley"	69	240	90	0.035	0.498
"Oakley"	70	240	60	0.033	0.407
"Oakley"	71	240	30	0.039	0.577
"Oakley"	72	240	0	0.031	0.431
"Oakley"	73	270	210	0.061	0.947
"Oakley"	74	270	180	0.04	0.589
"Oakley"	75	270	150	0.041	0.612
"Oakley"	76	270	120	0.04	0.636
"Oakley"	77	270	90	0.063	0.75
"Oakley"	78	270	60	0.036	0.478
"Oakley"	79	270	30	0.04	0.587
"Oakley"	80	270	0	0.035	0.516
"Oakley"	81	45	180	0.029	0.368
"Oakley"	82	45	165	0.025	0.361
"Oakley"	83	45	150	0.022	0.329
"Oakley"	84	225	180	0.035	0.409
"Oakley"	85	225	165	0.032	0.558
"Oakley"	86	225	150	0.03	0.384
"Oakley"	87	225	60	0.036	0.38
"Oakley"	88	225	45	0.032	0.497
"Oakley"	89	225	30	0.033	0.436
"Oakley"	90	45	60	0.024	0.312
"Oakley"	91	45	45	0.033	0.396
"Oakley"	92	45	30	0.028	0.366
"Oakley"	93	140	120	0.027	0.407
"Oakley"	94	140	105	0.026	0.338
"Oakley"	95	140	90	0.029	0.314
"Oakley"	96	130	120	0.027	0.36
"Oakley"	97	130	105	0.029	0.396
"Oakley"	98	130	90	0.037	0.435
"Oakley"	99	120	105	0.029	0.382
"Oakley"	100	150	105	0.029	0.347
