yield	gen	env	site	year	yor
2352	Bokal	E07	Nab	1980	1970
1859	Egret	E07	Nab	1980	1973
2437	Madden	E07	Nab	1980	1974
2409	Warimba	E07	Nab	1980	1976
2648	Tincurrin	E07	Nab	1980	1978
2005	Miling	E07	Nab	1980	1979
2493	Bodallin	E07	Nab	1980	1982
215	PurpleStraw883	E08	Sal	1980	1863
253	PurpleStraw888	E08	Sal	1980	1866
290	Steinwedel	E08	Sal	1980	1884
632	GluyasEarly	E08	Sal	1980	1894
351	Federation	E08	Sal	1980	1901
646	Alpha	E08	Sal	1980	1907
449	Nabawa	E08	Sal	1980	1915
351	Carrabin	E08	Sal	1980	1917
291	Merredin	E08	Sal	1980	1917
314	SHJ	E08	Sal	1980	1919
360	Gluclub	E08	Sal	1980	1922
426	Bencubbin	E08	Sal	1980	1929
628	Bungulla	E08	Sal	1980	1939
234	Kondut	E08	Sal	1980	1943
403	Gabo	E08	Sal	1980	1945
707	Insignia	E08	Sal	1980	1946
468	Wongoondy	E08	Sal	1980	1948
323	Falcon	E08	Sal	1980	1960
620	Gamenya	E08	Sal	1980	1960
594	Darkan	E08	Sal	1980	1968
669	Halberd	E08	Sal	1980	1969
660	Bokal	E08	Sal	1980	1970
347	Egret	E08	Sal	1980	1973
487	Madden	E08	Sal	1980	1974
356	Warimba	E08	Sal	1980	1976
974	Tincurrin	E08	Sal	1980	1978
365	Miling	E08	Sal	1980	1979
524	Bodallin	E08	Sal	1980	1982
466	PurpleStraw883	E09	Won	1980	1863
779	PurpleStraw888	E09	Won	1980	1866
910	Steinwedel	E09	Won	1980	1884
1056	GluyasEarly	E09	Won	1980	1894
950	Federation	E09	Won	1980	1901
723	Alpha	E09	Won	1980	1907
891	Nabawa	E09	Won	1980	1915
1105	Carrabin	E09	Won	1980	1917
1312	Merredin	E09	Won	1980	1917
916	SHJ	E09	Won	1980	1919
1092	Gluclub	E09	Won	1980	1922
1371	Bencubbin	E09	Won	1980	1929
907	Bungulla	E09	Won	1980	1939
1050	Kondut	E09	Won	1980	1943
1602	Gabo	E09	Won	1980	1945
1433	Insignia	E09	Won	1980	1946
1577	Wongoondy	E09	Won	1980	1948
1505	Falcon	E09	Won	1980	1960
1524	Gamenya	E09	Won	1980	1960
1657	Darkan	E09	Won	1980	1968
1533	Halberd	E09	Won	1980	1969
1553	Bokal	E09	Won	1980	1970
1168	Egret	E09	Won	1980	1973
1576	Madden	E09	Won	1980	1974
1387	Warimba	E09	Won	1980	1976
2036	Tincurrin	E09	Won	1980	1978
1497	Miling	E09	Won	1980	1979
1616	Bodallin	E09	Won	1980	1982
461	PurpleStraw883	E10	Won	1980	1863
539	PurpleStraw888	E10	Won	1980	1866
461	Steinwedel	E10	Won	1980	1884
605	GluyasEarly	E10	Won	1980	1894
737	Federation	E10	Won	1980	1901
500	Alpha	E10	Won	1980	1907
737	Nabawa	E10	Won	1980	1915
487	Carrabin	E10	Won	1980	1917
658	Merredin	E10	Won	1980	1917
509	SHJ	E10	Won	1980	1919
535	Gluclub	E10	Won	1980	1922
697	Bencubbin	E10	Won	1980	1929
487	Bungulla	E10	Won	1980	1939
592	Kondut	E10	Won	1980	1943
618	Gabo	E10	Won	1980	1945
750	Insignia	E10	Won	1980	1946
447	Wongoondy	E10	Won	1980	1948
526	Falcon	E10	Won	1980	1960
1035	Gamenya	E10	Won	1980	1960
737	Darkan	E10	Won	1980	1968
816	Halberd	E10	Won	1980	1969
803	Bokal	E10	Won	1980	1970
895	Egret	E10	Won	1980	1973
987	Madden	E10	Won	1980	1974
1197	Warimba	E10	Won	1980	1976
1103	Tincurrin	E10	Won	1980	1978
829	Miling	E10	Won	1980	1979
855	Bodallin	E10	Won	1980	1982
1453	PurpleStraw883	E11	Avo	1981	1863
1770	PurpleStraw888	E11	Avo	1981	1866
1032	Steinwedel	E11	Avo	1981	1884
1381	GluyasEarly	E11	Avo	1981	1894
1674	Federation	E11	Avo	1981	1901
1353	Alpha	E11	Avo	1981	1907
1472	Nabawa	E11	Avo	1981	1915
1615	Carrabin	E11	Avo	1981	1917
1548	Merredin	E11	Avo	1981	1917
1476	SHJ	E11	Avo	1981	1919
1540	Gluclub	E11	Avo	1981	1922
1667	Bencubbin	E11	Avo	1981	1929
1472	Bungulla	E11	Avo	1981	1939
1738	Kondut	E11	Avo	1981	1943
1989	Gabo	E11	Avo	1981	1945
1996	Insignia	E11	Avo	1981	1946
1837	Wongoondy	E11	Avo	1981	1948
1885	Falcon	E11	Avo	1981	1960
2123	Gamenya	E11	Avo	1981	1960
1901	Darkan	E11	Avo	1981	1968
1853	Halberd	E11	Avo	1981	1969
2143	Bokal	E11	Avo	1981	1970
1984	Egret	E11	Avo	1981	1973
2139	Madden	E11	Avo	1981	1974
2075	Warimba	E11	Avo	1981	1976
2695	Tincurrin	E11	Avo	1981	1978
1734	Miling	E11	Avo	1981	1979
2072	Bodallin	E11	Avo	1981	1982
1068	PurpleStraw883	E12	Nab	1981	1863
1135	PurpleStraw888	E12	Nab	1981	1866
987	Steinwedel	E12	Nab	1981	1884
1127	GluyasEarly	E12	Nab	1981	1894
1206	Federation	E12	Nab	1981	1901
1056	Alpha	E12	Nab	1981	1907
1214	Nabawa	E12	Nab	1981	1915
1286	Carrabin	E12	Nab	1981	1917
1369	Merredin	E12	Nab	1981	1917
1063	SHJ	E12	Nab	1981	1919
1306	Gluclub	E12	Nab	1981	1922
1353	Bencubbin	E12	Nab	1981	1929
1353	Bungulla	E12	Nab	1981	1939
1135	Kondut	E12	Nab	1981	1943
1452	Gabo	E12	Nab	1981	1945
1349	Insignia	E12	Nab	1981	1946
1401	Wongoondy	E12	Nab	1981	1948
1544	Falcon	E12	Nab	1981	1960
1349	Gamenya	E12	Nab	1981	1960
1532	Darkan	E12	Nab	1981	1968
1448	Halberd	E12	Nab	1981	1969
1750	Bokal	E12	Nab	1981	1970
1151	Egret	E12	Nab	1981	1973
1659	Madden	E12	Nab	1981	1974
1560	Warimba	E12	Nab	1981	1976
1786	Tincurrin	E12	Nab	1981	1978
1262	Miling	E12	Nab	1981	1979
1718	Bodallin	E12	Nab	1981	1982
786	PurpleStraw883	E13	Sal	1981	1863
619	PurpleStraw888	E13	Sal	1981	1866
972	Steinwedel	E13	Sal	1981	1884
924	GluyasEarly	E13	Sal	1981	1894
873	Federation	E13	Sal	1981	1901
571	Alpha	E13	Sal	1981	1907
778	Nabawa	E13	Sal	1981	1915
885	Carrabin	E13	Sal	1981	1917
992	Merredin	E13	Sal	1981	1917
825	SHJ	E13	Sal	1981	1919
976	Gluclub	E13	Sal	1981	1922
853	Bencubbin	E13	Sal	1981	1929
1222	Bungulla	E13	Sal	1981	1939
734	Kondut	E13	Sal	1981	1943
1072	Gabo	E13	Sal	1981	1945
1479	Insignia	E13	Sal	1981	1946
1270	Wongoondy	E13	Sal	1981	1948
766	Falcon	E13	Sal	1981	1960
1095	Gamenya	E13	Sal	1981	1960
1061	Darkan	E13	Sal	1981	1968
1063	Halberd	E13	Sal	1981	1969
1301	Bokal	E13	Sal	1981	1970
952	Egret	E13	Sal	1981	1973
1131	Madden	E13	Sal	1981	1974
601	Warimba	E13	Sal	1981	1976
1250	Tincurrin	E13	Sal	1981	1978
1095	Miling	E13	Sal	1981	1979
1317	Bodallin	E13	Sal	1981	1982
1527	PurpleStraw883	E14	Won	1981	1863
1282	PurpleStraw888	E14	Won	1981	1866
1215	Steinwedel	E14	Won	1981	1884
1343	GluyasEarly	E14	Won	1981	1894
1255	Federation	E14	Won	1981	1901
1706	Alpha	E14	Won	1981	1907
1266	Nabawa	E14	Won	1981	1915
1403	Carrabin	E14	Won	1981	1917
1528	Merredin	E14	Won	1981	1917
1140	SHJ	E14	Won	1981	1919
1383	Gluclub	E14	Won	1981	1922
1620	Bencubbin	E14	Won	1981	1929
1675	Bungulla	E14	Won	1981	1939
1386	Kondut	E14	Won	1981	1943
1574	Gabo	E14	Won	1981	1945
1324	Insignia	E14	Won	1981	1946
1440	Wongoondy	E14	Won	1981	1948
1778	Falcon	E14	Won	1981	1960
1671	Gamenya	E14	Won	1981	1960
1320	Darkan	E14	Won	1981	1968
1619	Halberd	E14	Won	1981	1969
2000	Bokal	E14	Won	1981	1970
1338	Egret	E14	Won	1981	1973
1770	Madden	E14	Won	1981	1974
1755	Warimba	E14	Won	1981	1976
1851	Tincurrin	E14	Won	1981	1978
1561	Miling	E14	Won	1981	1979
1883	Bodallin	E14	Won	1981	1982
1465	PurpleStraw883	E15	Mer	1981	1863
1576	PurpleStraw888	E15	Mer	1981	1866
1370	Steinwedel	E15	Mer	1981	1884
1592	GluyasEarly	E15	Mer	1981	1894
1542	Federation	E15	Mer	1981	1901
1721	Alpha	E15	Mer	1981	1907
1268	Nabawa	E15	Mer	1981	1915
1494	Carrabin	E15	Mer	1981	1917
1503	Merredin	E15	Mer	1981	1917
1628	SHJ	E15	Mer	1981	1919
1439	Gluclub	E15	Mer	1981	1922
1543	Bencubbin	E15	Mer	1981	1929
1776	Bungulla	E15	Mer	1981	1939
1828	Kondut	E15	Mer	1981	1943
1333	Gabo	E15	Mer	1981	1945
1573	Insignia	E15	Mer	1981	1946
1787	Wongoondy	E15	Mer	1981	1948
1616	Falcon	E15	Mer	1981	1960
1701	Gamenya	E15	Mer	1981	1960
1668	Darkan	E15	Mer	1981	1968
1660	Halberd	E15	Mer	1981	1969
1591	Bokal	E15	Mer	1981	1970
1915	Egret	E15	Mer	1981	1973
1652	Madden	E15	Mer	1981	1974
1648	Warimba	E15	Mer	1981	1976
1682	Tincurrin	E15	Mer	1981	1978
1582	Miling	E15	Mer	1981	1979
1883	Bodallin	E15	Mer	1981	1982
1317	PurpleStraw883	E16	Nab	1982	1863
1397	PurpleStraw888	E16	Nab	1982	1866
925	Steinwedel	E16	Nab	1982	1884
1484	GluyasEarly	E16	Nab	1982	1894
1305	Federation	E16	Nab	1982	1901
1301	Alpha	E16	Nab	1982	1907
1563	Nabawa	E16	Nab	1982	1915
1544	Carrabin	E16	Nab	1982	1917
1825	Merredin	E16	Nab	1982	1917
1670	SHJ	E16	Nab	1982	1919
1508	Gluclub	E16	Nab	1982	1922
1512	Bencubbin	E16	Nab	1982	1929
1790	Bungulla	E16	Nab	1982	1939
1623	Kondut	E16	Nab	1982	1943
1595	Gabo	E16	Nab	1982	1945
1651	Insignia	E16	Nab	1982	1946
1635	Wongoondy	E16	Nab	1982	1948
1667	Falcon	E16	Nab	1982	1960
1734	Gamenya	E16	Nab	1982	1960
2072	Darkan	E16	Nab	1982	1968
1603	Halberd	E16	Nab	1982	1969
1544	Bokal	E16	Nab	1982	1970
1563	Egret	E16	Nab	1982	1973
1623	Madden	E16	Nab	1982	1974
1825	Warimba	E16	Nab	1982	1976
1988	Tincurrin	E16	Nab	1982	1978
1623	Miling	E16	Nab	1982	1979
1829	Bodallin	E16	Nab	1982	1982
1125	PurpleStraw883	E17	New	1982	1863
1065	PurpleStraw888	E17	New	1982	1866
1629	Steinwedel	E17	New	1982	1884
1324	GluyasEarly	E17	New	1982	1894
1176	Federation	E17	New	1982	1901
1005	Alpha	E17	New	1982	1907
1074	Nabawa	E17	New	1982	1915
1324	Carrabin	E17	New	1982	1917
1217	Merredin	E17	New	1982	1917
1384	SHJ	E17	New	1982	1919
1435	Gluclub	E17	New	1982	1922
1143	Bencubbin	E17	New	1982	1929
1273	Bungulla	E17	New	1982	1939
1782	Kondut	E17	New	1982	1943
1570	Gabo	E17	New	1982	1945
1616	Insignia	E17	New	1982	1946
1648	Wongoondy	E17	New	1982	1948
1768	Falcon	E17	New	1982	1960
1577	Gamenya	E17	New	1982	1960
1569	Darkan	E17	New	1982	1968
1676	Halberd	E17	New	1982	1969
1417	Bokal	E17	New	1982	1970
1794	Egret	E17	New	1982	1973
1713	Madden	E17	New	1982	1974
1717	Warimba	E17	New	1982	1976
1509	Tincurrin	E17	New	1982	1978
1870	Miling	E17	New	1982	1979
NA	Bodallin	E17	New	1982	1982
196	PurpleStraw883	E18	Sal	1982	1863
296	PurpleStraw888	E18	Sal	1982	1866
413	Steinwedel	E18	Sal	1982	1884
545	GluyasEarly	E18	Sal	1982	1894
238	Federation	E18	Sal	1982	1901
437	Alpha	E18	Sal	1982	1907
375	Nabawa	E18	Sal	1982	1915
413	Carrabin	E18	Sal	1982	1917
446	Merredin	E18	Sal	1982	1917
354	SHJ	E18	Sal	1982	1919
479	Gluclub	E18	Sal	1982	1922
367	Bencubbin	E18	Sal	1982	1929
605	Bungulla	E18	Sal	1982	1939
367	Kondut	E18	Sal	1982	1943
554	Gabo	E18	Sal	1982	1945
404	Insignia	E18	Sal	1982	1946
425	Wongoondy	E18	Sal	1982	1948
546	Falcon	E18	Sal	1982	1960
454	Gamenya	E18	Sal	1982	1960
517	Darkan	E18	Sal	1982	1968
513	Halberd	E18	Sal	1982	1969
517	Bokal	E18	Sal	1982	1970
433	Egret	E18	Sal	1982	1973
521	Madden	E18	Sal	1982	1974
537	Warimba	E18	Sal	1982	1976
704	Tincurrin	E18	Sal	1982	1978
596	Miling	E18	Sal	1982	1979
629	Bodallin	E18	Sal	1982	1982
709	PurpleStraw883	E19	Won	1982	1863
1772	PurpleStraw888	E19	Won	1982	1866
777	Steinwedel	E19	Won	1982	1884
1604	GluyasEarly	E19	Won	1982	1894
1245	Federation	E19	Won	1982	1901
858	Alpha	E19	Won	1982	1907
1175	Nabawa	E19	Won	1982	1915
1401	Carrabin	E19	Won	1982	1917
1282	Merredin	E19	Won	1982	1917
1354	SHJ	E19	Won	1982	1919
1335	Gluclub	E19	Won	1982	1922
1200	Bencubbin	E19	Won	1982	1929
1496	Bungulla	E19	Won	1982	1939
1660	Kondut	E19	Won	1982	1943
1990	Gabo	E19	Won	1982	1945
1543	Insignia	E19	Won	1982	1946
1720	Wongoondy	E19	Won	1982	1948
1821	Falcon	E19	Won	1982	1960
2013	Gamenya	E19	Won	1982	1960
1807	Darkan	E19	Won	1982	1968
1882	Halberd	E19	Won	1982	1969
1975	Bokal	E19	Won	1982	1970
1521	Egret	E19	Won	1982	1973
2122	Madden	E19	Won	1982	1974
1810	Warimba	E19	Won	1982	1976
1946	Tincurrin	E19	Won	1982	1978
1842	Miling	E19	Won	1982	1979
2134	Bodallin	E19	Won	1982	1982
384	PurpleStraw883	E20	Mer	1982	1863
513	PurpleStraw888	E20	Mer	1982	1866
319	Steinwedel	E20	Mer	1982	1884
578	GluyasEarly	E20	Mer	1982	1894
480	Federation	E20	Mer	1982	1901
634	Alpha	E20	Mer	1982	1907
381	Nabawa	E20	Mer	1982	1915
638	Carrabin	E20	Mer	1982	1917
648	Merredin	E20	Mer	1982	1917
516	SHJ	E20	Mer	1982	1919
561	Gluclub	E20	Mer	1982	1922
436	Bencubbin	E20	Mer	1982	1929
630	Bungulla	E20	Mer	1982	1939
534	Kondut	E20	Mer	1982	1943
654	Gabo	E20	Mer	1982	1945
598	Insignia	E20	Mer	1982	1946
717	Wongoondy	E20	Mer	1982	1948
612	Falcon	E20	Mer	1982	1960
711	Gamenya	E20	Mer	1982	1960
629	Darkan	E20	Mer	1982	1968
655	Halberd	E20	Mer	1982	1969
709	Bokal	E20	Mer	1982	1970
675	Egret	E20	Mer	1982	1973
770	Madden	E20	Mer	1982	1974
700	Warimba	E20	Mer	1982	1976
722	Tincurrin	E20	Mer	1982	1978
780	Miling	E20	Mer	1982	1979
822	Bodallin	E20	Mer	1982	1982
