"male"	"female"	"block"	"category"	"count"
"P2"	"P2"	"B2"	"C2"	4
"P2"	"P3"	"B2"	"C2"	1
"P2"	"P4"	"B2"	"C2"	2
"P3"	"P1"	"B2"	"C2"	5
"P3"	"P2"	"B2"	"C2"	2
"P3"	"P3"	"B2"	"C2"	5
"P3"	"P4"	"B2"	"C2"	2
"P1"	"P1"	"B2"	"C3"	6
"P1"	"P2"	"B2"	"C3"	7
"P1"	"P3"	"B2"	"C3"	1
"P1"	"P4"	"B2"	"C3"	1
"P2"	"P1"	"B2"	"C3"	6
"P2"	"P2"	"B2"	"C3"	2
"P2"	"P3"	"B2"	"C3"	4
"P2"	"P4"	"B2"	"C3"	6
"P3"	"P1"	"B2"	"C3"	2
"P3"	"P2"	"B2"	"C3"	5
"P3"	"P3"	"B2"	"C3"	3
"P3"	"P4"	"B2"	"C3"	3
"P1"	"P1"	"B3"	"C1"	2
"P1"	"P2"	"B3"	"C1"	4
"P1"	"P3"	"B3"	"C1"	1
"P1"	"P4"	"B3"	"C1"	2
"P2"	"P1"	"B3"	"C1"	1
"P2"	"P2"	"B3"	"C1"	1
"P2"	"P3"	"B3"	"C1"	3
"P2"	"P4"	"B3"	"C1"	8
"P3"	"P1"	"B3"	"C1"	2
"P3"	"P2"	"B3"	"C1"	3
"P3"	"P3"	"B3"	"C1"	1
"P3"	"P4"	"B3"	"C1"	7
"P1"	"P1"	"B3"	"C2"	3
"P1"	"P2"	"B3"	"C2"	6
"P1"	"P3"	"B3"	"C2"	1
"P1"	"P4"	"B3"	"C2"	8
"P2"	"P1"	"B3"	"C2"	2
"P2"	"P2"	"B3"	"C2"	6
"P2"	"P3"	"B3"	"C2"	3
"P2"	"P4"	"B3"	"C2"	2
"P3"	"P1"	"B3"	"C2"	5
"P3"	"P2"	"B3"	"C2"	6
"P3"	"P3"	"B3"	"C2"	3
"P3"	"P4"	"B3"	"C2"	3
"P1"	"P1"	"B3"	"C3"	5
"P1"	"P2"	"B3"	"C3"	0
"P1"	"P3"	"B3"	"C3"	7
"P1"	"P4"	"B3"	"C3"	0
"P2"	"P1"	"B3"	"C3"	7
"P2"	"P2"	"B3"	"C3"	3
"P2"	"P3"	"B3"	"C3"	4
"P2"	"P4"	"B3"	"C3"	0
"P3"	"P1"	"B3"	"C3"	3
"P3"	"P2"	"B3"	"C3"	1
"P3"	"P3"	"B3"	"C3"	6
"P3"	"P4"	"B3"	"C3"	0
"P1"	"P1"	"B4"	"C1"	2
"P1"	"P2"	"B4"	"C1"	2
"P1"	"P3"	"B4"	"C1"	2
"P1"	"P4"	"B4"	"C1"	1
"P2"	"P1"	"B4"	"C1"	1
"P2"	"P2"	"B4"	"C1"	4
"P2"	"P3"	"B4"	"C1"	4
"P2"	"P4"	"B4"	"C1"	2
"P3"	"P1"	"B4"	"C1"	0
"P3"	"P2"	"B4"	"C1"	2
"P3"	"P3"	"B4"	"C1"	0
"P3"	"P4"	"B4"	"C1"	3
"P1"	"P1"	"B4"	"C2"	5
"P1"	"P2"	"B4"	"C2"	3
"P1"	"P3"	"B4"	"C2"	3
"P1"	"P4"	"B4"	"C2"	4
"P2"	"P1"	"B4"	"C2"	5
"P2"	"P2"	"B4"	"C2"	2
"P2"	"P3"	"B4"	"C2"	2
"P2"	"P4"	"B4"	"C2"	5
"P3"	"P1"	"B4"	"C2"	0
"P3"	"P2"	"B4"	"C2"	1
"P3"	"P3"	"B4"	"C2"	3
"P3"	"P4"	"B4"	"C2"	4
"P1"	"P1"	"B4"	"C3"	3
"P1"	"P2"	"B4"	"C3"	5
"P1"	"P3"	"B4"	"C3"	5
"P1"	"P4"	"B4"	"C3"	5
"P2"	"P1"	"B4"	"C3"	4
"P2"	"P2"	"B4"	"C3"	4
"P2"	"P3"	"B4"	"C3"	4
"P2"	"P4"	"B4"	"C3"	3
"P3"	"P1"	"B4"	"C3"	10
"P3"	"P2"	"B4"	"C3"	7
"P3"	"P3"	"B4"	"C3"	7
"P3"	"P4"	"B4"	"C3"	3
