"energy"	"weight"	"gen"	"rod"	"damage"	"count"
"E1"	"W1"	"G6"	"R4"	"D1"	5
"E1"	"W1"	"G6"	"R5"	"D1"	15
"E1"	"W1"	"G6"	"R6"	"D1"	19
"E1"	"W1"	"G6"	"R7"	"D1"	18
"E1"	"W1"	"G6"	"R8"	"D1"	18
"E1"	"W2"	"G1"	"R1"	"D1"	5
"E1"	"W2"	"G1"	"R2"	"D1"	6
"E1"	"W2"	"G1"	"R3"	"D1"	5
"E1"	"W2"	"G1"	"R4"	"D1"	2
"E1"	"W2"	"G1"	"R5"	"D1"	16
"E1"	"W2"	"G1"	"R6"	"D1"	15
"E1"	"W2"	"G1"	"R7"	"D1"	9
"E1"	"W2"	"G1"	"R8"	"D1"	0
"E1"	"W2"	"G2"	"R1"	"D1"	5
"E1"	"W2"	"G2"	"R2"	"D1"	13
"E1"	"W2"	"G2"	"R3"	"D1"	5
"E1"	"W2"	"G2"	"R4"	"D1"	0
"E1"	"W2"	"G2"	"R5"	"D1"	10
"E1"	"W2"	"G2"	"R6"	"D1"	10
"E1"	"W2"	"G2"	"R7"	"D1"	11
"E1"	"W2"	"G2"	"R8"	"D1"	13
"E1"	"W2"	"G3"	"R1"	"D1"	6
"E1"	"W2"	"G3"	"R2"	"D1"	12
"E1"	"W2"	"G3"	"R3"	"D1"	10
"E1"	"W2"	"G3"	"R4"	"D1"	2
"E1"	"W2"	"G3"	"R5"	"D1"	16
"E1"	"W2"	"G3"	"R6"	"D1"	14
"E1"	"W2"	"G3"	"R7"	"D1"	16
"E1"	"W2"	"G3"	"R8"	"D1"	16
"E1"	"W2"	"G4"	"R1"	"D1"	4
"E1"	"W2"	"G4"	"R2"	"D1"	17
"E1"	"W2"	"G4"	"R3"	"D1"	10
"E1"	"W2"	"G4"	"R4"	"D1"	4
"E1"	"W2"	"G4"	"R5"	"D1"	18
"E1"	"W2"	"G4"	"R6"	"D1"	19
"E1"	"W2"	"G4"	"R7"	"D1"	20
"E1"	"W2"	"G4"	"R8"	"D1"	20
"E1"	"W2"	"G5"	"R1"	"D1"	10
"E1"	"W2"	"G5"	"R2"	"D1"	19
"E1"	"W2"	"G5"	"R3"	"D1"	14
"E1"	"W2"	"G5"	"R4"	"D1"	7
"E1"	"W2"	"G5"	"R5"	"D1"	15
"E1"	"W2"	"G5"	"R6"	"D1"	19
"E1"	"W2"	"G5"	"R7"	"D1"	17
"E1"	"W2"	"G5"	"R8"	"D1"	18
"E1"	"W2"	"G6"	"R1"	"D1"	6
"E1"	"W2"	"G6"	"R2"	"D1"	18
"E1"	"W2"	"G6"	"R3"	"D1"	13
"E1"	"W2"	"G6"	"R4"	"D1"	0
"E1"	"W2"	"G6"	"R5"	"D1"	16
"E1"	"W2"	"G6"	"R6"	"D1"	19
"E1"	"W2"	"G6"	"R7"	"D1"	17
"E1"	"W2"	"G6"	"R8"	"D1"	15
"E1"	"W3"	"G1"	"R1"	"D1"	0
"E1"	"W3"	"G1"	"R2"	"D1"	7
"E1"	"W3"	"G1"	"R3"	"D1"	1
"E1"	"W3"	"G1"	"R4"	"D1"	4
"E1"	"W3"	"G1"	"R5"	"D1"	15
"E1"	"W3"	"G1"	"R6"	"D1"	11
"E1"	"W3"	"G1"	"R7"	"D1"	11
"E1"	"W3"	"G1"	"R8"	"D1"	17
"E1"	"W3"	"G2"	"R1"	"D1"	9
"E1"	"W3"	"G2"	"R2"	"D1"	18
"E1"	"W3"	"G2"	"R3"	"D1"	13
"E1"	"W3"	"G2"	"R4"	"D1"	0
"E1"	"W3"	"G2"	"R5"	"D1"	16
"E1"	"W3"	"G2"	"R6"	"D1"	15
"E1"	"W3"	"G2"	"R7"	"D1"	14
"E1"	"W3"	"G2"	"R8"	"D1"	12
"E1"	"W3"	"G3"	"R1"	"D1"	3
"E1"	"W3"	"G3"	"R2"	"D1"	10
"E1"	"W3"	"G3"	"R3"	"D1"	8
"E1"	"W3"	"G3"	"R4"	"D1"	3
"E1"	"W3"	"G3"	"R5"	"D1"	16
"E1"	"W3"	"G3"	"R6"	"D1"	15
"E1"	"W3"	"G3"	"R7"	"D1"	15
"E1"	"W3"	"G3"	"R8"	"D1"	16
"E1"	"W3"	"G4"	"R1"	"D1"	10
"E1"	"W3"	"G4"	"R2"	"D1"	16
"E1"	"W3"	"G4"	"R3"	"D1"	15
"E1"	"W3"	"G4"	"R4"	"D1"	5
"E1"	"W3"	"G4"	"R5"	"D1"	17
"E1"	"W3"	"G4"	"R6"	"D1"	16
"E1"	"W3"	"G4"	"R7"	"D1"	17
"E1"	"W3"	"G4"	"R8"	"D1"	17
"E1"	"W3"	"G5"	"R1"	"D1"	0
"E1"	"W3"	"G5"	"R2"	"D1"	0
"E1"	"W3"	"G5"	"R3"	"D1"	16
"E1"	"W3"	"G5"	"R4"	"D1"	11
"E1"	"W3"	"G5"	"R5"	"D1"	0
"E1"	"W3"	"G5"	"R6"	"D1"	0
"E1"	"W3"	"G5"	"R7"	"D1"	0
"E1"	"W3"	"G5"	"R8"	"D1"	0
"E1"	"W3"	"G6"	"R1"	"D1"	7
"E1"	"W3"	"G6"	"R2"	"D1"	17
"E1"	"W3"	"G6"	"R3"	"D1"	8
"E1"	"W3"	"G6"	"R4"	"D1"	0
"E1"	"W3"	"G6"	"R5"	"D1"	0
"E1"	"W3"	"G6"	"R6"	"D1"	0
"E1"	"W3"	"G6"	"R7"	"D1"	0
"E1"	"W3"	"G6"	"R8"	"D1"	16
"E2"	"W1"	"G1"	"R1"	"D1"	2
"E2"	"W1"	"G1"	"R2"	"D1"	8
"E2"	"W1"	"G1"	"R3"	"D1"	3
"E2"	"W1"	"G1"	"R4"	"D1"	0
"E2"	"W1"	"G1"	"R5"	"D1"	9
"E2"	"W1"	"G1"	"R6"	"D1"	5
"E2"	"W1"	"G1"	"R7"	"D1"	9
"E2"	"W1"	"G1"	"R8"	"D1"	19
"E2"	"W1"	"G2"	"R1"	"D1"	0
"E2"	"W1"	"G2"	"R2"	"D1"	6
"E2"	"W1"	"G2"	"R3"	"D1"	1
"E2"	"W1"	"G2"	"R4"	"D1"	0
"E2"	"W1"	"G2"	"R5"	"D1"	6
"E2"	"W1"	"G2"	"R6"	"D1"	16
"E2"	"W1"	"G2"	"R7"	"D1"	11
"E2"	"W1"	"G2"	"R8"	"D1"	11
"E2"	"W1"	"G3"	"R1"	"D1"	1
"E2"	"W1"	"G3"	"R2"	"D1"	10
"E2"	"W1"	"G3"	"R3"	"D1"	2
"E2"	"W1"	"G3"	"R4"	"D1"	1
"E2"	"W1"	"G3"	"R5"	"D1"	14
"E2"	"W1"	"G3"	"R6"	"D1"	11
"E2"	"W1"	"G3"	"R7"	"D1"	14
"E2"	"W1"	"G3"	"R8"	"D1"	12
"E2"	"W1"	"G4"	"R1"	"D1"	0
"E2"	"W1"	"G4"	"R2"	"D1"	8
"E2"	"W1"	"G4"	"R3"	"D1"	2
"E2"	"W1"	"G4"	"R4"	"D1"	1
"E2"	"W1"	"G4"	"R5"	"D1"	10
"E2"	"W1"	"G4"	"R6"	"D1"	17
"E2"	"W1"	"G4"	"R7"	"D1"	15
"E2"	"W1"	"G4"	"R8"	"D1"	19
"E2"	"W1"	"G5"	"R1"	"D1"	3
"E2"	"W1"	"G5"	"R2"	"D1"	9
"E2"	"W1"	"G5"	"R3"	"D1"	1
"E2"	"W1"	"G5"	"R4"	"D1"	2
"E2"	"W1"	"G5"	"R5"	"D1"	16
"E2"	"W1"	"G5"	"R6"	"D1"	15
"E2"	"W1"	"G5"	"R7"	"D1"	18
"E2"	"W1"	"G5"	"R8"	"D1"	19
"E2"	"W1"	"G6"	"R1"	"D1"	2
"E2"	"W1"	"G6"	"R2"	"D1"	10
"E2"	"W1"	"G6"	"R3"	"D1"	7
"E2"	"W1"	"G6"	"R4"	"D1"	2
"E2"	"W1"	"G6"	"R5"	"D1"	7
"E2"	"W1"	"G6"	"R6"	"D1"	17
"E2"	"W1"	"G6"	"R7"	"D1"	10
"E2"	"W1"	"G6"	"R8"	"D1"	18
"E2"	"W2"	"G1"	"R1"	"D1"	2
"E2"	"W2"	"G1"	"R2"	"D1"	5
"E2"	"W2"	"G1"	"R3"	"D1"	2
"E2"	"W2"	"G1"	"R4"	"D1"	0
"E2"	"W2"	"G1"	"R5"	"D1"	9
"E2"	"W2"	"G1"	"R6"	"D1"	12
"E2"	"W2"	"G1"	"R7"	"D1"	5
"E2"	"W2"	"G1"	"R8"	"D1"	17
"E2"	"W2"	"G2"	"R1"	"D1"	1
"E2"	"W2"	"G2"	"R2"	"D1"	5
"E2"	"W2"	"G2"	"R3"	"D1"	3
"E2"	"W2"	"G2"	"R4"	"D1"	0
"E2"	"W2"	"G2"	"R5"	"D1"	7
"E2"	"W2"	"G2"	"R6"	"D1"	11
"E2"	"W2"	"G2"	"R7"	"D1"	15
"E2"	"W2"	"G2"	"R8"	"D1"	13
"E2"	"W2"	"G3"	"R1"	"D1"	0
"E2"	"W2"	"G3"	"R2"	"D1"	9
"E2"	"W2"	"G3"	"R3"	"D1"	2
"E2"	"W2"	"G3"	"R4"	"D1"	0
"E2"	"W2"	"G3"	"R5"	"D1"	13
"E2"	"W2"	"G3"	"R6"	"D1"	15
"E2"	"W2"	"G3"	"R7"	"D1"	16
"E2"	"W2"	"G3"	"R8"	"D1"	18
"E2"	"W2"	"G4"	"R1"	"D1"	0
"E2"	"W2"	"G4"	"R2"	"D1"	10
"E2"	"W2"	"G4"	"R3"	"D1"	9
"E2"	"W2"	"G4"	"R4"	"D1"	0
"E2"	"W2"	"G4"	"R5"	"D1"	15
"E2"	"W2"	"G4"	"R6"	"D1"	18
"E2"	"W2"	"G4"	"R7"	"D1"	20
"E2"	"W2"	"G4"	"R8"	"D1"	17
"E2"	"W2"	"G5"	"R1"	"D1"	3
"E2"	"W2"	"G5"	"R2"	"D1"	8
"E2"	"W2"	"G5"	"R3"	"D1"	4
"E2"	"W2"	"G5"	"R4"	"D1"	2
"E2"	"W2"	"G5"	"R5"	"D1"	17
"E2"	"W2"	"G5"	"R6"	"D1"	19
"E2"	"W2"	"G5"	"R7"	"D1"	18
"E2"	"W2"	"G5"	"R8"	"D1"	19
"E2"	"W2"	"G6"	"R1"	"D1"	4
"E2"	"W2"	"G6"	"R2"	"D1"	14
"E2"	"W2"	"G6"	"R3"	"D1"	2
"E2"	"W2"	"G6"	"R4"	"D1"	0
"E2"	"W2"	"G6"	"R5"	"D1"	11
"E2"	"W2"	"G6"	"R6"	"D1"	18
"E2"	"W2"	"G6"	"R7"	"D1"	14
"E2"	"W2"	"G6"	"R8"	"D1"	19
"E2"	"W3"	"G1"	"R1"	"D1"	10
"E2"	"W3"	"G1"	"R2"	"D1"	4
"E2"	"W3"	"G1"	"R3"	"D1"	3
"E2"	"W3"	"G1"	"R4"	"D1"	0
"E2"	"W3"	"G1"	"R5"	"D1"	0
"E2"	"W3"	"G1"	"R6"	"D1"	7
"E2"	"W3"	"G1"	"R7"	"D1"	4
"E2"	"W3"	"G1"	"R8"	"D1"	19
"E2"	"W3"	"G2"	"R1"	"D1"	1
"E2"	"W3"	"G2"	"R2"	"D1"	7
"E2"	"W3"	"G2"	"R3"	"D1"	7
"E2"	"W3"	"G2"	"R4"	"D1"	2
"E2"	"W3"	"G2"	"R5"	"D1"	8
"E2"	"W3"	"G2"	"R6"	"D1"	14
"E2"	"W3"	"G2"	"R7"	"D1"	16
"E2"	"W3"	"G2"	"R8"	"D1"	13
"E2"	"W3"	"G3"	"R1"	"D1"	2
"E2"	"W3"	"G3"	"R2"	"D1"	10
"E2"	"W3"	"G3"	"R3"	"D1"	3
"E2"	"W3"	"G3"	"R4"	"D1"	1
"E2"	"W3"	"G3"	"R5"	"D1"	13
"E2"	"W3"	"G3"	"R6"	"D1"	13
"E2"	"W3"	"G3"	"R7"	"D1"	12
"E2"	"W3"	"G3"	"R8"	"D1"	14
"E2"	"W3"	"G4"	"R1"	"D1"	3
"E2"	"W3"	"G4"	"R2"	"D1"	12
"E2"	"W3"	"G4"	"R3"	"D1"	7
"E2"	"W3"	"G4"	"R4"	"D1"	0
"E2"	"W3"	"G4"	"R5"	"D1"	16
"E2"	"W3"	"G4"	"R6"	"D1"	18
"E2"	"W3"	"G4"	"R7"	"D1"	14
"E2"	"W3"	"G4"	"R8"	"D1"	20
"E2"	"W3"	"G5"	"R1"	"D1"	5
"E2"	"W3"	"G5"	"R2"	"D1"	12
"E2"	"W3"	"G5"	"R3"	"D1"	7
"E2"	"W3"	"G5"	"R4"	"D1"	6
"E2"	"W3"	"G5"	"R5"	"D1"	16
"E2"	"W3"	"G5"	"R6"	"D1"	17
"E2"	"W3"	"G5"	"R7"	"D1"	18
"E2"	"W3"	"G5"	"R8"	"D1"	17
"E2"	"W3"	"G6"	"R1"	"D1"	3
"E2"	"W3"	"G6"	"R2"	"D1"	13
"E2"	"W3"	"G6"	"R3"	"D1"	2
"E2"	"W3"	"G6"	"R4"	"D1"	4
"E2"	"W3"	"G6"	"R5"	"D1"	6
"E2"	"W3"	"G6"	"R6"	"D1"	18
"E2"	"W3"	"G6"	"R7"	"D1"	15
"E2"	"W3"	"G6"	"R8"	"D1"	19
"E1"	"W1"	"G1"	"R1"	"D2"	14
"E1"	"W1"	"G1"	"R2"	"D2"	11
"E1"	"W1"	"G1"	"R3"	"D2"	13
"E1"	"W1"	"G1"	"R4"	"D2"	9
"E1"	"W1"	"G1"	"R5"	"D2"	8
"E1"	"W1"	"G1"	"R6"	"D2"	5
"E1"	"W1"	"G1"	"R7"	"D2"	12
"E1"	"W1"	"G1"	"R8"	"D2"	4
"E1"	"W1"	"G2"	"R1"	"D2"	5
"E1"	"W1"	"G2"	"R2"	"D2"	3
"E1"	"W1"	"G2"	"R3"	"D2"	10
"E1"	"W1"	"G2"	"R4"	"D2"	3
"E1"	"W1"	"G2"	"R5"	"D2"	3
"E1"	"W1"	"G2"	"R6"	"D2"	3
"E1"	"W1"	"G2"	"R7"	"D2"	9
"E1"	"W1"	"G2"	"R8"	"D2"	10
"E1"	"W1"	"G3"	"R1"	"D2"	2
"E1"	"W1"	"G3"	"R2"	"D2"	1
"E1"	"W1"	"G3"	"R3"	"D2"	7
"E1"	"W1"	"G3"	"R4"	"D2"	4
"E1"	"W1"	"G3"	"R5"	"D2"	7
"E1"	"W1"	"G3"	"R6"	"D2"	3
"E1"	"W1"	"G3"	"R7"	"D2"	0
"E1"	"W1"	"G3"	"R8"	"D2"	2
"E1"	"W1"	"G4"	"R1"	"D2"	9
"E1"	"W1"	"G4"	"R2"	"D2"	8
"E1"	"W1"	"G4"	"R3"	"D2"	10
"E1"	"W1"	"G4"	"R4"	"D2"	8
"E1"	"W1"	"G4"	"R5"	"D2"	2
"E1"	"W1"	"G4"	"R6"	"D2"	2
"E1"	"W1"	"G4"	"R7"	"D2"	1
"E1"	"W1"	"G4"	"R8"	"D2"	3
"E1"	"W1"	"G5"	"R1"	"D2"	10
"E1"	"W1"	"G5"	"R2"	"D2"	2
"E1"	"W1"	"G5"	"R3"	"D2"	5
"E1"	"W1"	"G5"	"R4"	"D2"	7
"E1"	"W1"	"G5"	"R5"	"D2"	4
"E1"	"W1"	"G5"	"R6"	"D2"	0
"E1"	"W1"	"G5"	"R7"	"D2"	0
"E1"	"W1"	"G5"	"R8"	"D2"	0
"E1"	"W1"	"G6"	"R1"	"D2"	14
"E1"	"W1"	"G6"	"R2"	"D2"	2
"E1"	"W1"	"G6"	"R3"	"D2"	14
"E1"	"W1"	"G6"	"R4"	"D2"	14
"E1"	"W1"	"G6"	"R5"	"D2"	5
"E1"	"W1"	"G6"	"R6"	"D2"	1
"E1"	"W1"	"G6"	"R7"	"D2"	2
"E1"	"W1"	"G6"	"R8"	"D2"	2
"E1"	"W2"	"G1"	"R1"	"D2"	31
"E1"	"W2"	"G1"	"R2"	"D2"	11
"E1"	"W2"	"G1"	"R3"	"D2"	13
"E1"	"W2"	"G1"	"R4"	"D2"	11
"E1"	"W2"	"G1"	"R5"	"D2"	4
"E1"	"W2"	"G1"	"R6"	"D2"	5
"E1"	"W2"	"G1"	"R7"	"D2"	7
"E1"	"W2"	"G1"	"R8"	"D2"	0
"E1"	"W2"	"G2"	"R1"	"D2"	7
"E1"	"W2"	"G2"	"R2"	"D2"	6
"E1"	"W2"	"G2"	"R3"	"D2"	12
"E1"	"W2"	"G2"	"R4"	"D2"	8
"E1"	"W2"	"G2"	"R5"	"D2"	9
"E1"	"W2"	"G2"	"R6"	"D2"	7
"E1"	"W2"	"G2"	"R7"	"D2"	6
"E1"	"W2"	"G2"	"R8"	"D2"	6
"E1"	"W2"	"G3"	"R1"	"D2"	8
"E1"	"W2"	"G3"	"R2"	"D2"	6
"E1"	"W2"	"G3"	"R3"	"D2"	8
"E1"	"W2"	"G3"	"R4"	"D2"	6
"E1"	"W2"	"G3"	"R5"	"D2"	4
"E1"	"W2"	"G3"	"R6"	"D2"	5
"E1"	"W2"	"G3"	"R7"	"D2"	3
"E1"	"W2"	"G3"	"R8"	"D2"	3
"E1"	"W2"	"G4"	"R1"	"D2"	11
"E1"	"W2"	"G4"	"R2"	"D2"	2
"E1"	"W2"	"G4"	"R3"	"D2"	9
"E1"	"W2"	"G4"	"R4"	"D2"	8
"E1"	"W2"	"G4"	"R5"	"D2"	2
"E1"	"W2"	"G4"	"R6"	"D2"	1
"E1"	"W2"	"G4"	"R7"	"D2"	0
"E1"	"W2"	"G4"	"R8"	"D2"	0
"E1"	"W2"	"G5"	"R1"	"D2"	10
"E1"	"W2"	"G5"	"R2"	"D2"	1
"E1"	"W2"	"G5"	"R3"	"D2"	6
"E1"	"W2"	"G5"	"R4"	"D2"	11
"E1"	"W2"	"G5"	"R5"	"D2"	4
"E1"	"W2"	"G5"	"R6"	"D2"	1
"E1"	"W2"	"G5"	"R7"	"D2"	2
"E1"	"W2"	"G5"	"R8"	"D2"	2
"E1"	"W2"	"G6"	"R1"	"D2"	13
"E1"	"W2"	"G6"	"R2"	"D2"	2
"E1"	"W2"	"G6"	"R3"	"D2"	7
"E1"	"W2"	"G6"	"R4"	"D2"	15
"E1"	"W2"	"G6"	"R5"	"D2"	3
"E1"	"W2"	"G6"	"R6"	"D2"	1
"E1"	"W2"	"G6"	"R7"	"D2"	3
"E1"	"W2"	"G6"	"R8"	"D2"	4
"E1"	"W3"	"G1"	"R1"	"D2"	0
"E1"	"W3"	"G1"	"R2"	"D2"	10
"E1"	"W3"	"G1"	"R3"	"D2"	19
"E1"	"W3"	"G1"	"R4"	"D2"	13
"E1"	"W3"	"G1"	"R5"	"D2"	4
"E1"	"W3"	"G1"	"R6"	"D2"	4
"E1"	"W3"	"G1"	"R7"	"D2"	9
"E1"	"W3"	"G1"	"R8"	"D2"	2
"E1"	"W3"	"G2"	"R1"	"D2"	7
"E1"	"W3"	"G2"	"R2"	"D2"	2
"E1"	"W3"	"G2"	"R3"	"D2"	6
"E1"	"W3"	"G2"	"R4"	"D2"	9
"E1"	"W3"	"G2"	"R5"	"D2"	2
"E1"	"W3"	"G2"	"R6"	"D2"	3
"E1"	"W3"	"G2"	"R7"	"D2"	5
"E1"	"W3"	"G2"	"R8"	"D2"	3
"E1"	"W3"	"G3"	"R1"	"D2"	15
"E1"	"W3"	"G3"	"R2"	"D2"	6
"E1"	"W3"	"G3"	"R3"	"D2"	9
"E1"	"W3"	"G3"	"R4"	"D2"	5
"E1"	"W3"	"G3"	"R5"	"D2"	3
"E1"	"W3"	"G3"	"R6"	"D2"	5
"E1"	"W3"	"G3"	"R7"	"D2"	5
"E1"	"W3"	"G3"	"R8"	"D2"	4
"E1"	"W3"	"G4"	"R1"	"D2"	9
"E1"	"W3"	"G4"	"R2"	"D2"	3
"E1"	"W3"	"G4"	"R3"	"D2"	4
"E1"	"W3"	"G4"	"R4"	"D2"	11
"E1"	"W3"	"G4"	"R5"	"D2"	2
"E1"	"W3"	"G4"	"R6"	"D2"	2
"E1"	"W3"	"G4"	"R7"	"D2"	2
"E1"	"W3"	"G4"	"R8"	"D2"	2
"E1"	"W3"	"G5"	"R1"	"D2"	0
"E1"	"W3"	"G5"	"R2"	"D2"	0
"E1"	"W3"	"G5"	"R3"	"D2"	4
"E1"	"W3"	"G5"	"R4"	"D2"	8
"E1"	"W3"	"G5"	"R5"	"D2"	0
"E1"	"W3"	"G5"	"R6"	"D2"	0
"E1"	"W3"	"G5"	"R7"	"D2"	0
"E1"	"W3"	"G5"	"R8"	"D2"	0
"E1"	"W3"	"G6"	"R1"	"D2"	13
"E1"	"W3"	"G6"	"R2"	"D2"	3
"E1"	"W3"	"G6"	"R3"	"D2"	11
"E1"	"W3"	"G6"	"R4"	"D2"	0
"E1"	"W3"	"G6"	"R5"	"D2"	0
"E1"	"W3"	"G6"	"R6"	"D2"	0
"E1"	"W3"	"G6"	"R7"	"D2"	0
"E1"	"W3"	"G6"	"R8"	"D2"	4
"E2"	"W1"	"G1"	"R1"	"D2"	5
"E2"	"W1"	"G1"	"R2"	"D2"	11
"E2"	"W1"	"G1"	"R3"	"D2"	7
"E2"	"W1"	"G1"	"R4"	"D2"	0
"E2"	"W1"	"G1"	"R5"	"D2"	6
"E2"	"W1"	"G1"	"R6"	"D2"	12
"E2"	"W1"	"G1"	"R7"	"D2"	9
"E2"	"W1"	"G1"	"R8"	"D2"	0
"E2"	"W1"	"G2"	"R1"	"D2"	5
"E2"	"W1"	"G2"	"R2"	"D2"	9
"E2"	"W1"	"G2"	"R3"	"D2"	6
"E2"	"W1"	"G2"	"R4"	"D2"	3
"E2"	"W1"	"G2"	"R5"	"D2"	12
"E2"	"W1"	"G2"	"R6"	"D2"	3
"E2"	"W1"	"G2"	"R7"	"D2"	6
"E2"	"W1"	"G2"	"R8"	"D2"	6
"E2"	"W1"	"G3"	"R1"	"D2"	2
"E2"	"W1"	"G3"	"R2"	"D2"	5
"E2"	"W1"	"G3"	"R3"	"D2"	2
"E2"	"W1"	"G3"	"R4"	"D2"	0
"E2"	"W1"	"G3"	"R5"	"D2"	5
"E2"	"W1"	"G3"	"R6"	"D2"	6
"E2"	"W1"	"G3"	"R7"	"D2"	5
"E2"	"W1"	"G3"	"R8"	"D2"	4
"E2"	"W1"	"G4"	"R1"	"D2"	1
"E2"	"W1"	"G4"	"R2"	"D2"	6
"E2"	"W1"	"G4"	"R3"	"D2"	2
"E2"	"W1"	"G4"	"R4"	"D2"	0
"E2"	"W1"	"G4"	"R5"	"D2"	9
"E2"	"W1"	"G4"	"R6"	"D2"	0
"E2"	"W1"	"G4"	"R7"	"D2"	5
"E2"	"W1"	"G4"	"R8"	"D2"	0
"E2"	"W1"	"G5"	"R1"	"D2"	9
"E2"	"W1"	"G5"	"R2"	"D2"	10
"E2"	"W1"	"G5"	"R3"	"D2"	7
"E2"	"W1"	"G5"	"R4"	"D2"	4
"E2"	"W1"	"G5"	"R5"	"D2"	3
"E2"	"W1"	"G5"	"R6"	"D2"	4
"E2"	"W1"	"G5"	"R7"	"D2"	0
"E2"	"W1"	"G5"	"R8"	"D2"	1
"E2"	"W1"	"G6"	"R1"	"D2"	8
"E2"	"W1"	"G6"	"R2"	"D2"	10
"E2"	"W1"	"G6"	"R3"	"D2"	6
"E2"	"W1"	"G6"	"R4"	"D2"	4
"E2"	"W1"	"G6"	"R5"	"D2"	10
"E2"	"W1"	"G6"	"R6"	"D2"	3
"E2"	"W1"	"G6"	"R7"	"D2"	9
"E2"	"W1"	"G6"	"R8"	"D2"	2
"E2"	"W2"	"G1"	"R1"	"D2"	12
"E2"	"W2"	"G1"	"R2"	"D2"	12
"E2"	"W2"	"G1"	"R3"	"D2"	10
"E2"	"W2"	"G1"	"R4"	"D2"	2
"E2"	"W2"	"G1"	"R5"	"D2"	9
"E2"	"W2"	"G1"	"R6"	"D2"	6
"E2"	"W2"	"G1"	"R7"	"D2"	12
"E2"	"W2"	"G1"	"R8"	"D2"	1
"E2"	"W2"	"G2"	"R1"	"D2"	4
"E2"	"W2"	"G2"	"R2"	"D2"	11
"E2"	"W2"	"G2"	"R3"	"D2"	6
"E2"	"W2"	"G2"	"R4"	"D2"	1
"E2"	"W2"	"G2"	"R5"	"D2"	9
"E2"	"W2"	"G2"	"R6"	"D2"	6
"E2"	"W2"	"G2"	"R7"	"D2"	2
"E2"	"W2"	"G2"	"R8"	"D2"	6
"E2"	"W2"	"G3"	"R1"	"D2"	0
"E2"	"W2"	"G3"	"R2"	"D2"	2
"E2"	"W2"	"G3"	"R3"	"D2"	5
"E2"	"W2"	"G3"	"R4"	"D2"	0
"E2"	"W2"	"G3"	"R5"	"D2"	5
"E2"	"W2"	"G3"	"R6"	"D2"	4
"E2"	"W2"	"G3"	"R7"	"D2"	3
"E2"	"W2"	"G3"	"R8"	"D2"	2
"E2"	"W2"	"G4"	"R1"	"D2"	3
"E2"	"W2"	"G4"	"R2"	"D2"	9
"E2"	"W2"	"G4"	"R3"	"D2"	11
"E2"	"W2"	"G4"	"R4"	"D2"	5
"E2"	"W2"	"G4"	"R5"	"D2"	4
"E2"	"W2"	"G4"	"R6"	"D2"	2
"E2"	"W2"	"G4"	"R7"	"D2"	0
"E2"	"W2"	"G4"	"R8"	"D2"	2
"E2"	"W2"	"G5"	"R1"	"D2"	11
"E2"	"W2"	"G5"	"R2"	"D2"	11
"E2"	"W2"	"G5"	"R3"	"D2"	14
"E2"	"W2"	"G5"	"R4"	"D2"	3
