"gen"	"env"	"rep"	"y"
"G17"	"PG"	"R1"	0.01
"G17"	"PG"	"R2"	1e-04
"G17"	"GS"	"R1"	1e-04
"G17"	"GS"	"R2"	0.01
"G17"	"PM"	"R1"	1e-04
"G17"	"PM"	"R2"	0.01
"G17"	"SP"	"R1"	1e-04
"G17"	"SP"	"R2"	1e-04
"G17"	"JT"	"R1"	0.01
"G17"	"JT"	"R2"	0.01
"G17"	"GO"	"R1"	1e-04
"G17"	"GO"	"R2"	0.01
"G17"	"PL"	"R1"	1e-04
"G17"	"PL"	"R2"	1e-04
"G23"	"LD"	"R1"	0.01
"G23"	"LD"	"R2"	1e-04
"G23"	"CM"	"R1"	0.8
"G23"	"CM"	"R2"	0.6
"G23"	"PG"	"R1"	0.01
"G23"	"PG"	"R2"	0.1
"G23"	"GS"	"R1"	0.01
"G23"	"GS"	"R2"	1e-04
"G23"	"PM"	"R1"	1e-04
"G23"	"PM"	"R2"	0.01
"G23"	"SP"	"R1"	0.01
"G23"	"SP"	"R2"	1e-04
"G23"	"JT"	"R1"	0.01
"G23"	"JT"	"R2"	0.1
"G23"	"GO"	"R1"	1e-04
"G23"	"GO"	"R2"	1e-04
"G23"	"PL"	"R1"	1e-04
"G23"	"PL"	"R2"	0.01
"G24"	"LD"	"R1"	1e-04
"G24"	"LD"	"R2"	0.01
"G24"	"CM"	"R1"	0.6
"G24"	"CM"	"R2"	0.6
"G24"	"PG"	"R1"	0.1
"G24"	"PG"	"R2"	0.1
"G24"	"GS"	"R1"	0.01
"G24"	"GS"	"R2"	1e-04
"G24"	"PM"	"R1"	0.1
"G24"	"PM"	"R2"	0.01
"G24"	"SP"	"R1"	0.01
"G24"	"SP"	"R2"	1e-04
"G24"	"JT"	"R1"	0.01
"G24"	"JT"	"R2"	0.01
"G24"	"GO"	"R1"	1e-04
"G24"	"GO"	"R2"	1e-04
"G24"	"PL"	"R1"	1e-04
"G24"	"PL"	"R2"	0.01
"G19"	"LD"	"R1"	0.01
"G19"	"LD"	"R2"	1e-04
"G19"	"CM"	"R1"	0.8
"G19"	"CM"	"R2"	0.6
"G19"	"PG"	"R1"	0.01
"G19"	"PG"	"R2"	0.01
"G19"	"GS"	"R1"	0.01
"G19"	"GS"	"R2"	0.1
"G19"	"PM"	"R1"	0.4
"G19"	"PM"	"R2"	0.1
"G19"	"SP"	"R1"	0.01
"G19"	"SP"	"R2"	1e-04
"G19"	"JT"	"R1"	0.01
"G19"	"JT"	"R2"	0.01
"G19"	"GO"	"R1"	1e-04
"G19"	"GO"	"R2"	1e-04
"G19"	"PL"	"R1"	0.2
"G19"	"PL"	"R2"	0.1
"G28"	"LD"	"R1"	0.01
"G28"	"LD"	"R2"	1e-04
"G28"	"CM"	"R1"	0.8
"G28"	"CM"	"R2"	0.8
"G28"	"PG"	"R1"	0.01
"G28"	"PG"	"R2"	0.1
"G28"	"GS"	"R1"	0.01
"G28"	"GS"	"R2"	1e-04
"G28"	"PM"	"R1"	0.1
"G28"	"PM"	"R2"	0.1
"G28"	"SP"	"R1"	0.2
"G28"	"SP"	"R2"	0.2
"G28"	"JT"	"R1"	0.3
"G28"	"JT"	"R2"	0.1
"G28"	"GO"	"R1"	1e-04
"G28"	"GO"	"R2"	0.2
"G28"	"PL"	"R1"	0.4
"G28"	"PL"	"R2"	0.2
"G29"	"LD"	"R1"	0.1
"G29"	"LD"	"R2"	0.1
"G29"	"CM"	"R1"	0.95
"G29"	"CM"	"R2"	0.95
"G29"	"PG"	"R1"	0.1
"G29"	"PG"	"R2"	0.1
"G29"	"GS"	"R1"	0.01
"G29"	"GS"	"R2"	1e-04
"G29"	"PM"	"R1"	0.4
"G29"	"PM"	"R2"	0.4
"G29"	"SP"	"R1"	0.2
"G29"	"SP"	"R2"	0.4
"G29"	"JT"	"R1"	0.4
"G29"	"JT"	"R2"	0.6
"G29"	"GO"	"R1"	0.3
"G29"	"GO"	"R2"	0.4
"G29"	"PL"	"R1"	0.4
"G29"	"PL"	"R2"	0.4
"G30"	"LD"	"R1"	0.01
"G30"	"LD"	"R2"	0.01
"G30"	"CM"	"R1"	0.4
"G30"	"CM"	"R2"	0.8
"G30"	"PG"	"R1"	0.1
"G30"	"PG"	"R2"	0.01
"G30"	"GS"	"R1"	0.01
"G30"	"GS"	"R2"	0.01
"G30"	"PM"	"R1"	0.1
"G30"	"PM"	"R2"	0.01
"G30"	"SP"	"R1"	0.01
"G30"	"SP"	"R2"	1e-04
"G30"	"JT"	"R1"	0.01
"G30"	"JT"	"R2"	0.01
"G30"	"GO"	"R1"	0.1
"G30"	"GO"	"R2"	0.01
"G30"	"PL"	"R1"	1e-04
"G30"	"PL"	"R2"	1e-04
"G31"	"LD"	"R1"	0.1
"G31"	"LD"	"R2"	1e-04
"G31"	"CM"	"R1"	0.6
"G31"	"CM"	"R2"	0.8
"G31"	"PG"	"R1"	0.1
"G31"	"PG"	"R2"	0.01
"G31"	"GS"	"R1"	0.01
"G31"	"GS"	"R2"	1e-04
"G31"	"PM"	"R1"	0.2
"G31"	"PM"	"R2"	0.01
"G31"	"SP"	"R1"	0.1
"G31"	"SP"	"R2"	0.01
"G31"	"JT"	"R1"	0.01
"G31"	"JT"	"R2"	1e-04
"G31"	"GO"	"R1"	0.2
"G31"	"GO"	"R2"	0.2
"G31"	"PL"	"R1"	0.01
"G31"	"PL"	"R2"	0.01
"G32"	"LD"	"R1"	0.01
"G32"	"LD"	"R2"	0.01
"G32"	"CM"	"R1"	0.1
"G32"	"CM"	"R2"	0.1
"G32"	"PG"	"R1"	0.01
"G32"	"PG"	"R2"	1e-04
"G32"	"GS"	"R1"	0.01
"G32"	"GS"	"R2"	0.01
"G32"	"PM"	"R1"	0.3
"G32"	"PM"	"R2"	0.01
"G32"	"SP"	"R1"	0.01
"G32"	"SP"	"R2"	0.01
"G32"	"JT"	"R1"	0.01
"G32"	"JT"	"R2"	1e-04
"G32"	"GO"	"R1"	1e-04
"G32"	"GO"	"R2"	0.1
"G32"	"PL"	"R1"	1e-04
"G32"	"PL"	"R2"	1e-04
"G33"	"LD"	"R1"	0.01
"G33"	"LD"	"R2"	1e-04
"G33"	"CM"	"R1"	0.6
"G33"	"CM"	"R2"	0.4
"G33"	"PG"	"R1"	1e-04
"G33"	"PG"	"R2"	0.01
"G33"	"GS"	"R1"	1e-04
"G33"	"GS"	"R2"	1e-04
"G33"	"PM"	"R1"	0.1
"G33"	"PM"	"R2"	0.1
"G33"	"SP"	"R1"	0.01
"G33"	"SP"	"R2"	1e-04
"G33"	"JT"	"R1"	0.2
"G33"	"JT"	"R2"	0.2
"G33"	"GO"	"R1"	1e-04
"G33"	"GO"	"R2"	0.1
"G33"	"PL"	"R1"	0.01
"G33"	"PL"	"R2"	1e-04
"G13"	"LD"	"R1"	0.01
"G13"	"LD"	"R2"	0.1
"G13"	"CM"	"R1"	0.6
"G13"	"CM"	"R2"	0.6
"G13"	"PG"	"R1"	0.1
"G13"	"PG"	"R2"	0.1
"G13"	"GS"	"R1"	0.01
"G13"	"GS"	"R2"	0.01
"G13"	"PM"	"R1"	0.1
"G13"	"PM"	"R2"	0.1
"G13"	"SP"	"R1"	0.01
"G13"	"SP"	"R2"	0.01
"G13"	"JT"	"R1"	0.1
"G13"	"JT"	"R2"	0.01
"G13"	"GO"	"R1"	1e-04
"G13"	"GO"	"R2"	1e-04
"G13"	"PL"	"R1"	0.01
"G13"	"PL"	"R2"	1e-04
"G05"	"LD"	"R1"	1e-04
"G05"	"LD"	"R2"	1e-04
"G05"	"CM"	"R1"	0.3
"G05"	"CM"	"R2"	0.1
"G05"	"PG"	"R1"	0.1
"G05"	"PG"	"R2"	0.01
"G05"	"GS"	"R1"	0.01
"G05"	"GS"	"R2"	1e-04
"G05"	"PM"	"R1"	0.1
"G05"	"PM"	"R2"	0.01
"G05"	"SP"	"R1"	1e-04
"G05"	"SP"	"R2"	1e-04
"G05"	"JT"	"R1"	1e-04
"G05"	"JT"	"R2"	1e-04
"G05"	"GO"	"R1"	1e-04
"G05"	"GO"	"R2"	1e-04
"G05"	"PL"	"R1"	1e-04
"G05"	"PL"	"R2"	1e-04
"G06"	"LD"	"R1"	1e-04
"G06"	"LD"	"R2"	1e-04
"G06"	"CM"	"R1"	0.4
"G06"	"CM"	"R2"	0.3
"G06"	"PG"	"R1"	0.1
"G06"	"PG"	"R2"	0.01
"G06"	"GS"	"R1"	1e-04
"G06"	"GS"	"R2"	0.01
"G06"	"PM"	"R1"	0.1
"G06"	"PM"	"R2"	0.01
"G06"	"SP"	"R1"	1e-04
"G06"	"SP"	"R2"	0.01
"G06"	"JT"	"R1"	1e-04
"G06"	"JT"	"R2"	1e-04
"G06"	"GO"	"R1"	1e-04
"G06"	"GO"	"R2"	1e-04
"G06"	"PL"	"R1"	1e-04
"G06"	"PL"	"R2"	1e-04
"G35"	"LD"	"R1"	0.1
"G35"	"LD"	"R2"	0.1
"G35"	"CM"	"R1"	0.8
"G35"	"CM"	"R2"	0.8
"G35"	"PG"	"R1"	0.01
"G35"	"PG"	"R2"	0.1
"G35"	"GS"	"R1"	0.01
"G35"	"GS"	"R2"	1e-04
"G35"	"PM"	"R1"	0.4
"G35"	"PM"	"R2"	0.4
"G35"	"SP"	"R1"	0.01
"G35"	"SP"	"R2"	0.2
"G35"	"JT"	"R1"	0.01
"G35"	"JT"	"R2"	0.01
"G35"	"GO"	"R1"	0.3
"G35"	"GO"	"R2"	0.4
"G35"	"PL"	"R1"	0.01
"G35"	"PL"	"R2"	0.01
"G07"	"LD"	"R1"	0.01
"G07"	"LD"	"R2"	0.01
"G07"	"CM"	"R1"	0.2
"G07"	"CM"	"R2"	0.1
"G07"	"PG"	"R1"	0.01
"G07"	"PG"	"R2"	0.01
"G07"	"GS"	"R1"	1e-04
"G07"	"GS"	"R2"	0.01
"G07"	"PM"	"R1"	0.1
"G07"	"PM"	"R2"	0.01
"G07"	"SP"	"R1"	0.01
"G07"	"SP"	"R2"	0.01
"G07"	"JT"	"R1"	0.01
"G07"	"JT"	"R2"	1e-04
"G07"	"GO"	"R1"	1e-04
"G07"	"GO"	"R2"	0.01
"G07"	"PL"	"R1"	1e-04
"G07"	"PL"	"R2"	1e-04
"G08"	"LD"	"R1"	0.01
"G08"	"LD"	"R2"	1e-04
"G08"	"CM"	"R1"	0.1
"G08"	"CM"	"R2"	0.1
"G08"	"PG"	"R1"	0.01
"G08"	"PG"	"R2"	0.01
"G08"	"GS"	"R1"	0.01
"G08"	"GS"	"R2"	0.01
"G08"	"PM"	"R1"	0.01
"G08"	"PM"	"R2"	0.01
"G08"	"SP"	"R1"	1e-04
"G08"	"SP"	"R2"	1e-04
"G08"	"JT"	"R1"	0.01
"G08"	"JT"	"R2"	1e-04
"G08"	"GO"	"R1"	1e-04
"G08"	"GO"	"R2"	1e-04
"G08"	"PL"	"R1"	1e-04
"G08"	"PL"	"R2"	1e-04
"G09"	"LD"	"R1"	1e-04
"G09"	"LD"	"R2"	0.01
"G09"	"CM"	"R1"	0.1
"G09"	"CM"	"R2"	0.1
"G09"	"PG"	"R1"	0.01
"G09"	"PG"	"R2"	0.01
"G09"	"GS"	"R1"	1e-04
"G09"	"GS"	"R2"	1e-04
"G09"	"PM"	"R1"	0.01
"G09"	"PM"	"R2"	0.01
"G09"	"SP"	"R1"	1e-04
"G09"	"SP"	"R2"	0.01
"G09"	"JT"	"R1"	1e-04
"G09"	"JT"	"R2"	1e-04
"G09"	"GO"	"R1"	1e-04
"G09"	"GO"	"R2"	1e-04
"G09"	"PL"	"R1"	1e-04
"G09"	"PL"	"R2"	1e-04
"G10"	"LD"	"R1"	1e-04
"G10"	"LD"	"R2"	0.01
"G10"	"CM"	"R1"	0.01
"G10"	"CM"	"R2"	0.01
"G10"	"PG"	"R1"	0.1
"G10"	"PG"	"R2"	1e-04
"G10"	"GS"	"R1"	1e-04
"G10"	"GS"	"R2"	0.01
"G10"	"PM"	"R1"	0.01
"G10"	"PM"	"R2"	0.01
"G10"	"SP"	"R1"	1e-04
"G10"	"SP"	"R2"	1e-04
"G10"	"JT"	"R1"	1e-04
"G10"	"JT"	"R2"	1e-04
"G10"	"GO"	"R1"	1e-04
"G10"	"GO"	"R2"	1e-04
"G10"	"PL"	"R1"	1e-04
"G10"	"PL"	"R2"	1e-04
"G11"	"LD"	"R1"	1e-04
"G11"	"LD"	"R2"	0.01
"G11"	"CM"	"R1"	0.1
"G11"	"CM"	"R2"	0.1
"G11"	"PG"	"R1"	0.01
"G11"	"PG"	"R2"	1e-04
"G11"	"GS"	"R1"	1e-04
"G11"	"GS"	"R2"	0.01
"G11"	"PM"	"R1"	0.01
"G11"	"PM"	"R2"	0.01
"G11"	"SP"	"R1"	1e-04
"G11"	"SP"	"R2"	1e-04
"G11"	"JT"	"R1"	1e-04
"G11"	"JT"	"R2"	1e-04
"G11"	"GO"	"R1"	1e-04
"G11"	"GO"	"R2"	0.01
"G11"	"PL"	"R1"	1e-04
"G11"	"PL"	"R2"	1e-04
"G12"	"LD"	"R1"	1e-04
"G12"	"LD"	"R2"	1e-04
"G12"	"CM"	"R1"	0.1
"G12"	"CM"	"R2"	0.1
"G12"	"PG"	"R1"	0.01
"G12"	"PG"	"R2"	0.1
"G12"	"GS"	"R1"	1e-04
"G12"	"GS"	"R2"	1e-04
"G12"	"PM"	"R1"	0.01
"G12"	"PM"	"R2"	0.01
"G12"	"SP"	"R1"	1e-04
"G12"	"SP"	"R2"	1e-04
"G12"	"JT"	"R1"	1e-04
"G12"	"JT"	"R2"	1e-04
"G12"	"GO"	"R1"	1e-04
"G12"	"GO"	"R2"	1e-04
"G12"	"PL"	"R1"	1e-04
"G12"	"PL"	"R2"	1e-04
"G18"	"LD"	"R1"	1e-04
"G18"	"LD"	"R2"	1e-04
"G18"	"CM"	"R1"	0.4
"G18"	"CM"	"R2"	0.3
"G18"	"PG"	"R1"	0.1
"G18"	"PG"	"R2"	0.1
"G18"	"GS"	"R1"	0.01
"G18"	"GS"	"R2"	1e-04
"G18"	"PM"	"R1"	0.01
"G18"	"PM"	"R2"	0.01
"G18"	"SP"	"R1"	0.01
"G18"	"SP"	"R2"	0.01
"G18"	"JT"	"R1"	0.01
"G18"	"JT"	"R2"	1e-04
"G18"	"GO"	"R1"	1e-04
"G18"	"GO"	"R2"	1e-04
"G18"	"PL"	"R1"	1e-04
"G18"	"PL"	"R2"	1e-04
"G36"	"LD"	"R1"	0.01
"G36"	"LD"	"R2"	0.1
"G36"	"CM"	"R1"	0.6
"G36"	"CM"	"R2"	0.4
"G36"	"PG"	"R1"	0.01
"G36"	"PG"	"R2"	0.1
"G36"	"GS"	"R1"	0.01
"G36"	"GS"	"R2"	0.01
"G36"	"PM"	"R1"	0.1
"G36"	"PM"	"R2"	0.3
"G36"	"SP"	"R1"	0.1
"G36"	"SP"	"R2"	0.01
"G36"	"JT"	"R1"	0.2
"G36"	"JT"	"R2"	0.2
"G36"	"GO"	"R1"	0.2
"G36"	"GO"	"R2"	0.2
"G36"	"PL"	"R1"	1e-04
"G36"	"PL"	"R2"	1e-04
"G25"	"LD"	"R1"	0.01
"G25"	"LD"	"R2"	1e-04
"G25"	"CM"	"R1"	0.3
"G25"	"CM"	"R2"	0.2
"G25"	"PG"	"R1"	0.01
"G25"	"PG"	"R2"	0.01
"G25"	"GS"	"R1"	1e-04
"G25"	"GS"	"R2"	1e-04
"G25"	"PM"	"R1"	0.01
"G25"	"PM"	"R2"	0.01
"G25"	"SP"	"R1"	0.01
"G25"	"SP"	"R2"	0.01
"G25"	"JT"	"R1"	0.01
"G25"	"JT"	"R2"	1e-04
"G25"	"GO"	"R1"	0.01
"G25"	"GO"	"R2"	0.1
"G25"	"PL"	"R1"	1e-04
"G25"	"PL"	"R2"	1e-04
"G21"	"LD"	"R1"	1e-04
"G21"	"LD"	"R2"	1e-04
"G21"	"CM"	"R1"	0.3
"G21"	"CM"	"R2"	0.4
"G21"	"PG"	"R1"	0.01
"G21"	"PG"	"R2"	0.1
"G21"	"GS"	"R1"	0.01
"G21"	"GS"	"R2"	1e-04
"G21"	"PM"	"R1"	0.01
"G21"	"PM"	"R2"	0.01
"G21"	"SP"	"R1"	0.01
"G21"	"SP"	"R2"	1e-04
"G21"	"JT"	"R1"	0.01
"G21"	"JT"	"R2"	0.01
"G21"	"GO"	"R1"	1e-04
"G21"	"GO"	"R2"	1e-04
"G21"	"PL"	"R1"	1e-04
"G21"	"PL"	"R2"	1e-04
"G26"	"LD"	"R1"	1e-04
"G26"	"LD"	"R2"	1e-04
"G26"	"CM"	"R1"	0.4
"G26"	"CM"	"R2"	0.3
"G26"	"PG"	"R1"	0.01
"G26"	"PG"	"R2"	0.01
"G26"	"GS"	"R1"	1e-04
"G26"	"GS"	"R2"	0.01
"G26"	"PM"	"R1"	0.01
"G26"	"PM"	"R2"	0.01
"G26"	"SP"	"R1"	0.01
"G26"	"SP"	"R2"	1e-04
"G26"	"JT"	"R1"	0.01
"G26"	"JT"	"R2"	0.01
"G26"	"GO"	"R1"	0.01
"G26"	"GO"	"R2"	1e-04
"G26"	"PL"	"R1"	0.01
"G26"	"PL"	"R2"	1e-04
"G27"	"LD"	"R1"	1e-04
"G27"	"LD"	"R2"	0.01
"G27"	"CM"	"R1"	0.6
"G27"	"CM"	"R2"	0.6
"G27"	"PG"	"R1"	0.01
"G27"	"PG"	"R2"	1e-04
"G27"	"GS"	"R1"	0.01
"G27"	"GS"	"R2"	0.01
"G27"	"PM"	"R1"	0.01
"G27"	"PM"	"R2"	0.01
"G27"	"SP"	"R1"	0.01
"G27"	"SP"	"R2"	1e-04
"G27"	"JT"	"R1"	0.01
"G27"	"JT"	"R2"	1e-04
"G27"	"GO"	"R1"	1e-04
"G27"	"GO"	"R2"	0.01
"G27"	"PL"	"R1"	0.01
"G27"	"PL"	"R2"	0.01
"G22"	"LD"	"R1"	0.1
"G22"	"LD"	"R2"	1e-04
"G22"	"CM"	"R1"	0.4
"G22"	"CM"	"R2"	0.4
"G22"	"PG"	"R1"	0.01
"G22"	"PG"	"R2"	1e-04
"G22"	"GS"	"R1"	1e-04
"G22"	"GS"	"R2"	1e-04
"G22"	"PM"	"R1"	0.01
"G22"	"PM"	"R2"	0.01
"G22"	"SP"	"R1"	0.01
"G22"	"SP"	"R2"	1e-04
"G22"	"JT"	"R1"	0.1
"G22"	"JT"	"R2"	1e-04
"G22"	"GO"	"R1"	1e-04
"G22"	"GO"	"R2"	1e-04
"G22"	"PL"	"R1"	1e-04
"G22"	"PL"	"R2"	0.01
"G20"	"LD"	"R1"	0.01
"G20"	"LD"	"R2"	1e-04
"G20"	"CM"	"R1"	0.6
"G20"	"CM"	"R2"	0.4
"G20"	"PG"	"R1"	0.1
"G20"	"PG"	"R2"	0.01
"G20"	"GS"	"R1"	0.01
"G20"	"GS"	"R2"	1e-04
"G20"	"PM"	"R1"	0.01
"G20"	"PM"	"R2"	0.1
"G20"	"SP"	"R1"	1e-04
"G20"	"SP"	"R2"	1e-04
"G20"	"JT"	"R1"	1e-04
"G20"	"JT"	"R2"	0.01
"G20"	"GO"	"R1"	0.01
"G20"	"GO"	"R2"	1e-04
"G20"	"PL"	"R1"	1e-04
"G20"	"PL"	"R2"	1e-04
