"row"	"col"	"year"	"yield"
2	1	"1926"	3460
2	2	"1926"	3420
2	3	"1926"	2060
2	4	"1926"	2570
2	5	"1926"	3170
2	6	"1926"	3290
2	7	"1926"	3210
2	8	"1926"	3280
2	9	"1926"	3210
2	10	"1926"	3260
2	11	"1926"	3340
2	12	"1926"	3230
2	13	"1926"	2920
2	14	"1926"	2640
2	15	"1926"	2550
2	16	"1926"	2290
2	17	"1926"	2790
2	18	"1926"	2550
2	19	"1926"	2270
3	1	"1926"	2920
3	2	"1926"	3520
3	3	"1926"	2500
3	4	"1926"	2570
3	5	"1926"	3520
3	6	"1926"	3300
3	7	"1926"	3230
3	8	"1926"	3320
3	9	"1926"	3250
3	10	"1926"	3390
3	11	"1926"	3070
3	12	"1926"	3180
3	13	"1926"	2810
3	14	"1926"	2570
3	15	"1926"	2730
3	16	"1926"	2600
3	17	"1926"	3070
3	18	"1926"	2720
3	19	"1926"	1490
1	1	"1928"	2010
1	2	"1928"	2200
1	3	"1928"	2410
1	4	"1928"	2470
1	5	"1928"	2390
1	6	"1928"	2580
1	7	"1928"	2810
1	8	"1928"	3000
1	9	"1928"	2670
1	10	"1928"	2680
1	11	"1928"	2950
1	12	"1928"	2860
1	13	"1928"	2940
1	14	"1928"	2660
1	15	"1928"	2840
1	16	"1928"	2560
1	17	"1928"	2040
1	18	"1928"	2230
1	19	"1928"	2020
2	1	"1928"	2350
2	2	"1928"	2630
2	3	"1928"	3130
2	4	"1928"	3000
2	5	"1928"	2530
2	6	"1928"	2910
2	7	"1928"	3000
2	8	"1928"	3100
2	9	"1928"	2920
2	10	"1928"	3150
2	11	"1928"	2870
2	12	"1928"	2840
2	13	"1928"	2930
2	14	"1928"	2610
2	15	"1928"	3060
2	16	"1928"	2900
2	17	"1928"	2750
2	18	"1928"	2540
2	19	"1928"	2930
3	1	"1928"	2870
3	2	"1928"	2430
3	3	"1928"	NA
3	4	"1928"	2730
3	5	"1928"	2900
3	6	"1928"	2850
3	7	"1928"	3180
3	8	"1928"	2890
3	9	"1928"	2300
3	10	"1928"	2920
3	11	"1928"	3000
3	12	"1928"	2930
3	13	"1928"	2840
3	14	"1928"	2510
3	15	"1928"	2500
3	16	"1928"	2500
3	17	"1928"	2500
3	18	"1928"	2340
3	19	"1928"	2350
1	1	"1929"	2920
1	2	"1929"	2880
1	3	"1929"	3170
1	4	"1929"	2840
1	5	"1929"	3000
1	6	"1929"	2820
1	7	"1929"	3230
1	8	"1929"	3020
1	9	"1929"	3680
1	10	"1929"	3160
1	11	"1929"	3650
1	12	"1929"	3160
1	13	"1929"	3100
1	14	"1929"	2190
1	15	"1929"	2540
1	16	"1929"	3130
1	17	"1929"	3260
1	18	"1929"	3310
1	19	"1929"	3300
2	1	"1929"	3240
2	2	"1929"	2770
2	3	"1929"	2890
2	4	"1929"	3030
2	5	"1929"	3110
2	6	"1929"	3320
2	7	"1929"	3320
2	8	"1929"	3080
2	9	"1929"	3090
2	10	"1929"	3290
2	11	"1929"	3060
2	12	"1929"	2800
2	13	"1929"	2770
2	14	"1929"	2850
2	15	"1929"	2830
2	16	"1929"	2250
2	17	"1929"	2580
2	18	"1929"	2620
2	19	"1929"	2700
3	1	"1929"	3080
3	2	"1929"	2730
3	3	"1929"	2690
3	4	"1929"	2920
3	5	"1929"	2860
3	6	"1929"	2920
3	7	"1929"	3330
3	8	"1929"	3330
3	9	"1929"	3610
3	10	"1929"	3280
3	11	"1929"	3210
3	12	"1929"	3220
3	13	"1929"	2740
3	14	"1929"	2200
3	15	"1929"	2780
3	16	"1929"	3090
3	17	"1929"	2770
3	18	"1929"	2660
3	19	"1929"	2360
1	1	"1930"	3280
1	2	"1930"	3390
1	3	"1930"	3380
1	4	"1930"	3340
1	5	"1930"	2970
1	6	"1930"	3170
1	7	"1930"	3130
1	8	"1930"	3180
1	9	"1930"	3460
1	10	"1930"	3270
1	11	"1930"	3580
1	12	"1930"	3390
1	13	"1930"	3620
1	14	"1930"	3270
1	15	"1930"	3260
1	16	"1930"	3630
1	17	"1930"	3760
1	18	"1930"	3530
1	19	"1930"	3580
2	1	"1930"	3760
2	2	"1930"	3700
2	3	"1930"	3590
2	4	"1930"	3590
2	5	"1930"	3790
2	6	"1930"	3850
2	7	"1930"	3870
2	8	"1930"	3630
2	9	"1930"	3780
2	10	"1930"	3850
2	11	"1930"	3800
2	12	"1930"	3850
2	13	"1930"	3820
2	14	"1930"	3650
2	15	"1930"	4000
2	16	"1930"	3580
2	17	"1930"	3440
2	18	"1930"	3460
2	19	"1930"	3640
3	1	"1930"	3370
3	2	"1930"	3660
3	3	"1930"	3530
3	4	"1930"	3640
3	5	"1930"	3690
3	6	"1930"	3650
3	7	"1930"	4040
3	8	"1930"	3920
3	9	"1930"	4000
3	10	"1930"	4020
3	11	"1930"	4140
3	12	"1930"	4030
3	13	"1930"	3610
3	14	"1930"	3290
3	15	"1930"	3950
3	16	"1930"	3940
3	17	"1930"	3600
3	18	"1930"	3320
3	19	"1930"	3240
1	1	"1932"	3920
1	2	"1932"	3570
1	3	"1932"	3530
1	4	"1932"	3760
1	5	"1932"	3710
1	6	"1932"	3960
1	7	"1932"	3780
1	8	"1932"	3810
1	9	"1932"	3680
1	10	"1932"	3180
1	11	"1932"	3230
1	12	"1932"	3560
1	13	"1932"	3630
1	14	"1932"	2550
1	15	"1932"	2020
1	16	"1932"	3120
1	17	"1932"	3400
1	18	"1932"	3570
1	19	"1932"	3740
2	1	"1932"	3300
2	2	"1932"	3230
2	3	"1932"	3310
2	4	"1932"	3540
2	5	"1932"	3630
2	6	"1932"	3720
2	7	"1932"	3410
2	8	"1932"	3240
2	9	"1932"	3330
2	10	"1932"	3120
2	11	"1932"	3150
2	12	"1932"	3210
2	13	"1932"	3650
2	14	"1932"	3420
2	15	"1932"	3060
2	16	"1932"	2200
2	17	"1932"	2100
2	18	"1932"	2100
2	19	"1932"	2490
3	1	"1932"	3780
3	2	"1932"	3310
3	3	"1932"	3190
3	4	"1932"	3320
3	5	"1932"	3660
3	6	"1932"	3520
3	7	"1932"	3350
3	8	"1932"	3380
3	9	"1932"	3380
3	10	"1932"	3200
3	11	"1932"	3350
3	12	"1932"	3000
3	13	"1932"	3130
3	14	"1932"	2950
3	15	"1932"	2640
3	16	"1932"	2490
3	17	"1932"	2420
3	18	"1932"	2050
3	19	"1932"	1790
1	1	"1933"	2180
1	2	"1933"	1980
1	3	"1933"	2080
1	4	"1933"	2160
1	5	"1933"	1960
1	6	"1933"	1920
1	7	"1933"	1960
1	8	"1933"	1770
1	9	"1933"	1760
1	10	"1933"	1700
1	11	"1933"	1730
1	12	"1933"	1940
1	13	"1933"	1810
1	14	"1933"	1680
1	15	"1933"	1410
1	16	"1933"	1960
1	17	"1933"	2220
1	18	"1933"	2220
1	19	"1933"	2310
2	1	"1933"	2110
2	2	"1933"	1960
2	3	"1933"	2030
2	4	"1933"	2080
2	5	"1933"	2000
2	6	"1933"	2030
2	7	"1933"	2070
2	8	"1933"	1920
2	9	"1933"	1920
2	10	"1933"	1920
2	11	"1933"	2010
2	12	"1933"	2060
2	13	"1933"	1990
2	14	"1933"	2210
2	15	"1933"	2060
2	16	"1933"	1890
2	17	"1933"	2040
2	18	"1933"	1870
2	19	"1933"	1870
3	1	"1933"	2250
3	2	"1933"	1980
3	3	"1933"	1990
3	4	"1933"	1930
3	5	"1933"	2000
3	6	"1933"	1900
3	7	"1933"	2090
3	8	"1933"	1980
3	9	"1933"	2070
3	10	"1933"	2200
3	11	"1933"	2310
3	12	"1933"	2190
3	13	"1933"	2160
3	14	"1933"	2020
3	15	"1933"	2000
3	16	"1933"	2160
3	17	"1933"	2020
3	18	"1933"	2140
3	19	"1933"	1950
1	1	"1934"	1530
1	2	"1934"	1490
1	3	"1934"	1600
1	4	"1934"	1380
1	5	"1934"	1730
1	6	"1934"	1510
1	7	"1934"	1380
1	8	"1934"	1530
1	9	"1934"	1460
1	10	"1934"	1430
1	11	"1934"	1550
1	12	"1934"	1600
1	13	"1934"	1540
1	14	"1934"	1420
1	15	"1934"	1480
1	16	"1934"	1450
1	17	"1934"	1310
1	18	"1934"	1420
1	19	"1934"	1470
2	1	"1934"	1140
2	2	"1934"	1350
2	3	"1934"	1540
2	4	"1934"	1340
2	5	"1934"	1490
2	6	"1934"	1330
2	7	"1934"	1290
2	8	"1934"	1400
2	9	"1934"	1420
2	10	"1934"	1460
2	11	"1934"	1490
2	12	"1934"	1510
2	13	"1934"	1400
2	14	"1934"	1440
2	15	"1934"	1300
2	16	"1934"	1090
2	17	"1934"	1150
2	18	"1934"	1160
2	19	"1934"	1280
3	1	"1934"	1460
3	2	"1934"	1120
3	3	"1934"	1160
3	4	"1934"	1290
3	5	"1934"	1090
3	6	"1934"	1240
3	7	"1934"	1280
3	8	"1934"	1310
3	9	"1934"	1360
3	10	"1934"	1320
3	11	"1934"	1340
3	12	"1934"	1160
3	13	"1934"	1410
3	14	"1934"	1440
3	15	"1934"	1350
3	16	"1934"	1300
3	17	"1934"	1360
3	18	"1934"	1310
3	19	"1934"	1130
1	1	"1935"	1440
1	2	"1935"	1880
1	3	"1935"	1880
1	4	"1935"	1560
1	5	"1935"	1620
1	6	"1935"	1600
1	7	"1935"	1580
1	8	"1935"	2000
1	9	"1935"	1540
1	10	"1935"	1440
1	11	"1935"	1330
1	12	"1935"	1820
1	13	"1935"	1390
1	14	"1935"	1280
1	15	"1935"	NA
1	16	"1935"	1210
1	17	"1935"	1380
1	18	"1935"	1570
1	19	"1935"	1630
2	1	"1935"	1070
2	2	"1935"	1370
2	3	"1935"	1600
2	4	"1935"	1320
2	5	"1935"	1550
2	6	"1935"	1300
2	7	"1935"	1050
2	8	"1935"	1190
2	9	"1935"	1500
2	10	"1935"	1260
2	11	"1935"	1360
2	12	"1935"	1770
2	13	"1935"	1320
2	14	"1935"	1260
2	15	"1935"	1190
2	16	"1935"	1010
2	17	"1935"	1120
2	18	"1935"	1180
2	19	"1935"	1250
3	1	"1935"	1640
3	2	"1935"	1300
3	3	"1935"	1220
3	4	"1935"	1160
3	5	"1935"	1080
3	6	"1935"	1540
3	7	"1935"	1580
3	8	"1935"	1200
3	9	"1935"	1380
3	10	"1935"	1280
3	11	"1935"	1400
3	12	"1935"	1320
3	13	"1935"	1360
3	14	"1935"	1230
3	15	"1935"	1200
3	16	"1935"	1060
3	17	"1935"	1060
3	18	"1935"	880
3	19	"1935"	720
