"row"	"col"	"block"	"yield"
9	6	"B2"	10.7
10	6	"B2"	0.3
1	7	"B2"	6.5
2	7	"B2"	10.4
3	7	"B2"	9.3
4	7	"B2"	0.1
5	7	"B2"	4
6	7	"B2"	7.9
7	7	"B2"	2.4
8	7	"B2"	1.4
9	7	"B2"	13.2
10	7	"B2"	10.6
1	8	"B2"	6.7
2	8	"B2"	0.5
3	8	"B2"	4.5
4	8	"B2"	1.8
5	8	"B2"	12.8
6	8	"B2"	6.9
7	8	"B2"	1.5
8	8	"B2"	11.9
9	8	"B2"	6.2
10	8	"B2"	7.5
1	9	"B2"	12.4
2	9	"B2"	5.2
3	9	"B2"	5
4	9	"B2"	8.3
5	9	"B2"	7.1
6	9	"B2"	3.2
7	9	"B2"	10.5
8	9	"B2"	13.2
9	9	"B2"	7.4
10	9	"B2"	5.7
1	10	"B2"	5.6
2	10	"B2"	23.1
3	10	"B2"	15.3
4	10	"B2"	8.5
5	10	"B2"	10.3
6	10	"B2"	11.4
7	10	"B2"	12.9
8	10	"B2"	19.5
9	10	"B2"	13.6
10	10	"B2"	9.3
1	1	"B3"	13.9
2	1	"B3"	4.9
3	1	"B3"	8.4
4	1	"B3"	11.3
5	1	"B3"	6.7
6	1	"B3"	0.4
7	1	"B3"	19.9
8	1	"B3"	6.8
9	1	"B3"	8.3
10	1	"B3"	13.8
1	2	"B3"	2.1
2	2	"B3"	9
3	2	"B3"	1.9
4	2	"B3"	2.8
5	2	"B3"	9.1
6	2	"B3"	6.8
7	2	"B3"	1.4
8	2	"B3"	0.9
9	2	"B3"	18.9
10	2	"B3"	4.7
1	3	"B3"	8.1
2	3	"B3"	15.4
3	3	"B3"	4.5
4	3	"B3"	11.4
5	3	"B3"	1.3
6	3	"B3"	4.9
7	3	"B3"	1
8	3	"B3"	1.5
9	3	"B3"	2.1
10	3	"B3"	10.1
1	4	"B3"	12.4
2	4	"B3"	11
3	4	"B3"	16.1
4	4	"B3"	0.8
5	4	"B3"	0.9
6	4	"B3"	2.2
7	4	"B3"	5.6
8	4	"B3"	2.3
9	4	"B3"	4.1
10	4	"B3"	9.8
1	5	"B3"	2.2
2	5	"B3"	1.9
3	5	"B3"	5.5
4	5	"B3"	8.4
5	5	"B3"	10.1
6	5	"B3"	5.4
7	5	"B3"	2.5
8	5	"B3"	NA
9	5	"B3"	7.4
10	5	"B3"	18
1	6	"B3"	5.7
2	6	"B3"	7.2
3	6	"B3"	0.5
4	6	"B3"	9.4
5	6	"B3"	4.6
6	6	"B3"	2.3
7	6	"B3"	3.1
8	6	"B3"	2.7
9	6	"B3"	2
10	6	"B3"	14.4
1	7	"B3"	0.4
2	7	"B3"	8
3	7	"B3"	11.7
4	7	"B3"	6.5
5	7	"B3"	2.9
6	7	"B3"	5.1
7	7	"B3"	12.4
8	7	"B3"	5
9	7	"B3"	4.7
10	7	"B3"	9.7
1	8	"B3"	15.6
2	8	"B3"	7.1
3	8	"B3"	0.5
4	8	"B3"	0
5	8	"B3"	3.4
6	8	"B3"	1.4
7	8	"B3"	9.1
8	8	"B3"	0.1
9	8	"B3"	5.1
10	8	"B3"	8.1
1	9	"B3"	3.9
2	9	"B3"	6
3	9	"B3"	8.8
4	9	"B3"	7.5
5	9	"B3"	11
6	9	"B3"	5.3
7	9	"B3"	11.1
8	9	"B3"	2.3
9	9	"B3"	3.2
10	9	"B3"	13.6
1	10	"B3"	11.5
2	10	"B3"	1.9
3	10	"B3"	13.9
4	10	"B3"	14
5	10	"B3"	10.3
6	10	"B3"	3.9
7	10	"B3"	1.5
8	10	"B3"	11.4
9	10	"B3"	2.9
10	10	"B3"	22.3
1	1	"B4"	20
2	1	"B4"	7.2
3	1	"B4"	4.8
4	1	"B4"	15.2
5	1	"B4"	15.6
6	1	"B4"	7.8
7	1	"B4"	14.1
8	1	"B4"	1.3
9	1	"B4"	12.8
10	1	"B4"	14.5
1	2	"B4"	16.7
2	2	"B4"	13
3	2	"B4"	13
4	2	"B4"	1.8
5	2	"B4"	1.6
6	2	"B4"	5.6
7	2	"B4"	2.3
8	2	"B4"	2.1
9	2	"B4"	10.6
10	2	"B4"	12.2
1	3	"B4"	1.2
2	3	"B4"	0.5
3	3	"B4"	1.2
4	3	"B4"	3.1
5	3	"B4"	2.1
6	3	"B4"	6
7	3	"B4"	3.9
8	3	"B4"	7.9
9	3	"B4"	4.9
10	3	"B4"	7.3
1	4	"B4"	5.5
2	4	"B4"	10.5
3	4	"B4"	7.4
4	4	"B4"	3.2
5	4	"B4"	10.2
6	4	"B4"	1.4
7	4	"B4"	5.3
8	4	"B4"	6.7
9	4	"B4"	11.5
10	4	"B4"	6.9
1	5	"B4"	0.8
2	5	"B4"	6.2
3	5	"B4"	8
4	5	"B4"	7
5	5	"B4"	0.4
6	5	"B4"	1.2
7	5	"B4"	4.7
8	5	"B4"	1.8
9	5	"B4"	3.7
10	5	"B4"	12.3
1	6	"B4"	8.1
2	6	"B4"	11.3
3	6	"B4"	9.2
4	6	"B4"	18.4
5	6	"B4"	12.2
6	6	"B4"	3.5
7	6	"B4"	4
8	6	"B4"	4.1
9	6	"B4"	9
10	6	"B4"	10.5
1	7	"B4"	8.4
2	7	"B4"	0.7
3	7	"B4"	11.7
4	7	"B4"	1.9
5	7	"B4"	2
6	7	"B4"	1.4
7	7	"B4"	11
8	7	"B4"	2
9	7	"B4"	4.1
10	7	"B4"	6.5
1	8	"B4"	9.4
2	8	"B4"	2.2
3	8	"B4"	2.9
4	8	"B4"	7.8
5	8	"B4"	2.8
6	8	"B4"	2.3
7	8	"B4"	3
8	8	"B4"	3.7
9	8	"B4"	5.7
10	8	"B4"	8
1	9	"B4"	5.4
2	9	"B4"	16.7
3	9	"B4"	14.8
4	9	"B4"	4.8
5	9	"B4"	10.3
6	9	"B4"	0.7
7	9	"B4"	4.6
8	9	"B4"	10.3
9	9	"B4"	14
10	9	"B4"	7.4
1	10	"B4"	15
2	10	"B4"	13.3
3	10	"B4"	8.7
4	10	"B4"	11.3
5	10	"B4"	12.7
6	10	"B4"	14.9
7	10	"B4"	13.1
8	10	"B4"	9.6
9	10	"B4"	15.9
10	10	"B4"	6.3
