"row"	"col"	"rep"	"gen"	"yield"
13	8	12	"G03"	8.3
14	8	12	"G04"	6.9
15	8	12	"Ck2"	7
16	8	12	"G05"	8.3
17	8	12	"G06"	6.3
18	8	12	"G07"	5.5
19	8	12	"G08"	4.9
20	8	12	"Ck3"	9
21	8	12	"G09"	5.2
22	8	12	"G10"	7.5
23	8	12	"G11"	5.6
24	8	12	"G12"	10
25	8	12	"Ck3"	7
26	8	12	"G13"	9.4
27	8	12	"G14"	7.5
28	8	12	"G15"	9.1
29	8	12	"G16"	8.7
30	8	12	"Ck4"	9
31	8	12	"G17"	8.9
32	8	12	"G18"	7.6
33	8	12	"G19"	9
34	8	12	"G20"	8
35	8	13	"Ck1"	10
36	8	13	"G01"	5.8
37	8	13	"G02"	6.7
38	8	13	"G03"	13.1
1	9	13	"G04"	13.1
2	9	13	"Ck2"	12
3	9	13	"G05"	10.6
4	9	13	"G06"	9.1
5	9	13	"G07"	7.1
6	9	13	"G08"	10.9
7	9	13	"Ck3"	9
8	9	13	"G09"	11.8
9	9	13	"G10"	10.7
10	9	13	"G11"	11.4
11	9	13	"G12"	9.4
12	9	13	"Ck3"	12
13	9	13	"G13"	11.8
14	9	13	"G14"	11.3
15	9	13	"G15"	9.7
16	9	13	"G16"	9.9
17	9	13	"Ck4"	12
18	9	13	"G17"	12.7
19	9	13	"G18"	13.2
20	9	13	"G19"	11
21	9	13	"G20"	9
22	9	14	"Ck1"	15
23	9	14	"G01"	12
24	9	14	"G02"	9.9
25	9	14	"G03"	10.9
26	9	14	"G04"	8.6
27	9	14	"Ck2"	10
28	9	14	"G05"	7.1
29	9	14	"G06"	13.2
30	9	14	"G07"	12.5
31	9	14	"G08"	10.1
32	9	14	"Ck3"	14
33	9	14	"G09"	12.3
34	9	14	"G10"	12.7
35	9	14	"G11"	9.3
36	9	14	"G12"	12
37	9	14	"Ck3"	12
38	9	14	"G13"	12.2
1	10	14	"G14"	13.1
2	10	14	"G15"	13.2
3	10	14	"G16"	10.5
4	10	14	"Ck4"	14.6
5	10	14	"G17"	8.7
6	10	14	"G18"	12.4
7	10	14	"G19"	14.9
8	10	14	"G20"	15.6
9	10	15	"Ck1"	15
10	10	15	"G01"	13
11	10	15	"G02"	12.2
12	10	15	"G03"	9.5
13	10	15	"G04"	10.4
14	10	15	"Ck2"	12
15	10	15	"G05"	13
16	10	15	"G06"	14.3
17	10	15	"G07"	10
18	10	15	"G08"	10.9
19	10	15	"Ck3"	12
20	10	15	"G09"	11.7
21	10	15	"G10"	8.8
22	10	15	"G11"	5.1
23	10	15	"G12"	10.4
24	10	15	"Ck3"	10
25	10	15	"G13"	10.4
26	10	15	"G14"	8.9
27	10	15	"G15"	9.3
28	10	15	"G16"	9
29	10	15	"Ck4"	11
30	10	15	"G17"	11.4
31	10	15	"G18"	10.3
32	10	15	"G19"	9.7
33	10	15	"G20"	11
34	10	NA	NA	NA
35	10	NA	NA	NA
36	10	NA	NA	NA
37	10	NA	NA	NA
38	10	NA	NA	NA
