row	col	plot	year	yield
14	2	207	96	96.5
13	2	208	96	91.1
12	2	209	96	97.5
11	2	210	96	97.3
10	2	211	96	99.6
9	2	212	96	97.6
8	2	213	96	95.1
7	2	214	96	100.6
6	2	215	96	103.5
5	2	216	96	95.5
4	2	217	96	91.8
3	2	218	96	95.7
2	2	219	96	95.1
1	2	220	96	94.4
20	3	301	96	89.6
19	3	302	96	88.2
18	3	303	96	85.1
17	3	304	96	92
16	3	305	96	99.4
15	3	306	96	97
14	3	307	96	95.2
13	3	308	96	100.1
12	3	309	96	99.9
11	3	310	96	98.4
10	3	311	96	96.4
9	3	312	96	100.8
8	3	313	96	97.1
7	3	314	96	94.1
6	3	315	96	99.4
5	3	316	96	96.4
4	3	317	96	92.2
3	3	318	96	94.9
2	3	319	96	94.7
1	3	320	96	96.3
20	4	401	96	88.2
19	4	402	96	85.3
18	4	403	96	87.6
17	4	404	96	89.8
16	4	405	96	96.5
15	4	406	96	99.8
14	4	407	96	99.1
13	4	408	96	94.1
12	4	409	96	100.4
11	4	410	96	98.1
10	4	411	96	101.2
9	4	412	96	91
8	4	413	96	95.8
7	4	414	96	96.3
6	4	415	96	102.1
5	4	416	96	93.6
4	4	417	96	90.2
3	4	418	96	94.6
2	4	419	96	89.1
1	4	420	96	96.8
20	5	501	96	88.6
19	5	502	96	88.1
18	5	503	96	86.2
17	5	504	96	85.9
16	5	505	96	96
15	5	506	96	94.3
14	5	507	96	98.9
13	5	508	96	92.6
12	5	509	96	95.9
11	5	510	96	96.9
10	5	511	96	94.6
9	5	512	96	97.4
8	5	513	96	95.7
7	5	514	96	98.2
6	5	515	96	99.6
5	5	516	96	94.1
4	5	517	96	86.3
3	5	518	96	89.5
2	5	519	96	94.1
1	5	520	96	90
20	6	601	96	80.8
19	6	602	96	86.5
18	6	603	96	81.8
17	6	604	96	83.5
16	6	605	96	94.6
15	6	606	96	93.2
14	6	607	96	94
13	6	608	96	91.6
12	6	609	96	92.4
11	6	610	96	96.5
10	6	611	96	96.4
9	6	612	96	90.4
8	6	613	96	91.1
7	6	614	96	93.8
6	6	615	96	93.8
5	6	616	96	84.4
4	6	617	96	63.7
3	6	618	96	43.4
2	6	619	96	37.5
1	6	620	96	64.2
20	1	101	97	69
19	1	102	97	68.6
18	1	103	97	67.5
17	1	104	97	66.6
16	1	105	97	67.5
15	1	106	97	66.8
14	1	107	97	69.9
13	1	108	97	68.4
12	1	109	97	66.9
11	1	110	97	68.5
10	1	111	97	67.9
9	1	112	97	74.9
8	1	113	97	73.2
7	1	114	97	72.8
6	1	115	97	70.8
5	1	116	97	67.8
4	1	117	97	50.7
3	1	118	97	44.2
2	1	119	97	59.2
1	1	120	97	79.8
20	2	201	97	65.9
19	2	202	97	69.7
18	2	203	97	72
17	2	204	97	73.2
16	2	205	97	72.9
15	2	206	97	75.2
14	2	207	97	72.6
13	2	208	97	71.3
12	2	209	97	70.2
11	2	210	97	69.8
10	2	211	97	76.6
9	2	212	97	73.1
8	2	213	97	73.5
7	2	214	97	76.2
6	2	215	97	73
5	2	216	97	72
4	2	217	97	73.2
3	2	218	97	73.7
2	2	219	97	73.5
1	2	220	97	72.2
20	3	301	97	64.7
19	3	302	97	69.9
18	3	303	97	67.6
17	3	304	97	73.2
16	3	305	97	78.3
15	3	306	97	75.6
14	3	307	97	77.3
13	3	308	97	75.4
12	3	309	97	71.4
11	3	310	97	72.6
10	3	311	97	74.1
9	3	312	97	75.2
8	3	313	97	74.6
7	3	314	97	74.6
6	3	315	97	73.4
5	3	316	97	73.1
4	3	317	97	74.3
3	3	318	97	70.6
2	3	319	97	73
1	3	320	97	74.6
20	4	401	97	69.2
19	4	402	97	67
18	4	403	97	68.8
17	4	404	97	71.7
16	4	405	97	72
15	4	406	97	75.7
14	4	407	97	74.3
13	4	408	97	69.2
12	4	409	97	72.3
11	4	410	97	76.6
10	4	411	97	79.3
9	4	412	97	78
8	4	413	97	79.8
7	4	414	97	80.2
6	4	415	97	80
5	4	416	97	76.6
4	4	417	97	76.7
3	4	418	97	77.9
2	4	419	97	80.2
1	4	420	97	77.9
20	5	501	97	69.6
19	5	502	97	69.7
18	5	503	97	68.3
17	5	504	97	67.4
16	5	505	97	72.4
15	5	506	97	74.7
14	5	507	97	74.4
13	5	508	97	70.2
12	5	509	97	73.5
11	5	510	97	69.7
10	5	511	97	69.2
9	5	512	97	75.2
8	5	513	97	75.8
7	5	514	97	75.8
6	5	515	97	74.2
5	5	516	97	76.9
4	5	517	97	75
3	5	518	97	72.5
2	5	519	97	73.2
1	5	520	97	72
20	6	601	97	66.2
19	6	602	97	64.3
18	6	603	97	67
17	6	604	97	71.4
16	6	605	97	72.4
15	6	606	97	73.9
14	6	607	97	71.1
13	6	608	97	66.1
12	6	609	97	69.3
11	6	610	97	72.4
10	6	611	97	74
9	6	612	97	74.5
8	6	613	97	73.9
7	6	614	97	74
6	6	615	97	71.6
5	6	616	97	78.2
4	6	617	97	66.4
3	6	618	97	45.8
2	6	619	97	40
1	6	620	97	62.1
