"field"	"year"	"crop"	"yield"	"row"	"col"
"A2"	1910	"mangolds"	92	5	6
"A2"	1911	"barley"	103	1	1
"A2"	1911	"barley"	98	2	1
"A2"	1911	"barley"	94	3	1
"A2"	1911	"barley"	90	4	1
"A2"	1911	"barley"	95	5	1
"A2"	1911	"barley"	101	1	2
"A2"	1911	"barley"	102	2	2
"A2"	1911	"barley"	106	3	2
"A2"	1911	"barley"	111	4	2
"A2"	1911	"barley"	105	5	2
"A2"	1911	"barley"	95	1	3
"A2"	1911	"barley"	97	2	3
"A2"	1911	"barley"	96	3	3
"A2"	1911	"barley"	100	4	3
"A2"	1911	"barley"	101	5	3
"A2"	1911	"barley"	104	1	4
"A2"	1911	"barley"	111	2	4
"A2"	1911	"barley"	95	3	4
"A2"	1911	"barley"	96	4	4
"A2"	1911	"barley"	90	5	4
"A2"	1911	"barley"	109	1	5
"A2"	1911	"barley"	109	2	5
"A2"	1911	"barley"	112	3	5
"A2"	1911	"barley"	99	4	5
"A2"	1911	"barley"	98	5	5
"A2"	1911	"barley"	115	1	6
"A2"	1911	"barley"	104	2	6
"A2"	1911	"barley"	94	3	6
"A2"	1911	"barley"	86	4	6
"A2"	1911	"barley"	84	5	6
"E2"	1906	"oats"	119	1	1
"E2"	1906	"oats"	110	2	1
"E2"	1906	"oats"	104	3	1
"E2"	1906	"oats"	110	4	1
"E2"	1906	"oats"	117	5	1
"E2"	1906	"oats"	113	6	1
"E2"	1906	"oats"	117	7	1
"E2"	1906	"oats"	124	8	1
"E2"	1906	"oats"	74	1	2
"E2"	1906	"oats"	76	2	2
"E2"	1906	"oats"	76	3	2
"E2"	1906	"oats"	82	4	2
"E2"	1906	"oats"	73	5	2
"E2"	1906	"oats"	76	6	2
"E2"	1906	"oats"	75	7	2
"E2"	1906	"oats"	96	8	2
"E2"	1906	"oats"	97	1	3
"E2"	1906	"oats"	99	2	3
"E2"	1906	"oats"	101	3	3
"E2"	1906	"oats"	114	4	3
"E2"	1906	"oats"	110	5	3
"E2"	1906	"oats"	120	6	3
"E2"	1906	"oats"	111	7	3
"E2"	1906	"oats"	129	8	3
"E2"	1906	"oats"	80	1	4
"E2"	1906	"oats"	72	2	4
"E2"	1906	"oats"	73	3	4
"E2"	1906	"oats"	78	4	4
"E2"	1906	"oats"	99	5	4
"E2"	1906	"oats"	93	6	4
"E2"	1906	"oats"	93	7	4
"E2"	1906	"oats"	95	8	4
"E2"	1906	"oats"	92	1	5
"E2"	1906	"oats"	94	2	5
"E2"	1906	"oats"	90	3	5
"E2"	1906	"oats"	111	4	5
"E2"	1906	"oats"	109	5	5
"E2"	1906	"oats"	113	6	5
"E2"	1906	"oats"	113	7	5
"E2"	1906	"oats"	109	8	5
"E2"	1906	"oats"	74	1	6
"E2"	1906	"oats"	80	2	6
"E2"	1906	"oats"	73	3	6
"E2"	1906	"oats"	88	4	6
"E2"	1906	"oats"	76	5	6
"E2"	1906	"oats"	90	6	6
"E2"	1906	"oats"	82	7	6
"E2"	1906	"oats"	86	8	6
"E2"	1906	"oats"	93	1	7
"E2"	1906	"oats"	96	2	7
"E2"	1906	"oats"	97	3	7
"E2"	1906	"oats"	106	4	7
"E2"	1906	"oats"	105	5	7
"E2"	1906	"oats"	109	6	7
"E2"	1906	"oats"	106	7	7
"E2"	1906	"oats"	113	8	7
"E2"	1906	"oats"	84	1	8
"E2"	1906	"oats"	84	2	8
"E2"	1906	"oats"	88	3	8
"E2"	1906	"oats"	94	4	8
"E2"	1906	"oats"	104	5	8
"E2"	1906	"oats"	97	6	8
"E2"	1906	"oats"	98	7	8
"E2"	1906	"oats"	110	8	8
"E2"	1906	"oats"	102	1	9
"E2"	1906	"oats"	122	2	9
"E2"	1906	"oats"	116	3	9
"E2"	1906	"oats"	119	4	9
"E2"	1906	"oats"	125	5	9
"E2"	1906	"oats"	115	6	9
"E2"	1906	"oats"	113	7	9
"E2"	1906	"oats"	121	8	9
"E2"	1906	"oats"	95	1	10
"E2"	1906	"oats"	90	2	10
"E2"	1906	"oats"	95	3	10
"E2"	1906	"oats"	100	4	10
"E2"	1906	"oats"	100	5	10
"E2"	1906	"oats"	89	6	10
"E2"	1906	"oats"	101	7	10
"E2"	1906	"oats"	106	8	10
"E2"	1906	"oats"	110	1	11
"E2"	1906	"oats"	113	2	11
"E2"	1906	"oats"	113	3	11
"E2"	1906	"oats"	118	4	11
"E2"	1906	"oats"	109	5	11
"E2"	1906	"oats"	105	6	11
"E2"	1906	"oats"	104	7	11
"E2"	1906	"oats"	104	8	11
"E2"	1906	"oats"	90	1	12
"E2"	1906	"oats"	89	2	12
"E2"	1906	"oats"	96	3	12
"E2"	1906	"oats"	107	4	12
"E2"	1906	"oats"	99	5	12
"E2"	1906	"oats"	114	6	12
"E2"	1906	"oats"	113	7	12
"E2"	1906	"oats"	124	8	12
"E2"	1906	"oats"	90	1	13
"E2"	1906	"oats"	113	2	13
"E2"	1906	"oats"	104	3	13
"E2"	1906	"oats"	101	4	13
"E2"	1906	"oats"	97	5	13
"E2"	1906	"oats"	100	6	13
"E2"	1906	"oats"	92	7	13
"E2"	1906	"oats"	105	8	13
"E2"	1906	"oats"	89	1	14
"E2"	1906	"oats"	94	2	14
"E2"	1906	"oats"	88	3	14
"E2"	1906	"oats"	102	4	14
"E2"	1906	"oats"	104	5	14
"E2"	1906	"oats"	111	6	14
"E2"	1906	"oats"	108	7	14
"E2"	1906	"oats"	118	8	14
"E2"	1906	"oats"	97	1	15
"E2"	1906	"oats"	109	2	15
"E2"	1906	"oats"	107	3	15
"E2"	1906	"oats"	110	4	15
"E2"	1906	"oats"	114	5	15
"E2"	1906	"oats"	114	6	15
"E2"	1906	"oats"	111	7	15
"E2"	1906	"oats"	119	8	15
"E2"	1906	"oats"	90	1	16
"E2"	1906	"oats"	81	2	16
"E2"	1906	"oats"	79	3	16
"E2"	1906	"oats"	85	4	16
"E2"	1906	"oats"	91	5	16
"E2"	1906	"oats"	90	6	16
"E2"	1906	"oats"	97	7	16
"E2"	1906	"oats"	103	8	16
"E2"	1907	"barley"	134	1	1
"E2"	1907	"barley"	123	2	1
"E2"	1907	"barley"	123	3	1
"E2"	1907	"barley"	123	4	1
"E2"	1907	"barley"	131	5	1
"E2"	1907	"barley"	128	6	1
"E2"	1907	"barley"	132	7	1
"E2"	1907	"barley"	133	8	1
"E2"	1907	"barley"	78	1	2
"E2"	1907	"barley"	69	2	2
"E2"	1907	"barley"	74	3	2
"E2"	1907	"barley"	75	4	2
"E2"	1907	"barley"	79	5	2
"E2"	1907	"barley"	73	6	2
"E2"	1907	"barley"	78	7	2
"E2"	1907	"barley"	92	8	2
"E2"	1907	"barley"	118	1	3
"E2"	1907	"barley"	111	2	3
"E2"	1907	"barley"	117	3	3
"E2"	1907	"barley"	123	4	3
"E2"	1907	"barley"	122	5	3
"E2"	1907	"barley"	131	6	3
"E2"	1907	"barley"	135	7	3
"E2"	1907	"barley"	136	8	3
"E2"	1907	"barley"	81	1	4
"E2"	1907	"barley"	71	2	4
"E2"	1907	"barley"	80	3	4
"E2"	1907	"barley"	80	4	4
"E2"	1907	"barley"	92	5	4
"E2"	1907	"barley"	95	6	4
"E2"	1907	"barley"	94	7	4
"E2"	1907	"barley"	90	8	4
"E2"	1907	"barley"	120	1	5
"E2"	1907	"barley"	109	2	5
"E2"	1907	"barley"	114	3	5
"E2"	1907	"barley"	113	4	5
"E2"	1907	"barley"	119	5	5
"E2"	1907	"barley"	124	6	5
"E2"	1907	"barley"	121	7	5
"E2"	1907	"barley"	127	8	5
"E2"	1907	"barley"	80	1	6
"E2"	1907	"barley"	72	2	6
"E2"	1907	"barley"	70	3	6
"E2"	1907	"barley"	75	4	6
"E2"	1907	"barley"	78	5	6
"E2"	1907	"barley"	82	6	6
"E2"	1907	"barley"	77	7	6
"E2"	1907	"barley"	75	8	6
"E2"	1907	"barley"	121	1	7
"E2"	1907	"barley"	115	2	7
"E2"	1907	"barley"	123	3	7
"E2"	1907	"barley"	125	4	7
"E2"	1907	"barley"	126	5	7
"E2"	1907	"barley"	132	6	7
"E2"	1907	"barley"	130	7	7
"E2"	1907	"barley"	130	8	7
"E2"	1907	"barley"	78	1	8
"E2"	1907	"barley"	77	2	8
"E2"	1907	"barley"	78	3	8
"E2"	1907	"barley"	81	4	8
"E2"	1907	"barley"	89	5	8
"E2"	1907	"barley"	96	6	8
"E2"	1907	"barley"	96	7	8
"E2"	1907	"barley"	105	8	8
"E2"	1907	"barley"	108	1	9
"E2"	1907	"barley"	112	2	9
"E2"	1907	"barley"	108	3	9
"E2"	1907	"barley"	108	4	9
"E2"	1907	"barley"	111	5	9
"E2"	1907	"barley"	111	6	9
"E2"	1907	"barley"	103	7	9
"E2"	1907	"barley"	99	8	9
"E2"	1907	"barley"	91	1	10
"E2"	1907	"barley"	82	2	10
"E2"	1907	"barley"	86	3	10
"E2"	1907	"barley"	92	4	10
"E2"	1907	"barley"	92	5	10
"E2"	1907	"barley"	95	6	10
"E2"	1907	"barley"	94	7	10
"E2"	1907	"barley"	101	8	10
"E2"	1907	"barley"	118	1	11
"E2"	1907	"barley"	112	2	11
"E2"	1907	"barley"	119	3	11
"E2"	1907	"barley"	120	4	11
"E2"	1907	"barley"	111	5	11
"E2"	1907	"barley"	101	6	11
"E2"	1907	"barley"	99	7	11
"E2"	1907	"barley"	104	8	11
"E2"	1907	"barley"	87	1	12
"E2"	1907	"barley"	78	2	12
"E2"	1907	"barley"	85	3	12
"E2"	1907	"barley"	94	4	12
"E2"	1907	"barley"	88	5	12
"E2"	1907	"barley"	110	6	12
"E2"	1907	"barley"	109	7	12
"E2"	1907	"barley"	111	8	12
"E2"	1907	"barley"	97	1	13
"E2"	1907	"barley"	114	2	13
"E2"	1907	"barley"	100	3	13
"E2"	1907	"barley"	103	4	13
"E2"	1907	"barley"	97	5	13
"E2"	1907	"barley"	98	6	13
"E2"	1907	"barley"	96	7	13
"E2"	1907	"barley"	98	8	13
"E2"	1907	"barley"	82	1	14
"E2"	1907	"barley"	78	2	14
"E2"	1907	"barley"	80	3	14
"E2"	1907	"barley"	82	4	14
"E2"	1907	"barley"	83	5	14
"E2"	1907	"barley"	94	6	14
"E2"	1907	"barley"	93	7	14
"E2"	1907	"barley"	91	8	14
"E2"	1907	"barley"	93	1	15
"E2"	1907	"barley"	111	2	15
"E2"	1907	"barley"	107	3	15
"E2"	1907	"barley"	104	4	15
"E2"	1907	"barley"	104	5	15
"E2"	1907	"barley"	105	6	15
"E2"	1907	"barley"	104	7	15
"E2"	1907	"barley"	101	8	15
"E2"	1907	"barley"	84	1	16
"E2"	1907	"barley"	80	2	16
"E2"	1907	"barley"	79	3	16
"E2"	1907	"barley"	79	4	16
"E2"	1907	"barley"	83	5	16
"E2"	1907	"barley"	80	6	16
"E2"	1907	"barley"	94	7	16
"E2"	1907	"barley"	88	8	16
"E2"	1908	"seeds"	106	1	1
"E2"	1908	"seeds"	102	2	1
"E2"	1908	"seeds"	109	3	1
"E2"	1908	"seeds"	110	4	1
"E2"	1908	"seeds"	106	5	1
"E2"	1908	"seeds"	101	6	1
"E2"	1908	"seeds"	104	7	1
"E2"	1908	"seeds"	108	8	1
"E2"	1908	"seeds"	98	1	2
"E2"	1908	"seeds"	104	2	2
"E2"	1908	"seeds"	103	3	2
"E2"	1908	"seeds"	87	4	2
"E2"	1908	"seeds"	85	5	2
"E2"	1908	"seeds"	83	6	2
"E2"	1908	"seeds"	84	7	2
"E2"	1908	"seeds"	86	8	2
"E2"	1908	"seeds"	115	1	3
"E2"	1908	"seeds"	107	2	3
"E2"	1908	"seeds"	109	3	3
"E2"	1908	"seeds"	114	4	3
"E2"	1908	"seeds"	115	5	3
"E2"	1908	"seeds"	107	6	3
"E2"	1908	"seeds"	112	7	3
"E2"	1908	"seeds"	110	8	3
"E2"	1908	"seeds"	103	1	4
"E2"	1908	"seeds"	93	2	4
"E2"	1908	"seeds"	97	3	4
"E2"	1908	"seeds"	92	4	4
"E2"	1908	"seeds"	89	5	4
"E2"	1908	"seeds"	82	6	4
"E2"	1908	"seeds"	87	7	4
"E2"	1908	"seeds"	104	8	4
"E2"	1908	"seeds"	118	1	5
"E2"	1908	"seeds"	102	2	5
"E2"	1908	"seeds"	111	3	5
"E2"	1908	"seeds"	108	4	5
"E2"	1908	"seeds"	110	5	5
"E2"	1908	"seeds"	100	6	5
"E2"	1908	"seeds"	101	7	5
"E2"	1908	"seeds"	105	8	5
"E2"	1908	"seeds"	100	1	6
"E2"	1908	"seeds"	104	2	6
"E2"	1908	"seeds"	93	3	6
"E2"	1908	"seeds"	95	4	6
"E2"	1908	"seeds"	93	5	6
"E2"	1908	"seeds"	87	6	6
"E2"	1908	"seeds"	88	7	6
"E2"	1908	"seeds"	101	8	6
"E2"	1908	"seeds"	119	1	7
"E2"	1908	"seeds"	114	2	7
"E2"	1908	"seeds"	114	3	7
"E2"	1908	"seeds"	104	4	7
"E2"	1908	"seeds"	121	5	7
"E2"	1908	"seeds"	116	6	7
"E2"	1908	"seeds"	110	7	7
"E2"	1908	"seeds"	110	8	7
"E2"	1908	"seeds"	93	1	8
"E2"	1908	"seeds"	83	2	8
"E2"	1908	"seeds"	96	3	8
"E2"	1908	"seeds"	92	4	8
"E2"	1908	"seeds"	100	5	8
"E2"	1908	"seeds"	91	6	8
"E2"	1908	"seeds"	85	7	8
"E2"	1908	"seeds"	94	8	8
"E2"	1908	"seeds"	113	1	9
"E2"	1908	"seeds"	106	2	9
"E2"	1908	"seeds"	106	3	9
"E2"	1908	"seeds"	110	4	9
"E2"	1908	"seeds"	100	5	9
"E2"	1908	"seeds"	99	6	9
"E2"	1908	"seeds"	94	7	9
"E2"	1908	"seeds"	104	8	9
"E2"	1908	"seeds"	102	1	10
"E2"	1908	"seeds"	96	2	10
"E2"	1908	"seeds"	105	3	10
"E2"	1908	"seeds"	100	4	10
"E2"	1908	"seeds"	94	5	10
"E2"	1908	"seeds"	97	6	10
"E2"	1908	"seeds"	92	7	10
"E2"	1908	"seeds"	100	8	10
"E2"	1908	"seeds"	103	1	11
"E2"	1908	"seeds"	108	2	11
"E2"	1908	"seeds"	102	3	11
"E2"	1908	"seeds"	109	4	11
"E2"	1908	"seeds"	92	5	11
"E2"	1908	"seeds"	98	6	11
"E2"	1908	"seeds"	92	7	11
"E2"	1908	"seeds"	96	8	11
"E2"	1908	"seeds"	97	1	12
"E2"	1908	"seeds"	90	2	12
"E2"	1908	"seeds"	94	3	12
"E2"	1908	"seeds"	98	4	12
"E2"	1908	"seeds"	93	5	12
"E2"	1908	"seeds"	99	6	12
"E2"	1908	"seeds"	98	7	12
"E2"	1908	"seeds"	107	8	12
"E2"	1908	"seeds"	107	1	13
"E2"	1908	"seeds"	106	2	13
"E2"	1908	"seeds"	110	3	13
"E2"	1908	"seeds"	109	4	13
"E2"	1908	"seeds"	107	5	13
"E2"	1908	"seeds"	93	6	13
"E2"	1908	"seeds"	100	7	13
"E2"	1908	"seeds"	102	8	13
"E2"	1908	"seeds"	97	1	14
"E2"	1908	"seeds"	91	2	14
"E2"	1908	"seeds"	98	3	14
"E2"	1908	"seeds"	79	4	14
"E2"	1908	"seeds"	96	5	14
"E2"	1908	"seeds"	97	6	14
"E2"	1908	"seeds"	99	7	14
"E2"	1908	"seeds"	103	8	14
"E2"	1908	"seeds"	103	1	15
"E2"	1908	"seeds"	108	2	15
"E2"	1908	"seeds"	100	3	15
"E2"	1908	"seeds"	98	4	15
"E2"	1908	"seeds"	109	5	15
"E2"	1908	"seeds"	94	6	15
"E2"	1908	"seeds"	98	7	15
"E2"	1908	"seeds"	101	8	15
"E2"	1908	"seeds"	87	1	16
"E2"	1908	"seeds"	95	2	16
"E2"	1908	"seeds"	80	3	16
"E2"	1908	"seeds"	84	4	16
"E2"	1908	"seeds"	99	5	16
"E2"	1908	"seeds"	84	6	16
"E2"	1908	"seeds"	103	7	16
"E2"	1908	"seeds"	99	8	16
"E2"	1909	"rye"	101	1	1
"E2"	1909	"rye"	107	2	1
"E2"	1909	"rye"	102	3	1
"E2"	1909	"rye"	97	4	1
"E2"	1909	"rye"	101	5	1
"E2"	1909	"rye"	102	6	1
"E2"	1909	"rye"	106	7	1
"E2"	1909	"rye"	106	8	1
"E2"	1909	"rye"	84	1	2
"E2"	1909	"rye"	91	2	2
"E2"	1909	"rye"	94	3	2
"E2"	1909	"rye"	94	4	2
"E2"	1909	"rye"	90	5	2
"E2"	1909	"rye"	86	6	2
"E2"	1909	"rye"	90	7	2
"E2"	1909	"rye"	92	8	2
"E2"	1909	"rye"	113	1	3
"E2"	1909	"rye"	114	2	3
"E2"	1909	"rye"	106	3	3
"E2"	1909	"rye"	99	4	3
"E2"	1909	"rye"	101	5	3
"E2"	1909	"rye"	99	6	3
"E2"	1909	"rye"	100	7	3
"E2"	1909	"rye"	104	8	3
"E2"	1909	"rye"	88	1	4
"E2"	1909	"rye"	88	2	4
"E2"	1909	"rye"	84	3	4
"E2"	1909	"rye"	88	4	4
"E2"	1909	"rye"	84	5	4
"E2"	1909	"rye"	84	6	4
"E2"	1909	"rye"	85	7	4
"E2"	1909	"rye"	85	8	4
"E2"	1909	"rye"	110	1	5
"E2"	1909	"rye"	109	2	5
"E2"	1909	"rye"	106	3	5
"E2"	1909	"rye"	105	4	5
"E2"	1909	"rye"	104	5	5
"E2"	1909	"rye"	102	6	5
"E2"	1909	"rye"	104	7	5
"E2"	1909	"rye"	105	8	5
"E2"	1909	"rye"	86	1	6
"E2"	1909	"rye"	85	2	6
"E2"	1909	"rye"	81	3	6
"E2"	1909	"rye"	82	4	6
"E2"	1909	"rye"	85	5	6
"E2"	1909	"rye"	85	6	6
"E2"	1909	"rye"	94	7	6
"E2"	1909	"rye"	88	8	6
"E2"	1909	"rye"	103	1	7
"E2"	1909	"rye"	108	2	7
"E2"	1909	"rye"	101	3	7
"E2"	1909	"rye"	105	4	7
"E2"	1909	"rye"	101	5	7
"E2"	1909	"rye"	103	6	7
"E2"	1909	"rye"	107	7	7
"E2"	1909	"rye"	105	8	7
"E2"	1909	"rye"	88	1	8
"E2"	1909	"rye"	88	2	8
"E2"	1909	"rye"	94	3	8
"E2"	1909	"rye"	90	4	8
"E2"	1909	"rye"	94	5	8
"E2"	1909	"rye"	92	6	8
"E2"	1909	"rye"	93	7	8
"E2"	1909	"rye"	99	8	8
"E2"	1909	"rye"	114	1	9
"E2"	1909	"rye"	112	2	9
"E2"	1909	"rye"	107	3	9
"E2"	1909	"rye"	108	4	9
"E2"	1909	"rye"	107	5	9
"E2"	1909	"rye"	101	6	9
"E2"	1909	"rye"	102	7	9
"E2"	1909	"rye"	101	8	9
"E2"	1909	"rye"	109	1	10
"E2"	1909	"rye"	99	2	10
"E2"	1909	"rye"	99	3	10
"E2"	1909	"rye"	99	4	10
"E2"	1909	"rye"	100	5	10
"E2"	1909	"rye"	98	6	10
"E2"	1909	"rye"	100	7	10
"E2"	1909	"rye"	103	8	10
"E2"	1909	"rye"	111	1	11
"E2"	1909	"rye"	115	2	11
"E2"	1909	"rye"	109	3	11
"E2"	1909	"rye"	102	4	11
"E2"	1909	"rye"	109	5	11
"E2"	1909	"rye"	113	6	11
"E2"	1909	"rye"	105	7	11
"E2"	1909	"rye"	106	8	11
"E2"	1909	"rye"	104	1	12
"E2"	1909	"rye"	103	2	12
"E2"	1909	"rye"	101	3	12
"E2"	1909	"rye"	105	4	12
"E2"	1909	"rye"	101	5	12
"E2"	1909	"rye"	102	6	12
"E2"	1909	"rye"	103	7	12
"E2"	1909	"rye"	107	8	12
"E2"	1909	"rye"	103	1	13
"E2"	1909	"rye"	110	2	13
"E2"	1909	"rye"	114	3	13
"E2"	1909	"rye"	107	4	13
"E2"	1909	"rye"	107	5	13
"E2"	1909	"rye"	106	6	13
"E2"	1909	"rye"	105	7	13
"E2"	1909	"rye"	110	8	13
"E2"	1909	"rye"	107	1	14
"E2"	1909	"rye"	103	2	14
"E2"	1909	"rye"	104	3	14
"E2"	1909	"rye"	104	4	14
"E2"	1909	"rye"	103	5	14
"E2"	1909	"rye"	103	6	14
"E2"	1909	"rye"	106	7	14
"E2"	1909	"rye"	106	8	14
"E2"	1909	"rye"	103	1	15
"E2"	1909	"rye"	108	2	15
"E2"	1909	"rye"	104	3	15
"E2"	1909	"rye"	104	4	15
"E2"	1909	"rye"	112	5	15
"E2"	1909	"rye"	103	6	15
"E2"	1909	"rye"	103	7	15
"E2"	1909	"rye"	97	8	15
"E2"	1909	"rye"	97	1	16
"E2"	1909	"rye"	93	2	16
"E2"	1909	"rye"	92	3	16
"E2"	1909	"rye"	89	4	16
"E2"	1909	"rye"	91	5	16
"E2"	1909	"rye"	96	6	16
"E2"	1909	"rye"	97	7	16
"E2"	1909	"rye"	91	8	16
