site	gen_name	gen	year	yield
StPaul	SouthAfrican	2826	1899	43.7
StPaul	Sisolsk	89	1899	27.5
StPaul	Bernard	881	1900	51.3
StPaul	Oderbrucker	2700	1900	48.3
StPaul	Manchuria	244	1900	52.7
StPaul	FrenchChevalier	175	1900	44.2
StPaul	Scotch	848	1900	52.5
StPaul	Common	184	1900	57.5
StPaul	Manchuria	241	1900	45.8
StPaul	ChampionVermont	1892	1900	43.3
StPaul	Odessa	182	1900	51.3
StPaul	Culver	2825	1900	58.7
StPaul	GoldenQueen	558	1900	53.7
StPaul	Baxter	185	1900	42.5
StPaul	Coast	690	1900	52.5
StPaul	SouthAfrican	2826	1900	64.6
StPaul	Sisolsk	89	1900	42.5
StPaul	Bernard	881	1901	49.6
StPaul	Oderbrucker	2700	1901	44.8
StPaul	Manchuria	244	1901	60
StPaul	FrenchChevalier	175	1901	32.1
StPaul	Scotch	848	1901	47.5
StPaul	Common	184	1901	51.7
StPaul	Manchuria	241	1901	55.4
StPaul	ChampionVermont	1892	1901	38
StPaul	Odessa	182	1901	45.4
StPaul	Culver	2825	1901	25.4
StPaul	GoldenQueen	558	1901	51.7
StPaul	Baxter	185	1901	44.2
StPaul	Coast	690	1901	32.5
StPaul	SouthAfrican	2826	1901	25
StPaul	Sisolsk	89	1901	45.4
StPaul	Sandwell	584	1901	29.2
StPaul	Invincible	590	1901	23.3
StPaul	Kitzing	189	1901	35.4
StPaul	Kitzing	201	1901	33.8
StPaul	Frankish	207	1901	32.1
StPaul	Pilsen	186	1901	32.5
StPaul	Hanna	203	1901	40
StPaul	Svanhals	187	1901	36.6
StPaul	Princess	529	1901	29.6
StPaul	ChevalierII	200	1901	32.5
StPaul	Bernard	881	1902	39.9
StPaul	Oderbrucker	2700	1902	32.7
StPaul	Manchuria	244	1902	53.5
StPaul	FrenchChevalier	175	1902	33.9
StPaul	Scotch	848	1902	41
StPaul	Common	184	1902	42.5
StPaul	Manchuria	241	1902	42.8
StPaul	ChampionVermont	1892	1902	34.2
StPaul	Odessa	182	1902	40
StPaul	Culver	2825	1902	23.2
StPaul	GoldenQueen	558	1902	58.6
StPaul	Baxter	185	1902	30.6
StPaul	Coast	690	1902	33.7
StPaul	SouthAfrican	2826	1902	16.1
StPaul	Sisolsk	89	1902	40.4
StPaul	Sandwell	584	1902	18.9
StPaul	Invincible	590	1902	14.4
StPaul	Kitzing	189	1902	30.8
StPaul	Kitzing	201	1902	34.2
StPaul	Frankish	207	1902	28.8
StPaul	Pilsen	186	1902	27.7
StPaul	Hanna	203	1902	34.2
StPaul	Svanhals	187	1902	21.8
StPaul	Princess	529	1902	22.5
StPaul	ChevalierII	200	1902	29.5
StPaul	Bernard	881	1903	33.9
StPaul	Oderbrucker	2700	1903	42.3
StPaul	Manchuria	244	1903	43.4
StPaul	Scotch	848	1903	37.1
StPaul	Common	184	1903	43
StPaul	Manchuria	241	1903	46.3
StPaul	Odessa	182	1903	46
StPaul	GoldenQueen	558	1903	51.1
StPaul	Sisolsk	89	1903	40.6
StPaul	Kitzing	189	1903	39
StPaul	Kitzing	201	1903	46.3
StPaul	Frankish	207	1903	37.1
StPaul	Pilsen	186	1903	38.3
StPaul	Hanna	203	1903	33
StPaul	Svanhals	187	1903	23.8
StPaul	Princess	529	1903	27.9
StPaul	ChevalierII	200	1903	23.7
StPaul	DuckbillBald	2828	1903	33.9
StPaul	Brush	2829	1903	29.1
StPaul	Ross	2830	1903	42.3
StPaul	Manchuria	2831	1903	50.3
StPaul	CropNursery	2832	1903	23.3
StPaul	Hybrid	2834	1903	32
StPaul	HighlandChief	883	1904	36.6
StPaul	Manchuria	244	1904	43.5
StPaul	Manchuria	241	1904	39.7
StPaul	GoldenQueen	558	1904	43
StPaul	Princess	529	1904	49.1
StPaul	ChevalierII	200	1904	37
StPaul	DuckbillBald	2828	1904	38.7
StPaul	Brush	2829	1904	37
StPaul	Ross	2830	1904	32
StPaul	Manchuria	2831	1904	37
StPaul	CropNursery	2832	1904	34.7
StPaul	Hybrid	2834	1904	33.5
StPaul	Hybrid	2833	1904	34.1
StPaul	Manchuria	2835	1904	41.4
StPaul	Manchuria	2836	1904	41.4
StPaul	Manchuria	2837	1904	32.5
StPaul	Hybrid	2838	1904	34.5
StPaul	Hybrid	2839	1904	17.9
StPaul	Hybrid	2840	1904	25.1
StPaul	Hybrid	2841	1904	22.3
StPaul	Hybrid	2842	1904	38
StPaul	Hybrid	2843	1904	30.4
StPaul	Hybrid	2844	1904	20.4
StPaul	Hybrid	2845	1904	25
StPaul	Hybrid	2846	1904	31.1
StPaul	Hybrid	2847	1904	26
StPaul	Hanna	319	1904	37.1
StPaul	Hannchen	531	1904	29.2
StPaul	Primus	532	1904	25.4
StPaul	HighlandChief	883	1905	46.6
StPaul	Manchuria	244	1905	52.7
StPaul	Manchuria	241	1905	52.3
StPaul	GoldenQueen	558	1905	43.7
StPaul	Princess	529	1905	48.3
StPaul	ChevalierII	200	1905	45.8
StPaul	DuckbillBald	2828	1905	56.2
StPaul	Brush	2829	1905	45.4
StPaul	Ross	2830	1905	62.5
StPaul	Manchuria	2831	1905	60
StPaul	CropNursery	2832	1905	55.4
StPaul	Hybrid	2834	1905	42.9
StPaul	Hybrid	2833	1905	45
StPaul	Manchuria	2835	1905	55
StPaul	Manchuria	2836	1905	54.5
StPaul	Manchuria	2837	1905	51.6
StPaul	Hybrid	2838	1905	51.2
StPaul	Hybrid	2839	1905	34.1
StPaul	Hybrid	2840	1905	33.7
StPaul	Hybrid	2841	1905	32.9
StPaul	Hybrid	2842	1905	42
StPaul	Hybrid	2843	1905	32.9
StPaul	Hybrid	2844	1905	31.6
StPaul	Hybrid	2845	1905	38.7
StPaul	Hybrid	2846	1905	42.9
StPaul	Hybrid	2847	1905	39.2
StPaul	Hanna	319	1905	45.8
StPaul	Hannchen	531	1905	51.2
StPaul	Primus	532	1905	40
StPaul	BlueRibbon	611	1905	50
StPaul	HighlandChief	883	1906	38.9
StPaul	Manchuria	244	1906	37.7
StPaul	Manchuria	241	1906	34.3
StPaul	GoldenQueen	558	1906	35.4
StPaul	Princess	529	1906	33.5
StPaul	ChevalierII	200	1906	29.2
StPaul	DuckbillBald	2828	1906	30
StPaul	Ross	2830	1906	47.9
StPaul	Manchuria	2831	1906	41.6
StPaul	CropNursery	2832	1906	40.8
StPaul	Hybrid	2834	1906	30.8
StPaul	Hybrid	2833	1906	32.5
StPaul	Manchuria	2835	1906	45.8
StPaul	Manchuria	2836	1906	45.8
StPaul	Manchuria	2837	1906	41.6
StPaul	Hybrid	2838	1906	31.2
StPaul	Hybrid	2839	1906	23.7
StPaul	Hybrid	2840	1906	22.7
StPaul	Hybrid	2841	1906	34.5
StPaul	Hybrid	2842	1906	40.4
StPaul	Hybrid	2843	1906	34.1
StPaul	Hybrid	2844	1906	33.5
StPaul	Hybrid	2845	1906	30.2
StPaul	Hybrid	2846	1906	34.1
StPaul	Hybrid	2847	1906	33.5
StPaul	Hanna	319	1906	36.5
StPaul	Hannchen	531	1906	29.2
StPaul	Primus	532	1906	25
StPaul	BlueRibbon	611	1906	41.2
StPaul	Manchuria	2827	1906	44.2
StPaul	Manchuria	2848	1906	45
StPaul	Manchuria	2849	1906	45.8
StPaul	Manchuria	2850	1906	49.2
StPaul	Manchuria	2851	1906	43
StPaul	Manchuria	2852	1906	42.9
StPaul	Manchuria	2853	1906	42.5
StPaul	Manchuria	2854	1906	50
StPaul	Manchuria	2855	1906	50
StPaul	Manchuria	2856	1906	44.2
StPaul	Manchuria	2857	1906	49.2
StPaul	Manchuria	2858	1906	59.6
StPaul	Manchuria	2861	1906	59.2
StPaul	Manchuria	2863	1906	55.8
StPaul	Manchuria	2865	1906	60
StPaul	Manchuria	2867	1906	51.7
StPaul	Manchuria	2866	1906	48.8
StPaul	Manchuria	2868	1906	50.8
StPaul	Manchuria	2869	1906	47.9
StPaul	Manchuria	2870	1906	49.2
StPaul	Manchuria	2330	1906	50
StPaul	Manchuria	2871	1906	53
StPaul	Manchuria	2872	1906	47
StPaul	Manchuria	2873	1906	45
StPaul	Manchuria	2874	1906	37.5
StPaul	Hybrid	2875	1906	37.9
StPaul	Hybrid	2876	1906	33.8
StPaul	Chevalier	2877	1906	26.7
StPaul	FrankishBrewing	2878	1906	37.9
StPaul	HighlandChief	883	1907	20
StPaul	Manchuria	244	1907	43.5
StPaul	Manchuria	241	1907	40
StPaul	GoldenQueen	558	1907	40
StPaul	Ross	2830	1907	40.4
StPaul	Manchuria	2831	1907	38.7
StPaul	CropNursery	2832	1907	32
StPaul	Manchuria	2835	1907	35.4
StPaul	Manchuria	2836	1907	41.6
StPaul	Manchuria	2837	1907	41.6
StPaul	BlueRibbon	611	1907	37.5
StPaul	Manchuria	2827	1907	41.6
StPaul	Manchuria	2848	1907	43.7
StPaul	Manchuria	2849	1907	44.1
StPaul	Manchuria	2850	1907	45.8
StPaul	Manchuria	2851	1907	47.1
StPaul	Manchuria	2852	1907	47.1
StPaul	Manchuria	2853	1907	40
StPaul	Manchuria	2854	1907	39.5
StPaul	Manchuria	2855	1907	46.2
StPaul	Manchuria	2856	1907	45.8
StPaul	Manchuria	2861	1907	29.2
StPaul	Manchuria	2866	1907	44.2
StPaul	Manchuria	2868	1907	43.7
StPaul	Manchuria	2869	1907	39.5
StPaul	Manchuria	2870	1907	41.6
StPaul	Manchuria	2879	1907	36.2
StPaul	HighlandChief	883	1908	33.1
StPaul	Oderbrucker	2700	1908	40.6
StPaul	Manchuria	244	1908	34.4
StPaul	Scotch	848	1908	32.5
StPaul	GoldenQueen	558	1908	48.3
StPaul	Svanhals	187	1908	30
StPaul	Princess	529	1908	31.7
StPaul	ChevalierII	200	1908	37.1
StPaul	DuckbillBald	2828	1908	26.4
StPaul	Manchuria	2831	1908	46.9
StPaul	CropNursery	2832	1908	31.3
StPaul	Hybrid	2838	1908	33.5
StPaul	Hybrid	2843	1908	41.6
StPaul	Hybrid	2844	1908	26.8
StPaul	Hybrid	2846	1908	26.6
StPaul	Hanna	319	1908	34.3
StPaul	Hannchen	531	1908	29.4
StPaul	Primus	532	1908	23.3
StPaul	BlueRibbon	611	1908	38.6
StPaul	Manchuria	2827	1908	43.9
StPaul	Manchuria	2848	1908	47
StPaul	Manchuria	2849	1908	45.8
StPaul	Manchuria	2850	1908	45.2
StPaul	Manchuria	2851	1908	44.5
StPaul	Manchuria	2852	1908	41.6
StPaul	Manchuria	2854	1908	43.8
StPaul	Manchuria	2855	1908	45.8
StPaul	Manchuria	2856	1908	45.8
StPaul	Manchuria	2857	1908	43.5
StPaul	Manchuria	2858	1908	46.2
StPaul	Manchuria	2863	1908	50
StPaul	Manchuria	2865	1908	44.1
StPaul	Manchuria	2867	1908	40.8
StPaul	Manchuria	2866	1908	38.3
StPaul	Manchuria	2868	1908	42.7
StPaul	Manchuria	2869	1908	37.7
StPaul	Manchuria	2870	1908	40.4
StPaul	Manchuria	2330	1908	48.3
StPaul	Manchuria	2871	1908	43.9
StPaul	Manchuria	2872	1908	42.5
StPaul	Manchuria	2873	1908	39.3
StPaul	Manchuria	2874	1908	44.3
StPaul	Hybrid	2875	1908	34.7
StPaul	Hybrid	2876	1908	34.1
StPaul	FrankishBrewing	2878	1908	40.6
StPaul	Manchuria	2879	1908	43.3
StPaul	Himalaya	620	1908	15.4
StPaul	Gutekorn	606	1908	41.8
StPaul	Manchuria	2881	1908	41.2
StPaul	Manchuria	2882	1908	56.6
StPaul	Manchuria	2883	1908	55.2
StPaul	Manchuria	2884	1908	55.6
StPaul	Manchuria	2885	1908	56.2
StPaul	Hanna	2886	1908	28.9
StPaul	SilverBeardless	2887	1908	26.7
StPaul	Hybrid	2888	1908	31.8
StPaul	Hybrid	2889	1908	46.6
StPaul	Hybrid	2890	1908	41.4
StPaul	Hybrid	2891	1908	39.5
StPaul	Hybrid	2892	1908	33.5
StPaul	Hybrid	2893	1908	38.5
StPaul	Hybrid	2894	1908	32.5
StPaul	Hybrid	2895	1908	33.9
StPaul	Hybrid	2896	1908	30
StPaul	Cheney	2897	1908	29.1
StPaul	AustralianWhite	2898	1908	23.3
StPaul	ChampionVermont	2899	1908	28.8
StPaul	FrenchChevalier	2900	1908	38.3
StPaul	GoldenQueen	2901	1908	40.8
StPaul	Hanna	2902	1908	30.5
StPaul	Chevalier	156	1908	28.8
StPaul	TennesseeWinter	257	1908	11.7
StPaul	CanadianLakeshore	2750	1908	33.4
StPaul	Gottland	2749	1908	36.8
StPaul	Manchurian	739	1908	37
StPaul	Garton	266	1908	32
StPaul	Manchuria	2859	1908	39.3
StPaul	Manchuria	2860	1908	35
StPaul	Manchuria	2862	1908	46.8
StPaul	Manchuria	2864	1908	47.5
StPaul	Daniels	2880	1908	43.3
StPaul	BlackHullless	596	1909	35.8
StPaul	Oderbrucker	2700	1909	40.4
StPaul	Manchuria	244	1909	47.4
StPaul	Odessa	182	1909	38.3
StPaul	GoldenQueen	558	1909	41.7
StPaul	Svanhals	187	1909	46.7
StPaul	Princess	529	1909	29.6
StPaul	ChevalierII	200	1909	32.5
StPaul	DuckbillBald	2828	1909	51.7
StPaul	Manchuria	2831	1909	35
StPaul	Hybrid	2838	1909	49.2
StPaul	Hybrid	2846	1909	46.7
StPaul	Hanna	319	1909	45.5
StPaul	Hannchen	531	1909	38.3
StPaul	Primus	532	1909	31.7
StPaul	Manchuria	2863	1909	40.8
StPaul	Manchuria	2330	1909	42.5
StPaul	Hybrid	2875	1909	26.7
StPaul	FrankishBrewing	2878	1909	38.3
StPaul	Gutekorn	606	1909	40.8
StPaul	Manchuria	2881	1909	41.7
StPaul	Manchuria	2882	1909	40.8
StPaul	Manchuria	2883	1909	37.5
StPaul	Manchuria	2884	1909	35.4
StPaul	Manchuria	2885	1909	39.2
StPaul	Hanna	2886	1909	44.2
StPaul	Hybrid	2888	1909	35
StPaul	Hybrid	2889	1909	44.2
StPaul	Hybrid	2890	1909	30.8
StPaul	Hybrid	2891	1909	31.7
StPaul	Hybrid	2892	1909	36.7
StPaul	Hybrid	2893	1909	34.2
StPaul	Hybrid	2894	1909	29.2
StPaul	Hybrid	2895	1909	29.2
StPaul	Hybrid	2896	1909	22.5
StPaul	Cheney	2897	1909	42.5
StPaul	ChampionVermont	2899	1909	40.8
StPaul	FrenchChevalier	2900	1909	50
StPaul	GoldenQueen	2901	1909	31.7
StPaul	Gottland	2749	1909	35
StPaul	Manchurian	739	1909	36.7
StPaul	Garton	266	1909	45
StPaul	Manchuria	2862	1909	36.7
StPaul	Daniels	2880	1909	36.7
StPaul	Mensury	2657	1909	40.8
StPaul	Malting	2909	1909	38.3
StPaul	SilverKing	890	1909	43.3
StPaul	Chevalier	2910	1909	40.8
StPaul	Nepal	595	1909	25.8
StPaul	BlackHullless	596	1910	28.7
StPaul	Oderbrucker	2700	1910	26.2
StPaul	Manchuria	244	1910	29
StPaul	Manchuria	241	1910	26.6
StPaul	Odessa	182	1910	30.4
StPaul	GoldenQueen	558	1910	24.7
StPaul	Svanhals	187	1910	27.2
StPaul	Princess	529	1910	25.4
StPaul	DuckbillBald	2828	1910	23.7
StPaul	Manchuria	2831	1910	22.2
StPaul	Hybrid	2838	1910	29.3
StPaul	Hybrid	2846	1910	20.8
StPaul	Hanna	319	1910	28.7
StPaul	Hannchen	531	1910	29.3
StPaul	Primus	532	1910	22
StPaul	BlueRibbon	611	1910	29.3
StPaul	Manchuria	2863	1910	34.5
StPaul	Manchuria	2330	1910	46.2
StPaul	Gutekorn	606	1910	17.9
StPaul	Manchuria	2881	1910	46.8
StPaul	Manchuria	2882	1910	46.8
StPaul	Manchuria	2883	1910	34.7
StPaul	Manchuria	2884	1910	32.9
StPaul	Manchuria	2885	1910	37.9
StPaul	Hybrid	2889	1910	28.3
StPaul	Hybrid	2890	1910	25.4
StPaul	Hybrid	2891	1910	24.7
StPaul	Hybrid	2892	1910	34.5
StPaul	Hybrid	2893	1910	24.5
StPaul	Hybrid	2894	1910	20.4
StPaul	Hybrid	2895	1910	22.7
StPaul	Hybrid	2896	1910	25.4
StPaul	ChampionVermont	2899	1910	25.4
StPaul	FrenchChevalier	2900	1910	28.1
StPaul	GoldenQueen	2901	1910	30.2
StPaul	Gottland	2749	1910	20
StPaul	Manchurian	739	1910	34.3
StPaul	Garton	266	1910	24.9
StPaul	Mensury	2657	1910	42
StPaul	Malting	2909	1910	29.7
StPaul	SilverKing	890	1910	31.4
StPaul	Chevalier	2910	1910	25.4
StPaul	Nepal	595	1910	26.9
StPaul	ReedTriumph	889	1910	15.4
StPaul	Hybrid	2911	1910	28.9
StPaul	Hybrid	2912	1910	26.6
StPaul	Hybrid	2913	1910	22.7
StPaul	Hybrid	2914	1910	26.2
StPaul	Manchuria	2903	1910	25.6
StPaul	Manchuria	2904	1910	23.9
StPaul	Manchuria	2905	1910	28.7
StPaul	Manchuria	2906	1910	23.1
StPaul	Manchuria	2907	1910	24.7
StPaul	Manchuria	2908	1910	28.7
StPaul	Manchuria	2915	1910	28.3
StPaul	Manchuria	2916	1910	31.2
StPaul	Manchuria	2917	1910	26.2
StPaul	Manchuria	2918	1910	24.7
StPaul	BlackHullless	596	1911	27.5
StPaul	Oderbrucker	2700	1911	38.9
StPaul	Manchuria	244	1911	43.4
StPaul	Manchuria	241	1911	36.7
StPaul	Odessa	182	1911	38.3
StPaul	GoldenQueen	558	1911	43.7
StPaul	Manchuria	2831	1911	44.6
StPaul	Hybrid	2846	1911	30.8
StPaul	BlueRibbon	611	1911	37.1
StPaul	Manchuria	2863	1911	42.9
StPaul	Manchuria	2330	1911	54.2
StPaul	Manchuria	2881	1911	33.7
StPaul	Manchuria	2882	1911	44.2
StPaul	Manchuria	2883	1911	44.6
StPaul	Manchuria	2884	1911	44.2
StPaul	Manchuria	2885	1911	47.5
StPaul	Mensury	2657	1911	41.7
StPaul	Malting	2909	1911	38.3
StPaul	SilverKing	890	1911	38.3
StPaul	Nepal	595	1911	22.5
StPaul	ReedTriumph	889	1911	30.4
StPaul	Hybrid	2911	1911	38.8
StPaul	Hybrid	2912	1911	35
StPaul	Hybrid	2913	1911	25
StPaul	Hybrid	2914	1911	38.3
StPaul	Manchuria	2903	1911	44.2
StPaul	Manchuria	2904	1911	36.3
StPaul	Manchuria	2905	1911	29.2
StPaul	Manchuria	2906	1911	38.3
StPaul	Manchuria	2907	1911	35
StPaul	Manchuria	2908	1911	39.2
StPaul	Manchuria	2915	1911	30.8
StPaul	Manchuria	2916	1911	29.6
StPaul	Manchuria	2917	1911	40.8
StPaul	Manchuria	2918	1911	41
StPaul	Manchuria	244	1912	33.6
StPaul	Svanhals	187	1912	38.3
StPaul	Princess	529	1912	5
StPaul	DuckbillBald	2828	1912	34.2
StPaul	Hybrid	2838	1912	34.2
StPaul	Hanna	319	1912	48.3
StPaul	Hannchen	531	1912	38.3
StPaul	Primus	532	1912	38.3
StPaul	Gutekorn	606	1912	37.9
StPaul	Hybrid	2889	1912	35.8
StPaul	ChampionVermont	2899	1912	29.2
StPaul	FrenchChevalier	2900	1912	39.2
StPaul	Garton	266	1912	23.3
StPaul	Hanna	2919	1912	38.3
StPaul	Maltster	585	1912	10
StPaul	Proskowetz	893	1912	40
StPaul	BlackHullless	2726	1912	15.8
StPaul	BlackHullless	596	1913	53.2
StPaul	Horsford	507	1913	43.5
StPaul	Oderbrucker	2700	1913	68.5
StPaul	Manchuria	244	1913	67.4
StPaul	Manchuria	241	1913	69.3
StPaul	KinverChevalier	587	1913	44.4
StPaul	Odessa	182	1913	59.6
StPaul	GoldenQueen	558	1913	66.7
StPaul	Svanhals	187	1913	63.4
StPaul	Princess	529	1913	25.7
StPaul	DuckbillBald	2828	1913	72.5
StPaul	Hybrid	2838	1913	55.3
StPaul	Hybrid	2846	1913	49.6
StPaul	Hanna	319	1913	57.5
StPaul	Hannchen	531	1913	35.6
StPaul	Primus	532	1913	51.8
StPaul	BlueRibbon	611	1913	59.6
StPaul	Manchuria	2854	1913	65.6
StPaul	Manchuria	2330	1913	79.6
StPaul	Gutekorn	606	1913	55.9
StPaul	Hybrid	2889	1913	62.7
StPaul	ChampionVermont	2899	1913	47.1
StPaul	FrenchChevalier	2900	1913	67
StPaul	Garton	266	1913	50.1
StPaul	Mensury	2657	1913	64.2
StPaul	Malting	2909	1913	60.7
StPaul	SilverKing	890	1913	69.3
StPaul	Nepal	595	1913	26.6
StPaul	ReedTriumph	889	1913	67
StPaul	Hybrid	2911	1913	54.7
StPaul	Hybrid	2912	1913	56.2
StPaul	Hybrid	2913	1913	60.7
StPaul	Hybrid	2914	1913	61.6
StPaul	Manchuria	2903	1913	69.9
StPaul	Manchuria	2904	1913	62.5
StPaul	Manchuria	2905	1913	73.9
StPaul	Manchuria	2906	1913	68.2
StPaul	Manchuria	2907	1913	65.3
StPaul	Manchuria	2908	1913	63
StPaul	Manchuria	2915	1913	57.6
StPaul	Manchuria	2916	1913	62.5
StPaul	Manchuria	2917	1913	70.5
StPaul	Manchuria	2918	1913	65.9
StPaul	Hanna	2919	1913	65
StPaul	Gisborne	1030	1913	17.7
StPaul	Maltster	585	1913	21.5
StPaul	Proskowetz	893	1913	63
StPaul	BlackHullless	2726	1913	43.1
StPaul	Chevalier	1170	1913	36.7
StPaul	Baku	2920	1913	45.8
StPaul	Sexradigt	607	1913	63.3
StPaul	Coast	2921	1913	67
StPaul	Scotch	2922	1913	75.1
StPaul	Mansfield	2923	1913	64.7
StPaul	Mensury	2924	1913	79.6
StPaul	Manchuria	2925	1913	77.9
StPaul	Manchuria	2926	1913	68.8
StPaul	Manchuria	2823	1913	76
StPaul	Manchuria	2927	1913	77.1
StPaul	Manchuria	2928	1913	81.9
StPaul	Manchuria	2929	1913	70.5
StPaul	Manchuria	2930	1913	79.1
StPaul	WhiteSmyrna	195	1913	48.7
StPaul	Composite	1147	1913	55
StPaul	Gatami	575	1913	69.3
StPaul	BlackHullless	1106	1913	41.8
StPaul	Hybrid	2931	1913	73.9
StPaul	Hybrid	2932	1913	70.2
StPaul	BlackHullless	596	1914	26.9
StPaul	Horsford	507	1914	41.8
StPaul	Oderbrucker	2700	1914	58.2
StPaul	Manchuria	244	1914	59.8
StPaul	KinverChevalier	587	1914	13.8
StPaul	GoldenQueen	558	1914	48.7
StPaul	Svanhals	187	1914	37.8
StPaul	Princess	529	1914	8
StPaul	DuckbillBald	2828	1914	32.1
StPaul	Hybrid	2838	1914	50.4
StPaul	Hanna	319	1914	34.9
StPaul	Hannchen	531	1914	49.3
StPaul	Primus	532	1914	14.9
StPaul	BlueRibbon	611	1914	52.7
StPaul	Manchuria	2330	1914	57.8
StPaul	Gutekorn	606	1914	27.5
StPaul	FrenchChevalier	2900	1914	40.7
StPaul	Mensury	2657	1914	52.1
StPaul	SilverKing	890	1914	47.5
StPaul	Nepal	595	1914	25.2
StPaul	ReedTriumph	889	1914	56
StPaul	Gisborne	1030	1914	9.7
StPaul	Maltster	585	1914	14.3
StPaul	Proskowetz	893	1914	33.5
StPaul	BlackHullless	2726	1914	44.7
StPaul	Chevalier	1170	1914	22.9
StPaul	Sexradigt	607	1914	35.5
StPaul	Coast	2921	1914	60.1
StPaul	Scotch	2922	1914	56.1
StPaul	Mansfield	2923	1914	51.5
StPaul	Mensury	2924	1914	63.6
StPaul	Manchuria	2925	1914	54.4
StPaul	Manchuria	2926	1914	60.2
StPaul	Manchuria	2823	1914	61.3
StPaul	Manchuria	2927	1914	59.6
StPaul	Manchuria	2928	1914	63
StPaul	Manchuria	2929	1914	61.3
StPaul	Manchuria	2930	1914	57.3
StPaul	WhiteSmyrna	195	1914	33.8
StPaul	Composite	1147	1914	48.7
StPaul	Gatami	575	1914	48.8
StPaul	BlackHullless	1106	1914	13.8
StPaul	Hybrid	2931	1914	52.1
StPaul	Hybrid	2932	1914	41.3
StPaul	Luth	908	1914	52.7
StPaul	Hanna	906	1914	48.1
StPaul	Featherston	911	1914	45.8
StPaul	Steigum	907	1914	45.8
