env	loc	year	gen	yield	height	lodging	size	protein	oil
B70	Brookstead	1970	G21	1.469	0.94	3	7.3	40.8	17.59
B70	Brookstead	1970	G22	1.865	0.89	2.5	7.9	45.8	16.96
B70	Brookstead	1970	G23	1.316	1.14	2.5	7	42.8	17.3
B70	Brookstead	1970	G24	2.153	0.99	2.5	9.85	38.95	20.495
B70	Brookstead	1970	G25	1.148	1.19	2.25	7.75	38.2	20.165
B70	Brookstead	1970	G26	2.023	1.13	2.25	8.8	38.6	19.92
B70	Brookstead	1970	G27	2.42	1.22	2	10.7	40.9	19.415
B70	Brookstead	1970	G28	1.706	1.17	3	7.6	38.2	19.99
B70	Brookstead	1970	G29	0.779	1.195	2.5	7.8	40.35	17.965
B70	Brookstead	1970	G30	0.424	1.07	2.5	5.75	40.25	16.495
B70	Brookstead	1970	G31	1.595	1.055	2.5	8.05	40.65	19.27
B70	Brookstead	1970	G32	1.71	1.155	2.5	8.55	43.6	18.415
B70	Brookstead	1970	G33	2.832	1.18	2.75	9.05	39.35	19.745
B70	Brookstead	1970	G34	1.704	1.18	2.5	7.9	40.2	18.76
B70	Brookstead	1970	G35	1.403	1.055	2.5	8.65	40.1	19.15
B70	Brookstead	1970	G36	0.814	1.105	3.25	6.2	40.95	16.56
B70	Brookstead	1970	G37	1.467	1.04	3.25	7.6	44.45	17.42
B70	Brookstead	1970	G38	2.137	0.94	2	9.05	40.85	19.76
B70	Brookstead	1970	G39	2.349	1.105	2.75	8.7	42.75	19.36
B70	Brookstead	1970	G40	1.77	1.245	3.75	9.85	41.85	19.125
B70	Brookstead	1970	G41	2.23	1.32	4.5	10.3	41.3	19.755
B70	Brookstead	1970	G42	1.215	1.32	3	15.4	41.95	19.15
B70	Brookstead	1970	G43	0.975	0.915	3.25	6.35	41.75	16.905
B70	Brookstead	1970	G44	1.352	0.86	1.75	14.05	39.35	19.715
B70	Brookstead	1970	G45	2.789	0.775	1.75	22.1	35.85	22.175
B70	Brookstead	1970	G46	2.269	0.8	1	15.15	37.05	23.08
B70	Brookstead	1970	G47	2.405	0.875	1.25	20.05	38.95	22.46
B70	Brookstead	1970	G48	2.729	0.93	1.75	16	37.9	24.095
B70	Brookstead	1970	G49	2.81	1.07	2.5	20	37.25	21.825
B70	Brookstead	1970	G50	3.16	0.94	1.25	15.65	34.2	25.045
B70	Brookstead	1970	G51	0.939	0.71	1.25	18.55	40.5	20.345
B70	Brookstead	1970	G52	0.466	0.56	1.25	10.2	40.35	17.37
B70	Brookstead	1970	G53	2.886	0.9	1.5	18.3	38.4	23.535
B70	Brookstead	1970	G54	1.037	0.675	1.25	19.45	37	22.105
B70	Brookstead	1970	G55	2.327	0.71	1	15.05	37.4	24.925
B70	Brookstead	1970	G56	2.523	0.765	1.5	19.85	39.25	22.205
B70	Brookstead	1970	G57	2.824	0.71	1.25	21.5	41.4	22.14
B70	Brookstead	1970	G58	0.617	0.66	1	16.5	42.1	19.415
N70	Nambour	1970	G01	2.263	0.75	2.25	9.25	34.25	22.33
N70	Nambour	1970	G02	2.164	0.71	2	9.35	37.6	22.445
N70	Nambour	1970	G03	2.354	0.685	1.5	11.9	35.5	23.68
N70	Nambour	1970	G04	2.125	0.71	1.5	12.75	34.35	23.175
N70	Nambour	1970	G05	2.583	0.71	1.25	12.7	33.2	24.82
N70	Nambour	1970	G06	2.451	0.595	1.25	11.95	35.1	23.17
N70	Nambour	1970	G07	2.354	0.645	1.5	12.75	34.15	24.1
N70	Nambour	1970	G08	1.967	0.595	1.5	12.55	35.75	21.445
N70	Nambour	1970	G09	2.236	0.71	1.5	10.6	34.55	23.1
N70	Nambour	1970	G10	1.636	0.595	1	9.5	33.7	22.045
N70	Nambour	1970	G11	1.932	0.65	2.25	8	37.05	22.355
N70	Nambour	1970	G12	1.951	0.785	3.25	8.15	38.7	20.945
N70	Nambour	1970	G13	1.787	0.86	2.5	8.55	37.65	21.71
N70	Nambour	1970	G14	2.282	0.725	1.5	8.65	34.8	22.745
N70	Nambour	1970	G15	1.978	0.76	1.75	9.4	37.65	22.13
N70	Nambour	1970	G16	1.938	0.71	2.25	9.25	36.4	23.01
N70	Nambour	1970	G17	1.916	0.685	2	8.45	39.6	20.23
N70	Nambour	1970	G18	1.865	0.835	2.25	8.75	38	20.1
N70	Nambour	1970	G19	1.956	0.76	2.5	9.9	39.45	20.455
N70	Nambour	1970	G20	1.9	0.685	1.5	9.85	38.95	19.93
N70	Nambour	1970	G21	2.062	0.825	2.75	8.8	37.1	20.88
N70	Nambour	1970	G22	1.763	0.685	1.5	9.3	37.5	20.34
N70	Nambour	1970	G23	1.932	0.825	1.75	7.55	36.35	20.755
N70	Nambour	1970	G24	2.403	0.725	2.25	10.9	38.9	22.455
N70	Nambour	1970	G25	2.64	0.71	1.5	11.1	36.6	24.01
N70	Nambour	1970	G26	1.572	0.61	1	10.8	37.85	21.96
N70	Nambour	1970	G27	2.312	0.76	1.25	9.65	36.75	22.74
N70	Nambour	1970	G28	2.077	0.7	1.5	8.75	33.2	23.395
N70	Nambour	1970	G29	2.035	0.785	2.5	10.1	37.9	21.37
N70	Nambour	1970	G30	1.684	0.875	1.5	9.05	35.95	22.135
N70	Nambour	1970	G31	2.074	0.8	1.5	8.05	36.8	21.985
N70	Nambour	1970	G32	2.115	0.955	2.5	10.75	39.2	21.3
N70	Nambour	1970	G33	1.849	0.775	1.5	10.6	34.7	22.8
N70	Nambour	1970	G34	1.816	0.94	1.75	7.65	36.5	22.35
N70	Nambour	1970	G35	1.921	0.8	1.75	9.5	36.25	21.03
N70	Nambour	1970	G36	1.569	0.835	2	13.25	35.55	21.555
N70	Nambour	1970	G37	1.797	0.91	1.5	9.05	39.9	20.625
N70	Nambour	1970	G38	1.972	0.66	1.25	10.8	37.75	22.8
N70	Nambour	1970	G39	1.938	0.91	1.5	9.5	37.45	22.95
N70	Nambour	1970	G40	1.407	0.825	1	8.95	37.75	22.4
N70	Nambour	1970	G41	1.598	0.825	1.5	12.75	37.65	22.015
N70	Nambour	1970	G42	1.76	1	2.25	18.15	37.75	21.91
N70	Nambour	1970	G43	1.593	0.725	1.5	7.8	36.2	21.235
N70	Nambour	1970	G44	1.02	0.435	1	14.5	35.55	24.52
N70	Nambour	1970	G45	2.377	0.42	1	16	35.55	25.24
N70	Nambour	1970	G46	1.162	0.395	1	15.55	34.35	25.65
N70	Nambour	1970	G47	1.819	0.535	1	15.75	38.8	23.505
N70	Nambour	1970	G48	2.25	0.42	1	15.35	35.95	25.8
N70	Nambour	1970	G49	1.941	0.495	1	13.4	33.25	25.725
N70	Nambour	1970	G50	1.806	0.435	1	17.8	34.95	26.845
N70	Nambour	1970	G51	0.983	0.395	1	14.75	38.45	23.46
N70	Nambour	1970	G52	0.71	0.33	1	14.05	36.45	24.64
N70	Nambour	1970	G53	1.972	0.48	1	19.75	39.55	23.615
N70	Nambour	1970	G54	1.838	0.455	1	19.05	37.4	25.92
N70	Nambour	1970	G55	1.897	0.3	1	16.85	38	24.57
N70	Nambour	1970	G56	1.916	0.41	1	20.25	39.05	23.58
N70	Nambour	1970	G57	1.983	0.355	1	18.6	38.95	24.755
N70	Nambour	1970	G58	0.282	0.395	1	17.35	39.2	20.845
R70	RedlandBay	1970	G01	0.778	0.9	3.25	6.25	40.75	15.92
R70	RedlandBay	1970	G02	1.087	0.9	3.75	7.35	40.95	17.645
R70	RedlandBay	1970	G03	1.58	0.835	2.25	8.5	39.8	19.975
R70	RedlandBay	1970	G04	1.986	1.005	2.5	8.85	39.95	21.075
R70	RedlandBay	1970	G05	2.035	0.85	2.25	9.65	37.4	21.425
R70	RedlandBay	1970	G06	1.353	0.93	3	9.3	38	19.91
R70	RedlandBay	1970	G07	1.811	0.9	2.25	7.85	37.7	20.735
R70	RedlandBay	1970	G08	1.165	0.89	1.75	7.9	39.5	19.13
R70	RedlandBay	1970	G09	1.927	0.93	2.25	8.65	38.2	19.76
R70	RedlandBay	1970	G10	1.517	0.85	2.75	10.3	39.35	20.015
R70	RedlandBay	1970	G11	0.455	1.005	3.5	4	42.9	14.23
R70	RedlandBay	1970	G12	0.492	1.05	3.25	4.1	41.75	13.88
R70	RedlandBay	1970	G13	0.644	0.995	3.75	6.35	42.6	15.21
R70	RedlandBay	1970	G14	1.022	1.105	3.75	6.55	40.05	17.32
R70	RedlandBay	1970	G15	1.334	1	3	7.1	40.45	17.375
R70	RedlandBay	1970	G16	0.737	0.965	3.5	7.05	42.85	15.41
R70	RedlandBay	1970	G17	0.487	0.89	3.25	5.65	44.75	13.06
R70	RedlandBay	1970	G18	0.667	1.08	3.5	4.65	46	13.615
R70	RedlandBay	1970	G19	0.969	1.215	4	8.65	43.2	18.325
R70	RedlandBay	1970	G20	0.793	1.08	4	6.95	43.9	14.845
R70	RedlandBay	1970	G21	0.716	0.86	3	6.65	43.6	13.03
R70	RedlandBay	1970	G22	0.557	0.98	3	5.45	45.05	13.395
R70	RedlandBay	1970	G23	0.622	1.005	2.75	5.25	41.55	14.075
R70	RedlandBay	1970	G24	1.254	0.9	3	7.1	40.75	18.055
R70	RedlandBay	1970	G25	1.596	1.09	3.75	7.05	40.1	18.585
R70	RedlandBay	1970	G26	1.556	0.995	3.5	7.3	40.25	17.285
R70	RedlandBay	1970	G27	1.59	0.925	3	7.5	40.55	17.41
R70	RedlandBay	1970	G28	0.81	1.115	3.25	5.05	39.8	16.75
R70	RedlandBay	1970	G29	1.359	1.445	4.25	8	41.15	18.685
R70	RedlandBay	1970	G30	0.928	1.07	2.5	6.65	44.6	16.245
R70	RedlandBay	1970	G31	0.517	0.93	3.5	6.7	42.55	15.65
R70	RedlandBay	1970	G32	1.042	0.955	2.75	6.8	43.8	16.07
R70	RedlandBay	1970	G33	1.471	1.015	3.5	8.85	40.15	19.075
R70	RedlandBay	1970	G34	0.987	0.99	3.5	6.05	42.7	16.265
R70	RedlandBay	1970	G35	1.141	1.12	3	7.1	40.95	17.05
R70	RedlandBay	1970	G36	0.365	0.915	3.75	6.15	42.9	14.32
R70	RedlandBay	1970	G37	1.302	1.12	3.25	8.45	42.1	17.985
R70	RedlandBay	1970	G38	1.114	0.825	3	7.05	40.95	17.305
R70	RedlandBay	1970	G39	1.515	1.28	4.25	6.85	42.9	18.21
R70	RedlandBay	1970	G40	1.44	0.995	3.5	6.25	43.25	17.265
R70	RedlandBay	1970	G41	1.669	1.04	4.25	8.8	40.9	20.81
R70	RedlandBay	1970	G42	1.222	1.095	3.5	13.25	44.5	20.795
R70	RedlandBay	1970	G43	1.111	1.005	2.25	4.65	41.75	16.065
R70	RedlandBay	1970	G44	3.07	0.61	2	16	37.2	23.815
R70	RedlandBay	1970	G45	2.535	0.56	2	16.55	36.75	24.105
R70	RedlandBay	1970	G46	3.394	0.495	2.25	18.3	37.95	23.425
R70	RedlandBay	1970	G47	2.938	0.605	1.75	17.1	37.8	25.095
R70	RedlandBay	1970	G48	3.025	0.52	2.5	15.8	38.25	24.525
R70	RedlandBay	1970	G49	3.62	1.02	3.5	14.2	36.3	23.41
R70	RedlandBay	1970	G50	3.084	0.595	2.25	14.55	40.2	24.76
R70	RedlandBay	1970	G51	2.153	0.61	2.5	18.65	38.75	23.995
R70	RedlandBay	1970	G52	2.28	0.545	2.25	13.55	38.15	24.545
R70	RedlandBay	1970	G53	3.286	0.585	2.25	17.65	38.35	24.575
R70	RedlandBay	1970	G54	3.227	0.685	2	18.75	37.2	25.815
R70	RedlandBay	1970	G55	3.299	0.43	1.25	18.4	38.9	24.345
R70	RedlandBay	1970	G56	4.126	0.56	2.25	18.95	38	23.955
R70	RedlandBay	1970	G57	3.671	0.545	1.75	16.65	38.2	23.675
R70	RedlandBay	1970	G58	2.667	0.62	2	17.7	37.45	24.63
L71	Lawes	1971	G01	2.788	0.97	2.5	8.35	39.4	18.665
L71	Lawes	1971	G02	2.618	0.785	2.25	9.75	40.6	19.79
L71	Lawes	1971	G03	2.476	0.955	2.25	11.4	37.4	20.93
L71	Lawes	1971	G04	2.917	0.76	1.25	11.1	36.9	20.255
L71	Lawes	1971	G05	2.137	0.76	1.75	11.9	38.7	20.89
L71	Lawes	1971	G06	2.863	0.65	1.75	12.15	38.1	20.745
L71	Lawes	1971	G07	2.974	0.8	1.5	11.25	37.45	20.97
L71	Lawes	1971	G08	1.649	0.9	2.5	11.8	36.65	19.675
L71	Lawes	1971	G09	3.1	0.825	2	12.25	37.1	20.325
L71	Lawes	1971	G10	3.005	0.785	1.75	12.05	37.85	19.505
L71	Lawes	1971	G11	1.897	0.875	3	7.4	43.45	17.585
L71	Lawes	1971	G12	1.644	1.155	3.25	7.45	44.45	16.595
L71	Lawes	1971	G13	1.967	1.08	3.5	8.25	42.2	17.265
L71	Lawes	1971	G14	2.447	0.865	2.75	7.65	38.45	18.525
L71	Lawes	1971	G15	2.627	0.675	1.75	9.05	40.7	17.85
L71	Lawes	1971	G16	2.255	0.98	2.75	8.45	37.4	18.75
L71	Lawes	1971	G17	1.811	0.995	3	7.45	45.5	16
L71	Lawes	1971	G18	1.924	1.245	3.25	8.6	43.65	16.135
L71	Lawes	1971	G19	2.729	0.76	2.5	8.5	42.25	17.59
L71	Lawes	1971	G20	1.938	0.97	3.75	7.4	45.15	16.415
L71	Lawes	1971	G21	1.781	1.105	3	7.35	37.6	16.98
L71	Lawes	1971	G22	1.475	1.07	4	7.7	44.35	15.97
L71	Lawes	1971	G23	2.037	0.955	2.5	6.55	42.6	16.875
L71	Lawes	1971	G24	2.914	0.84	1.75	10.25	40.55	20.21
L71	Lawes	1971	G25	2.662	0.925	2	9	38.9	19.955
L71	Lawes	1971	G26	3.135	0.865	1.75	10.85	40.8	18.85
L71	Lawes	1971	G27	3.019	0.855	1.25	10.25	39.8	18.92
L71	Lawes	1971	G28	2.774	0.735	2.25	8.15	38.95	19.505
L71	Lawes	1971	G29	2.12	0.94	2.5	9.3	42.2	18.225
L71	Lawes	1971	G30	2.435	1.015	2.5	8.8	43.55	17.035
L71	Lawes	1971	G31	2.317	0.94	1.75	8	40.15	18.325
L71	Lawes	1971	G32	3.009	1.045	1.5	8.35	41.55	17.18
L71	Lawes	1971	G33	3.097	1	2.25	9.85	37	18.925
L71	Lawes	1971	G34	2.349	0.825	1.75	7	41.2	17.925
L71	Lawes	1971	G35	2.495	0.97	1.75	7.75	41.15	18.155
L71	Lawes	1971	G36	1.513	0.89	3.25	7.1	43.75	16.925
L71	Lawes	1971	G37	2.817	1.095	2.5	7.45	43.55	17.7
L71	Lawes	1971	G38	2.546	0.79	1.5	9.2	38.6	18.925
L71	Lawes	1971	G39	2.608	0.94	1.75	8.25	42.15	18.335
L71	Lawes	1971	G40	2.428	0.905	1.75	9.25	42.25	18.73
L71	Lawes	1971	G41	2.658	1.015	2.25	9.65	39.7	19.14
L71	Lawes	1971	G42	2.476	1.08	1.75	15.85	40.75	19.93
L71	Lawes	1971	G43	1.738	0.915	2.75	7.55	40.7	16.925
L71	Lawes	1971	G44	2.772	0.725	2	14	36.9	22.195
L71	Lawes	1971	G45	3.824	0.56	1.25	19.65	36.3	23.73
L71	Lawes	1971	G46	2.998	0.52	1.25	15.75	36.75	23.25
L71	Lawes	1971	G47	2.977	0.61	1.25	17.6	38.85	23.435
L71	Lawes	1971	G48	3.571	0.545	1.25	16.95	39.1	24.085
L71	Lawes	1971	G49	3.437	0.66	1.25	18.55	37.5	23.07
L71	Lawes	1971	G50	3.111	0.535	1.5	16.95	40.05	23.515
L71	Lawes	1971	G51	1.415	0.42	1.25	17.75	38.7	21.65
L71	Lawes	1971	G52	1.862	0.435	1.25	14.05	38.3	22.745
L71	Lawes	1971	G53	2.941	0.51	1.5	18.4	37.45	23.58
L71	Lawes	1971	G54	1.926	0.455	1	17	37.5	24.125
L71	Lawes	1971	G55	3.049	0.405	1.5	20.55	42.05	22.905
L71	Lawes	1971	G56	2.804	0.47	1.25	17.85	38.5	22.88
L71	Lawes	1971	G57	3.391	0.685	1.5	19.45	38.6	22.815
L71	Lawes	1971	G58	1.44	0.44	1	19	37.35	22.72
B71	Brookstead	1971	G01	2.559	0.965	3.25	8.9	40.3	18.235
B71	Brookstead	1971	G02	2.34	0.835	2.75	10.9	41.75	18.75
B71	Brookstead	1971	G03	2.874	0.98	3.25	12.4	39.75	19.57
B71	Brookstead	1971	G04	3.009	0.9	2.25	12.75	38.5	19.52
B71	Brookstead	1971	G05	2.537	0.975	3.25	13.3	39.4	19.9
B71	Brookstead	1971	G06	1.877	0.94	3.25	12.85	37.6	19.55
B71	Brookstead	1971	G07	2.557	0.95	2.75	14	37.4	19.53
B71	Brookstead	1971	G08	1.613	0.915	3	12.3	37.7	18.985
B71	Brookstead	1971	G09	2.24	0.85	2.75	11.95	39.55	18.24
B71	Brookstead	1971	G10	2.597	0.81	2.5	13.45	39.95	18.61
B71	Brookstead	1971	G11	2.212	1.08	3.25	7.4	43.35	16.485
B71	Brookstead	1971	G12	1.885	1.12	4	8.35	44	16.075
B71	Brookstead	1971	G13	2.008	1.13	2.75	8.75	46	16.65
B71	Brookstead	1971	G14	2.765	1.13	3.5	7.55	41	18.035
B71	Brookstead	1971	G15	2.353	1.12	2.75	9.45	44.15	17.53
B71	Brookstead	1971	G16	2.075	1.12	2.75	9.55	41.95	18.7
B71	Brookstead	1971	G17	1.671	0.97	3	6.85	44.95	14.985
B71	Brookstead	1971	G18	1.493	0.98	3	7.7	48.1	14.73
B71	Brookstead	1971	G19	1.62	1.145	3.5	7.9	45.45	16.665
B71	Brookstead	1971	G20	1.673	1.045	2.75	8.6	47.9	15.77
B71	Brookstead	1971	G21	1.853	1.13	3	8.4	42.7	16.735
B71	Brookstead	1971	G22	2.076	0.99	2.75	8.65	48.5	15.535
B71	Brookstead	1971	G23	2.367	1.03	3	7.45	44.25	16.935
B71	Brookstead	1971	G24	2.331	0.98	3	11.5	42	19.195
B71	Brookstead	1971	G25	2.271	0.95	2.5	10.4	39.45	19.365
B71	Brookstead	1971	G26	2.935	0.98	2.25	11.85	43.8	19.195
B71	Brookstead	1971	G27	2.755	1.065	2.25	11.3	42.7	18.78
B71	Brookstead	1971	G28	2.337	1.055	3.5	8.7	41.6	19.18
B71	Brookstead	1971	G29	1.77	1.055	3.25	9	42.95	17.05
B71	Brookstead	1971	G30	1.11	0.965	3.25	8.75	45.2	15.565
B71	Brookstead	1971	G31	2.285	1.02	2.5	9.4	42.05	17.675
B71	Brookstead	1971	G32	2.252	1.17	3	10	43.35	17.285
B71	Brookstead	1971	G33	1.865	1.02	2.5	10.15	39.9	18.025
B71	Brookstead	1971	G34	2.039	1.07	3	8.4	41.75	18.45
B71	Brookstead	1971	G35	2.688	1.105	2	8.9	43.5	17.91
B71	Brookstead	1971	G36	1.737	1.045	2.5	7.65	44.8	16.11
B71	Brookstead	1971	G37	2.625	1.12	3.25	8.55	44.9	16.87
B71	Brookstead	1971	G38	2.289	0.94	2.5	9.6	42.7	18.67
B71	Brookstead	1971	G39	2.545	1.295	3.75	8.85	41.8	18.15
B71	Brookstead	1971	G40	2.551	1.07	4.5	11.25	42.25	19.12
B71	Brookstead	1971	G41	2.196	1.37	3	10.15	41.25	18.195
B71	Brookstead	1971	G42	2.366	1.045	2.25	17.1	44.65	19.2
B71	Brookstead	1971	G43	1.645	0.97	3	8.45	43.55	17.03
B71	Brookstead	1971	G44	3.033	0.76	3	18.65	41.45	20.015
B71	Brookstead	1971	G45	3.752	0.735	2.5	23.6	37.9	22.135
B71	Brookstead	1971	G46	3.368	0.735	2.75	18.1	38.3	20.495
B71	Brookstead	1971	G47	3.449	0.725	1.75	20.7	39.65	23.19
B71	Brookstead	1971	G48	3.084	0.79	2.25	17.9	38.1	23.82
B71	Brookstead	1971	G49	3.896	1.005	2.25	21.6	37.5	22.18
B71	Brookstead	1971	G50	3.614	0.75	3	19.3	40.2	23.32
B71	Brookstead	1971	G51	1.75	0.63	2	19.25	41.6	20.885
B71	Brookstead	1971	G52	2.37	0.58	1.5	14.55	41.3	20.08
B71	Brookstead	1971	G53	3.824	0.675	1.75	21.9	39.05	22.135
B71	Brookstead	1971	G54	2.45	0.67	1	20.75	38.8	23.405
B71	Brookstead	1971	G55	3.475	0.57	1.25	20.05	41.6	21.945
B71	Brookstead	1971	G56	3.542	0.69	1.25	21.45	41.05	22.1
B71	Brookstead	1971	G57	3.585	0.635	1.25	22.9	41.4	21.705
B71	Brookstead	1971	G58	2.44	0.675	1.5	19	36.5	22.08
N71	Nambour	1971	G01	2.097	0.725	1.25	7.3	38.5	19.285
N71	Nambour	1971	G02	2.6	0.595	1	9.45	40.95	20.665
N71	Nambour	1971	G03	2.532	0.61	1	11.3	41.65	19.945
N71	Nambour	1971	G04	3.025	0.7	1	12.1	39.4	21.81
N71	Nambour	1971	G05	2.524	0.66	1.25	12.1	37.2	22.325
N71	Nambour	1971	G06	2.855	0.57	1	11.35	37.9	21.815
N71	Nambour	1971	G07	2.887	0.685	1	11.85	37.4	22.255
N71	Nambour	1971	G08	2.645	0.57	1	12.5	39.35	21.055
N71	Nambour	1971	G09	2.234	0.605	1	10.6	39.35	20.825
N71	Nambour	1971	G10	2.667	0.57	1	11.1	38.35	19.985
N71	Nambour	1971	G11	2.08	0.7	1.5	5.9	40.75	18.24
N71	Nambour	1971	G12	1.781	0.76	1.75	5.9	42.9	16.59
N71	Nambour	1971	G13	2.093	0.89	1.75	6.65	42.6	17.82
N71	Nambour	1971	G14	2.567	0.775	1.75	7.7	38.4	19.35
N71	Nambour	1971	G15	2.199	0.725	1.5	7.95	40.85	18.865
N71	Nambour	1971	G16	2.161	0.75	1.5	7.7	40.5	19.365
N71	Nambour	1971	G17	1.76	0.8	2	6.25	43.7	15.865
N71	Nambour	1971	G18	1.515	0.79	2	6.7	44.55	15.76
N71	Nambour	1971	G19	2.333	0.69	1.5	7.9	42.25	18.885
N71	Nambour	1971	G20	2.526	0.71	1.75	7.75	42.45	18.08
