"row"	"col"	"crop"	"yield"
12	3	"1928wheat"	52.63
1	1	"1928straw"	2.04
2	1	"1928straw"	2.18
3	1	"1928straw"	2.2
4	1	"1928straw"	2.21
5	1	"1928straw"	2.28
6	1	"1928straw"	2.4
7	1	"1928straw"	2.54
8	1	"1928straw"	2.64
9	1	"1928straw"	2.58
10	1	"1928straw"	2.7
11	1	"1928straw"	2.66
12	1	"1928straw"	2.66
1	2	"1928straw"	2.13
2	2	"1928straw"	2.29
3	2	"1928straw"	2.19
4	2	"1928straw"	2.29
5	2	"1928straw"	2.12
6	2	"1928straw"	2.44
7	2	"1928straw"	2.47
8	2	"1928straw"	2.66
9	2	"1928straw"	2.35
10	2	"1928straw"	2.46
11	2	"1928straw"	2.58
12	2	"1928straw"	2.39
1	3	"1928straw"	2.15
2	3	"1928straw"	2.24
3	3	"1928straw"	2.27
4	3	"1928straw"	2.38
5	3	"1928straw"	2.39
6	3	"1928straw"	2.62
7	3	"1928straw"	2.36
8	3	"1928straw"	2.63
9	3	"1928straw"	2.05
10	3	"1928straw"	2.48
11	3	"1928straw"	2.88
12	3	"1928straw"	2.78
1	1	"1929alfalfa"	4600
2	1	"1929alfalfa"	4540
3	1	"1929alfalfa"	4360
4	1	"1929alfalfa"	4220
5	1	"1929alfalfa"	4460
6	1	"1929alfalfa"	4540
7	1	"1929alfalfa"	5100
8	1	"1929alfalfa"	5280
9	1	"1929alfalfa"	5420
10	1	"1929alfalfa"	5860
11	1	"1929alfalfa"	5920
12	1	"1929alfalfa"	5020
1	2	"1929alfalfa"	4720
2	2	"1929alfalfa"	5760
3	2	"1929alfalfa"	4860
4	2	"1929alfalfa"	4100
5	2	"1929alfalfa"	3940
6	2	"1929alfalfa"	4480
7	2	"1929alfalfa"	5800
8	2	"1929alfalfa"	4400
9	2	"1929alfalfa"	3760
10	2	"1929alfalfa"	4320
11	2	"1929alfalfa"	4980
12	2	"1929alfalfa"	4280
1	3	"1929alfalfa"	6480
2	3	"1929alfalfa"	5480
3	3	"1929alfalfa"	5320
4	3	"1929alfalfa"	5380
5	3	"1929alfalfa"	5660
6	3	"1929alfalfa"	5840
7	3	"1929alfalfa"	5000
8	3	"1929alfalfa"	4360
9	3	"1929alfalfa"	3900
10	3	"1929alfalfa"	4700
11	3	"1929alfalfa"	6040
12	3	"1929alfalfa"	5160
1	1	"1930alfalfa"	3004
2	1	"1930alfalfa"	3101
3	1	"1930alfalfa"	3143
4	1	"1930alfalfa"	3981
5	1	"1930alfalfa"	2813
6	1	"1930alfalfa"	2953
7	1	"1930alfalfa"	3269
8	1	"1930alfalfa"	3357
9	1	"1930alfalfa"	3533
10	1	"1930alfalfa"	3669
11	1	"1930alfalfa"	3538
12	1	"1930alfalfa"	3302
1	2	"1930alfalfa"	2768
2	2	"1930alfalfa"	3145
3	2	"1930alfalfa"	3143
4	2	"1930alfalfa"	2400
5	2	"1930alfalfa"	2477
6	2	"1930alfalfa"	2855
7	2	"1930alfalfa"	3357
8	2	"1930alfalfa"	2940
9	2	"1930alfalfa"	2844
10	2	"1930alfalfa"	3330
11	2	"1930alfalfa"	3480
12	2	"1930alfalfa"	3044
1	3	"1930alfalfa"	3213
2	3	"1930alfalfa"	3161
3	3	"1930alfalfa"	3166
4	3	"1930alfalfa"	3072
5	3	"1930alfalfa"	3428
6	3	"1930alfalfa"	3590
7	3	"1930alfalfa"	3007
8	3	"1930alfalfa"	2983
9	3	"1930alfalfa"	2684
10	3	"1930alfalfa"	3174
11	3	"1930alfalfa"	3908
12	3	"1930alfalfa"	3460
1	1	"1931alfalfa"	6378
2	1	"1931alfalfa"	5938
3	1	"1931alfalfa"	5826
4	1	"1931alfalfa"	5610
5	1	"1931alfalfa"	6194
6	1	"1931alfalfa"	6304
7	1	"1931alfalfa"	6188
8	1	"1931alfalfa"	6716
9	1	"1931alfalfa"	7286
10	1	"1931alfalfa"	7880
11	1	"1931alfalfa"	8022
12	1	"1931alfalfa"	7794
1	2	"1931alfalfa"	6650
2	2	"1931alfalfa"	6644
3	2	"1931alfalfa"	5874
4	2	"1931alfalfa"	6086
5	2	"1931alfalfa"	5756
6	2	"1931alfalfa"	6576
7	2	"1931alfalfa"	6412
8	2	"1931alfalfa"	6890
9	2	"1931alfalfa"	7098
10	2	"1931alfalfa"	8050
11	2	"1931alfalfa"	7038
12	2	"1931alfalfa"	7190
1	3	"1931alfalfa"	6972
2	3	"1931alfalfa"	6524
3	3	"1931alfalfa"	6518
4	3	"1931alfalfa"	6750
5	3	"1931alfalfa"	7174
6	3	"1931alfalfa"	7304
7	3	"1931alfalfa"	7496
8	3	"1931alfalfa"	7694
9	3	"1931alfalfa"	7410
10	3	"1931alfalfa"	8260
11	3	"1931alfalfa"	8710
12	3	"1931alfalfa"	7254
1	1	"1932sorghum"	52.18
2	1	"1932sorghum"	50.89
3	1	"1932sorghum"	57
4	1	"1932sorghum"	50.43
5	1	"1932sorghum"	55.78
6	1	"1932sorghum"	58.25
7	1	"1932sorghum"	66.71
8	1	"1932sorghum"	57.57
9	1	"1932sorghum"	59.46
10	1	"1932sorghum"	63.32
11	1	"1932sorghum"	63.5
12	1	"1932sorghum"	59.96
1	2	"1932sorghum"	62.32
2	2	"1932sorghum"	62.46
3	2	"1932sorghum"	62.86
4	2	"1932sorghum"	57.82
5	2	"1932sorghum"	57.61
6	2	"1932sorghum"	62.71
7	2	"1932sorghum"	62.28
8	2	"1932sorghum"	57.75
9	2	"1932sorghum"	58.64
10	2	"1932sorghum"	61.61
11	2	"1932sorghum"	61.78
12	2	"1932sorghum"	54.43
1	3	"1932sorghum"	66.89
2	3	"1932sorghum"	59.5
3	3	"1932sorghum"	60.39
4	3	"1932sorghum"	53
5	3	"1932sorghum"	63.07
6	3	"1932sorghum"	64.07
7	3	"1932sorghum"	60.78
8	3	"1932sorghum"	62.46
9	3	"1932sorghum"	64.78
10	3	"1932sorghum"	65.43
11	3	"1932sorghum"	69.96
12	3	"1932sorghum"	61.39
1	1	"1932stover"	8.08
2	1	"1932stover"	7.88
3	1	"1932stover"	8.15
4	1	"1932stover"	8.25
5	1	"1932stover"	8.46
6	1	"1932stover"	8.04
7	1	"1932stover"	8.9
8	1	"1932stover"	8.41
9	1	"1932stover"	8.15
10	1	"1932stover"	8.65
11	1	"1932stover"	8.89
12	1	"1932stover"	8.29
1	2	"1932stover"	8.17
2	2	"1932stover"	8.42
3	2	"1932stover"	8.46
4	2	"1932stover"	8.6
5	2	"1932stover"	7.96
6	2	"1932stover"	8.31
7	2	"1932stover"	8.08
8	2	"1932stover"	8.2
9	2	"1932stover"	8.06
10	2	"1932stover"	8.04
11	2	"1932stover"	8.24
12	2	"1932stover"	8
1	3	"1932stover"	8.9
2	3	"1932stover"	9
3	3	"1932stover"	9.03
4	3	"1932stover"	8.74
5	3	"1932stover"	9.05
6	3	"1932stover"	8.88
7	3	"1932stover"	8.62
8	3	"1932stover"	8.62
9	3	"1932stover"	9.06
10	3	"1932stover"	8.99
11	3	"1932stover"	9.31
12	3	"1932stover"	8.65
1	1	"1934stover"	3.03
2	1	"1934stover"	1.94
3	1	"1934stover"	2.35
4	1	"1934stover"	1.94
5	1	"1934stover"	2.08
6	1	"1934stover"	2.48
7	1	"1934stover"	2.52
8	1	"1934stover"	1.86
9	1	"1934stover"	1.79
10	1	"1934stover"	2.23
11	1	"1934stover"	2.62
12	1	"1934stover"	2.16
1	2	"1934stover"	2.9
2	2	"1934stover"	2.97
3	2	"1934stover"	1.89
4	2	"1934stover"	1.94
5	2	"1934stover"	1.82
6	2	"1934stover"	2.72
7	2	"1934stover"	3.52
8	2	"1934stover"	2.04
9	2	"1934stover"	1.97
10	2	"1934stover"	2.42
11	2	"1934stover"	2.27
12	2	"1934stover"	2.27
1	3	"1934stover"	2.7
2	3	"1934stover"	1.37
3	3	"1934stover"	2.62
4	3	"1934stover"	1.6
5	3	"1934stover"	4.12
6	3	"1934stover"	3.57
7	3	"1934stover"	2.42
8	3	"1934stover"	2.92
9	3	"1934stover"	2.1
10	3	"1934stover"	2.18
11	3	"1934stover"	2.32
12	3	"1934stover"	1.77
