"loc"	"row"	"col"	"yield"
"Lethbridge"	9	5	8.5
"Lethbridge"	10	5	9
"Lethbridge"	11	5	9.9
"Lethbridge"	12	5	8.1
"Lethbridge"	13	5	7.3
"Lethbridge"	14	5	7.9
"Lethbridge"	15	5	8.6
"Lethbridge"	16	5	9
"Lethbridge"	17	5	9.1
"Lethbridge"	18	5	9.4
"Lethbridge"	19	5	8.7
"Lethbridge"	20	5	9.1
"Lethbridge"	21	5	7.1
"Lethbridge"	22	5	5.8
"Lethbridge"	23	5	10.7
"Lethbridge"	24	5	7.6
"Lethbridge"	25	5	8
"Lethbridge"	26	5	8.8
"Lethbridge"	27	5	10.6
"Lethbridge"	28	5	9.7
"Lethbridge"	29	5	6.7
"Lethbridge"	30	5	6.5
"Lethbridge"	31	5	7.8
"Lethbridge"	32	5	9.1
"Lethbridge"	1	6	12.6
"Lethbridge"	2	6	12.8
"Lethbridge"	3	6	13
"Lethbridge"	4	6	10.7
"Lethbridge"	5	6	9.4
"Lethbridge"	6	6	9.9
"Lethbridge"	7	6	10.6
"Lethbridge"	8	6	10.8
"Lethbridge"	9	6	9.3
"Lethbridge"	10	6	10
"Lethbridge"	11	6	11.4
"Lethbridge"	12	6	8.6
"Lethbridge"	13	6	6.5
"Lethbridge"	14	6	9.1
"Lethbridge"	15	6	6.6
"Lethbridge"	16	6	6.4
"Lethbridge"	17	6	7.1
"Lethbridge"	18	6	8.4
"Lethbridge"	19	6	8.6
"Lethbridge"	20	6	7.2
"Lethbridge"	21	6	8.4
"Lethbridge"	22	6	10.3
"Lethbridge"	23	6	8.5
"Lethbridge"	24	6	11.2
"Lethbridge"	25	6	8.1
"Lethbridge"	26	6	8.5
"Lethbridge"	27	6	7.6
"Lethbridge"	28	6	8.9
"Lethbridge"	29	6	8.6
"Lethbridge"	30	6	10.7
"Lethbridge"	31	6	10.2
"Lethbridge"	32	6	7.1
"Lethbridge"	1	7	13.5
"Lethbridge"	2	7	11.5
"Lethbridge"	3	7	9.8
"Lethbridge"	4	7	8.3
"Lethbridge"	5	7	8.1
"Lethbridge"	6	7	10.3
"Lethbridge"	7	7	10.5
"Lethbridge"	8	7	10.8
"Lethbridge"	9	7	8.5
"Lethbridge"	10	7	10.6
"Lethbridge"	11	7	11.6
"Lethbridge"	12	7	7.6
"Lethbridge"	13	7	7.6
"Lethbridge"	14	7	6.4
"Lethbridge"	15	7	6.5
"Lethbridge"	16	7	7.6
"Lethbridge"	17	7	7.6
"Lethbridge"	18	7	8.4
"Lethbridge"	19	7	10.2
"Lethbridge"	20	7	8.7
"Lethbridge"	21	7	7.1
"Lethbridge"	22	7	9.5
"Lethbridge"	23	7	9.2
"Lethbridge"	24	7	7.3
"Lethbridge"	25	7	10.6
"Lethbridge"	26	7	9.7
"Lethbridge"	27	7	10.4
"Lethbridge"	28	7	9.5
"Lethbridge"	29	7	8.1
"Lethbridge"	30	7	9.3
"Lethbridge"	31	7	8.7
"Lethbridge"	32	7	9.1
"Lethbridge"	1	8	13
"Lethbridge"	2	8	10.8
"Lethbridge"	3	8	9.9
"Lethbridge"	4	8	9.1
"Lethbridge"	5	8	8.6
"Lethbridge"	6	8	10.6
"Lethbridge"	7	8	12.2
"Lethbridge"	8	8	11.1
"Lethbridge"	9	8	8.1
"Lethbridge"	10	8	8.9
"Lethbridge"	11	8	9.8
"Lethbridge"	12	8	9.2
"Lethbridge"	13	8	5.8
"Lethbridge"	14	8	8.3
"Lethbridge"	15	8	4.9
"Lethbridge"	16	8	8.4
"Lethbridge"	17	8	7.9
"Lethbridge"	18	8	7
"Lethbridge"	19	8	7
"Lethbridge"	20	8	7.9
"Lethbridge"	21	8	6.6
"Lethbridge"	22	8	9
"Lethbridge"	23	8	9.3
"Lethbridge"	24	8	8.5
"Lethbridge"	25	8	7.5
"Lethbridge"	26	8	10.5
"Lethbridge"	27	8	9.5
"Lethbridge"	28	8	9.6
"Lethbridge"	29	8	9
"Lethbridge"	30	8	9.9
"Lethbridge"	31	8	11.7
"Lethbridge"	32	8	10.9
"Lethbridge"	1	9	11.3
"Lethbridge"	2	9	12.7
"Lethbridge"	3	9	10.2
"Lethbridge"	4	9	8.7
"Lethbridge"	5	9	10.6
"Lethbridge"	6	9	12
"Lethbridge"	7	9	12
"Lethbridge"	8	9	11.3
"Lethbridge"	9	9	10.2
"Lethbridge"	10	9	7.3
"Lethbridge"	11	9	9.3
"Lethbridge"	12	9	9.5
"Lethbridge"	13	9	9
"Lethbridge"	14	9	8.7
"Lethbridge"	15	9	8.7
"Lethbridge"	16	9	8.5
"Lethbridge"	17	9	7
"Lethbridge"	18	9	7
"Lethbridge"	19	9	8.4
"Lethbridge"	20	9	7.5
"Lethbridge"	21	9	9.3
"Lethbridge"	22	9	9.3
"Lethbridge"	23	9	8.4
"Lethbridge"	24	9	9.6
"Lethbridge"	25	9	9
"Lethbridge"	26	9	9.7
"Lethbridge"	27	9	9.4
"Lethbridge"	28	9	8.9
"Lethbridge"	29	9	9.4
"Lethbridge"	30	9	8.1
"Lethbridge"	31	9	9.3
"Lethbridge"	32	9	10
"Lethbridge"	1	10	14.2
"Lethbridge"	2	10	10.4
"Lethbridge"	3	10	9.5
"Lethbridge"	4	10	10.2
"Lethbridge"	5	10	10.2
"Lethbridge"	6	10	10
"Lethbridge"	7	10	8.5
"Lethbridge"	8	10	9.4
"Lethbridge"	9	10	11.1
"Lethbridge"	10	10	8.9
"Lethbridge"	11	10	10.2
"Lethbridge"	12	10	11.1
"Lethbridge"	13	10	7.6
"Lethbridge"	14	10	8
"Lethbridge"	15	10	8.7
"Lethbridge"	16	10	6.1
"Lethbridge"	17	10	8.6
"Lethbridge"	18	10	8.3
"Lethbridge"	19	10	8.3
"Lethbridge"	20	10	9.5
"Lethbridge"	21	10	8.6
"Lethbridge"	22	10	7.9
"Lethbridge"	23	10	8.5
"Lethbridge"	24	10	8.6
"Lethbridge"	25	10	11.3
"Lethbridge"	26	10	9.5
"Lethbridge"	27	10	8.4
"Lethbridge"	28	10	9.2
"Lethbridge"	29	10	7.9
"Lethbridge"	30	10	9.7
"Lethbridge"	31	10	5
"Lethbridge"	32	10	10.8
"Lethbridge"	1	11	11.9
"Lethbridge"	2	11	10
"Lethbridge"	3	11	12.4
"Lethbridge"	4	11	10.7
"Lethbridge"	5	11	10
"Lethbridge"	6	11	8.2
"Lethbridge"	7	11	8.9
"Lethbridge"	8	11	7.3
"Lethbridge"	9	11	7.2
"Lethbridge"	10	11	9.9
"Lethbridge"	11	11	8.5
"Lethbridge"	12	11	8.6
"Lethbridge"	13	11	7.9
"Lethbridge"	14	11	7.4
"Lethbridge"	15	11	6.5
"Lethbridge"	16	11	7.8
"Lethbridge"	17	11	8.4
"Lethbridge"	18	11	7.6
"Lethbridge"	19	11	6.9
"Lethbridge"	20	11	7.9
"Lethbridge"	21	11	8.4
"Lethbridge"	22	11	8
"Lethbridge"	23	11	6.3
"Lethbridge"	24	11	7.5
"Lethbridge"	25	11	9.1
"Lethbridge"	26	11	9
"Lethbridge"	27	11	8.3
"Lethbridge"	28	11	8.4
"Lethbridge"	29	11	7.6
"Lethbridge"	30	11	9.7
"Lethbridge"	31	11	7.2
"Lethbridge"	32	11	7.5
"Lethbridge"	1	12	12.6
"Lethbridge"	2	12	12.2
"Lethbridge"	3	12	8.9
"Lethbridge"	4	12	10.9
"Lethbridge"	5	12	7.7
"Lethbridge"	6	12	8.7
"Lethbridge"	7	12	9.1
"Lethbridge"	8	12	9.2
"Lethbridge"	9	12	10.1
"Lethbridge"	10	12	8.9
"Lethbridge"	11	12	9.4
"Lethbridge"	12	12	5.1
"Lethbridge"	13	12	6
"Lethbridge"	14	12	9.1
"Lethbridge"	15	12	9.4
"Lethbridge"	16	12	9.3
"Lethbridge"	17	12	7.4
"Lethbridge"	18	12	8.3
"Lethbridge"	19	12	6.6
"Lethbridge"	20	12	6.7
"Lethbridge"	21	12	6.9
"Lethbridge"	22	12	8
"Lethbridge"	23	12	8.6
"Lethbridge"	24	12	7.6
"Lethbridge"	25	12	9.3
"Lethbridge"	26	12	7.9
"Lethbridge"	27	12	9.4
"Lethbridge"	28	12	8.3
"Lethbridge"	29	12	6.9
"Lethbridge"	30	12	9.1
"Lethbridge"	31	12	4.5
"Lethbridge"	32	12	8.8
"Lethbridge"	1	13	11.9
"Lethbridge"	2	13	11.4
"Lethbridge"	3	13	10.1
"Lethbridge"	4	13	9.9
"Lethbridge"	5	13	9.6
"Lethbridge"	6	13	9
"Lethbridge"	7	13	10.5
"Lethbridge"	8	13	7.1
"Lethbridge"	9	13	8.2
"Lethbridge"	10	13	8.5
"Lethbridge"	11	13	9
"Lethbridge"	12	13	3.4
"Lethbridge"	13	13	7.3
"Lethbridge"	14	13	7.9
"Lethbridge"	15	13	6.7
"Lethbridge"	16	13	7.5
"Lethbridge"	17	13	6.8
"Lethbridge"	18	13	6.5
"Lethbridge"	19	13	9.2
"Lethbridge"	20	13	7.6
"Lethbridge"	21	13	7.4
"Lethbridge"	22	13	8.3
"Lethbridge"	23	13	10.5
"Lethbridge"	24	13	7
"Lethbridge"	25	13	9.4
"Lethbridge"	26	13	8.4
"Lethbridge"	27	13	8
"Lethbridge"	28	13	9.4
"Lethbridge"	29	13	6.9
"Lethbridge"	30	13	7.7
"Lethbridge"	31	13	5.6
"Lethbridge"	32	13	7.2
"Lethbridge"	1	14	12.6
"Lethbridge"	2	14	10.6
"Lethbridge"	3	14	9.4
"Lethbridge"	4	14	10.3
"Lethbridge"	5	14	7.7
"Lethbridge"	6	14	9.3
"Lethbridge"	7	14	7.5
"Lethbridge"	8	14	8.6
"Lethbridge"	9	14	8.4
"Lethbridge"	10	14	8.7
"Lethbridge"	11	14	8.7
"Lethbridge"	12	14	5.6
"Lethbridge"	13	14	6.2
"Lethbridge"	14	14	8.1
"Lethbridge"	15	14	4
"Lethbridge"	16	14	6.2
"Lethbridge"	17	14	7.9
"Lethbridge"	18	14	9.1
"Lethbridge"	19	14	7.7
"Lethbridge"	20	14	4.4
"Lethbridge"	21	14	6.1
"Lethbridge"	22	14	9.4
"Lethbridge"	23	14	5.4
"Lethbridge"	24	14	4.8
"Lethbridge"	25	14	6.6
"Lethbridge"	26	14	6.8
"Lethbridge"	27	14	9.6
"Lethbridge"	28	14	7.4
"Lethbridge"	29	14	5.4
"Lethbridge"	30	14	5.6
"Lethbridge"	31	14	6.1
"Lethbridge"	32	14	8.9
"Lethbridge"	1	15	9.4
"Lethbridge"	2	15	10
"Lethbridge"	3	15	8.4
"Lethbridge"	4	15	10.6
"Lethbridge"	5	15	7.7
"Lethbridge"	6	15	9.2
"Lethbridge"	7	15	8.3
"Lethbridge"	8	15	8.4
"Lethbridge"	9	15	7.7
"Lethbridge"	10	15	8.2
"Lethbridge"	11	15	8.8
"Lethbridge"	12	15	6
"Lethbridge"	13	15	6.1
"Lethbridge"	14	15	5.7
"Lethbridge"	15	15	8.3
"Lethbridge"	16	15	5
"Lethbridge"	17	15	6.3
"Lethbridge"	18	15	6.7
"Lethbridge"	19	15	6.4
"Lethbridge"	20	15	6.7
"Lethbridge"	21	15	8.2
"Lethbridge"	22	15	7.7
"Lethbridge"	23	15	8.9
"Lethbridge"	24	15	5.8
"Lethbridge"	25	15	7.4
"Lethbridge"	26	15	7.9
"Lethbridge"	27	15	6.4
"Lethbridge"	28	15	9
"Lethbridge"	29	15	5.9
"Lethbridge"	30	15	7.4
"Lethbridge"	31	15	5.2
"Lethbridge"	32	15	5.6
"Lethbridge"	1	16	10.9
"Lethbridge"	2	16	10.6
"Lethbridge"	3	16	7.9
"Lethbridge"	4	16	8
"Lethbridge"	5	16	8.9
"Lethbridge"	6	16	9.3
"Lethbridge"	7	16	6
"Lethbridge"	8	16	8.9
"Lethbridge"	9	16	6.4
"Lethbridge"	10	16	5.4
"Lethbridge"	11	16	6.8
"Lethbridge"	12	16	5.8
"Lethbridge"	13	16	6.6
"Lethbridge"	14	16	7.5
"Lethbridge"	15	16	8.7
"Lethbridge"	16	16	7.2
"Lethbridge"	17	16	4.9
"Lethbridge"	18	16	5.3
"Lethbridge"	19	16	5.9
"Lethbridge"	20	16	7.2
"Lethbridge"	21	16	6.9
"Lethbridge"	22	16	7.5
"Lethbridge"	23	16	6
"Lethbridge"	24	16	7.8
"Lethbridge"	25	16	6.2
"Lethbridge"	26	16	6.8
"Lethbridge"	27	16	7
"Lethbridge"	28	16	5.8
"Lethbridge"	29	16	5.6
"Lethbridge"	30	16	5.9
"Lethbridge"	31	16	6.4
"Lethbridge"	32	16	6.9
"Lethbridge"	1	17	9.2
"Lethbridge"	2	17	9
"Lethbridge"	3	17	8.4
"Lethbridge"	4	17	7.3
"Lethbridge"	5	17	7.7
"Lethbridge"	6	17	8.5
"Lethbridge"	7	17	7
"Lethbridge"	8	17	8.3
"Lethbridge"	9	17	6.9
"Lethbridge"	10	17	6.3
"Lethbridge"	11	17	4.8
"Lethbridge"	12	17	6.4
"Lethbridge"	13	17	3.6
"Lethbridge"	14	17	7.1
"Lethbridge"	15	17	6.8
"Lethbridge"	16	17	5.1
"Lethbridge"	17	17	6.1
"Lethbridge"	18	17	6.4
"Lethbridge"	19	17	6.7
"Lethbridge"	20	17	4.5
"Lethbridge"	21	17	5.6
"Lethbridge"	22	17	5.7
"Lethbridge"	23	17	5.7
"Lethbridge"	24	17	5.8
"Lethbridge"	25	17	5.4
"Lethbridge"	26	17	6.4
"Lethbridge"	27	17	5.8
"Lethbridge"	28	17	3.4
"Lethbridge"	29	17	4.9
"Lethbridge"	30	17	5.7
"Lethbridge"	31	17	5.1
"Lethbridge"	32	17	8.8
"Lethbridge"	1	18	7.4
"Lethbridge"	2	18	9.3
"Lethbridge"	3	18	8.3
"Lethbridge"	4	18	8.5
"Lethbridge"	5	18	3
"Lethbridge"	6	18	9
"Lethbridge"	7	18	10
"Lethbridge"	8	18	8.4
"Lethbridge"	9	18	7.8
"Lethbridge"	10	18	7.6
"Lethbridge"	11	18	4.4
"Lethbridge"	12	18	7
"Lethbridge"	13	18	7.4
"Lethbridge"	14	18	7.6
"Lethbridge"	15	18	6.6
"Lethbridge"	16	18	6.8
"Lethbridge"	17	18	7.4
"Lethbridge"	18	18	7
"Lethbridge"	19	18	5.6
"Lethbridge"	20	18	4.2
"Lethbridge"	21	18	3.6
"Lethbridge"	22	18	5.7
"Lethbridge"	23	18	6.7
"Lethbridge"	24	18	4.5
"Lethbridge"	25	18	6.7
"Lethbridge"	26	18	5.3
"Lethbridge"	27	18	5.7
"Lethbridge"	28	18	4.5
"Lethbridge"	29	18	4.8
"Lethbridge"	30	18	4.8
"Lethbridge"	31	18	3.9
"Lethbridge"	32	18	6
"Vauxhall"	1	1	7.1
"Vauxhall"	2	1	6.4
"Vauxhall"	3	1	7
"Vauxhall"	4	1	7.9
"Vauxhall"	5	1	7.2
"Vauxhall"	6	1	8
"Vauxhall"	7	1	7.3
"Vauxhall"	8	1	8.1
"Vauxhall"	9	1	7.8
"Vauxhall"	10	1	5.6
"Vauxhall"	11	1	7
"Vauxhall"	12	1	7.3
"Vauxhall"	13	1	7.3
"Vauxhall"	14	1	5
"Vauxhall"	15	1	7.1
"Vauxhall"	16	1	5.5
"Vauxhall"	17	1	5.2
"Vauxhall"	18	1	6.3
"Vauxhall"	19	1	5.9
"Vauxhall"	20	1	6.5
"Vauxhall"	21	1	3.6
"Vauxhall"	22	1	6.6
"Vauxhall"	23	1	5.5
"Vauxhall"	24	1	5.8
"Vauxhall"	25	1	6.4
"Vauxhall"	26	1	6.8
"Vauxhall"	27	1	6.6
"Vauxhall"	28	1	8.2
"Vauxhall"	29	1	8.7
"Vauxhall"	30	1	8.3
"Vauxhall"	31	1	8
"Vauxhall"	32	1	6.6
"Vauxhall"	1	2	6.8
"Vauxhall"	2	2	8
"Vauxhall"	3	2	6
"Vauxhall"	4	2	5.8
"Vauxhall"	5	2	7.4
"Vauxhall"	6	2	7.3
"Vauxhall"	7	2	5.9
"Vauxhall"	8	2	7.6
"Vauxhall"	9	2	8.4
"Vauxhall"	10	2	6.6
"Vauxhall"	11	2	7.6
"Vauxhall"	12	2	8.8
"Vauxhall"	13	2	6.9
"Vauxhall"	14	2	7.1
"Vauxhall"	15	2	6.1
"Vauxhall"	16	2	7.9
"Vauxhall"	17	2	7.3
"Vauxhall"	18	2	7.6
"Vauxhall"	19	2	8.5
"Vauxhall"	20	2	7.7
"Vauxhall"	21	2	4.6
"Vauxhall"	22	2	7.4
"Vauxhall"	23	2	8.4
"Vauxhall"	24	2	8.5
"Vauxhall"	25	2	9
"Vauxhall"	26	2	6.6
"Vauxhall"	27	2	7.2
"Vauxhall"	28	2	8.8
"Vauxhall"	29	2	8
"Vauxhall"	30	2	8.2
"Vauxhall"	31	2	7.6
"Vauxhall"	32	2	9
"Vauxhall"	1	3	8.2
"Vauxhall"	2	3	9.2
"Vauxhall"	3	3	6.1
"Vauxhall"	4	3	5.4
"Vauxhall"	5	3	3.9
"Vauxhall"	6	3	8.1
"Vauxhall"	7	3	6.2
"Vauxhall"	8	3	7.8
"Vauxhall"	9	3	6.9
"Vauxhall"	10	3	5.7
"Vauxhall"	11	3	6.8
"Vauxhall"	12	3	6.4
"Vauxhall"	13	3	6
"Vauxhall"	14	3	6.7
"Vauxhall"	15	3	6.8
"Vauxhall"	16	3	7.4
"Vauxhall"	17	3	4.8
"Vauxhall"	18	3	7.6
"Vauxhall"	19	3	7.9
"Vauxhall"	20	3	7.4
"Vauxhall"	21	3	5.3
"Vauxhall"	22	3	7.4
"Vauxhall"	23	3	7.5
"Vauxhall"	24	3	6.4
"Vauxhall"	25	3	9.4
"Vauxhall"	26	3	8.5
"Vauxhall"	27	3	9
"Vauxhall"	28	3	8.2
"Vauxhall"	29	3	7.2
"Vauxhall"	30	3	8
"Vauxhall"	31	3	7
"Vauxhall"	32	3	8.7
"Vauxhall"	1	4	5.6
"Vauxhall"	2	4	8.7
"Vauxhall"	3	4	6.9
"Vauxhall"	4	4	7.5
"Vauxhall"	5	4	7.5
"Vauxhall"	6	4	7.1
"Vauxhall"	7	4	6.8
"Vauxhall"	8	4	8.1
"Vauxhall"	9	4	9
"Vauxhall"	10	4	6.6
"Vauxhall"	11	4	8.8
"Vauxhall"	12	4	7
"Vauxhall"	13	4	6.4
"Vauxhall"	14	4	7.6
"Vauxhall"	15	4	6.2
"Vauxhall"	16	4	7.6
"Vauxhall"	17	4	6.4
"Vauxhall"	18	4	5.6
"Vauxhall"	19	4	7.3
"Vauxhall"	20	4	6.4
"Vauxhall"	21	4	6.8
"Vauxhall"	22	4	9.2
"Vauxhall"	23	4	8
"Vauxhall"	24	4	7.4
"Vauxhall"	25	4	7.4
"Vauxhall"	26	4	8.4
"Vauxhall"	27	4	9.3
"Vauxhall"	28	4	8.2
"Vauxhall"	29	4	6.8
"Vauxhall"	30	4	9.2
"Vauxhall"	31	4	8.7
"Vauxhall"	32	4	9.6
"Vauxhall"	1	5	5.3
"Vauxhall"	2	5	5.5
"Vauxhall"	3	5	6.7
"Vauxhall"	4	5	7.6
"Vauxhall"	5	5	7.6
"Vauxhall"	6	5	6.6
"Vauxhall"	7	5	7
"Vauxhall"	8	5	8.6
"Vauxhall"	9	5	6.3
"Vauxhall"	10	5	5
"Vauxhall"	11	5	6.6
"Vauxhall"	12	5	8.4
"Vauxhall"	13	5	8.1
"Vauxhall"	14	5	7.3
"Vauxhall"	15	5	6.6
"Vauxhall"	16	5	7.7
"Vauxhall"	17	5	7.5
"Vauxhall"	18	5	6.5
"Vauxhall"	19	5	6.1
"Vauxhall"	20	5	5.9
"Vauxhall"	21	5	4.5
"Vauxhall"	22	5	5.5
"Vauxhall"	23	5	5.2
"Vauxhall"	24	5	6.6
"Vauxhall"	25	5	7.9
"Vauxhall"	26	5	6.1
"Vauxhall"	27	5	6.9
"Vauxhall"	28	5	6.8
"Vauxhall"	29	5	8.1
"Vauxhall"	30	5	8.2
"Vauxhall"	31	5	9.5
"Vauxhall"	32	5	7.9
"Vauxhall"	1	6	6.4
"Vauxhall"	2	6	5.6
"Vauxhall"	3	6	5
"Vauxhall"	4	6	6.8
"Vauxhall"	5	6	8.2
"Vauxhall"	6	6	9.7
"Vauxhall"	7	6	8.4
"Vauxhall"	8	6	8
"Vauxhall"	9	6	6.7
"Vauxhall"	10	6	6.6
"Vauxhall"	11	6	6.6
"Vauxhall"	12	6	6.5
"Vauxhall"	13	6	6.4
"Vauxhall"	14	6	5.8
"Vauxhall"	15	6	7.5
"Vauxhall"	16	6	5.6
"Vauxhall"	17	6	4.8
"Vauxhall"	18	6	4.4
"Vauxhall"	19	6	4.2
"Vauxhall"	20	6	5.5
"Vauxhall"	21	6	4.7
"Vauxhall"	22	6	4.6
"Vauxhall"	23	6	6.2
"Vauxhall"	24	6	8
"Vauxhall"	25	6	7.7
"Vauxhall"	26	6	9.1
"Vauxhall"	27	6	7.2
"Vauxhall"	28	6	8
"Vauxhall"	29	6	6.1
"Vauxhall"	30	6	5.6
"Vauxhall"	31	6	6
"Vauxhall"	32	6	4
"Vauxhall"	1	7	6.3
"Vauxhall"	2	7	6.5
"Vauxhall"	3	7	6
"Vauxhall"	4	7	5.7
"Vauxhall"	5	7	5
"Vauxhall"	6	7	6.7
"Vauxhall"	7	7	6.2
"Vauxhall"	8	7	7.6
"Vauxhall"	9	7	5.9
"Vauxhall"	10	7	5.4
"Vauxhall"	11	7	5.7
"Vauxhall"	12	7	5
"Vauxhall"	13	7	6.5
"Vauxhall"	14	7	6.5
"Vauxhall"	15	7	7
"Vauxhall"	16	7	7.8
"Vauxhall"	17	7	6.4
"Vauxhall"	18	7	6.2
"Vauxhall"	19	7	4.1
"Vauxhall"	20	7	6.2
"Vauxhall"	21	7	7.8
"Vauxhall"	22	7	7.1
"Vauxhall"	23	7	7.7
"Vauxhall"	24	7	7.2
"Vauxhall"	25	7	7.1
"Vauxhall"	26	7	5.9
"Vauxhall"	27	7	7.7
"Vauxhall"	28	7	8.9
"Vauxhall"	29	7	6.8
"Vauxhall"	30	7	7.2
"Vauxhall"	31	7	5.5
"Vauxhall"	32	7	5.5
"Vauxhall"	1	8	4.1
"Vauxhall"	2	8	4.9
"Vauxhall"	3	8	5
"Vauxhall"	4	8	5.2
"Vauxhall"	5	8	5.2
"Vauxhall"	6	8	6.2
"Vauxhall"	7	8	5
"Vauxhall"	8	8	5.4
"Vauxhall"	9	8	3.8
"Vauxhall"	10	8	3.4
"Vauxhall"	11	8	2.1
"Vauxhall"	12	8	3.8
"Vauxhall"	13	8	3
"Vauxhall"	14	8	4.2
"Vauxhall"	15	8	5.4
"Vauxhall"	16	8	7.2
"Vauxhall"	17	8	7.2
"Vauxhall"	18	8	7.4
"Vauxhall"	19	8	6.2
"Vauxhall"	20	8	5.4
"Vauxhall"	21	8	4.9
"Vauxhall"	22	8	6.6
"Vauxhall"	23	8	7.3
"Vauxhall"	24	8	8.3
"Vauxhall"	25	8	5.9
"Vauxhall"	26	8	7
"Vauxhall"	27	8	7.8
"Vauxhall"	28	8	7.9
"Vauxhall"	29	8	8.2
"Vauxhall"	30	8	7.9
"Vauxhall"	31	8	6.8
"Vauxhall"	32	8	8.5
"Vauxhall"	1	9	5.7
