"gen"	"loc"	"yield"	"region"
"A03"	"L03"	4177	"Ont"
"A04"	"L03"	4061	"Ont"
"A05"	"L03"	3774	"Ont"
"A06"	"L03"	4999	"Ont"
"A07"	"L03"	4315	"Ont"
"A08"	"L03"	4133	"Ont"
"A09"	"L03"	3891	"Ont"
"A10"	"L03"	3868	"Ont"
"A11"	"L03"	4178	"Ont"
"Bruce"	"L04"	6873	"Ont"
"Laurier"	"L04"	6937	"Ont"
"Leger"	"L04"	6800	"Ont"
"S1"	"L04"	7127	"Ont"
"S2"	"L04"	7887	"Ont"
"S3"	"L04"	7241	"Ont"
"S4"	"L04"	7996	"Ont"
"S5"	"L04"	7369	"Ont"
"S6"	"L04"	6764	"Ont"
"S7"	"L04"	7292	"Ont"
"T1"	"L04"	7218	"Ont"
"T2"	"L04"	6939	"Ont"
"A01"	"L04"	5956	"Ont"
"A02"	"L04"	6050	"Ont"
"A03"	"L04"	7866	"Ont"
"A04"	"L04"	7785	"Ont"
"A05"	"L04"	7198	"Ont"
"A06"	"L04"	8059	"Ont"
"A07"	"L04"	7724	"Ont"
"A08"	"L04"	6741	"Ont"
"A09"	"L04"	7779	"Ont"
"A10"	"L04"	6700	"Ont"
"A11"	"L04"	7421	"Ont"
"Bruce"	"L05"	3920	"Ont"
"Laurier"	"L05"	3399	"Ont"
"Leger"	"L05"	4803	"Ont"
"S1"	"L05"	4013	"Ont"
"S2"	"L05"	3633	"Ont"
"S3"	"L05"	3398	"Ont"
"S4"	"L05"	4227	"Ont"
"S5"	"L05"	4280	"Ont"
"S6"	"L05"	3277	"Ont"
"S7"	"L05"	3133	"Ont"
"T1"	"L05"	3807	"Ont"
"T2"	"L05"	3655	"Ont"
"A01"	"L05"	3514	"Ont"
"A02"	"L05"	3624	"Ont"
"A03"	"L05"	3756	"Ont"
"A04"	"L05"	3898	"Ont"
"A05"	"L05"	4238	"Ont"
"A06"	"L05"	4302	"Ont"
"A07"	"L05"	3982	"Ont"
"A08"	"L05"	3967	"Ont"
"A09"	"L05"	4396	"Ont"
"A10"	"L05"	3771	"Ont"
"A11"	"L05"	4045	"Ont"
"Bruce"	"L06"	5102	"Ont"
"Laurier"	"L06"	5453	"Ont"
"Leger"	"L06"	5594	"Ont"
"S1"	"L06"	5319	"Ont"
"S2"	"L06"	5464	"Ont"
"S3"	"L06"	5201	"Ont"
"S4"	"L06"	5755	"Ont"
"S5"	"L06"	6684	"Ont"
"S6"	"L06"	5013	"Ont"
"S7"	"L06"	5347	"Ont"
"T1"	"L06"	5139	"Ont"
"T2"	"L06"	5216	"Ont"
"A01"	"L06"	5723	"Ont"
"A02"	"L06"	5441	"Ont"
"A03"	"L06"	5934	"Ont"
"A04"	"L06"	5565	"Ont"
"A05"	"L06"	5436	"Ont"
"A06"	"L06"	5330	"Ont"
"A07"	"L06"	5681	"Ont"
"A08"	"L06"	5482	"Ont"
"A09"	"L06"	5292	"Ont"
"A10"	"L06"	5828	"Ont"
"A11"	"L06"	5120	"Ont"
"Bruce"	"L07"	4696	"Ont"
"Laurier"	"L07"	5437	"Ont"
"Leger"	"L07"	5753	"Ont"
"S1"	"L07"	5460	"Ont"
"S2"	"L07"	5327	"Ont"
"S3"	"L07"	4613	"Ont"
"S4"	"L07"	6153	"Ont"
"S5"	"L07"	6389	"Ont"
"S6"	"L07"	4546	"Ont"
"S7"	"L07"	4611	"Ont"
"T1"	"L07"	4754	"Ont"
"T2"	"L07"	5180	"Ont"
"A01"	"L07"	4033	"Ont"
"A02"	"L07"	4822	"Ont"
"A03"	"L07"	4963	"Ont"
"A04"	"L07"	5775	"Ont"
"A05"	"L07"	5220	"Ont"
"A06"	"L07"	5201	"Ont"
"A07"	"L07"	5580	"Ont"
"A08"	"L07"	4650	"Ont"
"A09"	"L07"	4941	"Ont"
"A10"	"L07"	5026	"Ont"
"A11"	"L07"	5535	"Ont"
"Bruce"	"L08"	4483	"Ont"
"Laurier"	"L08"	4781	"Ont"
"Leger"	"L08"	4990	"Ont"
"S1"	"L08"	6025	"Ont"
"S2"	"L08"	5529	"Ont"
"S3"	"L08"	5166	"Ont"
"S4"	"L08"	6465	"Ont"
"S5"	"L08"	5341	"Ont"
"S6"	"L08"	5809	"Ont"
"S7"	"L08"	5360	"Ont"
"T1"	"L08"	5378	"Ont"
"T2"	"L08"	5707	"Ont"
"A01"	"L08"	4218	"Ont"
"A02"	"L08"	5215	"Ont"
"A03"	"L08"	5177	"Ont"
"A04"	"L08"	5524	"Ont"
"A05"	"L08"	4777	"Ont"
"A06"	"L08"	5679	"Ont"
"A07"	"L08"	4765	"Ont"
"A08"	"L08"	5288	"Ont"
"A09"	"L08"	4948	"Ont"
"A10"	"L08"	4474	"Ont"
"A11"	"L08"	5002	"Ont"
"Bruce"	"L09"	5804	"Ont"
"Laurier"	"L09"	5849	"Ont"
"Leger"	"L09"	6653	"Ont"
"S1"	"L09"	6216	"Ont"
"S2"	"L09"	5581	"Ont"
"S3"	"L09"	6051	"Ont"
"S4"	"L09"	7287	"Ont"
"S5"	"L09"	7047	"Ont"
"S6"	"L09"	5924	"Ont"
"S7"	"L09"	5837	"Ont"
"T1"	"L09"	5981	"Ont"
"T2"	"L09"	6239	"Ont"
"A01"	"L09"	5581	"Ont"
"A02"	"L09"	6231	"Ont"
"A03"	"L09"	6119	"Ont"
"A04"	"L09"	6333	"Ont"
"A05"	"L09"	6119	"Ont"
"A06"	"L09"	6890	"Ont"
"A07"	"L09"	4881	"Ont"
"A08"	"L09"	5833	"Ont"
"A09"	"L09"	6137	"Ont"
"A10"	"L09"	5690	"Ont"
"A11"	"L09"	5983	"Ont"
"Bruce"	"L10"	3655	"Atl-Que"
"Laurier"	"L10"	3391	"Atl-Que"
"Leger"	"L10"	4103	"Atl-Que"
"S1"	"L10"	4276	"Atl-Que"
"S2"	"L10"	4000	"Atl-Que"
"S3"	"L10"	4276	"Atl-Que"
"S4"	"L10"	4586	"Atl-Que"
"S5"	"L10"	4159	"Atl-Que"
"S6"	"L10"	4172	"Atl-Que"
"S7"	"L10"	4241	"Atl-Que"
"T1"	"L10"	4483	"Atl-Que"
"T2"	"L10"	4897	"Atl-Que"
"O01"	"L10"	4724	"Atl-Que"
"O02"	"L10"	4600	"Atl-Que"
"O03"	"L10"	3931	"Atl-Que"
"O04"	"L10"	4011	"Atl-Que"
"O05"	"L10"	4241	"Atl-Que"
"O06"	"L10"	4138	"Atl-Que"
"O07"	"L10"	4586	"Atl-Que"
"O08"	"L10"	4116	"Atl-Que"
"O09"	"L10"	4379	"Atl-Que"
"O10"	"L10"	4103	"Atl-Que"
"Bruce"	"L11"	3112	"Atl-Que"
"Laurier"	"L11"	3131	"Atl-Que"
"Leger"	"L11"	4078	"Atl-Que"
"S1"	"L11"	3159	"Atl-Que"
"S2"	"L11"	3403	"Atl-Que"
"S3"	"L11"	3431	"Atl-Que"
"S4"	"L11"	3984	"Atl-Que"
"S5"	"L11"	3468	"Atl-Que"
"S6"	"L11"	3646	"Atl-Que"
"S7"	"L11"	3506	"Atl-Que"
"T1"	"L11"	3712	"Atl-Que"
"T2"	"L11"	4153	"Atl-Que"
"O01"	"L11"	4415	"Atl-Que"
"O02"	"L11"	3890	"Atl-Que"
"O03"	"L11"	3450	"Atl-Que"
"O04"	"L11"	3337	"Atl-Que"
"O05"	"L11"	3590	"Atl-Que"
"O06"	"L11"	3365	"Atl-Que"
"O07"	"L11"	4021	"Atl-Que"
"O08"	"L11"	4012	"Atl-Que"
"O09"	"L11"	3813	"Atl-Que"
"O10"	"L11"	3881	"Atl-Que"
"Bruce"	"L12"	3637	"Atl-Que"
"Laurier"	"L12"	2840	"Atl-Que"
"Leger"	"L12"	4171	"Atl-Que"
"S1"	"L12"	4509	"Atl-Que"
"S2"	"L12"	4621	"Atl-Que"
"S3"	"L12"	4256	"Atl-Que"
"S4"	"L12"	4687	"Atl-Que"
"S5"	"L12"	3056	"Atl-Que"
"S6"	"L12"	3993	"Atl-Que"
"S7"	"L12"	3900	"Atl-Que"
"T1"	"L12"	4518	"Atl-Que"
"T2"	"L12"	4143	"Atl-Que"
"O01"	"L12"	4387	"Atl-Que"
"O02"	"L12"	4350	"Atl-Que"
"O03"	"L12"	4115	"Atl-Que"
"O04"	"L12"	3871	"Atl-Que"
"O05"	"L12"	4231	"Atl-Que"
"O06"	"L12"	4115	"Atl-Que"
"O07"	"L12"	4059	"Atl-Que"
"O08"	"L12"	4106	"Atl-Que"
"O09"	"L12"	4078	"Atl-Que"
"O10"	"L12"	3937	"Atl-Que"
"Bruce"	"L13"	3784	"Atl-Que"
"Laurier"	"L13"	2812	"Atl-Que"
"Leger"	"L13"	4548	"Atl-Que"
"S1"	"L13"	4164	"Atl-Que"
"S2"	"L13"	4613	"Atl-Que"
"S3"	"L13"	4124	"Atl-Que"
"S4"	"L13"	3653	"Atl-Que"
"S5"	"L13"	4255	"Atl-Que"
"S6"	"L13"	4883	"Atl-Que"
"S7"	"L13"	4397	"Atl-Que"
"T1"	"L13"	5102	"Atl-Que"
"T2"	"L13"	4613	"Atl-Que"
"O01"	"L13"	5224	"Atl-Que"
"O02"	"L13"	4874	"Atl-Que"
"O03"	"L13"	3829	"Atl-Que"
"O04"	"L13"	4448	"Atl-Que"
"O05"	"L13"	4494	"Atl-Que"
"O06"	"L13"	4937	"Atl-Que"
"O07"	"L13"	4059	"Atl-Que"
"O08"	"L13"	4210	"Atl-Que"
"O09"	"L13"	3661	"Atl-Que"
"O10"	"L13"	4985	"Atl-Que"
"Bruce"	"L14"	4571	"Atl-Que"
"Laurier"	"L14"	3804	"Atl-Que"
"Leger"	"L14"	5164	"Atl-Que"
"S1"	"L14"	4986	"Atl-Que"
"S2"	"L14"	4876	"Atl-Que"
"S3"	"L14"	5044	"Atl-Que"
"S4"	"L14"	5875	"Atl-Que"
"S5"	"L14"	5509	"Atl-Que"
"S6"	"L14"	4765	"Atl-Que"
"S7"	"L14"	4773	"Atl-Que"
"T1"	"L14"	5933	"Atl-Que"
"T2"	"L14"	5441	"Atl-Que"
"O01"	"L14"	5399	"Atl-Que"
"O02"	"L14"	5386	"Atl-Que"
"O03"	"L14"	4826	"Atl-Que"
"O04"	"L14"	4803	"Atl-Que"
"O05"	"L14"	4879	"Atl-Que"
"O06"	"L14"	5034	"Atl-Que"
"O07"	"L14"	5595	"Atl-Que"
"O08"	"L14"	5736	"Atl-Que"
"O09"	"L14"	5220	"Atl-Que"
"O10"	"L14"	5235	"Atl-Que"
"Bruce"	"L15"	3924	"Atl-Que"
"Laurier"	"L15"	3998	"Atl-Que"
"Leger"	"L15"	4675	"Atl-Que"
"S1"	"L15"	4513	"Atl-Que"
"S2"	"L15"	4252	"Atl-Que"
"S3"	"L15"	4067	"Atl-Que"
"S4"	"L15"	4823	"Atl-Que"
"S5"	"L15"	4812	"Atl-Que"
"S6"	"L15"	4141	"Atl-Que"
"S7"	"L15"	4272	"Atl-Que"
"T1"	"L15"	4398	"Atl-Que"
"T2"	"L15"	4302	"Atl-Que"
"O01"	"L15"	4013	"Atl-Que"
"O02"	"L15"	4352	"Atl-Que"
"O03"	"L15"	3824	"Atl-Que"
"O04"	"L15"	4477	"Atl-Que"
"O05"	"L15"	4424	"Atl-Que"
"O06"	"L15"	4707	"Atl-Que"
"O07"	"L15"	4578	"Atl-Que"
"O08"	"L15"	3912	"Atl-Que"
"O09"	"L15"	4420	"Atl-Que"
"O10"	"L15"	4499	"Atl-Que"
"Bruce"	"L16"	4628	"Atl-Que"
"Laurier"	"L16"	5364	"Atl-Que"
"Leger"	"L16"	5860	"Atl-Que"
"S1"	"L16"	6207	"Atl-Que"
"S2"	"L16"	5434	"Atl-Que"
"S3"	"L16"	5031	"Atl-Que"
"S4"	"L16"	5683	"Atl-Que"
"S5"	"L16"	5646	"Atl-Que"
"S6"	"L16"	5348	"Atl-Que"
"S7"	"L16"	5053	"Atl-Que"
"T1"	"L16"	5527	"Atl-Que"
"T2"	"L16"	5314	"Atl-Que"
"O01"	"L16"	5562	"Atl-Que"
"O02"	"L16"	5782	"Atl-Que"
"O03"	"L16"	4738	"Atl-Que"
"O04"	"L16"	5481	"Atl-Que"
"O05"	"L16"	5702	"Atl-Que"
"O06"	"L16"	5482	"Atl-Que"
"O07"	"L16"	5356	"Atl-Que"
"O08"	"L16"	5426	"Atl-Que"
"O09"	"L16"	4997	"Atl-Que"
"O10"	"L16"	5568	"Atl-Que"
"Bruce"	"L17"	3689	"Atl-Que"
"Laurier"	"L17"	3731	"Atl-Que"
"Leger"	"L17"	4148	"Atl-Que"
"S1"	"L17"	3786	"Atl-Que"
"S2"	"L17"	3831	"Atl-Que"
"S3"	"L17"	3833	"Atl-Que"
"S4"	"L17"	4439	"Atl-Que"
"S5"	"L17"	3952	"Atl-Que"
"S6"	"L17"	3952	"Atl-Que"
"S7"	"L17"	3760	"Atl-Que"
"T1"	"L17"	3626	"Atl-Que"
"T2"	"L17"	4164	"Atl-Que"
"O01"	"L17"	3790	"Atl-Que"
"O02"	"L17"	3940	"Atl-Que"
"O03"	"L17"	3832	"Atl-Que"
"O04"	"L17"	3715	"Atl-Que"
"O05"	"L17"	3948	"Atl-Que"
"O06"	"L17"	4054	"Atl-Que"
"O07"	"L17"	4093	"Atl-Que"
"O08"	"L17"	4163	"Atl-Que"
"O09"	"L17"	3739	"Atl-Que"
"O10"	"L17"	4040	"Atl-Que"
"Bruce"	"L18"	2725	"Atl-Que"
"Laurier"	"L18"	3561	"Atl-Que"
"Leger"	"L18"	2320	"Atl-Que"
"S1"	"L18"	3259	"Atl-Que"
"S2"	"L18"	3177	"Atl-Que"
"S3"	"L18"	2761	"Atl-Que"
"S4"	"L18"	3955	"Atl-Que"
"S5"	"L18"	2558	"Atl-Que"
"S6"	"L18"	2983	"Atl-Que"
"S7"	"L18"	3461	"Atl-Que"
"T1"	"L18"	3351	"Atl-Que"
"T2"	"L18"	3375	"Atl-Que"
"O01"	"L18"	3146	"Atl-Que"
"O02"	"L18"	3299	"Atl-Que"
"O03"	"L18"	3168	"Atl-Que"
"O04"	"L18"	3822	"Atl-Que"
"O05"	"L18"	3746	"Atl-Que"
"O06"	"L18"	3912	"Atl-Que"
"O07"	"L18"	3739	"Atl-Que"
"O08"	"L18"	3391	"Atl-Que"
"O09"	"L18"	2884	"Atl-Que"
"O10"	"L18"	3958	"Atl-Que"
