rep	nitro	management	gen	yield	col	row
R2	50	Intensive	V1	5.17	4	4
R2	50	Intensive	V2	7.442	4	6
R2	50	Intensive	V3	9.942	4	5
R2	80	Minimum	V1	5.788	6	3
R2	80	Minimum	V2	5.988	6	2
R2	80	Minimum	V3	6.698	6	1
R2	80	Optimum	V1	6.13	4	1
R2	80	Optimum	V2	6.533	4	2
R2	80	Optimum	V3	8.526	4	3
R2	80	Intensive	V1	7.106	5	2
R2	80	Intensive	V2	6.914	5	1
R2	80	Intensive	V3	9.14	5	3
R2	110	Minimum	V1	4.842	6	8
R2	110	Minimum	V2	6.768	6	7
R2	110	Minimum	V3	7.414	6	9
R2	110	Optimum	V1	5.742	4	8
R2	110	Optimum	V2	7.856	4	9
R2	110	Optimum	V3	9.016	4	7
R2	110	Intensive	V1	5.869	5	8
R2	110	Intensive	V2	7.626	5	7
R2	110	Intensive	V3	8.966	5	9
R2	140	Minimum	V1	4.375	5	10
R2	140	Minimum	V2	6.894	5	12
R2	140	Minimum	V3	8.508	5	11
R2	140	Optimum	V1	4.315	4	12
R2	140	Optimum	V2	6.974	4	10
R2	140	Optimum	V3	9.68	4	11
R2	140	Intensive	V1	5.389	6	12
R2	140	Intensive	V2	7.812	6	11
R2	140	Intensive	V3	9.896	6	10
R3	0	Minimum	V1	4.507	9	7
R3	0	Minimum	V2	4.815	9	8
R3	0	Minimum	V3	5.244	9	9
R3	0	Optimum	V1	4.875	7	7
R3	0	Optimum	V2	4.166	7	9
R3	0	Optimum	V3	5.584	7	8
R3	0	Intensive	V1	5.4	8	9
R3	0	Intensive	V2	4.225	8	8
R3	0	Intensive	V3	7.642	8	7
R3	50	Minimum	V1	4.756	8	2
R3	50	Minimum	V2	5.39	8	1
R3	50	Minimum	V3	7.092	8	3
R3	50	Optimum	V1	5.295	9	1
R3	50	Optimum	V2	5.163	9	3
R3	50	Optimum	V3	7.212	9	2
R3	50	Intensive	V1	6.046	7	1
R3	50	Intensive	V2	4.478	7	2
R3	50	Intensive	V3	8.714	7	3
R3	80	Minimum	V1	4.422	7	13
R3	80	Minimum	V2	6.509	7	15
R3	80	Minimum	V3	8.65	7	14
R3	80	Optimum	V1	5.308	8	13
R3	80	Optimum	V2	6.569	8	15
R3	80	Optimum	V3	8.514	8	14
R3	80	Intensive	V1	6.318	9	15
R3	80	Intensive	V2	7.991	9	13
R3	80	Intensive	V3	9.32	9	14
R3	110	Minimum	V1	4.863	9	4
R3	110	Minimum	V2	5.779	9	6
R3	110	Minimum	V3	6.902	9	5
R3	110	Optimum	V1	5.345	7	5
R3	110	Optimum	V2	6.164	7	6
R3	110	Optimum	V3	7.778	7	4
R3	110	Intensive	V1	6.011	8	4
R3	110	Intensive	V2	7.362	8	5
R3	110	Intensive	V3	9.128	8	6
R3	140	Minimum	V1	4.678	8	12
R3	140	Minimum	V2	6.573	8	10
R3	140	Minimum	V3	8.032	8	11
R3	140	Optimum	V1	5.896	7	12
R3	140	Optimum	V2	7.422	7	10
R3	140	Optimum	V3	9.294	7	11
R3	140	Intensive	V1	7.309	9	10
R3	140	Intensive	V2	8.95	9	11
R3	140	Intensive	V3	9.712	9	12
