col	row	rep	gen	yield
4	17	R1	(WqKPWmH*3Ag	758
4	18	R1	(WWH*MM)*WR*	774
4	19	R1	VF655	652
4	20	R1	VF508	684
4	21	R1	VF299	656
4	22	R1	VF300	792
5	1	R1	VF655	571
5	2	R1	VF664	726
5	3	R1	VF302	633
5	4	R1	VG127	595
5	5	R1	VG503	684
5	6	R1	VG506	744
5	7	R1	VG701	740
5	8	R1	VG714	705
5	9	R1	VG878	734
5	10	R1	BD231	637
5	11	R1	WI221	837
5	12	R1	WI231	657
5	13	R1	WI232	765
5	14	R1	M4997	689
5	15	R1	WW1477*	537
5	16	R1	WW1831	633
5	17	R1	K2011-5*	629
5	18	R1	M5097	614
5	19	R1	RAC655'S'	714
5	20	R1	CONDOR	684
5	21	R1	TINCURRIN	722
5	22	R1	TINCURRIN	791
6	1	R2	WW1477	642
6	2	R2	GOROKE	687
6	3	R2	RAC821	625
6	4	R2	K2011-5*	619
6	5	R2	RAC807	781
6	6	R2	RAC655'S'	729
6	7	R2	OXLEY	708
6	8	R2	RAC804	650
6	9	R2	VF302	620
6	10	R2	RAC655	785
6	11	R2	RAC791	741
6	12	R2	EXCALIBUR	847
6	13	R2	TASMAN	657
6	14	R2	SUNLAND	704
6	15	R2	KULIN	662
6	16	R2	VG714	710
6	17	R2	VG878	817
6	18	R2	DGR/MNX-9-9e	754
6	19	R2	TINCURRIN	925
6	20	R2	VF508	821
6	21	R2	RAC750	767
6	22	R2	RAC809	875
7	1	R2	RAC813	665
7	2	R2	VG503	715
7	3	R2	VG127	644
7	4	R2	OUYEN	716
7	5	R2	RAC808	696
7	6	R2	RAC819	608
7	7	R2	KATUNGA	785
7	8	R2	WILGOYNE	631
7	9	R2	MEERING	617
7	10	R2	RAC777	758
7	11	R2	WW1831	776
7	12	R2	(WqKPWmH*3Ag	736
7	13	R2	WW1477*	631
7	14	R2	LOWAN	782
7	15	R2	VF664	702
7	16	R2	MACHETE	638
7	17	R2	JANZ	635
7	18	R2	PEROUSE	592
7	19	R2	SUNBRI	534
7	20	R2	VF299	706
7	21	R2	SWIFT	596
7	22	R2	VF655	735
8	1	R2	ANGAS	738
8	2	R2	RAC818	727
8	3	R2	HALBERD	749
8	4	R2	WW1402	719
8	5	R2	OSPREY	655
8	6	R2	CUNNINGHAM	535
8	7	R2	YARRALINKA	780
8	8	R2	CADOUX	661
8	9	R2	SHRIKE	687
8	10	R2	M5075	757
8	11	R2	BATAVIA	763
8	12	R2	M4997	754
8	13	R2	STILETTO	910
8	14	R2	WARBLER	733
8	15	R2	TINCURRIN	868
8	16	R2	BT_SCHOMBURG	791
8	17	R2	KITE	696
8	18	R2	BD231	712
8	19	R2	RAC798	850
8	20	R2	AMERY	803
8	21	R2	TRIDENT	802
8	22	R2	VF519	793
9	1	R2	SPEAR	678
9	2	R2	ROSELLA	509
9	3	R2	WI231	532
9	4	R2	LARK	443
9	5	R2	RAC696	680
9	6	R2	WI216	644
9	7	R2	CONDOR	516
9	8	R2	SUNFIELD	572
9	9	R2	SCHOMBURGK	584
9	10	R2	CORRIGIN	624
9	11	R2	RAC815	651
9	12	R2	RAC810	611
9	13	R2	BEULAH	593
9	14	R2	AROONA	651
9	15	R2	VF300	558
9	16	R2	RAC759	594
9	17	R2	WI232	690
9	18	R2	VF655	602
9	19	R2	RAC816	626
9	20	R2	WI221	747
9	21	R2	MOLINEUX	637
9	22	R2	RAC792	569
10	1	R2	DOLLARBIRD	536
10	2	R2	TATIARA	735
10	3	R2	WYUNA	709
10	4	R2	RAC812	724
10	5	R2	RAC820	637
10	6	R2	RAC817	613
10	7	R2	PELSART	556
10	8	R2	BLADE	618
10	9	R2	KIATA	754
10	10	R2	RAC806	845
10	11	R2	RAC811	906
10	12	R2	RAC772	813
10	13	R2	VG506	750
10	14	R2	M5097	740
10	15	R2	RAC814	635
10	16	R2	RAC710	743
10	17	R2	RAC805	711
10	18	R2	RAC779	819
10	19	R2	(WWH*MM)*WR*	845
10	20	R2	RAC787	818
10	21	R2	HOUTMAN	734
10	22	R2	VG701	844
11	1	R3	AROONA	568
11	2	R3	ANGAS	508
11	3	R3	WW1477	469
11	4	R3	RAC772	628
11	5	R3	RAC814	561
11	6	R3	AMERY	599
11	7	R3	RAC779	637
11	8	R3	WI216	696
11	9	R3	RAC811	581
11	10	R3	BEULAH	553
11	11	R3	RAC792	666
11	12	R3	ROSELLA	531
11	13	R3	DOLLARBIRD	547
11	14	R3	K2011-5*	617
11	15	R3	CUNNINGHAM	428
11	16	R3	VF302	549
11	17	R3	GOROKE	571
11	18	R3	CONDOR	554
11	19	R3	RAC820	668
11	20	R3	VF508	657
11	21	R3	VF299	566
11	22	R3	OSPREY	578
12	1	R3	(WqKPWmH*3Ag	706
12	2	R3	RAC696	726
12	3	R3	TATIARA	686
12	4	R3	VG127	559
12	5	R3	RAC808	618
12	6	R3	KITE	527
12	7	R3	KULIN	715
12	8	R3	SCHOMBURGK	680
12	9	R3	TASMAN	473
12	10	R3	SHRIKE	546
12	11	R3	RAC759	724
12	12	R3	RAC798	627
12	13	R3	RAC804	700
12	14	R3	WILGOYNE	546
12	15	R3	DGR/MNX-9-9e	673
12	16	R3	RAC805	657
12	17	R3	HALBERD	661
12	18	R3	VG878	733
12	19	R3	VG503	599
12	20	R3	BD231	567
12	21	R3	BT_SCHOMBURG	663
12	22	R3	PELSART	530
13	1	R3	LARK	298
13	2	R3	VF655	439
13	3	R3	LOWAN	363
13	4	R3	RAC807	358
13	5	R3	OXLEY	317
13	6	R3	WI221	491
13	7	R3	WARBLER	256
13	8	R3	RAC819	328
13	9	R3	RAC815	396
13	10	R3	RAC787	288
13	11	R3	SPEAR	315
13	12	R3	KIATA	361
13	13	R3	VG714	387
13	14	R3	JANZ	350
13	15	R3	WW1402	351
13	16	R3	STILETTO	298
13	17	R3	VG701	485
13	18	R3	RAC806	447
13	19	R3	CADOUX	376
13	20	R3	RAC818	395
13	21	R3	M5075	381
13	22	R3	VF300	442
14	1	R3	SWIFT	371
14	2	R3	BLADE	328
14	3	R3	RAC817	452
14	4	R3	TINCURRIN	399
14	5	R3	TINCURRIN	435
14	6	R3	RAC810	387
14	7	R3	WI232	503
14	8	R3	TRIDENT	446
14	9	R3	RAC813	422
14	10	R3	VF664	379
14	11	R3	WYUNA	458
14	12	R3	WW1477*	296
14	13	R3	RAC816	487
14	14	R3	M5097	465
14	15	R3	SUNBRI	335
14	16	R3	SUNLAND	369
14	17	R3	RAC791	469
14	18	R3	RAC821	518
14	19	R3	VF519	573
14	20	R3	SUNFIELD	493
14	21	R3	KATUNGA	541
14	22	R3	MEERING	423
15	1	R3	RAC777	194
15	2	R3	M4997	246
15	3	R3	WI231	283
15	4	R3	VG506	307
15	5	R3	VF655	294
15	6	R3	YARRALINKA	257
15	7	R3	PEROUSE	238
15	8	R3	MACHETE	285
15	9	R3	RAC655	254
15	10	R3	RAC809	302
15	11	R3	CORRIGIN	397
15	12	R3	MOLINEUX	393
15	13	R3	RAC812	428
15	14	R3	HOUTMAN	319
15	15	R3	RAC710	458
15	16	R3	OUYEN	396
15	17	R3	RAC750	381
15	18	R3	RAC655'S'	343
15	19	R3	WW1831	458
15	20	R3	BATAVIA	438
15	21	R3	(WWH*MM)*WR*	508
15	22	R3	EXCALIBUR	551
