"row"	"col"	"yield"	"ears"
66	3	20.5	35
67	3	21.5	30
68	3	26	23
69	3	14.5	15
70	3	22.5	22
71	3	22	28
72	3	10.5	16
73	3	28.5	27
74	3	13	19
75	3	26	31
76	3	13	15
77	3	9	11
78	3	43.5	36
79	3	11.5	9
80	3	29	22
1	4	43.5	29
2	4	12.5	25
3	4	18.5	20
4	4	12	19
5	4	16	30
6	4	11	31
7	4	8	25
8	4	12.5	26
9	4	9	14
10	4	11.5	30
11	4	19	32
12	4	7	9
13	4	10.5	16
14	4	24.5	26
15	4	14	15
16	4	16.5	22
17	4	11	16
18	4	17	23
19	4	6	9
20	4	22	22
21	4	13	20
22	4	20	19
23	4	15.5	15
24	4	7.5	8
25	4	18.5	23
26	4	12	19
27	4	25.5	20
28	4	3	7
29	4	41	35
30	4	17	23
31	4	26.5	29
32	4	18	21
33	4	19.5	20
34	4	41	36
35	4	15	17
36	4	17.5	20
37	4	22.5	27
38	4	1	3
39	4	28	32
40	4	9.5	13
41	4	17.5	26
42	4	18.5	16
43	4	20	20
44	4	20	23
45	4	23.5	28
46	4	13	22
47	4	10	15
48	4	20	21
49	4	25	33
50	4	21.5	27
51	4	13	24
52	4	14.5	27
53	4	15	22
54	4	21.5	25
55	4	23	30
56	4	14.5	15
57	4	20	21
58	4	7.5	7
59	4	28.5	18
60	4	20	12
61	4	20	16
62	4	22.5	15
63	4	11.5	8
64	4	16	14
65	4	41.5	40
66	4	39.5	43
67	4	20	21
68	4	24.5	29
69	4	22	22
70	4	12	21
71	4	20.5	25
72	4	15	12
73	4	20	25
74	4	23.5	21
75	4	20	18
76	4	12	13
77	4	17.5	15
78	4	27	33
79	4	28.5	29
80	4	58	38
1	5	40	22
2	5	12	20
3	5	15.5	19
4	5	5.5	11
5	5	19	21
6	5	10	24
7	5	12	19
8	5	10	16
9	5	14.5	26
10	5	7	9
11	5	12	18
12	5	11.5	10
13	5	19.5	29
14	5	7	16
15	5	8.5	16
16	5	12	16
17	5	18	28
18	5	21	28
19	5	11	23
20	5	11	25
21	5	21	25
22	5	18	28
23	5	10	10
24	5	28.5	24
25	5	20.5	23
26	5	9	18
27	5	20	23
28	5	21	23
29	5	14	14
30	5	38.5	36
31	5	22	29
32	5	30	39
33	5	17	19
34	5	10	26
35	5	13	24
36	5	19	24
37	5	26	26
38	5	10.5	10
39	5	33	21
40	5	30	32
41	5	14	18
42	5	23	28
43	5	17.5	21
44	5	15.5	24
45	5	20	31
46	5	16.5	23
47	5	20.5	32
48	5	25	26
49	5	26.5	24
50	5	18.5	24
51	5	14	18
52	5	24	25
53	5	6	6
54	5	30	26
55	5	10	7
56	5	21	23
57	5	43	26
58	5	8.5	9
59	5	12	8
60	5	11	11
61	5	33.5	29
62	5	16	17
63	5	7	7
64	5	21	27
65	5	22.5	28
66	5	18.5	22
67	5	31.5	33
68	5	24	26
69	5	9.5	8
70	5	29.5	27
71	5	19	24
72	5	33	40
73	5	17.5	17
74	5	9.5	10
75	5	19	21
76	5	22	25
77	5	24.5	30
78	5	12	11
79	5	0	0
80	5	38	24
1	6	34.5	22
2	6	14.5	19
3	6	12	20
4	6	7.5	20
5	6	13.5	23
6	6	21	24
7	6	8	13
8	6	14	31
9	6	17	20
10	6	10.5	12
11	6	15.5	21
12	6	11.5	14
13	6	15	30
14	6	18	25
15	6	11	20
16	6	15	16
17	6	17	19
18	6	17.5	22
19	6	8	8
20	6	10	15
21	6	17	24
22	6	13	26
23	6	16.5	26
24	6	15.5	24
25	6	14.5	23
26	6	12	22
27	6	19.5	21
28	6	6	7
29	6	21	27
30	6	30.5	34
31	6	29.5	32
32	6	1.5	4
33	6	21	25
34	6	16.5	22
35	6	21	26
36	6	14	24
37	6	14	32
38	6	18.5	21
39	6	20.5	25
40	6	19.5	19
41	6	28	30
42	6	18	26
43	6	22.5	27
44	6	25	27
45	6	13.5	14
46	6	33.5	32
47	6	12.5	9
48	6	38.5	30
49	6	16.5	21
50	6	36	29
51	6	6	6
52	6	27.5	34
53	6	10	13
54	6	14.5	10
55	6	3	3
56	6	26	17
57	6	35.5	28
58	6	14	11
59	6	16	11
60	6	20.5	19
61	6	20	21
62	6	25	22
63	6	10	11
64	6	19	21
65	6	21	24
66	6	15.5	17
67	6	20	19
68	6	12	17
69	6	17	24
70	6	27.5	31
71	6	24.5	32
72	6	16	17
73	6	28	32
74	6	18	28
75	6	15.5	19
76	6	16.5	14
77	6	15.5	14
78	6	3	3
79	6	23	23
80	6	41	29
1	7	27	23
2	7	19.5	23
3	7	8	13
4	7	24	39
5	7	22	34
6	7	10.5	19
7	7	10.5	15
8	7	26	35
9	7	8.5	15
10	7	12	25
11	7	19.5	22
12	7	6	13
13	7	14	18
14	7	16	21
15	7	14	16
16	7	12	14
17	7	22	20
18	7	3.5	6
19	7	23.5	27
20	7	10	10
21	7	8	12
22	7	21	31
23	7	20	31
24	7	6.5	16
25	7	17.5	23
26	7	19	29
27	7	23.5	26
28	7	11	11
29	7	23.5	28
30	7	23	31
31	7	11.5	18
32	7	25	28
33	7	11	17
34	7	10.5	16
35	7	16.5	23
36	7	15.5	33
37	7	11.5	22
38	7	2.5	7
39	7	30	28
40	7	7.5	8
41	7	25	30
42	7	6	10
43	7	6.5	10
44	7	15.5	12
45	7	20	22
46	7	5	6
47	7	32	21
48	7	13	18
49	7	16.5	15
50	7	29	34
51	7	13	11
52	7	19.5	20
53	7	14.5	21
54	7	13	7
55	7	9	10
56	7	18	22
57	7	24.5	22
58	7	2.5	3
59	7	20	18
60	7	13.5	11
61	7	37.5	25
62	7	19	19
63	7	18	20
64	7	4	5
65	7	23.5	24
66	7	17	21
67	7	18	24
68	7	22	21
69	7	28	33
70	7	22	25
71	7	19	26
72	7	9	10
73	7	16	12
74	7	31.5	30
75	7	19.5	24
76	7	13.5	15
77	7	33.5	35
78	7	11.5	13
79	7	12	13
80	7	29.5	26
1	8	24	18
2	8	10	13
3	8	11	15
4	8	14.5	23
5	8	8	14
6	8	26	30
7	8	13.5	22
8	8	13	18
9	8	11	12
10	8	12	15
11	8	13	16
12	8	9	19
13	8	15	17
14	8	22	16
15	8	17.5	17
16	8	28.5	29
17	8	9	9
18	8	21.5	19
19	8	12.5	19
20	8	5.5	10
21	8	24	23
22	8	26.5	30
23	8	12.5	15
24	8	10.5	12
25	8	15.5	16
26	8	12.5	19
27	8	9	13
28	8	22.5	25
29	8	17.5	30
30	8	12.5	19
31	8	15	19
32	8	11	20
33	8	17.5	21
34	8	16	19
35	8	23.5	23
36	8	8	13
37	8	12.5	28
38	8	3	7
39	8	27.5	32
40	8	16.5	18
41	8	7.5	16
42	8	26.5	30
43	8	20	16
44	8	16	16
45	8	27	22
46	8	8.5	9
47	8	28	28
48	8	15.5	17
49	8	21.5	22
50	8	15.5	15
51	8	21	18
52	8	15.5	18
53	8	13	17
54	8	10	7
55	8	19.5	16
56	8	7	10
57	8	24	22
58	8	7.5	8
59	8	16.5	14
60	8	0	0
61	8	20.5	18
62	8	15.5	17
63	8	31	38
64	8	7	10
65	8	23.5	29
66	8	12	16
67	8	23	24
68	8	18.5	21
69	8	15.5	25
70	8	28	27
71	8	28	33
72	8	19	30
73	8	27	30
74	8	24.5	27
75	8	27.5	29
76	8	8.5	9
77	8	30	28
78	8	20.5	23
79	8	18.5	17
80	8	20.5	14
1	9	38	26
2	9	15	14
3	9	10.5	11
4	9	18.5	28
5	9	36	41
6	9	18	15
7	9	13	24
8	9	28.5	44
9	9	14.5	17
10	9	28.5	32
11	9	19	20
12	9	17	22
13	9	23	27
14	9	10.5	8
15	9	8	6
16	9	27.5	29
17	9	19.5	19
18	9	11.5	19
19	9	7.5	13
20	9	21.5	23
21	9	15.5	11
22	9	10.5	7
23	9	35.5	27
24	9	21.5	19
25	9	7	8
26	9	23.5	30
27	9	16	15
28	9	25	24
29	9	17	24
30	9	25.5	26
31	9	20	25
32	9	26.5	33
33	9	15	19
34	9	13	17
35	9	16.5	18
36	9	28.5	23
37	9	12	16
38	9	17	18
39	9	18	20
40	9	25.5	27
41	9	10	13
42	9	25.5	35
43	9	13.5	12
44	9	23	23
45	9	8.5	11
46	9	23	23
47	9	11	17
48	9	19	23
49	9	16.5	20
50	9	21.5	17
51	9	0	0
52	9	13	16
53	9	22.5	23
54	9	7.5	13
55	9	4.5	4
56	9	18	20
57	9	17	21
58	9	15.5	14
59	9	29.5	24
60	9	13	20
61	9	21	20
62	9	16.5	16
63	9	17.5	15
64	9	13	16
65	9	25	30
66	9	27	34
67	9	16	26
68	9	34	40
69	9	17	18
70	9	23.5	27
71	9	19	23
72	9	21	19
73	9	17.5	19
74	9	20	23
75	9	31	29
76	9	17.5	20
77	9	17	17
78	9	20	18
79	9	20	14
80	9	29.5	25
1	10	29.5	24
2	10	9	10
3	10	14	16
4	10	7.5	15
5	10	19.5	19
6	10	10	18
7	10	11.5	11
8	10	10.5	17
9	10	17	20
10	10	13	12
11	10	12.5	20
12	10	10.5	11
13	10	32	26
14	10	23	18
15	10	13.5	14
16	10	19.5	22
17	10	13.5	20
18	10	30	25
19	10	27	30
20	10	30	22
21	10	15.5	20
22	10	33	26
23	10	34	29
24	10	4	3
25	10	11.5	10
26	10	28	28
27	10	17	17
28	10	13.5	18
29	10	34	31
30	10	12.5	16
31	10	11.5	16
32	10	17.5	28
33	10	22	23
34	10	24	30
35	10	20	30
36	10	21	29
37	10	24.5	31
38	10	16.5	24
39	10	15.5	21
40	10	20	19
41	10	19.5	19
42	10	7.5	10
43	10	19	25
44	10	18	17
45	10	8	6
46	10	12.5	11
47	10	24	20
48	10	12.5	16
49	10	18.5	23
50	10	7	15
51	10	4	6
52	10	14	14
53	10	18	20
54	10	3	4
55	10	17.5	19
56	10	7	14
57	10	11	8
58	10	18	17
59	10	0.5	1
60	10	14.5	12
61	10	14.5	12
62	10	17.5	17
63	10	25.5	24
64	10	1.5	2
65	10	37.5	37
66	10	16.5	19
67	10	27	29
68	10	15	19
69	10	22.5	27
70	10	27.5	32
71	10	27	23
72	10	11	12
73	10	28.5	28
74	10	23.5	20
75	10	19	22
76	10	20	19
77	10	32	30
78	10	23	27
79	10	22.5	18
80	10	50	30
1	11	14.5	15
2	11	15.5	21
3	11	11.5	14
4	11	14	26
5	11	7	11
6	11	16	18
7	11	9	22
8	11	18.5	33
9	11	8.5	17
10	11	12	20
11	11	13.5	26
12	11	11.5	20
13	11	31.5	32
14	11	14	20
15	11	17	20
16	11	24.5	27
17	11	6.5	6
18	11	30	28
19	11	23	21
20	11	23	29
21	11	19.5	16
22	11	30.5	42
23	11	26.5	30
24	11	6	6
25	11	23	18
26	11	14	21
27	11	13.5	19
28	11	5	8
29	11	22	22
30	11	12	14
31	11	26.5	35
32	11	21.5	32
33	11	9	19
34	11	22	23
35	11	12.5	14
36	11	10.5	20
37	11	30	28
38	11	10.5	17
39	11	24.5	27
40	11	11.5	15
41	11	14.5	17
42	11	15	24
43	11	15	16
44	11	30.5	30
45	11	15.5	19
46	11	20.5	29
47	11	8.5	6
48	11	24	28
49	11	18	21
50	11	13	16
51	11	17.5	20
52	11	9.5	8
53	11	11	11
54	11	8	10
55	11	15	17
56	11	9.5	8
57	11	17	17
58	11	14	14
59	11	2.5	2
60	11	17.5	24
61	11	28.5	23
62	11	9.5	12
63	11	16.5	25
64	11	3.5	4
65	11	17.5	23
66	11	17.5	23
67	11	15	25
68	11	20.5	18
69	11	7	10
70	11	33	40
71	11	6.5	7
72	11	21	20
73	11	24.5	25
74	11	18	21
75	11	19	17
76	11	14	12
77	11	11	10
78	11	22	20
79	11	13	14
80	11	51.5	31
1	12	32	22
2	12	15.5	18
3	12	13	17
4	12	13.5	20
5	12	13.5	19
6	12	9.5	14
7	12	15	33
8	12	7.5	11
9	12	11	14
10	12	13.5	21
11	12	9	20
12	12	15	19
13	12	26	21
14	12	7	4
15	12	21.5	24
16	12	27	30
17	12	26	29
18	12	18.5	19
19	12	10	22
20	12	27.5	32
21	12	21.5	23
22	12	17	17
23	12	37.5	30
24	12	16	17
25	12	22.5	18
26	12	32.5	33
27	12	17	11
28	12	30	26
29	12	20	17
30	12	16	12
31	12	21	18
32	12	12.5	14
33	12	20	21
34	12	40.5	43
35	12	22	20
36	12	22	20
37	12	31	29
38	12	11.5	13
39	12	33.5	27
40	12	12.5	9
41	12	15	20
42	12	15.5	22
43	12	18.5	21
44	12	15	15
45	12	15.5	17
46	12	15.5	12
47	12	13	12
48	12	26.5	23
49	12	13.5	12
50	12	30	26
51	12	8.5	8
52	12	21	17
53	12	9	10
54	12	18.5	18
55	12	16.5	22
56	12	15.5	20
57	12	10	10
58	12	18	25
59	12	14	13
60	12	10.5	12
61	12	21	19
62	12	4	5
63	12	5.5	6
64	12	9.5	10
65	12	45	35
66	12	9	10
67	12	27.5	26
68	12	16	22
69	12	24.5	27
70	12	23	27
71	12	28.5	33
72	12	17	18
73	12	10.5	13
74	12	6.5	7
75	12	20	22
76	12	23.5	21
77	12	0	0
78	12	40	35
79	12	32.5	25
80	12	21.5	15
1	13	21	15
2	13	15.5	11
3	13	14.5	14
4	13	14.5	26
5	13	15	20
6	13	11	20
7	13	8.5	13
8	13	22.5	28
9	13	6	5
10	13	10.5	14
11	13	16	23
12	13	22.5	28
13	13	20.5	24
14	13	27	23
15	13	11	11
16	13	16.5	18
17	13	23	20
18	13	22	18
19	13	14	13
20	13	30	20
21	13	13.5	15
22	13	24.5	29
23	13	39	31
24	13	26.5	24
25	13	33.5	27
26	13	32	34
27	13	16.5	14
28	13	9.5	11
29	13	7.5	11
30	13	30	26
31	13	31.5	30
32	13	9.5	10
33	13	8	10
34	13	32	26
35	13	9	9
36	13	29	27
37	13	22.5	23
38	13	9.5	10
39	13	40	33
40	13	27.5	24
41	13	21.5	26
42	13	27	26
43	13	29	25
44	13	25	23
45	13	13.5	14
46	13	19	22
47	13	15.5	16
48	13	21	19
49	13	11.5	13
50	13	31	37
51	13	0	0
52	13	27.5	28
53	13	12.5	10
54	13	15	11
55	13	8	8
56	13	15	15
57	13	15	12
58	13	25.5	23
59	13	15	9
60	13	16	14
61	13	9	11
62	13	26	21
63	13	9	10
64	13	23	19
65	13	23.5	24
66	13	33	36
67	13	34	37
68	13	16	20
69	13	38.5	40
70	13	11	11
71	13	30.5	30
72	13	16	12
73	13	27.5	24
74	13	10.5	12
75	13	20.5	16
76	13	22.5	25
77	13	30	29
78	13	8.5	5
79	13	20.5	17
80	13	20.5	12
1	14	11	5
2	14	13	7
3	14	18.5	23
4	14	17	26
5	14	14.5	18
6	14	7.5	10
7	14	6	6
8	14	11.5	16
9	14	15	16
10	14	20.5	12
11	14	12	19
12	14	19.5	20
13	14	19.5	18
14	14	4.5	6
15	14	28.5	25
16	14	26	29
17	14	10.5	12
18	14	9	11
19	14	23.5	27
20	14	30.5	28
21	14	19	18
22	14	23.5	26
23	14	11.5	17
24	14	14	15
25	14	7	8
26	14	6	7
27	14	24	22
28	14	19.5	21
29	14	19.5	20
30	14	24	31
31	14	29.5	31
32	14	11.5	10
33	14	32.5	34
34	14	12.5	18
35	14	29	22
36	14	15	18
37	14	21.5	22
38	14	10.5	13
39	14	29.5	31
40	14	1	1
41	14	8.5	9
42	14	18.5	20
43	14	8	7
44	14	31.5	23
45	14	11.5	11
46	14	10	10
47	14	18.5	13
48	14	9	9
49	14	23.5	25
50	14	23	18
51	14	12.5	12
52	14	8	5
53	14	16.5	14
54	14	14.5	10
55	14	23	21
56	14	23.5	19
57	14	8	7
58	14	40	36
59	14	11.5	10
60	14	17.5	20
61	14	0	0
62	14	24	28
63	14	8.5	15
64	14	21	15
65	14	20.5	16
66	14	30.5	27
67	14	11	13
68	14	22.5	22
69	14	19	20
70	14	26.5	20
71	14	30	22
72	14	14	12
73	14	29	25
74	14	17	15
75	14	27.5	26
76	14	3.5	8
77	14	13	10
78	14	15	13
79	14	5	4
80	14	39	23
1	15	14.5	8
2	15	13	11
3	15	11	11
4	15	21	18
5	15	15.5	12
6	15	17	19
7	15	20.5	24
8	15	15	22
9	15	22	19
10	15	17.5	17
11	15	17	17
12	15	3	4
13	15	30	27
14	15	23.5	26
15	15	10.5	13
16	15	10.5	13
17	15	12.5	20
18	15	40.5	34
19	15	13.5	23
20	15	15	23
21	15	11	18
22	15	20	20
23	15	15	17
24	15	17.5	38
25	15	15	17
26	15	27.5	30
27	15	11	12
28	15	13	15
29	15	34	31
30	15	17.5	23
31	15	16.5	20
32	15	18	19
33	15	17	15
34	15	22	22
35	15	32	27
36	15	12.5	20
37	15	16.5	21
38	15	17.5	31
39	15	17.5	23
40	15	11.5	9
41	15	17	23
42	15	26	24
43	15	10.5	12
44	15	10	8
45	15	13	16
46	15	19.5	17
47	15	15.5	16
48	15	28	26
49	15	25	23
50	15	20	15
51	15	24.5	24
52	15	10.5	10
53	15	15.5	13
54	15	15.5	17
55	15	26	26
56	15	10	9
57	15	6	9
58	15	29	34
59	15	0.5	1
60	15	24.5	20
61	15	14.5	18
62	15	2	5
63	15	26.5	25
64	15	6.5	11
65	15	21	24
66	15	20.5	26
67	15	26	29
68	15	27	26
69	15	14.5	19
70	15	22.5	25
71	15	23.5	24
72	15	23.5	25
73	15	20	24
74	15	12.5	9
75	15	27	22
76	15	14	17
77	15	8	6
78	15	17	18
79	15	15.5	15
80	15	22.5	19
1	16	48	29
2	16	33.5	25
3	16	11	9
4	16	20.5	23
5	16	16	15
6	16	18.5	22
7	16	7	9
8	16	15	14
9	16	20	21
10	16	18.5	15
11	16	25	20
12	16	23.5	23
13	16	21.5	21
14	16	11	17
15	16	16.5	18
16	16	21	28
17	16	13.5	16
18	16	32	32
19	16	11.5	16
20	16	12	15
21	16	27	30
22	16	19	24
23	16	13	24
24	16	18	29
25	16	15	28
26	16	27.5	35
27	16	17.5	12
28	16	2	3
29	16	28.5	17
30	16	34	26
31	16	26	31
32	16	10.5	12
33	16	17.5	16
34	16	32.5	28
35	16	34.5	31
36	16	25	28
37	16	33.5	35
38	16	4	5
39	16	26.5	26
40	16	12	11
41	16	17.5	17
42	16	29.5	24
43	16	21	23
44	16	11.5	12
45	16	4.5	3
46	16	35.5	29
47	16	32	26
48	16	21	21
49	16	6.5	9
50	16	29.5	28
51	16	2.5	2
52	16	22	18
53	16	14.5	13
54	16	7	7
55	16	18	17
56	16	7	6
57	16	22	23
58	16	23.5	24
59	16	12	9
60	16	23.5	17
61	16	13	9
62	16	22	22
63	16	35.5	35
64	16	18.5	21
65	16	36.5	37
66	16	27.5	32
67	16	30.5	42
68	16	21.5	22
69	16	31	29
70	16	4.5	6
71	16	25	21
72	16	18.5	15
73	16	3	2
74	16	38.5	37
75	16	20.5	19
76	16	12.5	9
77	16	9.5	8
78	16	12	17
79	16	4.5	6
80	16	3	3
