"yield"	"gen"	"rep"	"col"	"row"
28.9	"G19"	"R2"	4	2
21	"G07"	"R2"	5	2
22.4	"G43"	"R2"	6	2
27.1	"G13"	"R2"	7	2
23.8	"G11"	"R2"	1	1
21	"G48"	"R2"	2	1
23.4	"G05"	"R2"	3	1
38	"G42"	"R2"	4	1
24	"G23"	"R2"	5	1
33.1	"G17"	"R2"	6	1
27.1	"G29"	"R2"	7	1
25.7	"G16"	"R3"	1	7
25.6	"G14"	"R3"	2	7
26	"G34"	"R3"	3	7
25.9	"G05"	"R3"	4	7
32.5	"G36"	"R3"	5	7
25.4	"G45"	"R3"	6	7
28.4	"G25"	"R3"	7	7
23	"G11"	"R3"	1	6
19.8	"G02"	"R3"	2	6
23.4	"G22"	"R3"	3	6
30	"G49"	"R3"	4	6
29.6	"G31"	"R3"	5	6
24.6	"G40"	"R3"	6	6
32.1	"G20"	"R3"	7	6
23.4	"G33"	"R3"	1	5
25	"G24"	"R3"	2	5
29.6	"G44"	"R3"	3	5
32.8	"G15"	"R3"	4	5
38.4	"G04"	"R3"	5	5
22.4	"G13"	"R3"	6	5
26.6	"G42"	"R3"	7	5
19.2	"G43"	"R3"	1	4
21.5	"G41"	"R3"	2	4
23.9	"G12"	"R3"	3	4
23.6	"G32"	"R3"	4	4
27.7	"G21"	"R3"	5	4
20.9	"G23"	"R3"	6	4
24.8	"G03"	"R3"	7	4
23.8	"G38"	"R3"	1	3
21.2	"G29"	"R3"	2	3
21.9	"G07"	"R3"	3	3
33.6	"G27"	"R3"	4	3
24.5	"G09"	"R3"	5	3
23.4	"G18"	"R3"	6	3
29.3	"G47"	"R3"	7	3
15.9	"G06"	"R3"	1	2
26.6	"G46"	"R3"	2	2
21.3	"G17"	"R3"	3	2
28.9	"G37"	"R3"	4	2
26.3	"G26"	"R3"	5	2
26	"G35"	"R3"	6	2
29.5	"G08"	"R3"	7	2
13.9	"G28"	"R3"	1	1
16	"G19"	"R3"	2	1
26.2	"G39"	"R3"	3	1
25.9	"G10"	"R3"	4	1
27.8	"G48"	"R3"	5	1
29	"G01"	"R3"	6	1
22.2	"G30"	"R3"	7	1
18.4	"G38"	"R4"	1	7
19.5	"G34"	"R4"	2	7
24.5	"G49"	"R4"	3	7
32.5	"G19"	"R4"	4	7
37.4	"G04"	"R4"	5	7
30	"G08"	"R4"	6	7
28.3	"G23"	"R4"	7	7
25.3	"G46"	"R4"	1	6
18.9	"G42"	"R4"	2	6
26	"G01"	"R4"	3	6
26.6	"G27"	"R4"	4	6
33.6	"G12"	"R4"	5	6
26.3	"G16"	"R4"	6	6
28.1	"G31"	"R4"	7	6
16.9	"G22"	"R4"	1	5
20.9	"G18"	"R4"	2	5
24.5	"G33"	"R4"	3	5
24.8	"G03"	"R4"	4	5
28	"G37"	"R4"	5	5
23.8	"G48"	"R4"	6	5
26.3	"G14"	"R4"	7	5
19.4	"G30"	"R4"	1	4
17.6	"G26"	"R4"	2	4
23.3	"G41"	"R4"	3	4
31	"G11"	"R4"	4	4
33.9	"G45"	"R4"	5	4
21.9	"G07"	"R4"	6	4
22.2	"G15"	"R4"	7	4
11.6	"G05"	"R4"	1	3
18.2	"G43"	"R4"	2	3
15.1	"G09"	"R4"	3	3
31.2	"G35"	"R4"	4	3
38.6	"G20"	"R4"	5	3
25.6	"G24"	"R4"	6	3
24.4	"G39"	"R4"	7	3
18.2	"G21"	"R4"	1	2
16.6	"G10"	"R4"	2	2
22.5	"G25"	"R4"	3	2
31.6	"G44"	"R4"	4	2
29.8	"G29"	"R4"	5	2
23	"G40"	"R4"	6	2
23.8	"G06"	"R4"	7	2
12.9	"G13"	"R4"	1	1
16.8	"G02"	"R4"	2	1
21.9	"G17"	"R4"	3	1
31.9	"G36"	"R4"	4	1
33.3	"G28"	"R4"	5	1
21.5	"G32"	"R4"	6	1
23.3	"G47"	"R4"	7	1
