"loc"	"block"	"tree"	"family"	"height"
"Nailambur"	"B1"	"T4"	"F4"	86
"Nailambur"	"B1"	"T4"	"F4"	20
"Nailambur"	"B1"	"T6"	"F4"	28
"Vellanikkara"	"B2"	"T1"	"F4"	28
"Vellanikkara"	"B2"	"T2"	"F4"	26
"Vellanikkara"	"B2"	"T3"	"F4"	25
"Vellanikkara"	"B2"	"T4"	"F4"	76
"Vellanikkara"	"B2"	"T4"	"F4"	43
"Vellanikkara"	"B2"	"T6"	"F4"	86
"Nailambur"	"B2"	"T1"	"F4"	25
"Nailambur"	"B2"	"T2"	"F4"	37
"Nailambur"	"B2"	"T3"	"F4"	52
"Nailambur"	"B2"	"T4"	"F4"	139
"Nailambur"	"B2"	"T4"	"F4"	49
"Nailambur"	"B2"	"T6"	"F4"	97
"Vellanikkara"	"B3"	"T1"	"F4"	53
"Vellanikkara"	"B3"	"T2"	"F4"	32
"Vellanikkara"	"B3"	"T3"	"F4"	24
"Vellanikkara"	"B3"	"T4"	"F4"	182
"Vellanikkara"	"B3"	"T4"	"F4"	22
"Vellanikkara"	"B3"	"T6"	"F4"	52
"Nailambur"	"B3"	"T1"	"F4"	17
"Nailambur"	"B3"	"T2"	"F4"	23
"Nailambur"	"B3"	"T3"	"F4"	29
"Nailambur"	"B3"	"T4"	"F4"	30
"Nailambur"	"B3"	"T4"	"F4"	87
"Nailambur"	"B3"	"T6"	"F4"	31
"Vellanikkara"	"B1"	"T1"	"F5"	23
"Vellanikkara"	"B1"	"T2"	"F5"	48
"Vellanikkara"	"B1"	"T3"	"F5"	88
"Vellanikkara"	"B1"	"T4"	"F5"	27
"Vellanikkara"	"B1"	"T4"	"F5"	26
"Vellanikkara"	"B1"	"T6"	"F5"	26
"Nailambur"	"B1"	"T1"	"F5"	95
"Nailambur"	"B1"	"T2"	"F5"	42
"Nailambur"	"B1"	"T3"	"F5"	43
"Nailambur"	"B1"	"T4"	"F5"	76
"Nailambur"	"B1"	"T4"	"F5"	41
"Nailambur"	"B1"	"T6"	"F5"	49
"Vellanikkara"	"B2"	"T1"	"F5"	35
"Vellanikkara"	"B2"	"T2"	"F5"	21
"Vellanikkara"	"B2"	"T3"	"F5"	14
"Vellanikkara"	"B2"	"T4"	"F5"	34
"Vellanikkara"	"B2"	"T4"	"F5"	49
"Vellanikkara"	"B2"	"T6"	"F5"	31
"Nailambur"	"B2"	"T1"	"F5"	29
"Nailambur"	"B2"	"T2"	"F5"	72
"Nailambur"	"B2"	"T3"	"F5"	83
"Nailambur"	"B2"	"T4"	"F5"	40
"Nailambur"	"B2"	"T4"	"F5"	24
"Nailambur"	"B2"	"T6"	"F5"	54
"Vellanikkara"	"B3"	"T1"	"F5"	72
"Vellanikkara"	"B3"	"T2"	"F5"	113
"Vellanikkara"	"B3"	"T3"	"F5"	37
"Vellanikkara"	"B3"	"T4"	"F5"	19
"Vellanikkara"	"B3"	"T4"	"F5"	24
"Vellanikkara"	"B3"	"T6"	"F5"	20
"Nailambur"	"B3"	"T1"	"F5"	25
"Nailambur"	"B3"	"T2"	"F5"	30
"Nailambur"	"B3"	"T3"	"F5"	26
"Nailambur"	"B3"	"T4"	"F5"	36
"Nailambur"	"B3"	"T4"	"F5"	24
"Nailambur"	"B3"	"T6"	"F5"	37
"Vellanikkara"	"B1"	"T1"	"F6"	153
"Vellanikkara"	"B1"	"T2"	"F6"	51
"Vellanikkara"	"B1"	"T3"	"F6"	181
"Vellanikkara"	"B1"	"T4"	"F6"	212
"Vellanikkara"	"B1"	"T4"	"F6"	161
"Vellanikkara"	"B1"	"T6"	"F6"	210
"Nailambur"	"B1"	"T1"	"F6"	57
"Nailambur"	"B1"	"T2"	"F6"	94
"Nailambur"	"B1"	"T3"	"F6"	77
"Nailambur"	"B1"	"T4"	"F6"	39
"Nailambur"	"B1"	"T4"	"F6"	82
"Nailambur"	"B1"	"T6"	"F6"	29
"Vellanikkara"	"B2"	"T1"	"F6"	140
"Vellanikkara"	"B2"	"T2"	"F6"	79
"Vellanikkara"	"B2"	"T3"	"F6"	158
"Vellanikkara"	"B2"	"T4"	"F6"	93
"Vellanikkara"	"B2"	"T4"	"F6"	151
"Vellanikkara"	"B2"	"T6"	"F6"	171
"Nailambur"	"B2"	"T1"	"F6"	54
"Nailambur"	"B2"	"T2"	"F6"	56
"Nailambur"	"B2"	"T3"	"F6"	29
"Nailambur"	"B2"	"T4"	"F6"	67
"Nailambur"	"B2"	"T4"	"F6"	42
"Nailambur"	"B2"	"T6"	"F6"	47
"Vellanikkara"	"B3"	"T1"	"F6"	109
"Vellanikkara"	"B3"	"T2"	"F6"	50
"Vellanikkara"	"B3"	"T3"	"F6"	64
"Vellanikkara"	"B3"	"T4"	"F6"	82
"Vellanikkara"	"B3"	"T4"	"F6"	77
"Vellanikkara"	"B3"	"T6"	"F6"	123
"Nailambur"	"B3"	"T1"	"F6"	38
"Nailambur"	"B3"	"T2"	"F6"	38
"Nailambur"	"B3"	"T3"	"F6"	36
"Nailambur"	"B3"	"T4"	"F6"	72
"Nailambur"	"B3"	"T4"	"F6"	106
"Nailambur"	"B3"	"T6"	"F6"	61
