"year"	"strain"	"gen"	"y"
1990	"17G"	"G11"	31
1991	"7F"	"G11"	18
1991	"12H"	"G11"	10
1991	"13H"	"G11"	14
1991	"14H"	"G11"	20
1991	"15H"	"G11"	12
1991	"16G"	"G11"	11
1991	"17G"	"G11"	27
1992	"7F"	"G11"	5
1992	"12H"	"G11"	1
1992	"13H"	"G11"	14
1992	"14H"	"G11"	26
1992	"15H"	"G11"	2
1992	"16G"	"G11"	3
1992	"17G"	"G11"	2
1993	"7F"	"G11"	17
1993	"12H"	"G11"	13
1993	"13H"	"G11"	18
1993	"14H"	"G11"	14
1993	"15H"	"G11"	8
1993	"16G"	"G11"	27
1993	"17G"	"G11"	8
1990	"7F"	"G12"	60
1990	"12H"	"G12"	4
1990	"13H"	"G12"	46
1990	"14H"	"G12"	38
1990	"15H"	"G12"	40
1990	"16G"	"G12"	58
1990	"17G"	"G12"	46
1991	"7F"	"G12"	23
1991	"12H"	"G12"	12
1991	"13H"	"G12"	13
1991	"14H"	"G12"	34
1991	"15H"	"G12"	15
1991	"16G"	"G12"	20
1991	"17G"	"G12"	28
1992	"7F"	"G12"	1
1992	"12H"	"G12"	1
1992	"13H"	"G12"	19
1992	"14H"	"G12"	17
1992	"15H"	"G12"	5
1992	"16G"	"G12"	1
1992	"17G"	"G12"	1
1993	"7F"	"G12"	2
1993	"12H"	"G12"	17
1993	"13H"	"G12"	8
1993	"14H"	"G12"	5
1993	"15H"	"G12"	4
1993	"16G"	"G12"	6
1993	"17G"	"G12"	5
1990	"7F"	"G13"	20
1990	"12H"	"G13"	1
1990	"13H"	"G13"	35
1990	"14H"	"G13"	14
1990	"15H"	"G13"	35
1990	"16G"	"G13"	29
1990	"17G"	"G13"	22
1991	"7F"	"G13"	14
1991	"12H"	"G13"	11
1991	"13H"	"G13"	9
1991	"14H"	"G13"	24
1991	"15H"	"G13"	11
1991	"16G"	"G13"	9
1991	"17G"	"G13"	14
1992	"7F"	"G13"	1
1992	"12H"	"G13"	1
1992	"13H"	"G13"	15
1992	"14H"	"G13"	20
1992	"15H"	"G13"	1
1992	"16G"	"G13"	1
1992	"17G"	"G13"	1
1993	"7F"	"G13"	12
1993	"12H"	"G13"	17
1993	"13H"	"G13"	4
1993	"14H"	"G13"	10
1993	"15H"	"G13"	4
1993	"16G"	"G13"	37
1993	"17G"	"G13"	9
1990	"7F"	"G14"	24
1990	"12H"	"G14"	3
1990	"13H"	"G14"	30
1990	"14H"	"G14"	29
1990	"15H"	"G14"	23
1990	"16G"	"G14"	28
1990	"17G"	"G14"	21
1991	"7F"	"G14"	9
1991	"12H"	"G14"	5
1991	"13H"	"G14"	4
1991	"14H"	"G14"	17
1991	"15H"	"G14"	7
1991	"16G"	"G14"	7
1991	"17G"	"G14"	11
1992	"7F"	"G14"	4
1992	"12H"	"G14"	1
1992	"13H"	"G14"	18
1992	"14H"	"G14"	42
1992	"15H"	"G14"	10
1992	"16G"	"G14"	6
1992	"17G"	"G14"	3
1993	"7F"	"G14"	4
1993	"12H"	"G14"	15
1993	"13H"	"G14"	6
1993	"14H"	"G14"	2
1993	"15H"	"G14"	8
1993	"16G"	"G14"	23
1993	"17G"	"G14"	4
1990	"7F"	"G15"	15
1990	"12H"	"G15"	3
1990	"13H"	"G15"	19
1990	"14H"	"G15"	8
1990	"15H"	"G15"	15
1990	"16G"	"G15"	11
1990	"17G"	"G15"	10
1991	"7F"	"G15"	22
1991	"12H"	"G15"	12
1991	"13H"	"G15"	11
1991	"14H"	"G15"	60
1991	"15H"	"G15"	23
1991	"16G"	"G15"	6
1991	"17G"	"G15"	44
1992	"7F"	"G15"	1
1992	"12H"	"G15"	1
1992	"13H"	"G15"	2
1992	"14H"	"G15"	12
1992	"15H"	"G15"	5
1992	"16G"	"G15"	2
1992	"17G"	"G15"	3
1993	"7F"	"G15"	2
1993	"12H"	"G15"	2
1993	"13H"	"G15"	2
1993	"14H"	"G15"	7
1993	"15H"	"G15"	1
1993	"16G"	"G15"	6
1993	"17G"	"G15"	2
1990	"7F"	"G16"	74
1990	"12H"	"G16"	6
1990	"13H"	"G16"	75
1990	"14H"	"G16"	68
1990	"15H"	"G16"	52
1990	"16G"	"G16"	71
1990	"17G"	"G16"	61
1991	"7F"	"G16"	21
1991	"12H"	"G16"	8
1991	"13H"	"G16"	8
1991	"14H"	"G16"	22
1991	"15H"	"G16"	7
1991	"16G"	"G16"	7
1991	"17G"	"G16"	25
1992	"7F"	"G16"	4
1992	"12H"	"G16"	3
1992	"13H"	"G16"	36
1992	"14H"	"G16"	30
1992	"15H"	"G16"	9
1992	"16G"	"G16"	3
1992	"17G"	"G16"	2
1993	"7F"	"G16"	30
1993	"12H"	"G16"	11
1993	"13H"	"G16"	6
1993	"14H"	"G16"	5
1993	"15H"	"G16"	11
1993	"16G"	"G16"	59
1993	"17G"	"G16"	7
1990	"7F"	"G17"	46
1990	"12H"	"G17"	10
1990	"13H"	"G17"	45
1990	"14H"	"G17"	41
1990	"15H"	"G17"	27
1990	"16G"	"G17"	42
1990	"17G"	"G17"	40
1991	"7F"	"G17"	7
1991	"12H"	"G17"	11
1991	"13H"	"G17"	11
1991	"14H"	"G17"	20
1991	"15H"	"G17"	12
1991	"16G"	"G17"	9
1991	"17G"	"G17"	16
1992	"7F"	"G17"	3
1992	"12H"	"G17"	2
1992	"13H"	"G17"	27
1992	"14H"	"G17"	31
1992	"15H"	"G17"	4
1992	"16G"	"G17"	1
1992	"17G"	"G17"	1
1993	"7F"	"G17"	16
1993	"12H"	"G17"	36
1993	"13H"	"G17"	7
1993	"14H"	"G17"	5
1993	"15H"	"G17"	15
1993	"16G"	"G17"	36
1993	"17G"	"G17"	10
1990	"7F"	"G18"	82
1990	"12H"	"G18"	14
1990	"13H"	"G18"	80
1990	"14H"	"G18"	65
1990	"15H"	"G18"	52
1990	"16G"	"G18"	70
1990	"17G"	"G18"	69
1991	"7F"	"G18"	13
1991	"12H"	"G18"	6
1991	"13H"	"G18"	6
1991	"14H"	"G18"	23
1991	"15H"	"G18"	11
1991	"16G"	"G18"	11
1991	"17G"	"G18"	17
1992	"7F"	"G18"	4
1992	"12H"	"G18"	2
1992	"13H"	"G18"	28
1992	"14H"	"G18"	44
1992	"15H"	"G18"	19
1992	"16G"	"G18"	4
1992	"17G"	"G18"	3
1993	"7F"	"G18"	8
1993	"12H"	"G18"	24
1993	"13H"	"G18"	5
1993	"14H"	"G18"	13
1993	"15H"	"G18"	12
1993	"16G"	"G18"	28
1993	"17G"	"G18"	4
1990	"7F"	"G19"	61
1990	"12H"	"G19"	9
1990	"13H"	"G19"	53
1990	"14H"	"G19"	54
1990	"15H"	"G19"	56
1990	"16G"	"G19"	61
1990	"17G"	"G19"	64
1991	"7F"	"G19"	15
1991	"12H"	"G19"	5
1991	"13H"	"G19"	10
1991	"14H"	"G19"	16
1991	"15H"	"G19"	10
1991	"16G"	"G19"	6
1991	"17G"	"G19"	17
1992	"7F"	"G19"	1
1992	"12H"	"G19"	2
1992	"13H"	"G19"	21
1992	"14H"	"G19"	26
1992	"15H"	"G19"	4
1992	"16G"	"G19"	1
1992	"17G"	"G19"	2
1993	"7F"	"G19"	10
1993	"12H"	"G19"	25
1993	"13H"	"G19"	8
1993	"14H"	"G19"	15
1993	"15H"	"G19"	11
1993	"16G"	"G19"	54
1993	"17G"	"G19"	6
1990	"7F"	"G20"	73
1990	"12H"	"G20"	9
1990	"13H"	"G20"	61
1990	"14H"	"G20"	53
1990	"15H"	"G20"	46
1990	"16G"	"G20"	67
1990	"17G"	"G20"	52
1991	"7F"	"G20"	15
1991	"12H"	"G20"	8
1991	"13H"	"G20"	9
1991	"14H"	"G20"	12
1991	"15H"	"G20"	6
1991	"16G"	"G20"	11
1991	"17G"	"G20"	17
1992	"7F"	"G20"	4
1992	"12H"	"G20"	6
1992	"13H"	"G20"	28
1992	"14H"	"G20"	47
1992	"15H"	"G20"	16
1992	"16G"	"G20"	4
1992	"17G"	"G20"	3
1993	"7F"	"G20"	22
1993	"12H"	"G20"	20
1993	"13H"	"G20"	4
1993	"14H"	"G20"	11
1993	"15H"	"G20"	28
1993	"16G"	"G20"	46
1993	"17G"	"G20"	19
1990	"7F"	"G21"	45
1990	"12H"	"G21"	9
1990	"13H"	"G21"	50
1990	"14H"	"G21"	39
1990	"15H"	"G21"	45
1990	"16G"	"G21"	46
1990	"17G"	"G21"	45
1991	"7F"	"G21"	31
1991	"12H"	"G21"	17
1991	"13H"	"G21"	8
1991	"14H"	"G21"	68
1991	"15H"	"G21"	49
1991	"16G"	"G21"	28
1991	"17G"	"G21"	63
1992	"7F"	"G21"	25
1992	"12H"	"G21"	1
1992	"13H"	"G21"	7
1992	"14H"	"G21"	28
1992	"15H"	"G21"	6
1992	"16G"	"G21"	19
1992	"17G"	"G21"	25
1993	"7F"	"G21"	35
1993	"12H"	"G21"	14
1993	"13H"	"G21"	7
1993	"14H"	"G21"	25
1993	"15H"	"G21"	12
1993	"16G"	"G21"	48
1993	"17G"	"G21"	27
1990	"7F"	"G22"	35
1990	"12H"	"G22"	6
1990	"13H"	"G22"	41
1990	"14H"	"G22"	18
1990	"15H"	"G22"	31
1990	"16G"	"G22"	35
1990	"17G"	"G22"	31
1991	"7F"	"G22"	19
1991	"12H"	"G22"	8
1991	"13H"	"G22"	9
1991	"14H"	"G22"	30
1991	"15H"	"G22"	11
1991	"16G"	"G22"	12
1991	"17G"	"G22"	26
1992	"7F"	"G22"	1
1992	"12H"	"G22"	1
1992	"13H"	"G22"	4
1992	"14H"	"G22"	8
1992	"15H"	"G22"	1
1992	"16G"	"G22"	1
1992	"17G"	"G22"	1
1993	"7F"	"G22"	27
1993	"12H"	"G22"	48
1993	"13H"	"G22"	15
1993	"14H"	"G22"	14
1993	"15H"	"G22"	33
1993	"16G"	"G22"	55
1993	"17G"	"G22"	14
1990	"7F"	"G23"	31
1990	"12H"	"G23"	6
1990	"13H"	"G23"	22
1990	"14H"	"G23"	21
1990	"15H"	"G23"	25
1990	"16G"	"G23"	27
1990	"17G"	"G23"	30
1991	"7F"	"G23"	24
1991	"12H"	"G23"	15
1991	"13H"	"G23"	14
1991	"14H"	"G23"	73
1991	"15H"	"G23"	29
1991	"16G"	"G23"	16
1991	"17G"	"G23"	60
1992	"7F"	"G23"	6
1992	"12H"	"G23"	1
1992	"13H"	"G23"	6
1992	"14H"	"G23"	17
1992	"15H"	"G23"	4
1992	"16G"	"G23"	14
1992	"17G"	"G23"	16
1993	"7F"	"G23"	6
1993	"12H"	"G23"	4
1993	"13H"	"G23"	4
1993	"14H"	"G23"	10
1993	"15H"	"G23"	5
1993	"16G"	"G23"	19
1993	"17G"	"G23"	5
1990	"7F"	"G24"	17
1990	"12H"	"G24"	11
1990	"13H"	"G24"	28
1990	"14H"	"G24"	12
1990	"15H"	"G24"	18
1990	"16G"	"G24"	18
1990	"17G"	"G24"	15
1991	"7F"	"G24"	18
1991	"12H"	"G24"	9
1991	"13H"	"G24"	8
1991	"14H"	"G24"	37
1991	"15H"	"G24"	14
1991	"16G"	"G24"	8
1991	"17G"	"G24"	37
1992	"7F"	"G24"	4
1992	"12H"	"G24"	2
1992	"13H"	"G24"	8
1992	"14H"	"G24"	21
1992	"15H"	"G24"	6
1992	"16G"	"G24"	2
1992	"17G"	"G24"	3
1993	"7F"	"G24"	5
1993	"12H"	"G24"	13
1993	"13H"	"G24"	3
1993	"14H"	"G24"	7
1993	"15H"	"G24"	5
1993	"16G"	"G24"	23
1993	"17G"	"G24"	3
1990	"7F"	"G25"	25
1990	"12H"	"G25"	4
1990	"13H"	"G25"	29
1990	"14H"	"G25"	17
1990	"15H"	"G25"	16
1990	"16G"	"G25"	21
1990	"17G"	"G25"	30
1991	"7F"	"G25"	41
1991	"12H"	"G25"	20
1991	"13H"	"G25"	11
1991	"14H"	"G25"	72
1991	"15H"	"G25"	36
1991	"16G"	"G25"	14
1991	"17G"	"G25"	57
1992	"7F"	"G25"	2
1992	"12H"	"G25"	1
1992	"13H"	"G25"	2
1992	"14H"	"G25"	10
1992	"15H"	"G25"	2
1992	"16G"	"G25"	1
1992	"17G"	"G25"	1
1993	"7F"	"G25"	15
1993	"12H"	"G25"	13
1993	"13H"	"G25"	3
1993	"14H"	"G25"	12
1993	"15H"	"G25"	11
1993	"16G"	"G25"	24
1993	"17G"	"G25"	12
