"row"	"col"	"grain"	"straw"
11	21	54.4	88.6
11	22	34.8	73.2
11	23	48.5	90.5
11	24	46	78
11	25	34.7	68.3
11	26	22.9	61.1
11	27	52.8	113.2
11	28	22.2	66.8
11	29	34.2	73.8
11	3	42.3	83.7
11	30	17.5	40.5
11	31	99.1	180.9
11	4	51.3	108.7
11	5	39.2	79.8
11	6	30.4	77.6
11	7	48.2	97.8
11	8	36.7	68.3
11	9	34.6	75.4
12	1	44	96
12	11	18.5	44.5
12	12	21.3	42.7
12	13	13.5	33.5
12	14	12.4	34.6
12	15	5.9	27.1
12	16	6.3	15.7
12	17	46.5	103.5
12	18	56.3	114.7
12	19	49.5	90.5
12	2	53.4	113.6
12	20	62.1	107.9
12	21	40.6	76.4
12	22	55.4	101.6
12	23	39.6	79.4
12	24	43.6	87.4
12	25	25.1	51.9
12	26	17.7	48.3
12	27	14.5	42.5
12	28	80.6	158.4
12	29	7.5	35.5
12	3	8.5	28.5
12	30	58.5	127.5
12	31	32.7	70.3
12	4	5.4	19.6
12	5	30.1	67.9
12	6	66.1	133.9
12	7	49.2	108.8
12	8	15.2	35.8
12	9	71.5	130.5
13	1	66.1	151.9
13	10	52.9	105.1
13	11	27	60
13	12	54	91
13	13	72.3	129.7
13	14	29.5	60.5
13	15	35.2	78.8
13	16	66.6	145.4
13	17	66.9	126.1
13	18	54.5	48.5
13	19	47.5	84.5
13	2	62.9	128.1
13	20	38.9	75.1
13	21	56.2	108.8
13	22	39.4	77.6
13	23	25.5	58.5
13	24	41.9	80.1
13	25	42.7	79.3
13	26	66.6	134.4
13	27	10.6	33.4
13	28	31.3	63.7
13	29	52.2	97.8
13	3	51.2	107.8
13	30	31.2	72.8
13	31	31.1	91.9
13	4	56.7	128.3
13	5	17.3	48.7
13	6	38.9	87.1
13	7	43.9	88.1
13	8	65.2	119.8
13	9	57.7	123.3
14	1	51.6	113.4
14	10	64.9	115.1
14	11	70.5	139.5
14	12	48.9	102.1
14	13	64.6	127.4
14	14	75.6	138.4
14	15	39	88
14	16	43.4	96.6
14	17	39.2	92.8
14	18	71.9	148.1
14	19	64	111
14	2	36.5	77.5
14	20	56.2	121.8
14	21	73.1	128.9
14	22	47	86
14	23	49.8	98.2
14	24	32.8	65.2
14	25	50	90
14	26	27.6	62.4
14	27	21.2	51.8
14	28	34.7	85.3
14	29	23	55
14	3	43.2	91.8
14	30	33.8	65.2
14	31	15.3	47.7
14	4	60.3	129.7
14	5	53.5	101.5
14	6	51.5	107.5
14	7	61.2	105.8
14	8	47.6	92.4
14	9	52.7	111.3
15	1	46	94
15	10	34	70
15	11	40	78
15	12	39.7	71.3
15	13	39.5	82.5
15	14	22.2	46.8
15	15	19.5	40.5
15	16	28.1	69.9
15	17	51.7	100.3
15	18	47.9	97.1
15	19	18.5	34.5
15	2	31.3	71.7
15	20	27.8	52.2
15	21	36.1	76.9
15	22	50.6	92.4
15	23	60.1	103.9
15	24	58.9	114.1
15	25	42.5	85.5
15	26	25.7	55.3
15	27	41.2	83.8
15	28	23.3	55.7
15	29	67.2	148.8
15	3	35.4	71.6
15	30	77.4	147.6
15	31	80.9	167.1
15	4	42.5	96.5
15	5	48.2	89.8
15	6	31.2	74.8
15	7	20.8	61.2
15	8	41.2	86.8
15	9	47.2	93.8
16	1	55	105
16	10	46.9	93.1
16	11	34.7	129.3
16	12	34.5	66.5
16	13	39.5	79.5
16	14	30.5	64.5
16	15	26.1	53.9
16	16	71.2	157.8
16	17	47.1	99.9
16	18	45.3	80.7
16	19	30.9	61.1
16	2	68	130
16	20	55.6	106.4
16	21	53.6	99.4
16	22	20.8	55.2
16	23	35.1	63.9
16	24	26.3	58.7
16	25	17.6	37.4
16	26	48.7	92.3
16	27	40.2	86.8
16	28	24.2	53.8
16	29	44.5	83.5
16	3	56.1	103.9
16	30	9.3	26.7
16	31	29.1	68.9
16	4	51.8	117.2
16	5	66	79
16	6	38.9	88.1
16	7	47.1	99.9
16	8	40	72
16	9	51.6	98.4
17	1	41.9	88.1
17	10	28.4	67.6
17	11	32.2	55.8
17	12	24.8	53.2
17	13	56.4	127.6
17	14	50.3	101.7
17	15	22.7	49.3
17	16	32.5	77.5
17	17	48.7	103.3
17	18	47.3	98.7
17	19	55.1	94.9
17	2	37.7	73.3
17	20	34.3	61.7
17	21	53.6	105.4
17	22	69.8	126.2
17	23	46.1	82.9
17	24	28	59
17	25	36.7	69.3
17	26	40.4	77.6
17	27	36.7	69.3
17	28	37.9	77.1
17	29	35	73
17	3	57.9	104.1
17	30	41	84
17	31	75.6	142.4
17	4	59	124
17	5	46.6	99.4
17	6	52	103
17	7	34	74
17	8	34.3	75.7
17	9	38.4	79.6
18	1	70.2	152.8
18	10	59.7	113.3
18	11	52.4	100.6
18	12	68.7	122.3
18	13	54.7	120.3
18	14	36.7	72.3
18	15	48.7	85.3
18	16	44	93
18	17	63.7	128.3
18	18	79.5	158.5
18	19	46.5	80.5
18	2	72.8	143.2
18	20	59.5	123.5
18	21	42.1	78.9
18	22	43.9	89.1
18	23	54.7	101.6
18	24	44.9	84.1
18	25	78.5	139.5
18	26	49.5	95.3
18	27	26.6	68.4
18	28	88.6	171.4
18	29	49.3	69.7
18	3	55.1	107.9
18	30	67.2	120.8
18	31	14.4	37.6
18	4	42.5	100.5
18	5	47.5	91.5
18	6	62.9	128.1
18	7	85	163
18	8	53.5	102.5
18	9	63.5	118.5
19	1	49.2	99.8
19	10	68.8	115.2
19	11	47.4	94.6
19	12	78.5	140.5
19	13	100	238
19	14	54.8	98.2
19	15	55.6	101.4
19	16	49.7	131.3
19	17	22.9	55.1
19	18	52	102
19	19	50.8	94.2
19	2	58.9	119.1
19	20	89.2	168.8
19	21	54.7	114.3
19	22	47.5	90.5
19	23	84.4	150.6
19	24	46	78
19	25	42.7	72.3
19	26	45.1	90.9
19	27	64.3	125.7
19	28	46.3	92.7
19	29	87.9	157.1
19	3	62.2	121.8
19	30	60.2	113.8
19	31	47.7	88.3
19	4	80.2	176.8
19	5	47.8	89.2
19	6	35.8	82.2
19	7	24.4	59.6
19	8	45.2	84.8
19	9	46.8	89.2
2	1	54	112
2	10	38.7	71.3
2	11	51.9	99.1
2	12	55.8	89.2
2	13	70.9	124.1
2	14	53.3	99.7
2	15	42.3	71.7
2	16	37.7	78.3
2	17	49.4	89.6
2	18	40.7	81.3
2	19	25.3	45.7
2	2	51	101
2	20	37.1	73.9
2	21	61.5	108.5
2	22	46.7	87.6
2	23	48.6	97.4
2	24	38.6	66.4
2	25	43.6	80.4
2	26	44.8	80.2
2	27	34.4	70.6
2	28	35.5	70.5
2	29	20.5	54.5
2	3	39.4	92.6
2	30	51.5	85.4
2	31	44.2	79.8
2	4	50.4	108.6
2	5	51	100
2	6	40.6	92.4
2	7	31.3	63.7
2	8	46	70
2	9	21.3	51.7
20	1	56.1	113.9
20	10	35	73
20	11	26.7	74.3
20	12	37.7	64.3
20	13	25.8	62.2
20	14	66.2	114.8
20	15	32.6	69.4
20	16	41.4	111.6
20	17	49.6	97.4
20	18	4.9	22.1
20	19	10	29
20	2	37.1	82.9
20	20	26	61
20	21	30.3	66.7
20	22	16.5	43.5
20	23	11.6	29.4
20	24	35.2	69.8
20	25	28.1	55.9
20	26	14.8	33.2
20	27	25.7	64.3
20	28	28	64
20	29	43.9	91.1
20	3	48.2	98.8
20	30	57.9	108.1
20	31	54.1	94.9
20	4	49.8	107.2
20	5	69.2	132.8
20	6	19.7	50.3
20	7	44.2	92.8
20	8	59.5	103.5
20	9	67.8	129.2
21	1	42.7	89.3
21	10	45.4	80.6
21	11	58.7	108.3
21	12	44	79
21	13	41.4	91.6
21	14	32.8	60.2
21	15	58.4	96.6
21	16	27.5	67.5
21	17	27.5	60.5
21	18	57.1	99.9
21	19	50.4	94.6
21	2	77.6	147.4
21	20	41.8	86.2
21	21	34.2	78.8
21	22	65.7	125.3
21	23	30	67
21	24	49.7	100.3
21	25	50.6	85.4
21	26	43.5	84.5
21	27	25	54
21	28	24.8	47.2
21	29	59.5	114.5
21	3	41.5	84.5
21	30	40.4	76.6
21	31	47.9	100.1
21	4	40.6	92.4
21	5	39.4	76.6
21	6	29.4	76.6
21	7	46.8	75.2
21	8	26.2	66.8
21	9	27	62
22	1	52.8	111.2
22	10	38.5	82.5
22	11	31.7	54.3
22	12	49.5	95.5
22	13	53.9	104.1
22	14	91	150
22	15	38.2	65.8
22	16	37.5	75.5
22	17	20.5	53.5
22	18	59.2	99.8
22	19	32.8	58.2
22	2	33.6	64.4
22	20	18.5	43.5
22	21	74	142
22	22	44.2	90.8
22	23	37.3	94.7
22	24	53.4	105.6
22	25	58.6	101.4
22	26	26.4	72.6
22	27	26.2	62.8
22	28	38.9	82.1
22	29	62.6	114.4
22	3	58.8	104.2
22	30	42.5	78.8
22	31	37.8	78.2
22	4	33.8	80.2
22	5	47.9	102.1
22	6	49	112
22	7	55	120
22	8	33.6	63.4
22	9	39.1	76.9
23	1	36.4	81.6
23	10	42.4	85.6
23	11	28.7	64.3
23	12	40.5	68.5
23	13	45.2	83.8
23	14	24.4	50.6
23	15	68.7	122.3
23	16	28.1	64.9
23	17	57.1	108.9
23	18	34	67
23	19	42.9	82.1
23	2	81.4	143.6
23	20	54	105
23	21	19	38
23	22	38.4	77.6
23	23	29.6	60.4
23	24	26	54
23	25	38.7	71.3
23	26	29	66
23	27	32.8	81.2
23	28	19.7	46.3
23	29	33.7	69.3
23	3	55	102
23	30	28.1	54.9
23	31	52.1	98.9
23	4	45.7	101.3
23	5	48.9	93.1
23	6	65.3	142.7
23	7	43.8	88.2
23	8	29.8	69.2
23	9	44.7	89.3
24	1	70.8	144.2
24	10	47.3	95.7
24	11	67.6	125.4
24	12	87.8	148.2
24	13	48.8	91.4
24	14	57.2	113.8
24	15	24.8	54.2
24	16	53.4	97.6
24	17	28.8	66.2
24	18	50.6	89.4
24	19	46.4	88.6
24	2	37	72
24	20	32.4	71.6
24	21	54.2	98.8
24	22	33.1	70.9
24	23	57.7	110.3
24	24	51.5	105.5
24	25	53.1	101.9
24	26	48.6	94.4
24	27	54.2	116.8
24	28	59.7	115.3
24	29	65.2	132.8
24	3	54.6	79.4
24	30	66.7	128.3
24	31	6.8	30.2
24	4	62.3	128.7
24	5	68.8	117.2
24	6	46.2	108.8
24	7	56	109
24	8	25.9	59.1
24	9	45.2	101.8
25	1	34	89
25	10	37.3	75.7
25	11	26.6	58.4
25	12	31.9	61.1
25	13	27.2	58.8
25	14	31.8	61.2
25	15	34.5	70.5
25	16	33.4	70.6
25	17	47	87.9
25	18	45.1	79.9
25	19	30.4	60.6
25	2	31.8	60.2
25	20	31.3	63.7
25	21	49.2	93.8
25	22	52.8	95.2
25	23	36.5	74.5
25	24	48.3	96.7
25	25	51	96
25	26	45.1	91.9
25	27	23	61
25	28	21.2	42.8
25	29	23.8	59.2
25	3	30.3	53.7
25	30	35.3	72.7
25	31	63.4	128.6
25	4	36.9	84.1
25	5	44.5	89.5
25	6	53.5	121.5
25	7	39	77
25	8	32.1	67.9
25	9	25.7	63.3
26	1	33	80
26	10	29	56
26	11	49.9	93.1
26	12	46.2	75.8
26	13	44.3	72.7
26	14	24.5	53.5
26	15	24.9	45.1
26	16	26.7	65.3
26	17	20.8	53.2
26	18	39.5	75.5
26	19	32.5	68.5
26	2	83.8	118.2
26	20	50.6	100.4
26	21	44.5	82.5
26	22	25.8	50.2
26	23	32	71
26	24	33.4	73.6
26	25	51.1	91.9
26	26	32	70
26	27	50.7	104.3
26	28	13.4	41.6
26	29	39.3	87.7
26	3	46.8	85.2
26	30	50.8	86.2
26	31	28.5	62.5
26	4	43.7	98.3
26	5	62.5	133.5
26	6	46.4	105.6
26	7	31.3	67.7
26	8	35	69
26	9	46	73
27	1	30.8	74.2
27	10	46	88
27	11	22	44
27	12	55.1	96.9
27	13	57.7	106.3
27	14	59.8	112.2
27	15	77.2	127.8
27	16	21.1	46.9
27	17	60.4	107.6
27	18	36.3	68.7
27	19	25.5	53.5
27	2	53.7	99.3
27	20	33.3	70.7
27	21	56	93
27	22	51.2	99.8
27	23	44.8	89.2
27	24	64.2	123.8
27	25	47.5	90.5
27	26	39.2	85.8
27	27	27.9	47.1
27	28	39.7	87.3
27	29	39.1	80.9
27	3	61.5	111.5
27	30	61.2	104.8
27	31	54.3	105.7
27	4	51.1	107.9
27	5	52.6	97.4
27	6	56.2	117.8
27	7	60.7	111.3
27	8	64.9	112.1
27	9	64.2	110.8
28	1	39.8	87.2
28	10	43	79
28	11	55	102
28	12	40.7	79.3
28	13	35.4	76.6
28	14	32.8	66.2
28	15	29.5	66.6
28	16	71.2	148.8
28	17	53.6	93.4
28	18	66.7	130.3
28	19	72.9	137.1
28	2	34.2	69.8
28	20	35.6	77.4
28	21	27.8	51.2
28	22	40.9	83.1
28	23	43.4	75.6
28	24	56.6	109.4
28	25	78.8	145.2
28	26	58.6	102.4
28	27	20	43
28	28	24.3	55.7
28	29	31.6	83.4
28	3	51.3	88.7
28	30	26.6	56.4
28	31	29	62
28	4	52	112
28	5	35.6	69.4
28	6	34.5	71.5
28	7	47.3	97.7
28	8	53	115
28	9	56	103
29	1	18.6	52.4
29	10	53.9	96.1
29	11	34.6	70.4
29	12	47.2	90.8
29	13	41.5	85.5
29	14	41.9	80.1
29	15	27.6	64.4
29	16	27.4	67.6
29	17	43.5	93.5
29	18	29.7	59.3
29	19	20.3	40.7
29	2	52	99
29	20	29.7	59.3
29	21	50.2	94.8
29	22	28.7	62.3
29	23	35.7	68.3
29	24	41.9	83.1
29	25	19.3	38.7
29	26	42.1	81.9
29	27	35	73
29	28	25.7	60.3
29	29	18.3	43.7
29	3	39	77
29	30	29.7	68.3
29	31	32.3	67.7
29	4	43.9	88.1
29	5	51.5	103.5
29	6	44.4	94.6
29	7	41.2	79.8
29	8	23.4	56.6
29	9	56.7	101.3
3	1	60	125
3	10	41.4	97.6
3	11	38.9	68.1
3	12	30.7	40.3
3	13	39.5	78.5
3	14	41.2	77.8
3	15	34.7	67.3
3	16	62.9	134
3	17	37.6	79.4
3	18	45.9	88.1
3	19	36.1	58.9
3	2	44	99
3	20	27.8	69.2
3	21	34.9	71.1
3	22	32.8	69.2
3	23	31.9	65.1
3	24	42.9	90.1
3	25	43.5	83.5
3	26	62.6	96.4
3	27	35.2	71.8
3	28	26.6	58.4
3	29	20.6	87.4
3	3	59.8	110.2
3	30	27	56
3	31	27.6	57.4
3	4	60.5	132.5
3	5	51.9	102.1
3	6	48.1	114.9
3	7	57.8	115.2
3	8	35.9	71.1
3	9	61.5	125.5
30	1	49.6	124.4
30	10	16.2	36.8
30	11	44.6	80.4
30	12	30	66
30	13	57.6	114.4
30	14	20.3	48.7
30	15	57.4	101.6
30	16	27.7	64.3
30	17	52.9	95.1
30	18	57.3	115.7
30	19	28.7	58.3
30	2	39.5	69.5
30	20	25	60
30	21	36.2	68.8
30	22	46.3	88.7
30	23	42.8	85.2
30	24	81.6	145.4
30	25	39.1	82.9
30	26	41.9	79.1
30	27	28.1	61.9
30	28	51.7	107.3
30	29	31.4	72.6
30	3	35.3	65.7
30	30	50.2	99.8
30	31	18.1	37.9
30	4	33.6	65.4
30	5	23.7	54.3
30	6	50.6	101.4
30	7	27.4	54.6
30	8	39	76
30	9	17.9	43.1
31	1	54	113
31	10	57	100
31	12	32.6	62.5
31	13	22.3	51.7
31	14	36	66
31	15	28.9	66.1
31	16	27.8	68.2
31	17	42.7	74.3
31	18	12.8	31.2
31	19	31.6	69.4
31	2	21.6	45.4
31	20	40	84
31	21	36.6	67.6
31	22	31.4	66.6
31	23	20.6	49.4
31	24	22.2	46.8
31	25	48.1	86.9
31	26	28.4	63.4
31	27	18	47
31	28	15.6	41.4
31	29	58.6	112.4
31	3	41.4	75.6
31	30	31.2	62.8
31	31	41.7	84.3
31	4	46.3	97.7
31	5	15.8	44.2
31	6	17.4	53.6
31	7	39	82
31	8	35	74
31	9	47.9	92.1
32	1	37.3	100.7
32	10	37.8	56.2
32	11	16.1	38.9
32	12	18.8	39.2
32	13	44.3	83.7
32	14	28	58
32	15	32.6	63.4
32	16	17.6	48.4
32	17	51.4	92.6
32	18	17.6	49.4
32	19	32	58
32	2	56.3	104.7
32	20	29	63
32	21	50.7	84.3
32	22	49	82
32	23	42.4	79.6
32	24	31.5	67.5
32	25	32.7	58.3
32	26	43.6	81.4
32	27	33.2	67.8
32	28	25.4	63.6
32	29	17.5	46.5
32	3	36.9	64.1
32	30	31.6	66.4
32	31	29.8	63.2
32	4	28.6	62.4
32	5	36.7	70.3
32	6	30.6	69.4
32	7	52.1	99.9
32	8	26	57
32	9	21.8	48.2
33	1	60.7	114.3
33	10	28.6	50.4
33	11	20	44
33	12	43	77
33	13	38.2	74.8
33	14	45.9	80.1
33	15	34.7	57.3
33	16	52.7	123.3
33	17	27.3	49.7
33	18	40	89
33	19	24	52
33	2	48.6	84.4
33	20	28.7	59.3
33	21	24.9	46.1
33	22	17.2	35.8
33	23	32.4	56.6
33	24	27.3	63.7
33	25	36.9	69.1
33	26	21.8	54.2
33	27	32.1	67.9
33	28	33.9	68.1
33	29	35.7	76.3
33	3	33.8	62.2
33	30	19.5	57.5
33	31	39.6	76.4
33	4	32.7	72.3
33	5	27	61
33	6	25.6	68.4
33	7	43.3	96.7
33	8	16.2	40.8
33	9	41.7	84.3
34	1	28.8	59.2
34	10	55	103
34	11	33.5	64.5
34	12	37.4	70.6
34	13	53.1	98.9
34	14	23.3	51.7
34	15	45.2	80.8
34	16	12.8	29.2
34	17	44.2	91.8
34	18	65.8	120.2
34	19	51.8	96.2
34	2	28.5	51.5
34	20	54.1	97.9
34	21	28.1	54.9
34	22	43	82
34	23	44.2	79.8
34	24	35.2	66.8
34	25	25.6	52.4
34	26	42	75
34	27	13.9	29.1
34	28	24.5	57.5
34	29	33.4	72.6
34	3	47.8	74.2
34	30	24.1	51.9
34	31	16.3	38.7
34	4	37.8	76.2
34	5	58.3	103.7
34	6	54.7	111.3
34	7	48.9	110.1
34	8	63.4	116.6
34	9	45.4	90.6
35	1	56.4	112.6
35	10	47.1	88.9
35	11	45.6	99.4
35	12	25.5	40.5
35	13	26.6	67.4
35	14	48.7	92.3
35	15	8.2	30.8
35	16	53.5	113.6
35	17	31.2	63.8
35	18	27.2	46.8
35	19	36.5	66.5
35	2	46	82
35	20	27.2	56.8
35	21	41.4	73.6
35	22	28.6	63.4
35	23	23.6	43.4
35	24	55.5	104.5
35	25	83.9	144.1
35	26	46.2	89.8
35	27	69.6	134.4
35	28	38.7	75.3
35	29	33.9	65.1
35	3	44.7	73.3
35	30	27.5	57.5
35	31	36.3	78.7
35	4	35.1	73.9
35	5	24.5	51.5
35	6	29.6	58.4
35	7	43.7	82.3
35	8	58	103
35	9	42.2	79.8
36	1	44.5	80.5
36	10	39.7	72.3
36	11	27.4	64.6
36	12	33.1	64.9
36	13	22.9	52.1
36	14	36.6	73.4
36	15	15	36
36	16	33.6	72.4
36	17	38.9	70.1
36	18	28.1	57.9
36	19	24.9	57.1
36	2	29	51
36	20	48.4	90.6
36	21	17.9	39.1
36	22	33.6	60.4
36	23	39.3	77.7
36	24	24	54
36	25	17.6	33.4
36	26	20.6	45.4
36	27	29.7	56.3
36	28	35.6	71.4
36	29	31.8	55.2
36	3	29.8	57.2
36	30	30.5	64.5
36	31	33.1	61.9
36	4	38	58
36	5	48.6	89.4
36	6	44.2	85.8
36	7	49	96
36	8	46	82
36	9	43.5	78.5
37	1	30.6	57.4
37	10	20.2	46.8
37	11	38.8	78.2
37	12	39.8	65.2
37	13	34.9	70.1
37	14	25.4	55.6
37	15	41.6	72.4
37	16	12.2	29.8
37	17	21.9	51.1
37	18	43.7	90.3
37	19	30	61
37	2	37.6	76.4
37	20	34.8	74.2
37	21	27	55
37	22	28.9	57.1
37	23	56.6	111.4
37	24	29.8	65.2
37	25	29.5	56.5
37	26	18.9	44.1
37	27	29.4	45.6
37	28	29.2	60.8
37	29	32.6	72.4
37	3	40.6	68.4
37	30	19.4	32.6
37	31	59.7	112.3
37	4	25.8	60.2
37	5	33.2	62.8
37	6	25.8	65.2
37	7	18.2	40.8
37	8	30.1	53.9
37	9	57.6	105.4
38	1	38.7	79.3
38	10	22.4	48.6
38	11	22.3	56.7
38	12	37.4	65.6
38	13	27.1	61.9
38	14	30.9	57.1
38	15	19.2	32.8
38	16	21	52
38	17	32.9	64.1
38	18	30	66
38	19	23.8	47.2
38	2	45.8	78.2
38	20	45.8	103.2
38	21	23	49
38	22	32	64
38	23	23.5	52.2
38	24	40.4	76.6
38	25	40.3	76.7
38	26	40.2	76.8
38	27	18.7	48.3
38	28	22.9	54.1
38	29	27.2	65.8
38	3	37.6	72.4
38	30	34.7	66.3
38	31	28	54
38	4	32.8	69.2
38	5	23.8	50.2
38	6	60	116
38	7	34.4	70.6
38	8	50.5	98.5
38	9	25.9	57.1
39	1	41.8	78.2
39	10	31.1	58.9
39	11	38.1	69.9
39	12	34	66
39	13	21.4	45.6
39	14	17.3	41.7
39	15	36.8	66.2
39	16	26.4	55.6
39	17	30.7	75.3
39	18	15.3	36.7
39	19	28.4	63.6
39	2	53.5	95.5
39	20	63	117
39	21	31.2	57.8
39	22	38.6	77.4
39	23	54.9	98.1
39	24	23.5	50.5
39	25	11.6	30.4
39	26	14.7	36.3
39	27	16.1	39.9
39	28	16	43
39	29	14.7	35.3
39	3	28.7	56.3
39	30	17.7	47.3
39	31	34	71
39	4	41.4	84.9
39	5	39.2	72.8
39	6	28.6	67.4
39	7	28.5	61.5
39	8	21.5	43.5
39	9	54.2	78.8
4	1	40.5	91.5
4	10	77.1	151.9
4	11	83.1	156.7
4	12	69.8	126.2
4	13	45.7	99.3
4	14	53.8	99.2
4	15	78.4	153.6
4	16	59.7	145.3
4	17	52.2	101.8
4	18	84.4	190.6
4	19	90	171
4	2	45	114.5
4	20	98.7	169.3
4	21	66.2	117.8
4	22	55.2	105.8
4	23	79.8	147.2
4	24	54	98
4	25	38.7	76.4
4	26	29.3	54.7
4	27	31.8	82.2
4	28	44.7	92.3
4	29	73.6	151.4
4	3	43.9	87.1
4	30	82	149
4	31	68.1	139.9
4	4	81.4	188.6
4	5	59.1	129.9
4	6	56.3	123.7
4	7	64.8	133.2
4	8	87.8	160.2
4	9	48.7	103.3
40	1	76.6	148.4
40	10	27.3	57.8
40	11	21.5	38.5
40	12	61.1	108.9
40	13	45.4	90.6
40	14	57.7	95.3
40	15	64	116
40	16	15.8	48.2
40	17	42.6	88.7
40	18	30.8	64.2
40	19	32.2	70.8
40	2	48.2	90.8
40	20	34.9	72.1
40	21	50.1	92.9
40	22	39.9	76.1
40	23	22.5	48.5
40	24	60.1	127.9
40	25	38.5	85.5
40	26	40.5	83.5
40	27	41.4	66.6
40	28	33.8	70.2
40	29	38.1	73.9
40	3	39.4	68.6
40	30	50.3	91.7
40	31	25.9	56.1
40	4	45.7	89.3
40	5	35.8	72.2
40	6	28.9	66.1
40	7	40	80
40	8	31.7	63.3
40	9	23.5	58.5
41	1	56	109
41	10	39.6	86.4
41	11	41	74
41	12	31.7	53.3
41	13	65.7	127.3
41	14	41.8	76.2
41	15	23.7	49.3
41	16	62.7	94.3
41	17	21.5	44.5
41	18	58.3	118.7
41	19	37.2	80.8
41	2	33.5	67.5
41	20	45.3	109.7
41	21	19.7	40.3
41	22	33.5	64.5
41	23	53	100
41	24	39.1	83.9
41	25	66.9	128.1
41	26	46.5	95.5
41	27	21.5	41.5
41	28	18.8	41.2
41	29	38.5	82.5
41	3	58.6	106.4
41	30	27.8	58.2
41	31	43.6	94.4
41	4	49.2	95.8
41	5	53.6	99.7
41	6	50.5	105.5
41	7	58.8	110.2
41	8	64.3	102.7
41	9	34.5	83.5
42	1	25.6	58.4
42	10	28.5	60.5
42	11	53.5	106.6
42	12	33.5	64.5
42	13	38.6	74.4
42	14	45.8	79.2
42	15	43.3	83.7
42	16	27	64
42	17	36.9	63.1
42	18	26	55
42	19	50	98
42	2	65	117
42	20	38.6	78.4
42	21	38.2	73.8
42	22	32.8	75.2
42	23	50.9	92.1
42	24	54.2	104.8
42	25	23	51
42	26	31.9	59.1
42	27	46	91
42	28	67.4	114.6
42	29	53	113
42	3	24.5	48.8
42	30	30.7	66.3
42	31	33.6	77.4
42	4	26.8	61.2
42	5	48.2	58.8
42	6	44.7	92.3
42	7	30.2	54.8
42	8	41.8	82.2
42	9	27.5	66.5
43	1	47	98
43	10	38.6	71.4
43	11	37.6	86.4
43	12	51.2	92.8
43	13	31.6	55.4
43	14	27.3	52.7
43	15	45.8	81.2
43	16	36.6	75.4
43	17	36.5	64.5
43	18	17.5	110.5
43	19	39.4	82.6
43	2	57.1	101.9
43	20	44.6	86.4
43	21	22.9	44.1
43	22	31.6	66.4
43	23	28.7	66.3
43	24	69.2	130.8
43	25	59.4	106.6
43	26	46.7	86.3
43	27	24.5	44.5
43	28	9.1	25.9
43	29	27.9	69.1
43	3	61.6	75.4
43	30	46.8	84.2
43	31	42.5	88.5
43	4	43.8	89.2
43	5	41.6	92.4
43	6	49.7	97.3
43	7	27.6	60.4
43	8	26	62
43	9	70.3	134.7
44	1	53.6	109.4
44	10	72.5	125.5
44	11	48.6	103.4
44	12	41.6	71.4
44	13	22.7	48.3
44	14	21.1	46.9
44	15	56.4	96.6
44	16	23.2	53.8
44	17	28	70
44	18	43.3	88.7
44	19	48.3	87.7
44	2	38.2	80.8
