"col"	"row"	"yield"	"block"
5	12	1.16	"B1"
6	12	1.15	"B1"
7	12	1.11	"B1"
8	12	1.04	"B1"
9	12	1.04	"B1"
10	12	1.07	"B1"
11	12	0.93	"B1"
12	12	1.24	"B1"
13	12	0.94	"B1"
14	12	0.97	"B1"
15	12	1.09	"B1"
16	12	1.35	"B1"
1	13	1.19	"B1"
2	13	1.2	"B1"
3	13	1.28	"B1"
4	13	1.32	"B1"
5	13	1.27	"B1"
6	13	0.82	"B1"
7	13	1.05	"B1"
8	13	1.01	"B1"
9	13	1.02	"B1"
10	13	1.14	"B1"
11	13	0.85	"B1"
12	13	0.78	"B1"
13	13	1.22	"B1"
14	13	1.05	"B1"
15	13	1.17	"B1"
16	13	1.37	"B1"
1	14	1.05	"B1"
2	14	1.11	"B1"
3	14	1.16	"B1"
4	14	1.31	"B1"
5	14	1.1	"B1"
6	14	0.93	"B1"
7	14	0.93	"B1"
8	14	0.96	"B1"
9	14	1.03	"B1"
10	14	1.2	"B1"
11	14	0.72	"B1"
12	14	1.03	"B1"
13	14	1.14	"B1"
14	14	0.98	"B1"
15	14	1.17	"B1"
16	14	1.22	"B1"
1	15	0.99	"B1"
2	15	1	"B1"
3	15	1.18	"B1"
4	15	1.43	"B1"
5	15	1.19	"B1"
6	15	0.97	"B1"
7	15	1.06	"B1"
8	15	1.05	"B1"
9	15	0.93	"B1"
10	15	1.16	"B1"
11	15	0.64	"B1"
12	15	1.27	"B1"
13	15	1.17	"B1"
14	15	1.02	"B1"
15	15	1.2	"B1"
16	15	1.16	"B1"
1	16	0.92	"B1"
2	16	1.1	"B1"
3	16	1.23	"B1"
4	16	1.02	"B1"
5	16	1.09	"B1"
6	16	0.88	"B1"
7	16	0.64	"B1"
8	16	1.33	"B1"
9	16	0.74	"B1"
10	16	1.23	"B1"
11	16	0.77	"B1"
12	16	0.68	"B1"
13	16	1.34	"B1"
14	16	1.15	"B1"
15	16	1.11	"B1"
16	16	1.23	"B1"
1	1	1.07	"B2"
2	1	1.02	"B2"
3	1	1.23	"B2"
4	1	1.03	"B2"
5	1	1.11	"B2"
6	1	1.22	"B2"
7	1	1.04	"B2"
8	1	1.01	"B2"
9	1	1.15	"B2"
10	1	1.19	"B2"
11	1	1.37	"B2"
12	1	1.35	"B2"
13	1	1.03	"B2"
14	1	1.2	"B2"
15	1	1.28	"B2"
16	1	1.19	"B2"
1	2	1.11	"B2"
2	2	1.14	"B2"
3	2	1.22	"B2"
4	2	1.09	"B2"
5	2	1.06	"B2"
6	2	1.13	"B2"
7	2	1.16	"B2"
8	2	1.28	"B2"
9	2	1.17	"B2"
10	2	1.11	"B2"
11	2	1.13	"B2"
12	2	1.14	"B2"
13	2	1.05	"B2"
14	2	1.21	"B2"
15	2	1.02	"B2"
16	2	1.26	"B2"
1	3	1.08	"B2"
2	3	1.04	"B2"
3	3	1.28	"B2"
4	3	1	"B2"
5	3	0.83	"B2"
6	3	1.27	"B2"
7	3	1.21	"B2"
8	3	1.27	"B2"
9	3	0.86	"B2"
10	3	1.12	"B2"
11	3	1.36	"B2"
12	3	1.17	"B2"
13	3	0.81	"B2"
14	3	1.04	"B2"
15	3	1.06	"B2"
16	3	1.1	"B2"
1	4	1.17	"B2"
2	4	1.21	"B2"
3	4	1.05	"B2"
4	4	1	"B2"
5	4	0.83	"B2"
6	4	1.09	"B2"
7	4	1.27	"B2"
8	4	1.13	"B2"
9	4	0.98	"B2"
10	4	1.19	"B2"
11	4	1.2	"B2"
12	4	1.06	"B2"
13	4	1.01	"B2"
14	4	1.17	"B2"
15	4	1.16	"B2"
16	4	1.24	"B2"
1	5	0.98	"B2"
2	5	1.17	"B2"
3	5	1.04	"B2"
4	5	1.04	"B2"
5	5	1.09	"B2"
6	5	1.14	"B2"
7	5	1.21	"B2"
8	5	0.95	"B2"
9	5	1.02	"B2"
10	5	1.14	"B2"
11	5	1	"B2"
12	5	0.85	"B2"
13	5	0.92	"B2"
14	5	1.23	"B2"
15	5	1.27	"B2"
16	5	1.28	"B2"
1	6	0.96	"B2"
2	6	0.97	"B2"
3	6	1.07	"B2"
4	6	1.09	"B2"
5	6	0.82	"B2"
6	6	1.28	"B2"
7	6	1.27	"B2"
8	6	1.16	"B2"
9	6	0.98	"B2"
10	6	1.08	"B2"
11	6	1.31	"B2"
12	6	0.88	"B2"
13	6	1.19	"B2"
14	6	1.19	"B2"
15	6	1.41	"B2"
16	6	1.29	"B2"
1	7	0.93	"B2"
2	7	0.92	"B2"
3	7	1.22	"B2"
4	7	1.24	"B2"
5	7	1.07	"B2"
6	7	1.19	"B2"
7	7	1.13	"B2"
8	7	0.69	"B2"
9	7	0.84	"B2"
10	7	1.1	"B2"
11	7	1.1	"B2"
12	7	1.19	"B2"
13	7	0.94	"B2"
14	7	1.14	"B2"
15	7	1.22	"B2"
16	7	1.17	"B2"
1	8	0.97	"B2"
2	8	1.2	"B2"
3	8	1.16	"B2"
4	8	1.26	"B2"
5	8	0.98	"B2"
6	8	1.07	"B2"
7	8	1.08	"B2"
8	8	1.12	"B2"
9	8	0.68	"B2"
10	8	0.91	"B2"
11	8	1	"B2"
12	8	1.2	"B2"
13	8	0.98	"B2"
14	8	1.2	"B2"
15	8	1.48	"B2"
16	8	1.37	"B2"
1	9	1.02	"B2"
2	9	1.03	"B2"
3	9	1.18	"B2"
4	9	1.14	"B2"
5	9	1.25	"B2"
6	9	1.12	"B2"
7	9	1.16	"B2"
8	9	0.87	"B2"
9	9	0.79	"B2"
10	9	1.01	"B2"
11	9	1.08	"B2"
12	9	1.36	"B2"
13	9	1.18	"B2"
14	9	1.23	"B2"
15	9	1.28	"B2"
16	9	1.18	"B2"
1	10	0.9	"B2"
2	10	1.04	"B2"
3	10	1.2	"B2"
4	10	1.22	"B2"
5	10	1.28	"B2"
6	10	0.93	"B2"
7	10	0.98	"B2"
8	10	0.98	"B2"
9	10	0.71	"B2"
10	10	0.79	"B2"
11	10	0.96	"B2"
12	10	1.11	"B2"
13	10	1.37	"B2"
14	10	1.24	"B2"
15	10	1.56	"B2"
16	10	1.15	"B2"
1	11	0.93	"B2"
2	11	1.28	"B2"
3	11	1.19	"B2"
4	11	1.33	"B2"
5	11	1.13	"B2"
6	11	0.78	"B2"
7	11	1.02	"B2"
8	11	1.03	"B2"
9	11	0.84	"B2"
10	11	0.79	"B2"
11	11	0.84	"B2"
12	11	1.13	"B2"
13	11	1.03	"B2"
14	11	1.22	"B2"
15	11	1.24	"B2"
16	11	1.35	"B2"
1	12	0.94	"B2"
2	12	1.21	"B2"
3	12	1.29	"B2"
4	12	1.03	"B2"
5	12	0.83	"B2"
6	12	0.75	"B2"
7	12	0.83	"B2"
8	12	0.97	"B2"
9	12	0.82	"B2"
10	12	0.88	"B2"
11	12	1.25	"B2"
12	12	1.31	"B2"
13	12	1.2	"B2"
14	12	1.36	"B2"
15	12	1.35	"B2"
16	12	1.41	"B2"
1	13	1.2	"B2"
2	13	1.23	"B2"
3	13	1.13	"B2"
4	13	1.19	"B2"
5	13	0.96	"B2"
6	13	0.8	"B2"
7	13	0.61	"B2"
8	13	0.93	"B2"
9	13	0.83	"B2"
10	13	1.12	"B2"
11	13	1.09	"B2"
12	13	1.25	"B2"
13	13	1.37	"B2"
14	13	1.3	"B2"
15	13	1.45	"B2"
16	13	1.32	"B2"
1	14	1.07	"B2"
2	14	1.28	"B2"
3	14	1.25	"B2"
4	14	1.1	"B2"
5	14	1.1	"B2"
6	14	0.86	"B2"
7	14	0.7	"B2"
8	14	0.89	"B2"
9	14	0.79	"B2"
10	14	0.94	"B2"
11	14	1.3	"B2"
12	14	1.32	"B2"
13	14	1.3	"B2"
14	14	1.27	"B2"
15	14	1.28	"B2"
16	14	1.25	"B2"
1	15	1.27	"B2"
2	15	1.29	"B2"
3	15	1.16	"B2"
4	15	1.05	"B2"
5	15	1.07	"B2"
6	15	1	"B2"
7	15	0.74	"B2"
8	15	0.78	"B2"
9	15	0.7	"B2"
10	15	0.81	"B2"
11	15	1.06	"B2"
12	15	1.29	"B2"
13	15	1.44	"B2"
14	15	1.4	"B2"
15	15	1.18	"B2"
16	15	1.04	"B2"
1	16	1.36	"B2"
2	16	1.42	"B2"
3	16	1.28	"B2"
4	16	0.87	"B2"
5	16	1.26	"B2"
6	16	1.17	"B2"
7	16	0.71	"B2"
8	16	0.64	"B2"
9	16	0.79	"B2"
10	16	0.93	"B2"
11	16	1.02	"B2"
12	16	1.28	"B2"
13	16	1.28	"B2"
14	16	1.33	"B2"
15	16	0.99	"B2"
16	16	1.26	"B2"
1	1	1.16	"B3"
2	1	0.98	"B3"
3	1	1.14	"B3"
4	1	1.04	"B3"
5	1	1.07	"B3"
6	1	0.88	"B3"
7	1	1.08	"B3"
8	1	1.04	"B3"
9	1	0.75	"B3"
10	1	0.72	"B3"
11	1	0.79	"B3"
12	1	0.74	"B3"
13	1	0.65	"B3"
14	1	0.66	"B3"
15	1	0.62	"B3"
16	1	0.87	"B3"
1	2	1.31	"B3"
2	2	1.24	"B3"
3	2	0.94	"B3"
4	2	1.23	"B3"
5	2	0.77	"B3"
6	2	0.83	"B3"
7	2	0.79	"B3"
8	2	1.03	"B3"
9	2	1.02	"B3"
10	2	1.03	"B3"
11	2	0.74	"B3"
12	2	0.67	"B3"
13	2	0.59	"B3"
14	2	0.62	"B3"
15	2	0.66	"B3"
16	2	1.01	"B3"
1	3	1.08	"B3"
2	3	1.02	"B3"
3	3	1.14	"B3"
4	3	0.9	"B3"
5	3	0.8	"B3"
6	3	0.79	"B3"
7	3	0.74	"B3"
8	3	0.56	"B3"
9	3	0.84	"B3"
10	3	1.26	"B3"
11	3	0.86	"B3"
12	3	0.81	"B3"
13	3	1	"B3"
14	3	0.66	"B3"
15	3	0.54	"B3"
16	3	0.83	"B3"
1	4	1.22	"B3"
2	4	1.22	"B3"
3	4	1.2	"B3"
4	4	1.21	"B3"
5	4	0.9	"B3"
6	4	1.13	"B3"
7	4	0.93	"B3"
8	4	0.71	"B3"
9	4	0.68	"B3"
10	4	0.9	"B3"
11	4	0.82	"B3"
12	4	0.51	"B3"
13	4	0.94	"B3"
14	4	0.63	"B3"
15	4	0.6	"B3"
16	4	0.78	"B3"
1	5	1.08	"B3"
2	5	1.14	"B3"
3	5	1.43	"B3"
4	5	1.35	"B3"
5	5	1.06	"B3"
6	5	1.2	"B3"
7	5	1.07	"B3"
8	5	0.63	"B3"
9	5	0.36	"B3"
10	5	0.89	"B3"
11	5	0.95	"B3"
12	5	0.66	"B3"
13	5	1.04	"B3"
14	5	0.82	"B3"
15	5	0.75	"B3"
16	5	1.04	"B3"
1	6	1.03	"B3"
2	6	1.06	"B3"
3	6	1.2	"B3"
4	6	1.31	"B3"
5	6	1.26	"B3"
6	6	1.3	"B3"
7	6	1.09	"B3"
8	6	0.58	"B3"
9	6	0.51	"B3"
10	6	0.68	"B3"
11	6	0.75	"B3"
12	6	0.71	"B3"
13	6	0.84	"B3"
14	6	1.02	"B3"
15	6	1.06	"B3"
16	6	1.14	"B3"
1	7	0.88	"B3"
2	7	1.11	"B3"
3	7	1.1	"B3"
4	7	1.08	"B3"
5	7	1.34	"B3"
6	7	1.08	"B3"
7	7	1.2	"B3"
8	7	0.5	"B3"
9	7	0.45	"B3"
10	7	0.76	"B3"
11	7	1.1	"B3"
12	7	0.62	"B3"
13	7	0.65	"B3"
14	7	0.63	"B3"
15	7	0.93	"B3"
16	7	0.99	"B3"
1	8	1.06	"B3"
2	8	1.02	"B3"
3	8	1.11	"B3"
4	8	1.04	"B3"
5	8	0.84	"B3"
6	8	1.16	"B3"
7	8	0.98	"B3"
8	8	0.73	"B3"
9	8	0.48	"B3"
10	8	0.5	"B3"
11	8	0.73	"B3"
12	8	0.66	"B3"
13	8	0.75	"B3"
14	8	0.59	"B3"
15	8	0.9	"B3"
16	8	1.07	"B3"
1	9	1.06	"B3"
2	9	1.34	"B3"
3	9	1.17	"B3"
4	9	1.08	"B3"
5	9	1.15	"B3"
6	9	1.19	"B3"
7	9	1.18	"B3"
8	9	1	"B3"
9	9	0.6	"B3"
10	9	0.39	"B3"
11	9	0.63	"B3"
12	9	0.45	"B3"
13	9	0.66	"B3"
14	9	0.69	"B3"
15	9	0.78	"B3"
16	9	1.28	"B3"
1	10	0.82	"B3"
2	10	0.94	"B3"
3	10	1.13	"B3"
4	10	1.06	"B3"
5	10	1.08	"B3"
6	10	1.28	"B3"
7	10	1.2	"B3"
8	10	0.99	"B3"
9	10	0.67	"B3"
10	10	0.53	"B3"
11	10	0.41	"B3"
12	10	0.42	"B3"
13	10	0.38	"B3"
14	10	0.47	"B3"
15	10	0.8	"B3"
16	10	1.28	"B3"
1	11	1.07	"B3"
2	11	1.23	"B3"
3	11	1.32	"B3"
4	11	1.05	"B3"
5	11	1.18	"B3"
6	11	1.2	"B3"
7	11	1.11	"B3"
8	11	0.86	"B3"
9	11	0.82	"B3"
10	11	0.47	"B3"
11	11	0.42	"B3"
12	11	0.47	"B3"
13	11	0.57	"B3"
14	11	0.4	"B3"
15	11	0.68	"B3"
16	11	0.81	"B3"
1	12	1.17	"B3"
2	12	1.15	"B3"
3	12	1.19	"B3"
4	12	1.06	"B3"
5	12	1.01	"B3"
6	12	1.51	"B3"
7	12	1.09	"B3"
8	12	1	"B3"
9	12	0.86	"B3"
10	12	0.93	"B3"
11	12	0.57	"B3"
12	12	0.57	"B3"
13	12	0.37	"B3"
14	12	0.39	"B3"
15	12	0.75	"B3"
16	12	1.13	"B3"
1	13	0.98	"B3"
2	13	1.15	"B3"
3	13	1.14	"B3"
4	13	0.95	"B3"
5	13	0.94	"B3"
6	13	1.1	"B3"
7	13	1.19	"B3"
8	13	0.82	"B3"
9	13	0.92	"B3"
10	13	1	"B3"
11	13	0.64	"B3"
12	13	0.67	"B3"
13	13	0.5	"B3"
14	13	0.42	"B3"
15	13	0.74	"B3"
16	13	1.1	"B3"
1	14	1.03	"B3"
2	14	1.06	"B3"
3	14	1.12	"B3"
4	14	1.22	"B3"
5	14	1.09	"B3"
6	14	1.2	"B3"
7	14	1.05	"B3"
8	14	0.73	"B3"
9	14	0.74	"B3"
10	14	1.02	"B3"
11	14	0.89	"B3"
12	14	1.19	"B3"
13	14	0.69	"B3"
14	14	0.58	"B3"
15	14	0.58	"B3"
16	14	0.66	"B3"
1	15	0.91	"B3"
2	15	1.2	"B3"
3	15	1.24	"B3"
4	15	0.99	"B3"
5	15	0.95	"B3"
6	15	1.27	"B3"
7	15	1.06	"B3"
8	15	1.22	"B3"
9	15	1.11	"B3"
10	15	1.18	"B3"
11	15	1.11	"B3"
12	15	1.07	"B3"
13	15	0.76	"B3"
14	15	0.57	"B3"
15	15	0.56	"B3"
16	15	0.64	"B3"
1	16	0.75	"B3"
2	16	0.96	"B3"
3	16	1.02	"B3"
4	16	0.81	"B3"
5	16	0.8	"B3"
6	16	0.97	"B3"
7	16	1.27	"B3"
8	16	1.11	"B3"
9	16	1.1	"B3"
10	16	1.33	"B3"
11	16	1.29	"B3"
12	16	0.93	"B3"
13	16	0.81	"B3"
14	16	0.58	"B3"
15	16	0.53	"B3"
16	16	0.63	"B3"
1	1	1	"B4"
2	1	0.67	"B4"
3	1	0.98	"B4"
4	1	0.96	"B4"
5	1	1.16	"B4"
6	1	1.07	"B4"
7	1	0.67	"B4"
8	1	0.84	"B4"
9	1	0.75	"B4"
10	1	0.61	"B4"
11	1	0.61	"B4"
12	1	0.62	"B4"
13	1	0.77	"B4"
14	1	1	"B4"
15	1	1.16	"B4"
16	1	1.03	"B4"
1	2	1.16	"B4"
2	2	0.54	"B4"
3	2	1.16	"B4"
4	2	1.25	"B4"
5	2	1.01	"B4"
6	2	1.03	"B4"
7	2	0.93	"B4"
8	2	0.99	"B4"
9	2	1.15	"B4"
10	2	0.6	"B4"
11	2	0.62	"B4"
12	2	0.64	"B4"
13	2	0.85	"B4"
14	2	1.05	"B4"
15	2	1.13	"B4"
16	2	1.08	"B4"
1	3	0.86	"B4"
2	3	0.64	"B4"
3	3	0.74	"B4"
4	3	1.06	"B4"
5	3	1.19	"B4"
6	3	0.9	"B4"
7	3	0.93	"B4"
8	3	0.92	"B4"
9	3	0.69	"B4"
10	3	0.64	"B4"
11	3	0.5	"B4"
12	3	0.6	"B4"
13	3	0.75	"B4"
14	3	1	"B4"
15	3	0.84	"B4"
16	3	0.9	"B4"
1	4	0.81	"B4"
2	4	0.72	"B4"
3	4	1.09	"B4"
4	4	0.9	"B4"
5	4	0.93	"B4"
6	4	0.84	"B4"
7	4	0.68	"B4"
8	4	1.01	"B4"
9	4	1.03	"B4"
10	4	0.6	"B4"
11	4	0.4	"B4"
12	4	0.54	"B4"
13	4	0.7	"B4"
14	4	1.07	"B4"
15	4	0.91	"B4"
16	4	1.01	"B4"
1	5	0.85	"B4"
2	5	0.6	"B4"
3	5	0.97	"B4"
4	5	0.96	"B4"
5	5	1.09	"B4"
6	5	1.11	"B4"
7	5	0.67	"B4"
8	5	1.02	"B4"
9	5	0.94	"B4"
10	5	0.82	"B4"
11	5	0.57	"B4"
12	5	0.66	"B4"
13	5	1.15	"B4"
14	5	1.11	"B4"
15	5	0.97	"B4"
16	5	0.78	"B4"
1	6	0.95	"B4"
2	6	0.91	"B4"
3	6	1.14	"B4"
4	6	1.11	"B4"
5	6	1	"B4"
6	6	0.95	"B4"
7	6	1.01	"B4"
8	6	1.03	"B4"
9	6	0.7	"B4"
10	6	0.76	"B4"
11	6	0.69	"B4"
12	6	0.68	"B4"
13	6	0.62	"B4"
14	6	0.98	"B4"
15	6	0.9	"B4"
16	6	1.05	"B4"
1	7	1.31	"B4"
2	7	1.02	"B4"
3	7	1.18	"B4"
4	7	1.26	"B4"
5	7	1.2	"B4"
6	7	0.98	"B4"
7	7	1.29	"B4"
8	7	1.03	"B4"
9	7	1.02	"B4"
10	7	0.93	"B4"
11	7	0.53	"B4"
12	7	0.65	"B4"
13	7	0.69	"B4"
14	7	0.95	"B4"
15	7	0.79	"B4"
16	7	0.78	"B4"
1	8	0.83	"B4"
2	8	0.71	"B4"
3	8	0.85	"B4"
4	8	1.2	"B4"
5	8	1.03	"B4"
6	8	1.04	"B4"
7	8	1.1	"B4"
8	8	0.84	"B4"
9	8	1.04	"B4"
10	8	0.84	"B4"
11	8	0.68	"B4"
12	8	0.77	"B4"
13	8	0.71	"B4"
14	8	0.73	"B4"
15	8	0.73	"B4"
16	8	1.2	"B4"
1	9	0.81	"B4"
2	9	0.66	"B4"
3	9	0.77	"B4"
4	9	0.81	"B4"
5	9	1.07	"B4"
6	9	1.08	"B4"
7	9	1.06	"B4"
8	9	1.01	"B4"
9	9	1.02	"B4"
10	9	0.69	"B4"
11	9	0.64	"B4"
12	9	0.69	"B4"
13	9	0.68	"B4"
14	9	0.61	"B4"
15	9	0.73	"B4"
16	9	1.06	"B4"
1	10	0.66	"B4"
2	10	0.78	"B4"
3	10	0.91	"B4"
4	10	1.12	"B4"
5	10	1.03	"B4"
6	10	1.36	"B4"
7	10	1.27	"B4"
8	10	1.23	"B4"
9	10	0.78	"B4"
10	10	0.54	"B4"
11	10	0.61	"B4"
12	10	0.84	"B4"
13	10	0.66	"B4"
14	10	0.68	"B4"
15	10	0.67	"B4"
16	10	1	"B4"
1	11	0.94	"B4"
2	11	0.82	"B4"
3	11	1.02	"B4"
4	11	0.96	"B4"
5	11	1.44	"B4"
6	11	1.65	"B4"
7	11	0.76	"B4"
8	11	0.83	"B4"
9	11	0.98	"B4"
10	11	0.61	"B4"
11	11	0.55	"B4"
12	11	0.71	"B4"
13	11	0.67	"B4"
14	11	0.68	"B4"
15	11	0.62	"B4"
16	11	1.37	"B4"
1	12	0.99	"B4"
2	12	0.94	"B4"
3	12	0.82	"B4"
4	12	0.99	"B4"
5	12	1.21	"B4"
6	12	1.03	"B4"
7	12	1.11	"B4"
8	12	1.04	"B4"
9	12	0.88	"B4"
10	12	0.73	"B4"
11	12	0.59	"B4"
12	12	0.9	"B4"
13	12	0.77	"B4"
14	12	0.79	"B4"
15	12	0.9	"B4"
16	12	1.01	"B4"
1	13	0.99	"B4"
2	13	0.75	"B4"
3	13	0.86	"B4"
4	13	0.94	"B4"
5	13	1.12	"B4"
6	13	1.18	"B4"
7	13	1.14	"B4"
8	13	0.86	"B4"
9	13	0.88	"B4"
10	13	0.74	"B4"
11	13	0.8	"B4"
12	13	0.63	"B4"
13	13	0.81	"B4"
14	13	0.68	"B4"
15	13	0.86	"B4"
16	13	1.17	"B4"
1	14	1.1	"B4"
2	14	0.88	"B4"
3	14	0.79	"B4"
4	14	0.92	"B4"
5	14	1.1	"B4"
6	14	1.06	"B4"
7	14	1.02	"B4"
8	14	1.08	"B4"
9	14	1.12	"B4"
10	14	0.89	"B4"
11	14	0.75	"B4"
12	14	0.53	"B4"
13	14	0.77	"B4"
14	14	0.59	"B4"
15	14	0.78	"B4"
16	14	1.2	"B4"
1	15	1.13	"B4"
2	15	0.93	"B4"
3	15	1.07	"B4"
4	15	0.91	"B4"
5	15	1.11	"B4"
6	15	0.97	"B4"
7	15	1.13	"B4"
8	15	1	"B4"
9	15	1.12	"B4"
10	15	1.05	"B4"
11	15	1.06	"B4"
12	15	0.88	"B4"
13	15	0.69	"B4"
14	15	0.72	"B4"
15	15	0.69	"B4"
16	15	1.21	"B4"
1	16	1.21	"B4"
2	16	0.68	"B4"
3	16	0.94	"B4"
4	16	1.08	"B4"
5	16	1.07	"B4"
6	16	0.82	"B4"
7	16	1.06	"B4"
8	16	0.8	"B4"
9	16	1.19	"B4"
10	16	0.96	"B4"
11	16	0.84	"B4"
12	16	0.69	"B4"
13	16	0.84	"B4"
14	16	0.87	"B4"
15	16	0.79	"B4"
16	16	1.06	"B4"
