year	block	male	female	day
1952	B2	G3	G6	28.4
1952	B2	G4	G6	14.8
1952	B2	G5	G6	16
1952	B2	G6	G6	22.6
1952	B2	G7	G6	11
1952	B2	G8	G6	12.6
1952	B2	G1	G7	14.4
1952	B2	G2	G7	14.8
1952	B2	G3	G7	14.2
1952	B2	G4	G7	12.2
1952	B2	G5	G7	12.2
1952	B2	G6	G7	10.2
1952	B2	G7	G7	10.6
1952	B2	G8	G7	9.8
1952	B2	G1	G8	16
1952	B2	G2	G8	13.2
1952	B2	G3	G8	14.4
1952	B2	G4	G8	11.2
1952	B2	G5	G8	20
1952	B2	G6	G8	12.8
1952	B2	G7	G8	9.8
1952	B2	G8	G8	15.8
