gen	site	rep	rate	row	col	serp	linrow	lincol	linrate	yield	year	loc
Illyarrie	S01	R2	60	2	5	SE2	-0.65	1.5	1.8305785	0.5863	91	Badgingerra
Unicrop	S01	R2	20	3	5	SE3	-0.55	1.5	-2.1694215	0.3693	91	Badgingerra
Merrit	S01	R2	50	4	5	SE4	-0.45	1.5	0.8305785	0.6833	91	Badgingerra
Yorrel	S01	R2	40	5	5	SE1	-0.35	1.5	-0.1694215	0.6394	91	Badgingerra
Warrah	S01	R2	30	6	5	SE2	-0.25	1.5	-1.1694215	0.4509	91	Badgingerra
Illyarrie	S01	R2	30	7	5	SE3	-0.15	1.5	-1.1694215	0.5001	91	Badgingerra
Yorrel	S01	R2	60	8	5	SE4	-0.05	1.5	1.8305785	0.3938	91	Badgingerra
Unicrop	S01	R2	10	9	5	SE1	0.05	1.5	-3.1694215	0.4261	91	Badgingerra
Warrah	S01	R2	20	10	5	SE2	0.15	1.5	-2.1694215	0.5294	91	Badgingerra
Yorrel	S01	R2	10	11	5	SE3	0.25	1.5	-3.1694215	0.2691	91	Badgingerra
Warrah	S01	R2	10	12	5	SE4	0.35	1.5	-3.1694215	0.3264	91	Badgingerra
Danja	S01	R2	30	13	5	SE1	0.45	1.5	-1.1694215	0.9338	91	Badgingerra
Unicrop	S01	R2	30	14	5	SE2	0.55	1.5	-1.1694215	0.5323	91	Badgingerra
Danja	S01	R2	40	15	5	SE3	0.65	1.5	-0.1694215	0.8705	91	Badgingerra
Yorrel	S01	R2	30	16	5	SE4	0.75	1.5	-1.1694215	0.3083	91	Badgingerra
Merrit	S01	R2	30	1	6	SE1	-0.75	2.5	-1.1694215	1.0289	91	Badgingerra
Merrit	S01	R2	40	2	6	SE2	-0.65	2.5	-0.1694215	0.8086	91	Badgingerra
Illyarrie	S01	R2	10	3	6	SE3	-0.55	2.5	-3.1694215	0.3161	91	Badgingerra
Unicrop	S01	R2	40	4	6	SE4	-0.45	2.5	-0.1694215	0.2505	91	Badgingerra
Warrah	S01	R2	50	5	6	SE1	-0.35	2.5	0.8305785	0.8784	91	Badgingerra
Yandee	S01	R2	10	6	6	SE2	-0.25	2.5	-3.1694215	0.5186	91	Badgingerra
Illyarrie	S01	R2	20	7	6	SE3	-0.15	2.5	-2.1694215	0.5249	91	Badgingerra
Gungurru	S01	R2	10	8	6	SE4	-0.05	2.5	-3.1694215	0.4123	91	Badgingerra
Warrah	S01	R2	40	9	6	SE1	0.05	2.5	-0.1694215	0.7058	91	Badgingerra
Danja	S01	R2	10	10	6	SE2	0.15	2.5	-3.1694215	0.435	91	Badgingerra
Yorrel	S01	R2	50	11	6	SE3	0.25	2.5	0.8305785	0.5275	91	Badgingerra
Merrit	S01	R2	10	12	6	SE4	0.35	2.5	-3.1694215	0.2461	91	Badgingerra
Unicrop	S01	R2	60	13	6	SE1	0.45	2.5	1.8305785	0.5411	91	Badgingerra
Illyarrie	S01	R2	40	14	6	SE2	0.55	2.5	-0.1694215	0.6026	91	Badgingerra
Merrit	S01	R2	20	15	6	SE3	0.65	2.5	-2.1694215	0.6041	91	Badgingerra
Gungurru	S01	R2	30	16	6	SE4	0.75	2.5	-1.1694215	0.4915	91	Badgingerra
Illyarrie	S02	R1	40	1	1	SE1	-0.75	-2.5	-0.1694215	1.1674	91	Corrigin
Gungurru	S02	R1	60	2	1	SE2	-0.65	-2.5	1.8305785	1.7718	91	Corrigin
Merrit	S02	R1	40	3	1	SE3	-0.55	-2.5	-0.1694215	1.2966	91	Corrigin
Gungurru	S02	R1	50	4	1	SE4	-0.45	-2.5	0.8305785	2.0379	91	Corrigin
Gungurru	S02	R1	40	5	1	SE1	-0.35	-2.5	-0.1694215	1.4716	91	Corrigin
Yandee	S02	R1	40	6	1	SE2	-0.25	-2.5	-0.1694215	1.5498	91	Corrigin
Danja	S02	R1	10	7	1	SE3	-0.15	-2.5	-3.1694215	0.8126	91	Corrigin
Gungurru	S02	R1	10	8	1	SE4	-0.05	-2.5	-3.1694215	0.6588	91	Corrigin
Danja	S02	R1	60	9	1	SE1	0.05	-2.5	1.8305785	1.5341	91	Corrigin
Merrit	S02	R1	10	10	1	SE2	0.15	-2.5	-3.1694215	0.2944	91	Corrigin
Yorrel	S02	R1	30	11	1	SE3	0.25	-2.5	-1.1694215	1.1103	91	Corrigin
Warrah	S02	R1	30	12	1	SE4	0.35	-2.5	-1.1694215	1.1619	91	Corrigin
Gungurru	S02	R1	30	13	1	SE1	0.45	-2.5	-1.1694215	1.4368	91	Corrigin
Warrah	S02	R1	10	14	1	SE2	0.55	-2.5	-3.1694215	0.3814	91	Corrigin
Unicrop	S02	R1	30	15	1	SE3	0.65	-2.5	-1.1694215	1.5186	91	Corrigin
Illyarrie	S02	R1	50	16	1	SE4	0.75	-2.5	0.8305785	2.0366	91	Corrigin
Yorrel	S02	R1	20	1	2	SE1	-0.75	-1.5	-2.1694215	0.7393	91	Corrigin
Illyarrie	S02	R1	20	2	2	SE2	-0.65	-1.5	-2.1694215	1.1075	91	Corrigin
Gungurru	S02	R1	20	3	2	SE3	-0.55	-1.5	-2.1694215	0.9499	91	Corrigin
Warrah	S02	R1	50	4	2	SE4	-0.45	-1.5	0.8305785	1.9958	91	Corrigin
Illyarrie	S02	R1	10	5	2	SE1	-0.35	-1.5	-3.1694215	0.7625	91	Corrigin
Yandee	S02	R1	20	6	2	SE2	-0.25	-1.5	-2.1694215	1.673	91	Corrigin
Unicrop	S02	R1	10	7	2	SE3	-0.15	-1.5	-3.1694215	0.8243	91	Corrigin
Warrah	S02	R1	40	8	2	SE4	-0.05	-1.5	-0.1694215	1.0243	91	Corrigin
Illyarrie	S02	R1	60	9	2	SE1	0.05	-1.5	1.8305785	1.2369	91	Corrigin
Unicrop	S02	R1	40	10	2	SE2	0.15	-1.5	-0.1694215	1.3576	91	Corrigin
Warrah	S02	R1	20	11	2	SE3	0.25	-1.5	-2.1694215	0.6705	91	Corrigin
Unicrop	S02	R1	50	12	2	SE4	0.35	-1.5	0.8305785	1.7583	91	Corrigin
Danja	S02	R1	20	13	2	SE1	0.45	-1.5	-2.1694215	1.1719	91	Corrigin
Yorrel	S02	R1	40	14	2	SE2	0.55	-1.5	-0.1694215	1.3865	91	Corrigin
Unicrop	S02	R1	60	15	2	SE3	0.65	-1.5	1.8305785	1.898	91	Corrigin
Yandee	S02	R1	60	16	2	SE4	0.75	-1.5	1.8305785	1.9391	91	Corrigin
Yorrel	S02	R1	60	1	3	SE1	-0.75	-0.5	1.8305785	1.848	91	Corrigin
Yandee	S02	R1	10	2	3	SE2	-0.65	-0.5	-3.1694215	0.6494	91	Corrigin
Warrah	S02	R1	60	3	3	SE3	-0.55	-0.5	1.8305785	1.6581	91	Corrigin
Merrit	S02	R1	60	4	3	SE4	-0.45	-0.5	1.8305785	2.232	91	Corrigin
Yandee	S02	R1	30	5	3	SE1	-0.35	-0.5	-1.1694215	1.471	91	Corrigin
Danja	S02	R1	50	6	3	SE2	-0.25	-0.5	0.8305785	1.9883	91	Corrigin
Yandee	S02	R1	50	7	3	SE3	-0.15	-0.5	0.8305785	1.8261	91	Corrigin
Unicrop	S02	R1	20	8	3	SE4	-0.05	-0.5	-2.1694215	0.9933	91	Corrigin
Yorrel	S02	R1	10	9	3	SE1	0.05	-0.5	-3.1694215	0.614	91	Corrigin
Illyarrie	S02	R1	50	10	3	SE2	0.15	-0.5	0.8305785	1.5573	91	Corrigin
Unicrop	S02	R1	50	11	3	SE3	0.25	-0.5	0.8305785	1.5149	91	Corrigin
Illyarrie	S02	R1	30	12	3	SE4	0.35	-0.5	-1.1694215	1.2705	91	Corrigin
Danja	S02	R1	40	13	3	SE1	0.45	-0.5	-0.1694215	1.6765	91	Corrigin
Danja	S02	R1	30	14	3	SE2	0.55	-0.5	-1.1694215	1.543	91	Corrigin
Yorrel	S02	R1	50	15	3	SE3	0.65	-0.5	0.8305785	1.6329	91	Corrigin
Merrit	S02	R1	50	16	3	SE4	0.75	-0.5	0.8305785	1.9258	91	Corrigin
Yandee	S02	R2	20	1	4	SE1	-0.75	0.5	-2.1694215	0.7993	91	Corrigin
Warrah	S02	R2	60	2	4	SE2	-0.65	0.5	1.8305785	1.522	91	Corrigin
Danja	S02	R2	50	3	4	SE3	-0.55	0.5	0.8305785	1.3609	91	Corrigin
Yandee	S02	R2	30	4	4	SE4	-0.45	0.5	-1.1694215	1.1856	91	Corrigin
Yandee	S02	R2	60	5	4	SE1	-0.35	0.5	1.8305785	1.558	91	Corrigin
Yandee	S02	R2	40	6	4	SE2	-0.25	0.5	-0.1694215	1.4059	91	Corrigin
Yorrel	S02	R2	20	7	4	SE3	-0.15	0.5	-2.1694215	1.0503	91	Corrigin
Merrit	S02	R2	60	8	4	SE4	-0.05	0.5	1.8305785	2.0644	91	Corrigin
Gungurru	S02	R2	50	9	4	SE1	0.05	0.5	0.8305785	1.6709	91	Corrigin
Warrah	S02	R2	20	10	4	SE2	0.15	0.5	-2.1694215	0.5931	91	Corrigin
Yorrel	S02	R2	10	11	4	SE3	0.25	0.5	-3.1694215	0.496	91	Corrigin
Danja	S02	R2	60	12	4	SE4	0.35	0.5	1.8305785	2.0001	91	Corrigin
Gungurru	S02	R2	20	13	4	SE1	0.45	0.5	-2.1694215	0.7064	91	Corrigin
Yandee	S02	R2	50	14	4	SE2	0.55	0.5	0.8305785	1.5178	91	Corrigin
Gungurru	S02	R2	40	15	4	SE3	0.65	0.5	-0.1694215	1.3704	91	Corrigin
Danja	S02	R2	20	16	4	SE4	0.75	0.5	-2.1694215	0.9105	91	Corrigin
Gungurru	S02	R2	60	1	5	SE1	-0.75	1.5	1.8305785	1.3546	91	Corrigin
Illyarrie	S02	R2	60	2	5	SE2	-0.65	1.5	1.8305785	1.561	91	Corrigin
Unicrop	S02	R2	20	3	5	SE3	-0.55	1.5	-2.1694215	1.0933	91	Corrigin
Merrit	S02	R2	50	4	5	SE4	-0.45	1.5	0.8305785	2.0345	91	Corrigin
Yorrel	S02	R2	40	5	5	SE1	-0.35	1.5	-0.1694215	1.2988	91	Corrigin
Warrah	S02	R2	30	6	5	SE2	-0.25	1.5	-1.1694215	1.1729	91	Corrigin
Illyarrie	S02	R2	30	7	5	SE3	-0.15	1.5	-1.1694215	1.2925	91	Corrigin
Yorrel	S02	R2	60	8	5	SE4	-0.05	1.5	1.8305785	1.8415	91	Corrigin
Unicrop	S02	R2	10	9	5	SE1	0.05	1.5	-3.1694215	0.5499	91	Corrigin
Merrit	S02	R2	30	10	5	SE2	0.15	1.5	-1.1694215	NA	91	Corrigin
Merrit	S02	R2	20	11	5	SE3	0.25	1.5	-2.1694215	NA	91	Corrigin
Warrah	S02	R2	10	12	5	SE4	0.35	1.5	-3.1694215	0.4571	91	Corrigin
Danja	S02	R2	30	13	5	SE1	0.45	1.5	-1.1694215	1.5886	91	Corrigin
Unicrop	S02	R2	30	14	5	SE2	0.55	1.5	-1.1694215	1.2983	91	Corrigin
Danja	S02	R2	40	15	5	SE3	0.65	1.5	-0.1694215	1.5294	91	Corrigin
Yorrel	S02	R2	30	16	5	SE4	0.75	1.5	-1.1694215	1.3265	91	Corrigin
Merrit	S02	R2	30	1	6	SE1	-0.75	2.5	-1.1694215	0.5886	91	Corrigin
Merrit	S02	R2	40	2	6	SE2	-0.65	2.5	-0.1694215	0.7844	91	Corrigin
Illyarrie	S02	R2	10	3	6	SE3	-0.55	2.5	-3.1694215	0.303	91	Corrigin
Unicrop	S02	R2	40	4	6	SE4	-0.45	2.5	-0.1694215	0.9834	91	Corrigin
Warrah	S02	R2	50	5	6	SE1	-0.35	2.5	0.8305785	0.8874	91	Corrigin
Yandee	S02	R2	10	6	6	SE2	-0.25	2.5	-3.1694215	0.2466	91	Corrigin
Illyarrie	S02	R2	20	7	6	SE3	-0.15	2.5	-2.1694215	0.7616	91	Corrigin
Gungurru	S02	R2	10	8	6	SE4	-0.05	2.5	-3.1694215	0.6065	91	Corrigin
Warrah	S02	R2	40	9	6	SE1	0.05	2.5	-0.1694215	0.739	91	Corrigin
Danja	S02	R2	10	10	6	SE2	0.15	2.5	-3.1694215	0.1826	91	Corrigin
Yorrel	S02	R2	50	11	6	SE3	0.25	2.5	0.8305785	0.7765	91	Corrigin
Merrit	S02	R2	10	12	6	SE4	0.35	2.5	-3.1694215	0.3061	91	Corrigin
Unicrop	S02	R2	60	13	6	SE1	0.45	2.5	1.8305785	0.6905	91	Corrigin
Illyarrie	S02	R2	40	14	6	SE2	0.55	2.5	-0.1694215	0.9299	91	Corrigin
Merrit	S02	R2	20	15	6	SE3	0.65	2.5	-2.1694215	0.7401	91	Corrigin
Gungurru	S02	R2	30	16	6	SE4	0.75	2.5	-1.1694215	1.1533	91	Corrigin
Illyarrie	S03	R1	40	1	1	SE1	-0.75	-2.5	-0.1694215	1.3966	91	MtBarker
Gungurru	S03	R1	60	2	1	SE2	-0.65	-2.5	1.8305785	1.423	91	MtBarker
Merrit	S03	R1	40	3	1	SE3	-0.55	-2.5	-0.1694215	1.2524	91	MtBarker
Gungurru	S03	R1	50	4	1	SE4	-0.45	-2.5	0.8305785	2.0693	91	MtBarker
Gungurru	S03	R1	40	5	1	SE1	-0.35	-2.5	-0.1694215	1.9274	91	MtBarker
Yandee	S03	R1	40	6	1	SE2	-0.25	-2.5	-0.1694215	1.1036	91	MtBarker
Danja	S03	R1	10	7	1	SE3	-0.15	-2.5	-3.1694215	0.6901	91	MtBarker
Gungurru	S03	R1	10	8	1	SE4	-0.05	-2.5	-3.1694215	0.9034	91	MtBarker
Danja	S03	R1	60	9	1	SE1	0.05	-2.5	1.8305785	1.8904	91	MtBarker
Merrit	S03	R1	10	10	1	SE2	0.15	-2.5	-3.1694215	0.963	91	MtBarker
Yorrel	S03	R1	30	11	1	SE3	0.25	-2.5	-1.1694215	1.2014	91	MtBarker
Warrah	S03	R1	30	12	1	SE4	0.35	-2.5	-1.1694215	1.8746	91	MtBarker
Gungurru	S03	R1	30	13	1	SE1	0.45	-2.5	-1.1694215	2.3764	91	MtBarker
Warrah	S03	R1	10	14	1	SE2	0.55	-2.5	-3.1694215	1.0716	91	MtBarker
Unicrop	S03	R1	30	15	1	SE3	0.65	-2.5	-1.1694215	1.5158	91	MtBarker
Illyarrie	S03	R1	50	16	1	SE4	0.75	-2.5	0.8305785	1.7946	91	MtBarker
Yorrel	S03	R1	20	1	2	SE1	-0.75	-1.5	-2.1694215	1.1936	91	MtBarker
Illyarrie	S03	R1	20	2	2	SE2	-0.65	-1.5	-2.1694215	0.7539	91	MtBarker
Gungurru	S03	R1	20	3	2	SE3	-0.55	-1.5	-2.1694215	1.1679	91	MtBarker
Warrah	S03	R1	50	4	2	SE4	-0.45	-1.5	0.8305785	2.2403	91	MtBarker
Illyarrie	S03	R1	10	5	2	SE1	-0.35	-1.5	-3.1694215	1.0339	91	MtBarker
Yandee	S03	R1	20	6	2	SE2	-0.25	-1.5	-2.1694215	1.382	91	MtBarker
Unicrop	S03	R1	10	7	2	SE3	-0.15	-1.5	-3.1694215	0.819	91	MtBarker
Warrah	S03	R1	40	8	2	SE4	-0.05	-1.5	-0.1694215	1.9004	91	MtBarker
Illyarrie	S03	R1	60	9	2	SE1	0.05	-1.5	1.8305785	2.0893	91	MtBarker
Unicrop	S03	R1	40	10	2	SE2	0.15	-1.5	-0.1694215	1.7131	91	MtBarker
Warrah	S03	R1	20	11	2	SE3	0.25	-1.5	-2.1694215	1.4748	91	MtBarker
Unicrop	S03	R1	50	12	2	SE4	0.35	-1.5	0.8305785	2.2031	91	MtBarker
Danja	S03	R1	20	13	2	SE1	0.45	-1.5	-2.1694215	1.7714	91	MtBarker
Yorrel	S03	R1	40	14	2	SE2	0.55	-1.5	-0.1694215	1.5181	91	MtBarker
Unicrop	S03	R1	60	15	2	SE3	0.65	-1.5	1.8305785	1.4571	91	MtBarker
Yandee	S03	R1	60	16	2	SE4	0.75	-1.5	1.8305785	1.6643	91	MtBarker
Yorrel	S03	R1	60	1	3	SE1	-0.75	-0.5	1.8305785	1.7511	91	MtBarker
Yandee	S03	R1	10	2	3	SE2	-0.65	-0.5	-3.1694215	0.4419	91	MtBarker
Warrah	S03	R1	60	3	3	SE3	-0.55	-0.5	1.8305785	1.4558	91	MtBarker
Merrit	S03	R1	60	4	3	SE4	-0.45	-0.5	1.8305785	2.2129	91	MtBarker
Yandee	S03	R1	30	5	3	SE1	-0.35	-0.5	-1.1694215	1.2945	91	MtBarker
Danja	S03	R1	50	6	3	SE2	-0.25	-0.5	0.8305785	1.7078	91	MtBarker
Yandee	S03	R1	50	7	3	SE3	-0.15	-0.5	0.8305785	1.4106	91	MtBarker
Unicrop	S03	R1	20	8	3	SE4	-0.05	-0.5	-2.1694215	1.2385	91	MtBarker
Yorrel	S03	R1	10	9	3	SE1	0.05	-0.5	-3.1694215	0.8379	91	MtBarker
Merrit	S03	R1	30	10	3	SE2	0.15	-0.5	-1.1694215	1.8421	91	MtBarker
Merrit	S03	R1	20	11	3	SE3	0.25	-0.5	-2.1694215	1.5265	91	MtBarker
Illyarrie	S03	R1	30	12	3	SE4	0.35	-0.5	-1.1694215	1.4006	91	MtBarker
Danja	S03	R1	40	13	3	SE1	0.45	-0.5	-0.1694215	2.0675	91	MtBarker
Danja	S03	R1	30	14	3	SE2	0.55	-0.5	-1.1694215	1.4099	91	MtBarker
Yorrel	S03	R1	50	15	3	SE3	0.65	-0.5	0.8305785	1.3001	91	MtBarker
Merrit	S03	R1	50	16	3	SE4	0.75	-0.5	0.8305785	2.2446	91	MtBarker
Yandee	S03	R2	20	1	4	SE1	-0.75	0.5	-2.1694215	0.5844	91	MtBarker
Warrah	S03	R2	60	2	4	SE2	-0.65	0.5	1.8305785	0.9904	91	MtBarker
Danja	S03	R2	50	3	4	SE3	-0.55	0.5	0.8305785	0.7976	91	MtBarker
Yandee	S03	R2	30	4	4	SE4	-0.45	0.5	-1.1694215	0.5765	91	MtBarker
Yandee	S03	R2	60	5	4	SE1	-0.35	0.5	1.8305785	0.6169	91	MtBarker
Yandee	S03	R2	40	6	4	SE2	-0.25	0.5	-0.1694215	0.5104	91	MtBarker
Yorrel	S03	R2	20	7	4	SE3	-0.15	0.5	-2.1694215	0.5924	91	MtBarker
Merrit	S03	R2	60	8	4	SE4	-0.05	0.5	1.8305785	1.9814	91	MtBarker
Gungurru	S03	R2	50	9	4	SE1	0.05	0.5	0.8305785	1.7109	91	MtBarker
Illyarrie	S03	R2	50	10	4	SE2	0.15	0.5	0.8305785	0.6863	91	MtBarker
Unicrop	S03	R2	50	11	4	SE3	0.25	0.5	0.8305785	0.9724	91	MtBarker
Danja	S03	R2	60	12	4	SE4	0.35	0.5	1.8305785	2.0515	91	MtBarker
Gungurru	S03	R2	20	13	4	SE1	0.45	0.5	-2.1694215	0.974	91	MtBarker
Yandee	S03	R2	50	14	4	SE2	0.55	0.5	0.8305785	0.9673	91	MtBarker
Gungurru	S03	R2	40	15	4	SE3	0.65	0.5	-0.1694215	1.7465	91	MtBarker
Danja	S03	R2	20	16	4	SE4	0.75	0.5	-2.1694215	1.1061	91	MtBarker
Illyarrie	S04	R1	40	1	1	SE1	-0.75	-2.5	-0.1694215	0.9893	91	Newdegate
Gungurru	S04	R1	60	2	1	SE2	-0.65	-2.5	1.8305785	1.4356	91	Newdegate
Merrit	S04	R1	40	3	1	SE3	-0.55	-2.5	-0.1694215	1.2374	91	Newdegate
Gungurru	S04	R1	50	4	1	SE4	-0.45	-2.5	0.8305785	1.4858	91	Newdegate
Gungurru	S04	R1	40	5	1	SE1	-0.35	-2.5	-0.1694215	1.6603	91	Newdegate
Yandee	S04	R1	40	6	1	SE2	-0.25	-2.5	-0.1694215	1.1056	91	Newdegate
Danja	S04	R1	10	7	1	SE3	-0.15	-2.5	-3.1694215	0.9431	91	Newdegate
Gungurru	S04	R1	10	8	1	SE4	-0.05	-2.5	-3.1694215	0.7648	91	Newdegate
Danja	S04	R1	60	9	1	SE1	0.05	-2.5	1.8305785	1.5794	91	Newdegate
Merrit	S04	R1	10	10	1	SE2	0.15	-2.5	-3.1694215	0.7684	91	Newdegate
Yorrel	S04	R1	30	11	1	SE3	0.25	-2.5	-1.1694215	1.6895	91	Newdegate
Warrah	S04	R1	30	12	1	SE4	0.35	-2.5	-1.1694215	0.5651	91	Newdegate
Gungurru	S04	R1	30	13	1	SE1	0.45	-2.5	-1.1694215	1.725	91	Newdegate
Warrah	S04	R1	10	14	1	SE2	0.55	-2.5	-3.1694215	0.3094	91	Newdegate
Unicrop	S04	R1	30	15	1	SE3	0.65	-2.5	-1.1694215	1.3823	91	Newdegate
Illyarrie	S04	R1	50	16	1	SE4	0.75	-2.5	0.8305785	0.973	91	Newdegate
Yorrel	S04	R1	20	1	2	SE1	-0.75	-1.5	-2.1694215	1.2829	91	Newdegate
Illyarrie	S04	R1	20	2	2	SE2	-0.65	-1.5	-2.1694215	0.9534	91	Newdegate
Gungurru	S04	R1	20	3	2	SE3	-0.55	-1.5	-2.1694215	1.0821	91	Newdegate
