"tree"	"apple"	"size"	"appleid"	"time"	"diameter"
"T05"	"A11"	7	111	5	NA
"T05"	"A11"	7	111	6	NA
"T05"	"A14"	7	114	1	2.85
"T05"	"A14"	7	114	2	2.86
"T05"	"A14"	7	114	3	2.92
"T05"	"A14"	7	114	4	2.95
"T05"	"A14"	7	114	5	2.96
"T05"	"A14"	7	114	6	2.99
"T05"	"A18"	7	118	1	2.75
"T05"	"A18"	7	118	2	2.81
"T05"	"A18"	7	118	3	2.84
"T05"	"A18"	7	118	4	2.86
"T05"	"A18"	7	118	5	2.9
"T05"	"A18"	7	118	6	2.91
"T05"	"A20"	7	120	1	2.83
"T05"	"A20"	7	120	2	2.86
"T05"	"A20"	7	120	3	2.9
"T05"	"A20"	7	120	4	2.94
"T05"	"A20"	7	120	5	2.96
"T05"	"A20"	7	120	6	2.97
"T05"	"A24"	7	124	1	2.93
"T05"	"A24"	7	124	2	2.98
"T05"	"A24"	7	124	3	3
"T05"	"A24"	7	124	4	3.04
"T05"	"A24"	7	124	5	3.05
"T05"	"A24"	7	124	6	3.08
"T06"	"A03"	7	128	1	2.83
"T06"	"A03"	7	128	2	2.86
"T06"	"A03"	7	128	3	2.9
"T06"	"A03"	7	128	4	2.94
"T06"	"A03"	7	128	5	2.96
"T06"	"A03"	7	128	6	2.96
"T06"	"A04"	7	129	1	2.95
"T06"	"A04"	7	129	2	3
"T06"	"A04"	7	129	3	3.05
"T06"	"A04"	7	129	4	3.12
"T06"	"A04"	7	129	5	3.12
"T06"	"A04"	7	129	6	3.14
"T06"	"A05"	7	130	1	2.79
"T06"	"A05"	7	130	2	2.81
"T06"	"A05"	7	130	3	2.84
"T06"	"A05"	7	130	4	NA
"T06"	"A05"	7	130	5	NA
"T06"	"A05"	7	130	6	NA
"T06"	"A07"	7	132	1	2.9
"T06"	"A07"	7	132	2	2.98
"T06"	"A07"	7	132	3	3.01
"T06"	"A07"	7	132	4	3.02
"T06"	"A07"	7	132	5	3.03
"T06"	"A07"	7	132	6	3.04
"T06"	"A10"	7	135	1	2.89
"T06"	"A10"	7	135	2	2.93
"T06"	"A10"	7	135	3	2.93
"T06"	"A10"	7	135	4	2.99
"T06"	"A10"	7	135	5	2.99
"T06"	"A10"	7	135	6	3.02
"T06"	"A12"	7	137	1	2.78
"T06"	"A12"	7	137	2	2.81
"T06"	"A12"	7	137	3	2.85
"T06"	"A12"	7	137	4	2.85
"T06"	"A12"	7	137	5	2.85
"T06"	"A12"	7	137	6	2.85
"T06"	"A14"	7	139	1	2.78
"T06"	"A14"	7	139	2	2.82
"T06"	"A14"	7	139	3	2.85
"T06"	"A14"	7	139	4	2.88
"T06"	"A14"	7	139	5	2.91
"T06"	"A14"	7	139	6	2.92
"T06"	"A17"	7	142	1	2.96
"T06"	"A17"	7	142	2	3
"T06"	"A17"	7	142	3	3
"T06"	"A17"	7	142	4	3.05
"T06"	"A17"	7	142	5	3.09
"T06"	"A17"	7	142	6	3.1
"T06"	"A19"	7	144	1	2.82
"T06"	"A19"	7	144	2	2.84
"T06"	"A19"	7	144	3	2.85
"T06"	"A19"	7	144	4	2.87
"T06"	"A19"	7	144	5	2.91
"T06"	"A19"	7	144	6	2.92
"T06"	"A20"	7	145	1	2.85
"T06"	"A20"	7	145	2	2.94
"T06"	"A20"	7	145	3	2.92
"T06"	"A20"	7	145	4	3
"T06"	"A20"	7	145	5	3.03
"T06"	"A20"	7	145	6	3.04
"T06"	"A24"	7	149	1	2.87
"T06"	"A24"	7	149	2	2.93
"T06"	"A24"	7	149	3	2.96
"T06"	"A24"	7	149	4	3.01
"T06"	"A24"	7	149	5	3.01
"T06"	"A24"	7	149	6	3.04
"T07"	"A02"	7	152	1	2.79
"T07"	"A02"	7	152	2	2.89
"T07"	"A02"	7	152	3	2.89
"T07"	"A02"	7	152	4	2.91
"T07"	"A02"	7	152	5	2.91
"T07"	"A02"	7	152	6	2.95
"T07"	"A04"	7	154	1	2.8
"T07"	"A04"	7	154	2	2.81
"T07"	"A04"	7	154	3	2.85
"T07"	"A04"	7	154	4	2.91
"T07"	"A04"	7	154	5	2.92
"T07"	"A04"	7	154	6	2.96
"T07"	"A09"	7	159	1	3.06
"T07"	"A09"	7	159	2	3.15
"T07"	"A09"	7	159	3	3.15
"T07"	"A09"	7	159	4	3.23
"T07"	"A09"	7	159	5	3.27
"T07"	"A09"	7	159	6	3.31
"T07"	"A25"	7	175	1	2.84
"T07"	"A25"	7	175	2	2.86
"T07"	"A25"	7	175	3	2.88
"T07"	"A25"	7	175	4	2.93
"T07"	"A25"	7	175	5	2.93
"T07"	"A25"	7	175	6	2.96
"T08"	"A02"	7	177	1	2.9
"T08"	"A02"	7	177	2	2.93
"T08"	"A02"	7	177	3	2.98
"T08"	"A02"	7	177	4	3
"T08"	"A02"	7	177	5	3.01
"T08"	"A02"	7	177	6	3.05
"T08"	"A05"	7	180	1	2.91
"T08"	"A05"	7	180	2	2.95
"T08"	"A05"	7	180	3	3
"T08"	"A05"	7	180	4	3.02
"T08"	"A05"	7	180	5	3.05
"T08"	"A05"	7	180	6	3.11
"T08"	"A09"	7	184	1	3
"T08"	"A09"	7	184	2	3.05
"T08"	"A09"	7	184	3	3.06
"T08"	"A09"	7	184	4	3.09
"T08"	"A09"	7	184	5	NA
"T08"	"A09"	7	184	6	NA
"T08"	"A12"	7	187	1	2.83
"T08"	"A12"	7	187	2	2.9
"T08"	"A12"	7	187	3	2.94
"T08"	"A12"	7	187	4	2.98
"T08"	"A12"	7	187	5	3
"T08"	"A12"	7	187	6	3.04
"T08"	"A15"	7	190	1	2.8
"T08"	"A15"	7	190	2	2.86
"T08"	"A15"	7	190	3	2.89
"T08"	"A15"	7	190	4	2.94
"T08"	"A15"	7	190	5	2.97
"T08"	"A15"	7	190	6	2.99
"T08"	"A20"	7	195	1	2.88
"T08"	"A20"	7	195	2	2.91
"T08"	"A20"	7	195	3	2.95
"T08"	"A20"	7	195	4	2.95
"T08"	"A20"	7	195	5	3
"T08"	"A20"	7	195	6	3.01
"T08"	"A21"	7	196	1	2.76
"T08"	"A21"	7	196	2	2.8
"T08"	"A21"	7	196	3	2.81
"T08"	"A21"	7	196	4	2.86
"T08"	"A21"	7	196	5	2.87
"T08"	"A21"	7	196	6	2.89
"T09"	"A08"	7	208	1	2.75
"T09"	"A08"	7	208	2	2.75
"T09"	"A08"	7	208	3	2.78
"T09"	"A08"	7	208	4	2.8
"T09"	"A08"	7	208	5	2.82
"T09"	"A08"	7	208	6	2.82
"T09"	"A10"	7	210	1	2.8
"T09"	"A10"	7	210	2	2.84
"T09"	"A10"	7	210	3	2.9
"T09"	"A10"	7	210	4	2.93
"T09"	"A10"	7	210	5	2.94
"T09"	"A10"	7	210	6	2.95
"T09"	"A12"	7	212	1	2.94
"T09"	"A12"	7	212	2	2.96
"T09"	"A12"	7	212	3	2.96
"T09"	"A12"	7	212	4	3.02
"T09"	"A12"	7	212	5	3.02
"T09"	"A12"	7	212	6	3.02
"T10"	"A02"	7	227	1	2.92
"T10"	"A02"	7	227	2	2.95
"T10"	"A02"	7	227	3	3
"T10"	"A02"	7	227	4	3.01
"T10"	"A02"	7	227	5	3.07
"T10"	"A02"	7	227	6	NA
"T10"	"A05"	7	230	1	2.87
"T10"	"A05"	7	230	2	2.89
"T10"	"A05"	7	230	3	2.94
"T10"	"A05"	7	230	4	2.95
"T10"	"A05"	7	230	5	3.01
"T10"	"A05"	7	230	6	3.02
"T10"	"A08"	7	233	1	2.76
"T10"	"A08"	7	233	2	2.81
"T10"	"A08"	7	233	3	2.86
"T10"	"A08"	7	233	4	2.9
"T10"	"A08"	7	233	5	NA
"T10"	"A08"	7	233	6	NA
"T10"	"A09"	7	234	1	2.91
"T10"	"A09"	7	234	2	3.01
"T10"	"A09"	7	234	3	3.07
"T10"	"A09"	7	234	4	3.09
"T10"	"A09"	7	234	5	3.11
"T10"	"A09"	7	234	6	NA
"T10"	"A10"	7	235	1	2.88
"T10"	"A10"	7	235	2	2.88
"T10"	"A10"	7	235	3	2.92
"T10"	"A10"	7	235	4	2.97
"T10"	"A10"	7	235	5	2.97
"T10"	"A10"	7	235	6	2.99
"T10"	"A17"	7	242	1	3
"T10"	"A17"	7	242	2	3.05
"T10"	"A17"	7	242	3	3.05
"T10"	"A17"	7	242	4	3.06
"T10"	"A17"	7	242	5	3.11
"T10"	"A17"	7	242	6	NA
"T10"	"A18"	7	243	1	2.85
"T10"	"A18"	7	243	2	2.87
"T10"	"A18"	7	243	3	2.91
"T10"	"A18"	7	243	4	2.95
"T10"	"A18"	7	243	5	2.98
"T10"	"A18"	7	243	6	3
"T10"	"A21"	7	246	1	2.76
"T10"	"A21"	7	246	2	2.83
"T10"	"A21"	7	246	3	2.84
"T10"	"A21"	7	246	4	2.87
"T10"	"A21"	7	246	5	2.88
"T10"	"A21"	7	246	6	2.91
"T10"	"A22"	7	247	1	3.25
"T10"	"A22"	7	247	2	3.34
"T10"	"A22"	7	247	3	3.34
"T10"	"A22"	7	247	4	3.38
"T10"	"A22"	7	247	5	3.47
"T10"	"A22"	7	247	6	NA
"T10"	"A23"	7	248	1	3
"T10"	"A23"	7	248	2	3.06
"T10"	"A23"	7	248	3	3.08
"T10"	"A23"	7	248	4	3.14
"T10"	"A23"	7	248	5	3.18
"T10"	"A23"	7	248	6	NA
