"yield"	"row"	"col"	"gen"
533	4	26	"Bounty"
490	3	26	"Huntsman"
501	2	26	"Bounty"
471	1	26	"Huntsman"
385	52	31	"Huntsman"
376	51	31	"Bounty"
382	50	31	"Huntsman"
413	49	31	"Bounty"
355	48	31	"Huntsman"
400	47	31	"Bounty"
371	46	31	"Huntsman"
424	45	31	"Bounty"
381	44	31	"Huntsman"
380	43	31	"Bounty"
354	42	31	"Huntsman"
426	41	31	"Bounty"
402	40	31	"Huntsman"
445	39	31	"Bounty"
346	38	31	"Huntsman"
438	37	31	"Bounty"
411	36	31	"Huntsman"
442	35	31	"Bounty"
393	34	31	"Huntsman"
429	33	31	"Bounty"
370	32	31	"Huntsman"
430	31	31	"Bounty"
375	30	31	"Huntsman"
447	29	31	"Bounty"
417	28	31	"Huntsman"
403	27	31	"Bounty"
353	26	31	"Huntsman"
421	25	31	"Bounty"
394	24	31	"Huntsman"
428	23	31	"Bounty"
348	22	31	"Huntsman"
421	21	31	"Bounty"
391	20	31	"Huntsman"
422	19	31	"Bounty"
402	18	31	"Huntsman"
423	17	31	"Bounty"
338	16	31	"Huntsman"
445	15	31	"Bounty"
387	14	31	"Huntsman"
459	13	31	"Bounty"
372	12	31	"Huntsman"
442	11	31	"Bounty"
366	10	31	"Huntsman"
447	9	31	"Bounty"
360	8	31	"Huntsman"
512	7	31	"Bounty"
411	6	31	"Huntsman"
550	5	31	"Bounty"
475	4	31	"Huntsman"
512	3	31	"Bounty"
459	2	31	"Huntsman"
498	1	31	"Bounty"
