"env"	"rep"	"gen"	"yield"
"E2"	"R4"	"G04"	4.4682
"E2"	"R4"	"G05"	3.5327
"E2"	"R4"	"G06"	4.5998
"E2"	"R4"	"G07"	3.4628
"E2"	"R4"	"G08"	3.84
"E2"	"R4"	"G09"	3.3791
"E2"	"R4"	"G10"	5.8347
"E2"	"R4"	"G11"	5.9582
"E2"	"R4"	"G12"	3.6344
"E2"	"R4"	"G13"	3.8598
"E2"	"R4"	"G14"	4.6178
"E2"	"R4"	"G15"	4.3604
"E2"	"R4"	"G16"	5.1046
"E2"	"R4"	"G17"	3.3032
"E2"	"R4"	"G18"	5.1085
"E2"	"R4"	"G19"	3.8339
"E2"	"R4"	"G20"	5.2941
"E2"	"R4"	"G21"	4.9469
"E2"	"R4"	"G22"	4.3166
"E2"	"R4"	"G23"	5.9203
"E2"	"R4"	"G24"	5.725
"E2"	"R4"	"G25"	4.4842
"E2"	"R4"	"G26"	4.3046
"E2"	"R4"	"G27"	5.3479
"E2"	"R4"	"G28"	3.7162
"E2"	"R4"	"G29"	4.2051
"E2"	"R4"	"G30"	3.8119
"E2"	"R4"	"G31"	4.5181
"E2"	"R4"	"G32"	3.8857
"E2"	"R4"	"G33"	3.792
"E2"	"R4"	"G34"	4.7993
"E2"	"R4"	"G35"	5.1625
"E2"	"R4"	"G36"	4.9709
"E2"	"R4"	"G37"	3.0499
"E2"	"R4"	"G38"	4.0891
"E2"	"R4"	"G39"	3.6184
"E2"	"R4"	"G40"	4.4842
"E2"	"R4"	"G41"	4.5679
"E2"	"R4"	"G42"	4.1391
"E2"	"R4"	"G43"	4.4104
"E2"	"R4"	"G44"	4.0254
"E2"	"R4"	"G45"	4.3506
"E2"	"R4"	"G46"	4.7834
"E2"	"R4"	"G47"	3.6404
"E2"	"R4"	"G48"	5.2643
"E2"	"R4"	"G49"	4.6838
"E2"	"R4"	"G50"	3.6165
"E2"	"R4"	"G51"	4.3009
"E2"	"R4"	"G52"	4.0116
"E2"	"R4"	"G53"	4.4803
"E2"	"R4"	"G54"	3.77
"E2"	"R4"	"G55"	4.3288
"E2"	"R5"	"G01"	4.5281
"E2"	"R5"	"G02"	5.352
"E2"	"R5"	"G03"	4.6679
"E2"	"R5"	"G04"	4.3127
"E2"	"R5"	"G05"	2.8047
"E2"	"R5"	"G06"	5.2883
"E2"	"R5"	"G07"	5.4818
"E2"	"R5"	"G08"	4.195
"E2"	"R5"	"G09"	3.2195
"E2"	"R5"	"G10"	4.9749
"E2"	"R5"	"G11"	5.4538
"E2"	"R5"	"G12"	4.6758
"E2"	"R5"	"G13"	4.9712
"E2"	"R5"	"G14"	4.5341
"E2"	"R5"	"G15"	4.2311
"E2"	"R5"	"G16"	3.838
"E2"	"R5"	"G17"	4.4325
"E2"	"R5"	"G18"	4.4785
"E2"	"R5"	"G19"	4.5402
"E2"	"R5"	"G20"	4.8492
"E2"	"R5"	"G21"	4.3305
"E2"	"R5"	"G22"	3.8021
"E2"	"R5"	"G23"	5.7808
"E2"	"R5"	"G24"	4.5521
"E2"	"R5"	"G25"	4.7476
"E2"	"R5"	"G26"	4.2867
"E2"	"R5"	"G27"	5.0209
"E2"	"R5"	"G28"	4.8592
"E2"	"R5"	"G29"	3.9996
"E2"	"R5"	"G30"	5.1007
"E2"	"R5"	"G31"	4.4005
"E2"	"R5"	"G32"	5.1364
"E2"	"R5"	"G33"	5.1465
"E2"	"R5"	"G34"	6.7024
"E2"	"R5"	"G35"	5.1507
"E2"	"R5"	"G36"	5.1146
"E2"	"R5"	"G37"	4.5639
"E2"	"R5"	"G38"	3.796
"E2"	"R5"	"G39"	4.6439
"E2"	"R5"	"G40"	4.2868
"E2"	"R5"	"G41"	5.2262
"E2"	"R5"	"G42"	4.1353
"E2"	"R5"	"G43"	4.219
"E2"	"R5"	"G44"	3.8898
"E2"	"R5"	"G45"	4.6819
"E2"	"R5"	"G46"	5.4039
"E2"	"R5"	"G47"	4.9669
"E2"	"R5"	"G48"	4.61
"E2"	"R5"	"G49"	6.1458
"E2"	"R5"	"G50"	3.2635
"E2"	"R5"	"G51"	4.604
"E2"	"R5"	"G52"	4.7835
"E2"	"R5"	"G53"	4.8095
"E2"	"R5"	"G54"	5.017
"E2"	"R5"	"G55"	5.2022
"E2"	"R6"	"G01"	5.0308
"E2"	"R6"	"G02"	4.5801
"E2"	"R6"	"G03"	4.9153
"E2"	"R6"	"G04"	3.6863
"E2"	"R6"	"G05"	3.1537
"E2"	"R6"	"G06"	5.4397
"E2"	"R6"	"G07"	4.7376
"E2"	"R6"	"G08"	4.7256
"E2"	"R6"	"G09"	4.0814
"E2"	"R6"	"G10"	4.0097
"E2"	"R6"	"G11"	5.5973
"E2"	"R6"	"G12"	4.7914
"E2"	"R6"	"G13"	4.6219
"E2"	"R6"	"G14"	3.3132
"E2"	"R6"	"G15"	5.0349
"E2"	"R6"	"G16"	4.8412
"E2"	"R6"	"G17"	5.1145
"E2"	"R6"	"G18"	5.4517
"E2"	"R6"	"G19"	3.7103
"E2"	"R6"	"G20"	4.3069
"E2"	"R6"	"G21"	5.2662
"E2"	"R6"	"G22"	4.7017
"E2"	"R6"	"G23"	5.2704
"E2"	"R6"	"G24"	5.6691
"E2"	"R6"	"G25"	4.9531
"E2"	"R6"	"G26"	4.3326
"E2"	"R6"	"G27"	5.4097
"E2"	"R6"	"G28"	4.542
"E2"	"R6"	"G29"	3.5668
"E2"	"R6"	"G30"	3.8839
"E2"	"R6"	"G31"	4.947
"E2"	"R6"	"G32"	4.6778
"E2"	"R6"	"G33"	5.5414
"E2"	"R6"	"G34"	4.4981
"E2"	"R6"	"G35"	4.7556
"E2"	"R6"	"G36"	5.8028
"E2"	"R6"	"G37"	3.6704
"E2"	"R6"	"G38"	3.072
"E2"	"R6"	"G39"	3.6325
"E2"	"R6"	"G40"	4.0454
"E2"	"R6"	"G41"	4.927
"E2"	"R6"	"G42"	4.5302
"E2"	"R6"	"G43"	3.8619
"E2"	"R6"	"G44"	4.2368
"E2"	"R6"	"G45"	3.5587
"E2"	"R6"	"G46"	5.0766
"E2"	"R6"	"G47"	4.2987
"E2"	"R6"	"G48"	4.7038
"E2"	"R6"	"G49"	6.5667
"E2"	"R6"	"G50"	3.7461
"E2"	"R6"	"G51"	5.4496
"E2"	"R6"	"G52"	3.9318
"E2"	"R6"	"G53"	3.3872
"E2"	"R6"	"G54"	4.0912
"E2"	"R6"	"G55"	5.0448
"E3"	"R7"	"G01"	6.5
"E3"	"R7"	"G02"	5.6475
"E3"	"R7"	"G03"	4.8
"E3"	"R7"	"G04"	6.405
"E3"	"R7"	"G05"	5.5743
"E3"	"R7"	"G06"	6.5013
"E3"	"R7"	"G07"	5.3665
"E3"	"R7"	"G08"	5.3588
"E3"	"R7"	"G09"	5.2419
"E3"	"R7"	"G10"	6.0059
"E3"	"R7"	"G11"	5.1864
"E3"	"R7"	"G12"	5.0388
"E3"	"R7"	"G13"	4.3269
"E3"	"R7"	"G14"	5.2813
"E3"	"R7"	"G15"	4.7874
"E3"	"R7"	"G16"	4.4872
"E3"	"R7"	"G17"	6.5349
"E3"	"R7"	"G18"	4.5623
"E3"	"R7"	"G19"	3.8118
"E3"	"R7"	"G20"	5.4456
"E3"	"R7"	"G21"	5.7684
"E3"	"R7"	"G22"	4.722
"E3"	"R7"	"G23"	5.0522
"E3"	"R7"	"G24"	4.4236
"E3"	"R7"	"G25"	6.8717
"E3"	"R7"	"G26"	6.5635
"E3"	"R7"	"G27"	5.1116
"E3"	"R7"	"G28"	6.1
"E3"	"R7"	"G29"	4.1
"E3"	"R7"	"G30"	5.4322
"E3"	"R7"	"G31"	5.3591
"E3"	"R7"	"G32"	4.3266
"E3"	"R7"	"G33"	4.9466
"E3"	"R7"	"G34"	5.9855
"E3"	"R7"	"G35"	4.43
"E3"	"R7"	"G36"	6.2744
"E3"	"R7"	"G37"	5
"E3"	"R7"	"G38"	5.8
"E3"	"R7"	"G39"	6.0322
"E3"	"R7"	"G40"	3.6316
"E3"	"R7"	"G41"	4.7291
"E3"	"R7"	"G42"	5.2095
"E3"	"R7"	"G43"	5.15
"E3"	"R7"	"G44"	4.6828
"E3"	"R7"	"G45"	4.6
"E3"	"R7"	"G46"	5.7
"E3"	"R7"	"G47"	4.6
"E3"	"R7"	"G48"	6
"E3"	"R7"	"G49"	4.5315
"E3"	"R7"	"G50"	3.8
"E3"	"R7"	"G51"	4.15
"E3"	"R7"	"G52"	3.5457
"E3"	"R7"	"G53"	4.8
"E3"	"R7"	"G54"	5.1563
"E3"	"R7"	"G55"	4.7868
"E3"	"R8"	"G01"	6.4209
"E3"	"R8"	"G02"	5.3931
"E3"	"R8"	"G03"	5.4
"E3"	"R8"	"G04"	5.7153
"E3"	"R8"	"G05"	5.7292
"E3"	"R8"	"G06"	6.9863
"E3"	"R8"	"G07"	6.2481
"E3"	"R8"	"G08"	7.047
"E3"	"R8"	"G09"	6.4
"E3"	"R8"	"G10"	5.5594
"E3"	"R8"	"G11"	5.9
"E3"	"R8"	"G12"	5.1858
"E3"	"R8"	"G13"	3.1457
"E3"	"R8"	"G14"	5.0676
"E3"	"R8"	"G15"	5.2254
"E3"	"R8"	"G16"	5.6647
"E3"	"R8"	"G17"	5.5959
"E3"	"R8"	"G18"	4.8
"E3"	"R8"	"G19"	3.8355
"E3"	"R8"	"G20"	5.4788
"E3"	"R8"	"G21"	5.042
"E3"	"R8"	"G22"	5.2481
"E3"	"R8"	"G23"	5.5849
"E3"	"R8"	"G24"	5.3416
"E3"	"R8"	"G25"	5.0842
"E3"	"R8"	"G26"	4.0147
"E3"	"R8"	"G27"	5.7899
"E3"	"R8"	"G28"	5.5
"E3"	"R8"	"G29"	3.9
"E3"	"R8"	"G30"	4.4938
"E3"	"R8"	"G31"	5.9825
"E3"	"R8"	"G32"	5.9
"E3"	"R8"	"G33"	4.4313
"E3"	"R8"	"G34"	4.6
"E3"	"R8"	"G35"	4.4414
"E3"	"R8"	"G36"	5.1136
"E3"	"R8"	"G37"	4.3192
"E3"	"R8"	"G38"	5.3873
"E3"	"R8"	"G39"	5.9012
"E3"	"R8"	"G40"	3.3
"E3"	"R8"	"G41"	4.6255
"E3"	"R8"	"G42"	3.7354
"E3"	"R8"	"G43"	5.8671
"E3"	"R8"	"G44"	4.9
"E3"	"R8"	"G45"	5.4
"E3"	"R8"	"G46"	6.2731
"E3"	"R8"	"G47"	5.036
"E3"	"R8"	"G48"	5.2813
"E3"	"R8"	"G49"	5.2932
"E3"	"R8"	"G50"	4.048
"E3"	"R8"	"G51"	5.2
"E3"	"R8"	"G52"	5.1475
"E3"	"R8"	"G53"	4.3033
"E3"	"R8"	"G54"	5.8063
"E3"	"R8"	"G55"	5.6757
"E3"	"R9"	"G01"	7.5809
"E3"	"R9"	"G02"	5.6269
"E3"	"R9"	"G03"	6.1327
"E3"	"R9"	"G04"	5.3828
"E3"	"R9"	"G05"	4.3
"E3"	"R9"	"G06"	5.4452
"E3"	"R9"	"G07"	6.2212
"E3"	"R9"	"G08"	6.0897
"E3"	"R9"	"G09"	5.1128
"E3"	"R9"	"G10"	6.2791
"E3"	"R9"	"G11"	5.6681
"E3"	"R9"	"G12"	4.1314
"E3"	"R9"	"G13"	3.3958
"E3"	"R9"	"G14"	5.1
"E3"	"R9"	"G15"	5.7115
"E3"	"R9"	"G16"	4.4211
"E3"	"R9"	"G17"	4.7195
"E3"	"R9"	"G18"	4.4422
"E3"	"R9"	"G19"	3.5045
"E3"	"R9"	"G20"	3.6799
"E3"	"R9"	"G21"	6.3114
"E3"	"R9"	"G22"	4.3584
"E3"	"R9"	"G23"	4.6958
"E3"	"R9"	"G24"	6.7342
"E3"	"R9"	"G25"	5.263
"E3"	"R9"	"G26"	4.3829
"E3"	"R9"	"G27"	4.4734
"E3"	"R9"	"G28"	5.5874
"E3"	"R9"	"G29"	5.231
"E3"	"R9"	"G30"	5.4752
"E3"	"R9"	"G31"	5.7476
"E3"	"R9"	"G32"	4.775
"E3"	"R9"	"G33"	5.2521
"E3"	"R9"	"G34"	5.3954
"E3"	"R9"	"G35"	4.6191
"E3"	"R9"	"G36"	5.5849
"E3"	"R9"	"G37"	4.2
"E3"	"R9"	"G38"	4.0513
"E3"	"R9"	"G39"	5.4706
"E3"	"R9"	"G40"	3.8542
"E3"	"R9"	"G41"	4.844
"E3"	"R9"	"G42"	3.5494
"E3"	"R9"	"G43"	4.7564
"E3"	"R9"	"G44"	5.1546
"E3"	"R9"	"G45"	5.2184
"E3"	"R9"	"G46"	5.197
"E3"	"R9"	"G47"	6.701
"E3"	"R9"	"G48"	4.302
"E3"	"R9"	"G49"	4.9712
"E3"	"R9"	"G50"	4.3891
"E3"	"R9"	"G51"	5.5582
"E3"	"R9"	"G52"	5.5187
"E3"	"R9"	"G53"	4.5224
"E3"	"R9"	"G54"	5.1298
"E3"	"R9"	"G55"	4.898
"E4"	"R10"	"G01"	9.1174
"E4"	"R10"	"G02"	8.3246
"E4"	"R10"	"G03"	3.1713
"E4"	"R10"	"G04"	5.1533
"E4"	"R10"	"G05"	4.5647
"E4"	"R10"	"G06"	5.1533
"E4"	"R10"	"G07"	6.5407
"E4"	"R10"	"G08"	6.5407
"E4"	"R10"	"G09"	4.7569
"E4"	"R10"	"G10"	4.9551
"E4"	"R10"	"G11"	7.1353
"E4"	"R10"	"G12"	5.7479
"E4"	"R10"	"G13"	4.1623
"E4"	"R10"	"G14"	5.5657
"E4"	"R10"	"G15"	6.5507
"E4"	"R10"	"G16"	5.9741
"E4"	"R10"	"G17"	5.3775
"E4"	"R10"	"G18"	6.7449
"E4"	"R10"	"G19"	5.3515
"E4"	"R10"	"G20"	6.9431
"E4"	"R10"	"G21"	5.9581
"E4"	"R10"	"G22"	5.3515
"E4"	"R10"	"G23"	5.5537
"E4"	"R10"	"G24"	4.9551
"E4"	"R10"	"G25"	4.7569
"E4"	"R10"	"G26"	5.3495
"E4"	"R10"	"G27"	5.3655
"E4"	"R10"	"G28"	3.9641
"E4"	"R10"	"G29"	5.9541
"E4"	"R10"	"G30"	7.1353
"E4"	"R10"	"G31"	8.3246
"E4"	"R10"	"G32"	8.717
"E4"	"R10"	"G33"	4.9671
"E4"	"R10"	"G34"	4.7569
"E4"	"R10"	"G35"	6.9471
"E4"	"R10"	"G36"	5.5457
"E4"	"R10"	"G37"	4.7609
"E4"	"R10"	"G38"	4.9551
"E4"	"R10"	"G39"	7.9342
"E4"	"R10"	"G40"	4.3605
"E4"	"R10"	"G41"	7.5277
"E4"	"R10"	"G42"	7.1353
"E4"	"R10"	"G43"	5.3555
"E4"	"R10"	"G44"	5.5657
"E4"	"R10"	"G45"	6.1703
"E4"	"R10"	"G46"	7.1493
"E4"	"R10"	"G47"	6.3505
"E4"	"R10"	"G48"	5.3495
"E4"	"R10"	"G49"	6.7389
"E4"	"R10"	"G50"	5.9461
"E4"	"R10"	"G51"	6.7389
"E4"	"R10"	"G52"	6.3445
"E4"	"R10"	"G53"	4.3645
"E4"	"R10"	"G54"	5.9481
"E4"	"R10"	"G55"	6.3425
"E4"	"R11"	"G01"	7.3335
"E4"	"R11"	"G02"	6.1443
"E4"	"R11"	"G03"	4.3605
"E4"	"R11"	"G04"	6.5407
"E4"	"R11"	"G05"	3.5697
"E4"	"R11"	"G06"	8.721
"E4"	"R11"	"G07"	5.7479
"E4"	"R11"	"G08"	5.9621
"E4"	"R11"	"G09"	6.9371
"E4"	"R11"	"G10"	7.5317
"E4"	"R11"	"G11"	4.5587
"E4"	"R11"	"G12"	6.1443
"E4"	"R11"	"G13"	3.5697
"E4"	"R11"	"G14"	6.5287
"E4"	"R11"	"G15"	7.9301
"E4"	"R11"	"G16"	9.706
"E4"	"R11"	"G17"	7.7259
"E4"	"R11"	"G18"	6.5547
"E4"	"R11"	"G19"	4.5647
"E4"	"R11"	"G20"	6.7349
"E4"	"R11"	"G21"	5.9501
"E4"	"R11"	"G22"	8.3406
"E4"	"R11"	"G23"	7.7339
"E4"	"R11"	"G24"	4.7569
"E4"	"R11"	"G25"	6.7549
"E4"	"R11"	"G26"	6.3705
"E4"	"R11"	"G27"	5.1573
"E4"	"R11"	"G28"	6.3425
"E4"	"R11"	"G29"	3.7639
"E4"	"R11"	"G30"	8.721
"E4"	"R11"	"G31"	6.3425
"E4"	"R11"	"G32"	8.5328
"E4"	"R11"	"G33"	3.5737
"E4"	"R11"	"G34"	5.3595
"E4"	"R11"	"G35"	9.724
"E4"	"R11"	"G36"	7.7379
"E4"	"R11"	"G37"	3.1673
"E4"	"R11"	"G38"	4.3605
"E4"	"R11"	"G39"	5.3535
"E4"	"R11"	"G40"	6.1443
"E4"	"R11"	"G41"	9.1214
"E4"	"R11"	"G42"	5.3515
"E4"	"R11"	"G43"	7.5357
"E4"	"R11"	"G44"	5.5657
"E4"	"R11"	"G45"	4.3645
"E4"	"R11"	"G46"	6.7449
"E4"	"R11"	"G47"	4.9531
"E4"	"R11"	"G48"	5.5517
"E4"	"R11"	"G49"	5.9461
"E4"	"R11"	"G50"	4.1623
"E4"	"R11"	"G51"	8.1264
"E4"	"R11"	"G52"	8.1264
"E4"	"R11"	"G53"	3.1713
"E4"	"R11"	"G54"	7.1473
"E4"	"R11"	"G55"	6.5447
"E4"	"R12"	"G01"	7.5317
"E4"	"R12"	"G02"	6.1443
"E4"	"R12"	"G03"	6.3425
"E4"	"R12"	"G04"	4.1623
"E4"	"R12"	"G05"	5.3515
"E4"	"R12"	"G06"	9.5138
"E4"	"R12"	"G07"	7.5317
"E4"	"R12"	"G08"	6.9351
"E4"	"R12"	"G09"	4.7569
"E4"	"R12"	"G10"	6.1443
"E4"	"R12"	"G11"	8.721
"E4"	"R12"	"G12"	6.1443
"E4"	"R12"	"G13"	4.5567
"E4"	"R12"	"G14"	5.3495
"E4"	"R12"	"G15"	8.719
"E4"	"R12"	"G16"	4.1583
"E4"	"R12"	"G17"	9.704
"E4"	"R12"	"G18"	6.5387
"E4"	"R12"	"G19"	5.9461
"E4"	"R12"	"G20"	7.5297
"E4"	"R12"	"G21"	6.5387
"E4"	"R12"	"G22"	9.5338
"E4"	"R12"	"G23"	3.5637
"E4"	"R12"	"G24"	6.7389
"E4"	"R12"	"G25"	6.5467
"E4"	"R12"	"G26"	7.3315
"E4"	"R12"	"G27"	4.1703
"E4"	"R12"	"G28"	7.7299
"E4"	"R12"	"G29"	4.9571
"E4"	"R12"	"G30"	6.9371
"E4"	"R12"	"G31"	5.9461
"E4"	"R12"	"G32"	8.3246
"E4"	"R12"	"G33"	6.7329
"E4"	"R12"	"G34"	6.7469
"E4"	"R12"	"G35"	7.7439
"E4"	"R12"	"G36"	6.7449
"E4"	"R12"	"G37"	4.9791
"E4"	"R12"	"G38"	6.7389
"E4"	"R12"	"G39"	5.3475
"E4"	"R12"	"G40"	7.5317
"E4"	"R12"	"G41"	5.7499
"E4"	"R12"	"G42"	4.1623
"E4"	"R12"	"G43"	5.1593
"E4"	"R12"	"G44"	8.5288
"E4"	"R12"	"G45"	5.9461
"E4"	"R12"	"G46"	8.1244
"E4"	"R12"	"G47"	6.5407
"E4"	"R12"	"G48"	7.3395
"E4"	"R12"	"G49"	5.9461
"E4"	"R12"	"G50"	7.9282
"E4"	"R12"	"G51"	5.9461
"E4"	"R12"	"G52"	5.5757
"E4"	"R12"	"G53"	7.5357
"E4"	"R12"	"G54"	6.1523
"E4"	"R12"	"G55"	7.3355
"E5"	"R13"	"G01"	7.8224
"E5"	"R13"	"G02"	11.241
"E5"	"R13"	"G03"	8.2492
"E5"	"R13"	"G04"	9.2333
"E5"	"R13"	"G05"	7.0303
"E5"	"R13"	"G06"	9.6327
"E5"	"R13"	"G07"	9.2843
"E5"	"R13"	"G08"	7.2615
"E5"	"R13"	"G09"	9.508
"E5"	"R13"	"G10"	7.9406
"E5"	"R13"	"G11"	9.2147
"E5"	"R13"	"G12"	7.3146
"E5"	"R13"	"G13"	6.7289
"E5"	"R13"	"G14"	8.6467
"E5"	"R13"	"G15"	9.5692
"E5"	"R13"	"G16"	7.5954
"E5"	"R13"	"G17"	7.6414
"E5"	"R13"	"G18"	9.8222
"E5"	"R13"	"G19"	6.1021
"E5"	"R13"	"G20"	7.3007
"E5"	"R13"	"G21"	7.0046
"E5"	"R13"	"G22"	9.4516
"E5"	"R13"	"G23"	9.2318
"E5"	"R13"	"G24"	8.0208
"E5"	"R13"	"G25"	9.2731
"E5"	"R13"	"G26"	8.5465
"E5"	"R13"	"G27"	7.9716
"E5"	"R13"	"G28"	6.9229
"E5"	"R13"	"G29"	4.6198
"E5"	"R13"	"G30"	6.2688
"E5"	"R13"	"G31"	6.1813
"E5"	"R13"	"G32"	7.6244
"E5"	"R13"	"G33"	7.4912
"E5"	"R13"	"G34"	8.438
"E5"	"R13"	"G35"	7.5101
"E5"	"R13"	"G36"	8.8379
"E5"	"R13"	"G37"	7.7888
"E5"	"R13"	"G38"	7.0558
"E5"	"R13"	"G39"	8.6779
"E5"	"R13"	"G40"	4.8613
"E5"	"R13"	"G41"	7.2966
"E5"	"R13"	"G42"	8.1487
