"row"	"col"	"yield"	"year"	"crop"
28	1	48.9	1930	"chari"
29	1	48.4	1930	"chari"
30	1	46.5	1930	"chari"
31	1	47.9	1930	"chari"
32	1	52.8	1930	"chari"
33	1	59.4	1930	"chari"
34	1	59.4	1930	"chari"
35	1	59.7	1930	"chari"
36	1	55.6	1930	"chari"
37	1	61.6	1930	"chari"
38	1	54.2	1930	"chari"
39	1	49.2	1930	"chari"
1	2	52.8	1930	"chari"
2	2	59.9	1930	"chari"
3	2	52.8	1930	"chari"
4	2	51.7	1930	"chari"
5	2	58.3	1930	"chari"
6	2	58.3	1930	"chari"
7	2	62.7	1930	"chari"
8	2	64.4	1930	"chari"
9	2	56.7	1930	"chari"
10	2	58.6	1930	"chari"
11	2	59.9	1930	"chari"
12	2	53.1	1930	"chari"
13	2	46.5	1930	"chari"
14	2	64.6	1930	"chari"
15	2	55.3	1930	"chari"
16	2	59.7	1930	"chari"
17	2	60.5	1930	"chari"
18	2	55	1930	"chari"
19	2	53.1	1930	"chari"
20	2	50.1	1930	"chari"
21	2	54.2	1930	"chari"
22	2	57.2	1930	"chari"
23	2	46.2	1930	"chari"
24	2	54.2	1930	"chari"
25	2	54.5	1930	"chari"
26	2	59.1	1930	"chari"
27	2	56.4	1930	"chari"
28	2	48.1	1930	"chari"
29	2	45.4	1930	"chari"
30	2	52.3	1930	"chari"
31	2	51.4	1930	"chari"
32	2	59.1	1930	"chari"
33	2	60.5	1930	"chari"
34	2	56.4	1930	"chari"
35	2	56.4	1930	"chari"
36	2	53.6	1930	"chari"
37	2	59.1	1930	"chari"
38	2	64.6	1930	"chari"
39	2	61.9	1930	"chari"
1	3	48.1	1930	"chari"
2	3	61.6	1930	"chari"
3	3	63.3	1930	"chari"
4	3	61.9	1930	"chari"
5	3	63.5	1930	"chari"
6	3	67.8	1930	"chari"
7	3	65.6	1930	"chari"
8	3	56.4	1930	"chari"
9	3	55	1930	"chari"
10	3	51.4	1930	"chari"
11	3	49.5	1930	"chari"
12	3	45.9	1930	"chari"
13	3	49.5	1930	"chari"
14	3	70.9	1930	"chari"
15	3	62.7	1930	"chari"
16	3	61.6	1930	"chari"
17	3	60.8	1930	"chari"
18	3	59.1	1930	"chari"
19	3	57.2	1930	"chari"
20	3	60.5	1930	"chari"
21	3	64.6	1930	"chari"
22	3	58.3	1930	"chari"
23	3	68.2	1930	"chari"
24	3	65.2	1930	"chari"
25	3	65.7	1930	"chari"
26	3	62.2	1930	"chari"
27	3	59.1	1930	"chari"
28	3	61.9	1930	"chari"
29	3	52.3	1930	"chari"
30	3	67.4	1930	"chari"
31	3	56.4	1930	"chari"
32	3	71.5	1930	"chari"
33	3	67.4	1930	"chari"
34	3	66	1930	"chari"
35	3	64.6	1930	"chari"
36	3	68.8	1930	"chari"
37	3	68.8	1930	"chari"
38	3	74.3	1930	"chari"
39	3	70.1	1930	"chari"
1	4	58.9	1930	"chari"
2	4	61.6	1930	"chari"
3	4	57.8	1930	"chari"
4	4	56.1	1930	"chari"
5	4	53.9	1930	"chari"
6	4	50.6	1930	"chari"
7	4	51.7	1930	"chari"
8	4	50.1	1930	"chari"
9	4	50.9	1930	"chari"
10	4	51.7	1930	"chari"
11	4	54.5	1930	"chari"
12	4	48.7	1930	"chari"
13	4	46.2	1930	"chari"
14	4	59.7	1930	"chari"
15	4	56.7	1930	"chari"
16	4	57.2	1930	"chari"
17	4	58	1930	"chari"
18	4	65.2	1930	"chari"
19	4	66.8	1930	"chari"
20	4	67.1	1930	"chari"
21	4	67.1	1930	"chari"
22	4	64.6	1930	"chari"
23	4	63.3	1930	"chari"
24	4	60.5	1930	"chari"
25	4	64.1	1930	"chari"
26	4	63.5	1930	"chari"
27	4	56.4	1930	"chari"
28	4	77	1930	"chari"
29	4	70.1	1930	"chari"
30	4	74.3	1930	"chari"
31	4	74.3	1930	"chari"
32	4	68.8	1930	"chari"
33	4	74.3	1930	"chari"
34	4	75.6	1930	"chari"
35	4	67.4	1930	"chari"
36	4	67.4	1930	"chari"
37	4	71.6	1930	"chari"
38	4	67.4	1930	"chari"
39	4	70.1	1930	"chari"
1	5	57.2	1930	"chari"
2	5	55	1930	"chari"
3	5	57.2	1930	"chari"
4	5	57.5	1930	"chari"
5	5	55.3	1930	"chari"
6	5	66.6	1930	"chari"
7	5	57.8	1930	"chari"
8	5	54.2	1930	"chari"
9	5	57.5	1930	"chari"
10	5	56.1	1930	"chari"
11	5	57.2	1930	"chari"
12	5	54.2	1930	"chari"
13	5	63.5	1930	"chari"
14	5	55	1930	"chari"
15	5	56.1	1930	"chari"
16	5	55	1930	"chari"
17	5	60.2	1930	"chari"
18	5	66	1930	"chari"
19	5	63.3	1930	"chari"
20	5	67.4	1930	"chari"
21	5	68.8	1930	"chari"
22	5	61.9	1930	"chari"
23	5	66	1930	"chari"
24	5	73.4	1930	"chari"
25	5	64.4	1930	"chari"
26	5	60.8	1930	"chari"
27	5	63.3	1930	"chari"
28	5	63.3	1930	"chari"
29	5	68.8	1930	"chari"
30	5	64.6	1930	"chari"
31	5	60.5	1930	"chari"
32	5	70.1	1930	"chari"
33	5	56.9	1930	"chari"
34	5	56.4	1930	"chari"
35	5	58.3	1930	"chari"
36	5	58.9	1930	"chari"
37	5	56.4	1930	"chari"
38	5	55	1930	"chari"
39	5	66.4	1930	"chari"
1	1	17.1	1931	"wheat"
2	1	18.4	1931	"wheat"
3	1	17.9	1931	"wheat"
4	1	19.3	1931	"wheat"
5	1	20.9	1931	"wheat"
6	1	20.6	1931	"wheat"
7	1	21.5	1931	"wheat"
8	1	24.5	1931	"wheat"
9	1	28.1	1931	"wheat"
10	1	30.5	1931	"wheat"
11	1	26.1	1931	"wheat"
12	1	26.7	1931	"wheat"
13	1	27.5	1931	"wheat"
14	1	20.9	1931	"wheat"
15	1	15.1	1931	"wheat"
16	1	12.9	1931	"wheat"
17	1	20.6	1931	"wheat"
18	1	18.7	1931	"wheat"
19	1	16.8	1931	"wheat"
20	1	19	1931	"wheat"
21	1	18.4	1931	"wheat"
22	1	17.3	1931	"wheat"
23	1	19.3	1931	"wheat"
24	1	16.5	1931	"wheat"
25	1	19.3	1931	"wheat"
26	1	17.3	1931	"wheat"
27	1	15.4	1931	"wheat"
28	1	12.1	1931	"wheat"
29	1	14.6	1931	"wheat"
30	1	12.4	1931	"wheat"
31	1	13.5	1931	"wheat"
32	1	13.2	1931	"wheat"
33	1	15.4	1931	"wheat"
34	1	13.8	1931	"wheat"
35	1	15.7	1931	"wheat"
36	1	16	1931	"wheat"
37	1	17.9	1931	"wheat"
38	1	17.9	1931	"wheat"
39	1	15.7	1931	"wheat"
1	2	15.4	1931	"wheat"
2	2	15.4	1931	"wheat"
3	2	16.8	1931	"wheat"
4	2	16.2	1931	"wheat"
5	2	19.3	1931	"wheat"
6	2	22	1931	"wheat"
7	2	21.5	1931	"wheat"
8	2	21.5	1931	"wheat"
9	2	18.7	1931	"wheat"
10	2	18.4	1931	"wheat"
11	2	19.3	1931	"wheat"
12	2	18.2	1931	"wheat"
13	2	19.5	1931	"wheat"
14	2	17.9	1931	"wheat"
15	2	18.2	1931	"wheat"
16	2	22.6	1931	"wheat"
17	2	22.6	1931	"wheat"
18	2	20.6	1931	"wheat"
19	2	22.8	1931	"wheat"
20	2	19.3	1931	"wheat"
21	2	19.5	1931	"wheat"
22	2	17.9	1931	"wheat"
23	2	19.8	1931	"wheat"
24	2	16.5	1931	"wheat"
25	2	17.3	1931	"wheat"
26	2	17.3	1931	"wheat"
27	2	13.8	1931	"wheat"
28	2	17.3	1931	"wheat"
29	2	17.3	1931	"wheat"
30	2	14.3	1931	"wheat"
31	2	15.1	1931	"wheat"
32	2	16.2	1931	"wheat"
33	2	16.2	1931	"wheat"
34	2	14.3	1931	"wheat"
35	2	15.1	1931	"wheat"
36	2	13.8	1931	"wheat"
37	2	15.4	1931	"wheat"
38	2	16.2	1931	"wheat"
39	2	16	1931	"wheat"
1	3	22.9	1931	"wheat"
2	3	21.2	1931	"wheat"
3	3	22.9	1931	"wheat"
4	3	22.5	1931	"wheat"
5	3	18.9	1931	"wheat"
6	3	17.6	1931	"wheat"
7	3	18.4	1931	"wheat"
8	3	16.8	1931	"wheat"
9	3	17.3	1931	"wheat"
10	3	18.4	1931	"wheat"
11	3	16.2	1931	"wheat"
12	3	17.1	1931	"wheat"
13	3	14.6	1931	"wheat"
14	3	26.4	1931	"wheat"
15	3	22	1931	"wheat"
16	3	19.8	1931	"wheat"
17	3	19.8	1931	"wheat"
18	3	17.7	1931	"wheat"
19	3	24.2	1931	"wheat"
20	3	21.5	1931	"wheat"
21	3	22.6	1931	"wheat"
22	3	24.2	1931	"wheat"
23	3	23.4	1931	"wheat"
24	3	20.4	1931	"wheat"
25	3	19.5	1931	"wheat"
26	3	20.1	1931	"wheat"
27	3	17.9	1931	"wheat"
28	3	17.9	1931	"wheat"
29	3	19.3	1931	"wheat"
30	3	18.7	1931	"wheat"
31	3	18.4	1931	"wheat"
32	3	22	1931	"wheat"
33	3	22	1931	"wheat"
34	3	24.8	1931	"wheat"
35	3	20.9	1931	"wheat"
36	3	25.6	1931	"wheat"
37	3	20.6	1931	"wheat"
38	3	20.9	1931	"wheat"
39	3	22.6	1931	"wheat"
1	4	26.4	1931	"wheat"
2	4	24.2	1931	"wheat"
3	4	23.1	1931	"wheat"
4	4	22	1931	"wheat"
5	4	22	1931	"wheat"
6	4	21.5	1931	"wheat"
7	4	22	1931	"wheat"
8	4	23.1	1931	"wheat"
9	4	24.2	1931	"wheat"
10	4	22	1931	"wheat"
11	4	22	1931	"wheat"
12	4	23.4	1931	"wheat"
13	4	22	1931	"wheat"
14	4	26.1	1931	"wheat"
15	4	27.5	1931	"wheat"
16	4	26.7	1931	"wheat"
17	4	27.8	1931	"wheat"
18	4	25.3	1931	"wheat"
19	4	25.6	1931	"wheat"
20	4	25.6	1931	"wheat"
21	4	25	1931	"wheat"
22	4	25.3	1931	"wheat"
23	4	25.9	1931	"wheat"
24	4	25.3	1931	"wheat"
25	4	25.6	1931	"wheat"
26	4	25	1931	"wheat"
27	4	21.5	1931	"wheat"
28	4	27.5	1931	"wheat"
29	4	27.5	1931	"wheat"
30	4	28.9	1931	"wheat"
31	4	28.1	1931	"wheat"
32	4	27.5	1931	"wheat"
33	4	31.6	1931	"wheat"
34	4	27.5	1931	"wheat"
35	4	30.3	1931	"wheat"
36	4	28.9	1931	"wheat"
37	4	27.5	1931	"wheat"
38	4	29.2	1931	"wheat"
39	4	22.8	1931	"wheat"
1	5	24.2	1931	"wheat"
2	5	28.9	1931	"wheat"
3	5	33	1931	"wheat"
4	5	27.2	1931	"wheat"
5	5	34.4	1931	"wheat"
6	5	30.3	1931	"wheat"
7	5	32.2	1931	"wheat"
8	5	32.2	1931	"wheat"
9	5	31.6	1931	"wheat"
10	5	35.5	1931	"wheat"
11	5	32.5	1931	"wheat"
12	5	34.7	1931	"wheat"
13	5	42.7	1931	"wheat"
14	5	30	1931	"wheat"
15	5	29.7	1931	"wheat"
16	5	27.2	1931	"wheat"
17	5	30	1931	"wheat"
18	5	28.3	1931	"wheat"
19	5	32.5	1931	"wheat"
20	5	34.7	1931	"wheat"
21	5	38.5	1931	"wheat"
22	5	38.5	1931	"wheat"
23	5	38.8	1931	"wheat"
24	5	41.3	1931	"wheat"
25	5	38.2	1931	"wheat"
26	5	41.5	1931	"wheat"
27	5	25.6	1931	"wheat"
28	5	28.3	1931	"wheat"
29	5	27.5	1931	"wheat"
30	5	27.5	1931	"wheat"
31	5	25.9	1931	"wheat"
32	5	27.3	1931	"wheat"
33	5	25.3	1931	"wheat"
34	5	28.3	1931	"wheat"
35	5	31.4	1931	"wheat"
36	5	30.8	1931	"wheat"
37	5	31.4	1931	"wheat"
38	5	31.9	1931	"wheat"
39	5	23.3	1931	"wheat"
1	1	8.3	1932	"wheat"
2	1	8.5	1932	"wheat"
3	1	7.2	1932	"wheat"
4	1	6.6	1932	"wheat"
5	1	7.4	1932	"wheat"
6	1	8.5	1932	"wheat"
7	1	9.9	1932	"wheat"
8	1	8.3	1932	"wheat"
9	1	9.1	1932	"wheat"
10	1	10.5	1932	"wheat"
11	1	11.3	1932	"wheat"
12	1	14	1932	"wheat"
13	1	14	1932	"wheat"
14	1	13.8	1932	"wheat"
15	1	14.6	1932	"wheat"
16	1	6.9	1932	"wheat"
17	1	14	1932	"wheat"
18	1	16.8	1932	"wheat"
19	1	9.9	1932	"wheat"
20	1	17.1	1932	"wheat"
21	1	16	1932	"wheat"
22	1	11.6	1932	"wheat"
23	1	11.8	1932	"wheat"
24	1	12.4	1932	"wheat"
25	1	11.3	1932	"wheat"
26	1	13.5	1932	"wheat"
27	1	8.3	1932	"wheat"
28	1	14.3	1932	"wheat"
29	1	13.2	1932	"wheat"
30	1	14.9	1932	"wheat"
31	1	13.2	1932	"wheat"
32	1	12.4	1932	"wheat"
33	1	17.3	1932	"wheat"
34	1	20.9	1932	"wheat"
35	1	19	1932	"wheat"
36	1	20.1	1932	"wheat"
37	1	19	1932	"wheat"
38	1	19.3	1932	"wheat"
39	1	21.7	1932	"wheat"
1	2	8.8	1932	"wheat"
2	2	11.3	1932	"wheat"
3	2	11.6	1932	"wheat"
4	2	6.3	1932	"wheat"
5	2	10.5	1932	"wheat"
6	2	9.1	1932	"wheat"
7	2	9.1	1932	"wheat"
8	2	10.5	1932	"wheat"
9	2	6.6	1932	"wheat"
10	2	8.8	1932	"wheat"
11	2	7.4	1932	"wheat"
12	2	11.3	1932	"wheat"
13	2	10.7	1932	"wheat"
14	2	12.7	1932	"wheat"
15	2	20.4	1932	"wheat"
16	2	13.5	1932	"wheat"
17	2	18.7	1932	"wheat"
18	2	15.4	1932	"wheat"
19	2	14.9	1932	"wheat"
20	2	14.6	1932	"wheat"
21	2	12.9	1932	"wheat"
22	2	10.7	1932	"wheat"
23	2	12.7	1932	"wheat"
24	2	6.3	1932	"wheat"
25	2	9.6	1932	"wheat"
26	2	10.2	1932	"wheat"
27	2	8.8	1932	"wheat"
28	2	6.9	1932	"wheat"
29	2	17.3	1932	"wheat"
30	2	14.3	1932	"wheat"
31	2	16.8	1932	"wheat"
32	2	22.6	1932	"wheat"
33	2	23.1	1932	"wheat"
34	2	21.2	1932	"wheat"
35	2	15.4	1932	"wheat"
36	2	18.7	1932	"wheat"
37	2	16	1932	"wheat"
38	2	18.2	1932	"wheat"
39	2	17.9	1932	"wheat"
1	3	8.8	1932	"wheat"
2	3	11	1932	"wheat"
3	3	12.1	1932	"wheat"
4	3	7.7	1932	"wheat"
5	3	9.4	1932	"wheat"
6	3	11.6	1932	"wheat"
7	3	14.3	1932	"wheat"
8	3	15.8	1932	"wheat"
9	3	9.4	1932	"wheat"
10	3	15.1	1932	"wheat"
11	3	9.1	1932	"wheat"
12	3	16	1932	"wheat"
13	3	22.3	1932	"wheat"
14	3	21.5	1932	"wheat"
15	3	21.5	1932	"wheat"
16	3	10.5	1932	"wheat"
17	3	14.6	1932	"wheat"
18	3	16.5	1932	"wheat"
19	3	19.8	1932	"wheat"
20	3	17.9	1932	"wheat"
21	3	15.4	1932	"wheat"
22	3	15.4	1932	"wheat"
23	3	17.3	1932	"wheat"
24	3	13.5	1932	"wheat"
25	3	17.6	1932	"wheat"
26	3	17.3	1932	"wheat"
27	3	16	1932	"wheat"
28	3	19.3	1932	"wheat"
29	3	23.7	1932	"wheat"
30	3	18.2	1932	"wheat"
31	3	19.8	1932	"wheat"
32	3	20.4	1932	"wheat"
33	3	15.1	1932	"wheat"
34	3	12.4	1932	"wheat"
35	3	8.5	1932	"wheat"
36	3	14	1932	"wheat"
37	3	9.4	1932	"wheat"
38	3	9.4	1932	"wheat"
39	3	9.6	1932	"wheat"
1	4	6.3	1932	"wheat"
2	4	10.2	1932	"wheat"
3	4	13.2	1932	"wheat"
4	4	10.5	1932	"wheat"
5	4	9.9	1932	"wheat"
6	4	7.4	1932	"wheat"
7	4	18.2	1932	"wheat"
8	4	17.9	1932	"wheat"
9	4	15.1	1932	"wheat"
10	4	13.8	1932	"wheat"
11	4	12.1	1932	"wheat"
12	4	13.2	1932	"wheat"
13	4	11.3	1932	"wheat"
14	4	15.1	1932	"wheat"
15	4	16.5	1932	"wheat"
16	4	16.8	1932	"wheat"
17	4	17.6	1932	"wheat"
18	4	14.6	1932	"wheat"
19	4	8.8	1932	"wheat"
20	4	8.5	1932	"wheat"
21	4	6.3	1932	"wheat"
22	4	8.3	1932	"wheat"
23	4	11.6	1932	"wheat"
24	4	10.5	1932	"wheat"
25	4	12.4	1932	"wheat"
26	4	9.1	1932	"wheat"
27	4	11.3	1932	"wheat"
28	4	12.9	1932	"wheat"
29	4	15.1	1932	"wheat"
30	4	13.2	1932	"wheat"
31	4	12.7	1932	"wheat"
32	4	18.2	1932	"wheat"
33	4	13.8	1932	"wheat"
34	4	17.1	1932	"wheat"
35	4	14	1932	"wheat"
36	4	14	1932	"wheat"
37	4	13.8	1932	"wheat"
38	4	12.7	1932	"wheat"
39	4	15.1	1932	"wheat"
1	5	13.2	1932	"wheat"
2	5	11.3	1932	"wheat"
3	5	12.9	1932	"wheat"
4	5	11	1932	"wheat"
5	5	13.8	1932	"wheat"
6	5	13.8	1932	"wheat"
7	5	15.4	1932	"wheat"
8	5	16	1932	"wheat"
9	5	16.5	1932	"wheat"
10	5	20.1	1932	"wheat"
11	5	18.2	1932	"wheat"
12	5	25.3	1932	"wheat"
13	5	17.9	1932	"wheat"
14	5	13.8	1932	"wheat"
15	5	16.8	1932	"wheat"
16	5	14.3	1932	"wheat"
17	5	16.8	1932	"wheat"
18	5	18.2	1932	"wheat"
19	5	19.3	1932	"wheat"
20	5	20.1	1932	"wheat"
21	5	17.3	1932	"wheat"
22	5	15.4	1932	"wheat"
23	5	19.8	1932	"wheat"
24	5	16.8	1932	"wheat"
25	5	14	1932	"wheat"
26	5	14.9	1932	"wheat"
27	5	13.5	1932	"wheat"
28	5	14	1932	"wheat"
29	5	13.8	1932	"wheat"
30	5	14.6	1932	"wheat"
31	5	18.2	1932	"wheat"
32	5	17.3	1932	"wheat"
33	5	17.1	1932	"wheat"
34	5	17.6	1932	"wheat"
35	5	15.7	1932	"wheat"
36	5	17.6	1932	"wheat"
37	5	18.4	1932	"wheat"
38	5	18.7	1932	"wheat"
39	5	32.7	1932	"wheat"
