row	bed	rep	gen	yield
1	4	R1	G137	5.23
5	22	R1	G138	6.03
7	34	R1	G139	5.43
8	5	R1	G140	4.49
1	29	R1	G141	6.2
6	10	R1	G142	5.93
2	32	R1	G143	6.61
3	1	R1	G144	5.51
4	30	R1	G145	5.23
7	16	R1	G146	5.03
8	30	R1	G147	5.07
5	33	R1	G148	5.57
4	28	R1	G149	5.23
3	34	R1	G150	5.13
2	7	R1	G151	5.49
7	23	R1	G152	5.33
4	16	R1	G153	5.62
6	34	R1	G154	4.8
7	24	R1	G155	5
7	25	R1	G156	5.12
3	31	R1	G157	5.61
7	7	R1	G158	4.49
6	1	R1	G159	4.68
3	9	R1	G160	5.93
4	19	R1	G161	6.01
6	14	R1	G162	5.77
7	32	R1	G163	4.64
7	6	R1	G164	4.14
8	18	R1	G165	5.51
3	10	R1	G166	5.64
6	11	R1	G167	5.71
4	2	R1	G168	5.87
1	26	R1	G169	5.72
1	12	R1	G170	5.99
4	6	R1	G171	5.97
8	24	R1	G172	5.77
3	33	R1	G173	5.68
6	3	R1	G174	4.55
3	8	R1	G175	5.62
1	33	R1	G176	6.22
1	17	R1	G177	6.28
2	26	R1	G178	6.36
4	17	R1	G179	5.84
5	34	R1	G180	5.57
1	16	R1	G181	6.2
1	20	R1	G182	5.54
2	20	R1	G183	6.03
2	8	R1	G184	6.16
1	22	R1	G185	6.17
6	7	R1	G186	5.55
5	17	R1	G187	5.62
8	23	R1	G188	5.65
5	7	R1	G189	5.64
5	1	R1	G190	5.38
2	5	R1	G191	5.8
1	3	R1	G192	6.07
5	26	R1	G193	5.8
2	2	R1	G194	5.81
4	21	R1	G195	5.84
4	33	R1	G196	5.99
3	21	R1	G197	6.03
1	1	R1	G198	5.83
3	11	R1	G199	6.06
6	19	R1	G200	5.93
1	2	R1	G201	5.78
5	24	R1	G202	5.43
1	28	R1	G203	6.19
8	2	R1	G204	5.25
3	28	R1	G205	5.81
3	13	R1	G206	5.88
2	24	R1	G207	5.96
8	16	R1	G208	5.09
7	28	R1	G209	5.41
3	26	R1	G210	5.74
3	29	R1	G211	5.3
4	20	R1	G212	6.13
2	21	R1	G213	6.36
2	31	R1	G214	6.75
8	17	R1	G215	5.3
3	25	R1	G216	6.19
7	11	R1	G217	5.87
5	29	R1	G218	5.77
1	30	R1	G219	6.48
4	12	R1	G220	5.75
4	27	R1	G221	5.46
7	33	R1	G222	5.84
1	9	R1	G223	5.8
1	19	R1	G224	6
2	33	R1	G225	6.49
6	26	R1	G226	5.54
6	24	R1	G227	4.68
4	23	R1	G228	5.81
6	15	R1	G229	5.77
2	34	R1	G230	6.3
4	7	R1	G231	5.36
5	4	R1	G232	4.88
6	21	R1	G233	5.67
1	15	R1	G234	5.74
3	14	R1	G235	6.28
8	1	R1	G236	4.93
4	13	R1	G237	5.8
6	8	R1	G238	5.17
2	29	R1	G239	5.75
3	6	R1	G240	4.67
8	22	R1	G241	5.58
5	12	R1	G242	5.39
6	9	R1	G243	5.17
2	12	R1	G244	6.1
4	29	R1	G245	5.65
3	16	R1	G246	5.33
4	34	R1	G247	5.97
4	11	R1	G248	5.59
2	28	R1	G249	6.07
1	11	R1	G250	5.71
2	18	R1	G251	5.81
2	3	R1	G252	5.12
8	15	R1	G253	5.45
7	15	R1	G254	4.77
7	20	R1	G255	5.86
3	17	R1	G256	5.83
3	12	R1	G257	5.86
5	32	R1	G258	4.97
2	9	R1	G259	6.19
7	19	R1	G260	5.36
1	21	R1	G261	6.04
5	13	R1	G262	5.33
2	30	R1	G263	5.57
8	31	R1	G264	5.06
6	12	R1	G265	5.72
2	27	R1	G266	5.91
1	10	R1	G267	5.87
3	32	R1	G268	6.25
8	25	R1	G269	5.51
5	3	R1	G270	5.35
5	16	R1	G271	6.13
6	33	R1	G272	5.46
15	31	R2	G001	4.87
10	17	R2	G002	5.61
13	12	R2	G003	5.83
11	21	R2	G004	5.77
13	19	R2	G005	5.83
11	14	R2	G006	6.22
9	15	R2	G007	5.96
10	12	R2	G008	5.2
14	29	R2	G009	5.99
11	20	R2	G010	4.93
15	25	R2	G011	5.83
15	14	R2	G012	6
16	16	R2	G013	5.65
9	12	R2	G014	4.68
11	4	R2	G015	4.86
13	30	R2	G016	4.59
9	29	R2	G017	4.23
11	5	R2	G018	4.97
12	27	R2	G019	5.93
15	20	R2	G020	5.51
11	29	R2	G021	4.78
16	12	R2	G022	5.84
15	29	R2	G023	5.49
9	1	R2	G024	4.72
9	9	R2	G025	5.19
12	10	R2	G026	5
15	2	R2	G027	5.29
10	32	R2	G028	4.87
9	27	R2	G029	5.12
9	4	R2	G030	5.43
16	34	R2	G031	5.2
15	23	R2	G032	4.93
9	8	R2	G033	4.68
15	3	R2	G034	5.51
12	33	R2	G035	4.8
14	25	R2	G036	5.23
11	2	R2	G037	4.93
11	6	R2	G038	4.72
10	18	R2	G039	5.96
12	5	R2	G040	4.81
10	7	R2	G041	4.51
16	26	R2	G042	4.71
13	26	R2	G043	5.33
11	24	R2	G044	4.99
16	22	R2	G045	4.75
14	7	R2	G046	5.32
9	7	R2	G047	4.74
9	34	R2	G048	5.58
14	31	R2	G049	4.9
11	28	R2	G050	5.87
13	5	R2	G051	4.94
11	34	R2	G052	5.75
16	8	R2	G053	5.68
11	7	R2	G054	4.36
14	30	R2	G055	4.43
10	13	R2	G056	5.65
12	28	R2	G057	5.41
9	17	R2	G058	5.25
10	28	R2	G059	5.49
16	11	R2	G060	5.58
14	26	R2	G061	4.91
12	18	R2	G062	5.87
12	11	R2	G063	5.01
10	16	R2	G064	5.94
16	4	R2	G065	6.13
15	21	R2	G066	5.49
15	19	R2	G067	5.83
9	11	R2	G068	5.25
13	23	R2	G069	5.19
12	1	R2	G070	4.81
9	19	R2	G071	5.74
13	24	R2	G072	5.77
12	34	R2	G073	6.16
9	28	R2	G074	5.36
12	13	R2	G075	5.35
13	10	R2	G076	6.17
16	33	R2	G077	5.23
14	9	R2	G078	5.09
14	3	R2	G079	5.07
9	5	R2	G080	5.06
12	31	R2	G081	5.88
12	21	R2	G082	5.39
11	30	R2	G083	5.26
12	4	R2	G084	5.51
14	34	R2	G085	5.59
12	26	R2	G086	5.68
15	26	R2	G087	5.7
16	25	R2	G088	5.8
16	30	R2	G089	4.87
14	12	R2	G090	5.91
9	2	R2	G091	5.1
11	9	R2	G092	5.17
12	16	R2	G093	5.43
15	6	R2	G094	4.94
13	34	R2	G095	5.87
15	5	R2	G096	5.07
13	1	R2	G097	5.58
16	17	R2	G098	5.91
10	11	R2	G099	5.54
16	7	R2	G100	6.17
9	31	R2	G101	5.7
12	29	R2	G102	5.58
9	33	R2	G103	5.72
16	29	R2	G104	5.78
16	9	R2	G105	6.1
12	23	R2	G106	5.55
16	32	R2	G107	5.48
15	18	R2	G108	6.17
9	13	R2	G109	5.52
13	33	R2	G110	5.71
16	28	R2	G111	5.91
14	19	R2	G112	5.91
13	22	R2	G113	6.09
11	8	R2	G114	5.43
15	11	R2	G115	5.77
15	13	R2	G116	6.09
14	23	R2	G117	5.52
16	10	R2	G118	5.38
11	22	R2	G119	5.46
10	29	R2	G120	4.86
9	18	R2	G121	5.59
10	22	R2	G122	5.45
15	7	R2	G123	5.71
11	23	R2	G124	4.9
10	30	R2	G125	4.8
15	30	R2	G126	5.01
11	1	R2	G127	5.48
12	22	R2	G128	5.38
15	4	R2	G129	5.19
15	10	R2	G130	5.58
9	21	R2	G131	5.62
13	16	R2	G132	6.35
10	6	R2	G133	5.97
10	19	R2	G134	5.88
16	23	R2	G135	5.03
13	7	R2	G136	5.57
16	20	R2	G137	5.41
15	15	R2	G138	6.17
14	2	R2	G139	5.35
12	9	R2	G140	5.03
13	3	R2	G141	5.35
15	22	R2	G142	5.33
13	32	R2	G143	5.48
14	24	R2	G144	5.22
11	11	R2	G145	5.07
13	28	R2	G146	4.97
12	15	R2	G147	5.39
15	24	R2	G148	4.97
9	22	R2	G149	4.81
16	13	R2	G150	5.77
12	25	R2	G151	5.3
15	16	R2	G152	6.1
9	16	R2	G153	5.45
13	6	R2	G154	4.83
10	23	R2	G155	5.42
14	18	R2	G156	5.93
11	32	R2	G157	5.41
16	27	R2	G158	4.58
9	20	R2	G159	5.7
11	18	R2	G160	5.8
14	13	R2	G161	5.48
14	10	R2	G162	4.8
12	6	R2	G163	4.64
16	2	R2	G164	5.04
14	32	R2	G165	5.3
14	20	R2	G166	5.54
14	1	R2	G167	5.25
10	3	R2	G168	5.2
11	17	R2	G169	5.64
15	28	R2	G170	5.74
12	24	R2	G171	5.78
14	11	R2	G172	5.39
12	8	R2	G173	4.41
9	30	R2	G174	4.74
12	3	R2	G175	5.2
12	12	R2	G176	5.26
14	22	R2	G177	5.55
14	14	R2	G178	6.41
9	24	R2	G179	5.22
16	3	R2	G180	4.88
14	8	R2	G181	5.22
10	9	R2	G182	5.19
9	26	R2	G183	5.41
10	20	R2	G184	6.25
11	13	R2	G185	5.68
12	14	R2	G186	5.77
11	12	R2	G187	5.55
10	2	R2	G188	5.12
14	16	R2	G189	6.23
15	34	R2	G190	5.97
9	3	R2	G191	5.45
16	24	R2	G192	5.81
14	6	R2	G193	5.55
10	8	R2	G194	5.68
9	6	R2	G195	5.54
11	10	R2	G196	5.59
9	14	R2	G197	5.7
16	19	R2	G198	5.71
16	21	R2	G199	5.8
16	14	R2	G200	5.83
15	9	R2	G201	5.42
11	31	R2	G202	5.71
14	27	R2	G203	5.41
13	14	R2	G204	5.67
16	31	R2	G205	4.87
13	25	R2	G206	5.61
12	30	R2	G207	4.84
12	19	R2	G208	4.99
14	4	R2	G209	5.33
14	28	R2	G210	6.14
11	33	R2	G211	4.99
10	24	R2	G212	6.3
11	25	R2	G213	5.43
13	13	R2	G214	6.09
13	20	R2	G215	6.09
13	2	R2	G216	5.91
14	15	R2	G217	6.29
14	17	R2	G218	6.25
9	10	R2	G219	5.61
13	18	R2	G220	6.48
10	31	R2	G221	5.3
11	27	R2	G222	5.94
13	17	R2	G223	6.32
12	2	R2	G224	5.25
16	6	R2	G225	5.58
15	1	R2	G226	5.41
16	1	R2	G227	5.46
15	33	R2	G228	5.81
10	1	R2	G229	5.14
10	21	R2	G230	5.84
11	15	R2	G231	5.97
15	8	R2	G232	5.71
12	20	R2	G233	6.01
14	5	R2	G234	5.13
10	15	R2	G235	5.93
16	18	R2	G236	6.07
15	17	R2	G237	6.1
11	26	R2	G238	4.75
9	25	R2	G239	5.74
16	15	R2	G240	5.57
13	27	R2	G241	5.41
9	23	R2	G242	5.38
11	19	R2	G243	6.14
16	5	R2	G244	5.29
9	32	R2	G245	5.09
10	25	R2	G246	5.48
15	27	R2	G247	5.39
10	34	R2	G248	5.46
15	32	R2	G249	5.38
12	17	R2	G250	5.68
13	15	R2	G251	5.64
10	5	R2	G252	5.06
13	11	R2	G253	5.55
10	14	R2	G254	5.1
10	33	R2	G255	5.41
12	7	R2	G256	4.88
12	32	R2	G257	5.36
10	10	R2	G258	5.29
10	4	R2	G259	5.19
15	12	R2	G260	5.23
13	31	R2	G261	4.84
10	27	R2	G262	5.26
14	21	R2	G263	5.68
13	8	R2	G264	5.2
14	33	R2	G265	5.55
13	9	R2	G266	5.1
11	3	R2	G267	5.22
10	26	R2	G268	5.83
11	16	R2	G269	6.25
13	4	R2	G270	5.35
13	21	R2	G271	6.1
13	29	R2	G272	5.3
