row	col	y	block	trt	spray	lead
41	4	3	B9	T1	N	N
42	4	1	B9	T1	N	N
43	4	0	B9	T1	N	N
44	4	0	B9	T1	N	N
45	4	1	B9	T1	N	N
46	4	2	B10	T1	N	N
47	4	4	B10	T1	N	N
48	4	1	B10	T1	N	N
49	4	2	B10	T1	N	N
50	4	2	B10	T1	N	N
51	4	1	B11	T1	N	N
52	4	0	B11	T1	N	N
53	4	0	B11	T1	N	N
54	4	0	B11	T1	N	N
55	4	2	B11	T1	N	N
56	4	1	B12	T1	N	N
57	4	0	B12	T1	N	N
58	4	1	B12	T1	N	N
59	4	0	B12	T1	N	N
60	4	0	B12	T1	N	N
61	4	0	B13	T1	N	N
62	4	1	B13	T1	N	N
63	4	0	B13	T1	N	N
64	4	0	B13	T1	N	N
65	4	0	B13	T1	N	N
1	5	2	B1	T1	N	N
2	5	2	B1	T1	N	N
3	5	0	B1	T1	N	N
4	5	1	B1	T1	N	N
5	5	3	B1	T1	N	N
6	5	3	B2	T1	N	N
7	5	0	B2	T1	N	N
8	5	0	B2	T1	N	N
9	5	0	B2	T1	N	N
10	5	1	B2	T1	N	N
11	5	0	B3	T1	N	N
12	5	1	B3	T1	N	N
13	5	2	B3	T1	N	N
14	5	0	B3	T1	N	N
15	5	1	B3	T1	N	N
16	5	0	B4	T1	N	N
17	5	1	B4	T1	N	N
18	5	1	B4	T1	N	N
19	5	2	B4	T1	N	N
20	5	1	B4	T1	N	N
21	5	3	B5	T1	N	N
22	5	0	B5	T1	N	N
23	5	1	B5	T1	N	N
24	5	0	B5	T1	N	N
25	5	0	B5	T1	N	N
26	5	2	B6	T1	N	N
27	5	2	B6	T1	N	N
28	5	1	B6	T1	N	N
29	5	4	B6	T1	N	N
30	5	3	B6	T1	N	N
31	5	0	B7	T1	N	N
32	5	0	B7	T1	N	N
33	5	1	B7	T1	N	N
34	5	1	B7	T1	N	N
35	5	2	B7	T1	N	N
36	5	1	B8	T1	N	N
37	5	0	B8	T1	N	N
38	5	0	B8	T1	N	N
39	5	0	B8	T1	N	N
40	5	1	B8	T1	N	N
41	5	0	B9	T1	N	N
42	5	2	B9	T1	N	N
43	5	4	B9	T1	N	N
44	5	0	B9	T1	N	N
45	5	1	B9	T1	N	N
46	5	0	B10	T1	N	N
47	5	0	B10	T1	N	N
48	5	3	B10	T1	N	N
49	5	3	B10	T1	N	N
50	5	0	B10	T1	N	N
51	5	1	B11	T1	N	N
52	5	0	B11	T1	N	N
53	5	3	B11	T1	N	N
54	5	2	B11	T1	N	N
55	5	0	B11	T1	N	N
56	5	4	B12	T1	N	N
57	5	1	B12	T1	N	N
58	5	0	B12	T1	N	N
59	5	0	B12	T1	N	N
60	5	1	B12	T1	N	N
61	5	0	B13	T1	N	N
62	5	0	B13	T1	N	N
63	5	1	B13	T1	N	N
64	5	1	B13	T1	N	N
65	5	0	B13	T1	N	N
1	6	0	B1	T2	Y	N
2	6	0	B1	T2	Y	N
3	6	0	B1	T2	Y	N
4	6	1	B1	T2	Y	N
5	6	0	B1	T2	Y	N
6	6	1	B2	T2	Y	N
7	6	0	B2	T2	Y	N
8	6	0	B2	T2	Y	N
9	6	0	B2	T2	Y	N
10	6	0	B2	T2	Y	N
11	6	1	B3	T2	Y	N
12	6	0	B3	T2	Y	N
13	6	0	B3	T2	Y	N
14	6	0	B3	T2	Y	N
15	6	1	B3	T2	Y	N
16	6	0	B4	T2	Y	N
17	6	1	B4	T2	Y	N
18	6	1	B4	T2	Y	N
19	6	0	B4	T2	Y	N
20	6	1	B4	T2	Y	N
21	6	0	B5	T2	Y	N
22	6	1	B5	T2	Y	N
23	6	0	B5	T2	Y	N
24	6	1	B5	T2	Y	N
25	6	1	B5	T2	Y	N
26	6	0	B6	T2	Y	N
27	6	0	B6	T2	Y	N
28	6	0	B6	T2	Y	N
29	6	0	B6	T2	Y	N
30	6	0	B6	T2	Y	N
31	6	0	B7	T2	Y	N
32	6	1	B7	T2	Y	N
33	6	0	B7	T2	Y	N
34	6	4	B7	T2	Y	N
35	6	0	B7	T2	Y	N
36	6	0	B8	T2	Y	N
37	6	0	B8	T2	Y	N
38	6	1	B8	T2	Y	N
39	6	0	B8	T2	Y	N
40	6	0	B8	T2	Y	N
41	6	0	B9	T2	Y	N
42	6	0	B9	T2	Y	N
43	6	1	B9	T2	Y	N
44	6	0	B9	T2	Y	N
45	6	0	B9	T2	Y	N
46	6	0	B10	T2	Y	N
47	6	0	B10	T2	Y	N
48	6	1	B10	T2	Y	N
49	6	0	B10	T2	Y	N
50	6	0	B10	T2	Y	N
51	6	0	B11	T2	Y	N
52	6	0	B11	T2	Y	N
53	6	0	B11	T2	Y	N
54	6	0	B11	T2	Y	N
55	6	0	B11	T2	Y	N
56	6	1	B12	T2	Y	N
57	6	0	B12	T2	Y	N
58	6	0	B12	T2	Y	N
59	6	0	B12	T2	Y	N
60	6	1	B12	T2	Y	N
61	6	1	B13	T2	Y	N
62	6	0	B13	T2	Y	N
63	6	0	B13	T2	Y	N
64	6	1	B13	T2	Y	N
65	6	1	B13	T2	Y	N
1	7	0	B1	T2	Y	N
2	7	0	B1	T2	Y	N
3	7	0	B1	T2	Y	N
4	7	0	B1	T2	Y	N
5	7	0	B1	T2	Y	N
6	7	0	B2	T2	Y	N
7	7	2	B2	T2	Y	N
8	7	1	B2	T2	Y	N
9	7	1	B2	T2	Y	N
10	7	1	B2	T2	Y	N
11	7	0	B3	T2	Y	N
12	7	0	B3	T2	Y	N
13	7	0	B3	T2	Y	N
14	7	0	B3	T2	Y	N
15	7	1	B3	T2	Y	N
16	7	2	B4	T2	Y	N
17	7	0	B4	T2	Y	N
18	7	0	B4	T2	Y	N
19	7	2	B4	T2	Y	N
20	7	0	B4	T2	Y	N
21	7	1	B5	T2	Y	N
22	7	0	B5	T2	Y	N
23	7	1	B5	T2	Y	N
24	7	2	B5	T2	Y	N
25	7	0	B5	T2	Y	N
26	7	1	B6	T2	Y	N
27	7	1	B6	T2	Y	N
28	7	0	B6	T2	Y	N
29	7	0	B6	T2	Y	N
30	7	0	B6	T2	Y	N
31	7	0	B7	T2	Y	N
32	7	2	B7	T2	Y	N
33	7	0	B7	T2	Y	N
34	7	0	B7	T2	Y	N
35	7	2	B7	T2	Y	N
36	7	0	B8	T2	Y	N
37	7	0	B8	T2	Y	N
38	7	1	B8	T2	Y	N
39	7	1	B8	T2	Y	N
40	7	1	B8	T2	Y	N
41	7	0	B9	T2	Y	N
42	7	0	B9	T2	Y	N
43	7	0	B9	T2	Y	N
44	7	0	B9	T2	Y	N
45	7	1	B9	T2	Y	N
46	7	0	B10	T2	Y	N
47	7	2	B10	T2	Y	N
48	7	0	B10	T2	Y	N
49	7	1	B10	T2	Y	N
50	7	1	B10	T2	Y	N
51	7	0	B11	T2	Y	N
52	7	0	B11	T2	Y	N
53	7	3	B11	T2	Y	N
54	7	1	B11	T2	Y	N
55	7	1	B11	T2	Y	N
56	7	1	B12	T2	Y	N
57	7	0	B12	T2	Y	N
58	7	0	B12	T2	Y	N
59	7	0	B12	T2	Y	N
60	7	2	B12	T2	Y	N
61	7	0	B13	T2	Y	N
62	7	0	B13	T2	Y	N
63	7	0	B13	T2	Y	N
64	7	0	B13	T2	Y	N
65	7	0	B13	T2	Y	N
1	8	0	B1	T2	Y	N
2	8	0	B1	T2	Y	N
3	8	0	B1	T2	Y	N
4	8	0	B1	T2	Y	N
5	8	0	B1	T2	Y	N
6	8	0	B2	T2	Y	N
7	8	0	B2	T2	Y	N
8	8	2	B2	T2	Y	N
9	8	0	B2	T2	Y	N
10	8	0	B2	T2	Y	N
11	8	0	B3	T2	Y	N
12	8	0	B3	T2	Y	N
13	8	1	B3	T2	Y	N
14	8	0	B3	T2	Y	N
15	8	0	B3	T2	Y	N
16	8	0	B4	T2	Y	N
17	8	0	B4	T2	Y	N
18	8	0	B4	T2	Y	N
19	8	2	B4	T2	Y	N
20	8	0	B4	T2	Y	N
21	8	1	B5	T2	Y	N
22	8	0	B5	T2	Y	N
23	8	1	B5	T2	Y	N
24	8	0	B5	T2	Y	N
25	8	0	B5	T2	Y	N
26	8	1	B6	T2	Y	N
27	8	0	B6	T2	Y	N
28	8	0	B6	T2	Y	N
29	8	3	B6	T2	Y	N
30	8	0	B6	T2	Y	N
31	8	0	B7	T2	Y	N
32	8	1	B7	T2	Y	N
33	8	0	B7	T2	Y	N
34	8	1	B7	T2	Y	N
35	8	0	B7	T2	Y	N
36	8	0	B8	T2	Y	N
37	8	1	B8	T2	Y	N
38	8	2	B8	T2	Y	N
39	8	1	B8	T2	Y	N
40	8	0	B8	T2	Y	N
41	8	1	B9	T2	Y	N
42	8	0	B9	T2	Y	N
43	8	0	B9	T2	Y	N
44	8	0	B9	T2	Y	N
45	8	0	B9	T2	Y	N
46	8	0	B10	T2	Y	N
47	8	2	B10	T2	Y	N
48	8	4	B10	T2	Y	N
49	8	2	B10	T2	Y	N
50	8	0	B10	T2	Y	N
51	8	0	B11	T2	Y	N
52	8	0	B11	T2	Y	N
53	8	0	B11	T2	Y	N
54	8	0	B11	T2	Y	N
55	8	0	B11	T2	Y	N
56	8	0	B12	T2	Y	N
57	8	2	B12	T2	Y	N
58	8	1	B12	T2	Y	N
59	8	0	B12	T2	Y	N
60	8	2	B12	T2	Y	N
61	8	0	B13	T2	Y	N
62	8	0	B13	T2	Y	N
63	8	0	B13	T2	Y	N
64	8	0	B13	T2	Y	N
65	8	0	B13	T2	Y	N
1	9	0	B1	T2	Y	N
2	9	1	B1	T2	Y	N
3	9	1	B1	T2	Y	N
4	9	0	B1	T2	Y	N
5	9	0	B1	T2	Y	N
6	9	0	B2	T2	Y	N
7	9	2	B2	T2	Y	N
8	9	0	B2	T2	Y	N
9	9	1	B2	T2	Y	N
10	9	1	B2	T2	Y	N
11	9	1	B3	T2	Y	N
12	9	0	B3	T2	Y	N
13	9	2	B3	T2	Y	N
14	9	1	B3	T2	Y	N
15	9	1	B3	T2	Y	N
16	9	2	B4	T2	Y	N
17	9	0	B4	T2	Y	N
18	9	1	B4	T2	Y	N
19	9	0	B4	T2	Y	N
20	9	0	B4	T2	Y	N
21	9	0	B5	T2	Y	N
22	9	1	B5	T2	Y	N
23	9	0	B5	T2	Y	N
24	9	0	B5	T2	Y	N
25	9	0	B5	T2	Y	N
26	9	0	B6	T2	Y	N
27	9	3	B6	T2	Y	N
28	9	0	B6	T2	Y	N
29	9	1	B6	T2	Y	N
30	9	0	B6	T2	Y	N
31	9	0	B7	T2	Y	N
32	9	1	B7	T2	Y	N
33	9	0	B7	T2	Y	N
34	9	2	B7	T2	Y	N
35	9	0	B7	T2	Y	N
36	9	1	B8	T2	Y	N
37	9	0	B8	T2	Y	N
38	9	1	B8	T2	Y	N
39	9	0	B8	T2	Y	N
40	9	0	B8	T2	Y	N
41	9	0	B9	T2	Y	N
42	9	0	B9	T2	Y	N
43	9	0	B9	T2	Y	N
44	9	1	B9	T2	Y	N
45	9	0	B9	T2	Y	N
46	9	1	B10	T2	Y	N
47	9	0	B10	T2	Y	N
48	9	0	B10	T2	Y	N
49	9	0	B10	T2	Y	N
50	9	1	B10	T2	Y	N
51	9	2	B11	T2	Y	N
52	9	2	B11	T2	Y	N
53	9	0	B11	T2	Y	N
54	9	0	B11	T2	Y	N
55	9	0	B11	T2	Y	N
56	9	2	B12	T2	Y	N
57	9	1	B12	T2	Y	N
58	9	1	B12	T2	Y	N
59	9	2	B12	T2	Y	N
60	9	0	B12	T2	Y	N
61	9	0	B13	T2	Y	N
62	9	1	B13	T2	Y	N
63	9	0	B13	T2	Y	N
64	9	0	B13	T2	Y	N
65	9	0	B13	T2	Y	N
1	10	0	B1	T2	Y	N
2	10	2	B1	T2	Y	N
3	10	2	B1	T2	Y	N
4	10	2	B1	T2	Y	N
5	10	0	B1	T2	Y	N
6	10	1	B2	T2	Y	N
7	10	0	B2	T2	Y	N
8	10	0	B2	T2	Y	N
9	10	2	B2	T2	Y	N
10	10	0	B2	T2	Y	N
11	10	2	B3	T2	Y	N
12	10	0	B3	T2	Y	N
13	10	1	B3	T2	Y	N
14	10	1	B3	T2	Y	N
15	10	0	B3	T2	Y	N
16	10	0	B4	T2	Y	N
17	10	0	B4	T2	Y	N
18	10	0	B4	T2	Y	N
19	10	0	B4	T2	Y	N
20	10	1	B4	T2	Y	N
21	10	0	B5	T2	Y	N
22	10	0	B5	T2	Y	N
23	10	0	B5	T2	Y	N
24	10	0	B5	T2	Y	N
25	10	0	B5	T2	Y	N
26	10	0	B6	T2	Y	N
27	10	0	B6	T2	Y	N
28	10	0	B6	T2	Y	N
29	10	0	B6	T2	Y	N
30	10	2	B6	T2	Y	N
31	10	1	B7	T2	Y	N
32	10	1	B7	T2	Y	N
33	10	3	B7	T2	Y	N
34	10	0	B7	T2	Y	N
35	10	1	B7	T2	Y	N
36	10	1	B8	T2	Y	N
37	10	1	B8	T2	Y	N
38	10	0	B8	T2	Y	N
39	10	0	B8	T2	Y	N
40	10	0	B8	T2	Y	N
41	10	1	B9	T2	Y	N
42	10	0	B9	T2	Y	N
43	10	0	B9	T2	Y	N
44	10	0	B9	T2	Y	N
45	10	0	B9	T2	Y	N
46	10	1	B10	T2	Y	N
47	10	1	B10	T2	Y	N
48	10	1	B10	T2	Y	N
49	10	0	B10	T2	Y	N
50	10	0	B10	T2	Y	N
51	10	0	B11	T2	Y	N
52	10	0	B11	T2	Y	N
53	10	2	B11	T2	Y	N
54	10	0	B11	T2	Y	N
55	10	1	B11	T2	Y	N
56	10	0	B12	T2	Y	N
57	10	0	B12	T2	Y	N
58	10	0	B12	T2	Y	N
59	10	0	B12	T2	Y	N
60	10	1	B12	T2	Y	N
61	10	0	B13	T2	Y	N
62	10	1	B13	T2	Y	N
63	10	1	B13	T2	Y	N
64	10	1	B13	T2	Y	N
65	10	1	B13	T2	Y	N
1	11	1	B1	T3	N	Y
2	11	3	B1	T3	N	Y
3	11	0	B1	T3	N	Y
4	11	1	B1	T3	N	Y
5	11	1	B1	T3	N	Y
6	11	0	B2	T3	N	Y
7	11	0	B2	T3	N	Y
8	11	1	B2	T3	N	Y
9	11	0	B2	T3	N	Y
10	11	0	B2	T3	N	Y
11	11	0	B3	T3	N	Y
12	11	1	B3	T3	N	Y
13	11	4	B3	T3	N	Y
14	11	1	B3	T3	N	Y
15	11	0	B3	T3	N	Y
16	11	4	B4	T3	N	Y
17	11	1	B4	T3	N	Y
18	11	0	B4	T3	N	Y
19	11	1	B4	T3	N	Y
20	11	0	B4	T3	N	Y
21	11	3	B5	T3	N	Y
22	11	1	B5	T3	N	Y
23	11	0	B5	T3	N	Y
24	11	0	B5	T3	N	Y
25	11	0	B5	T3	N	Y
26	11	1	B6	T3	N	Y
27	11	1	B6	T3	N	Y
28	11	2	B6	T3	N	Y
29	11	2	B6	T3	N	Y
30	11	0	B6	T3	N	Y
31	11	1	B7	T3	N	Y
32	11	1	B7	T3	N	Y
33	11	3	B7	T3	N	Y
34	11	1	B7	T3	N	Y
35	11	0	B7	T3	N	Y
36	11	0	B8	T3	N	Y
37	11	1	B8	T3	N	Y
38	11	2	B8	T3	N	Y
39	11	1	B8	T3	N	Y
40	11	1	B8	T3	N	Y
41	11	0	B9	T3	N	Y
42	11	0	B9	T3	N	Y
43	11	1	B9	T3	N	Y
44	11	0	B9	T3	N	Y
45	11	0	B9	T3	N	Y
46	11	2	B10	T3	N	Y
47	11	1	B10	T3	N	Y
48	11	0	B10	T3	N	Y
49	11	1	B10	T3	N	Y
50	11	3	B10	T3	N	Y
51	11	0	B11	T3	N	Y
52	11	1	B11	T3	N	Y
53	11	3	B11	T3	N	Y
54	11	1	B11	T3	N	Y
55	11	1	B11	T3	N	Y
56	11	0	B12	T3	N	Y
57	11	1	B12	T3	N	Y
58	11	0	B12	T3	N	Y
59	11	1	B12	T3	N	Y
60	11	2	B12	T3	N	Y
61	11	0	B13	T3	N	Y
62	11	1	B13	T3	N	Y
63	11	0	B13	T3	N	Y
64	11	1	B13	T3	N	Y
65	11	0	B13	T3	N	Y
1	12	1	B1	T3	N	Y
2	12	2	B1	T3	N	Y
3	12	1	B1	T3	N	Y
4	12	0	B1	T3	N	Y
5	12	2	B1	T3	N	Y
6	12	2	B2	T3	N	Y
7	12	1	B2	T3	N	Y
8	12	0	B2	T3	N	Y
9	12	0	B2	T3	N	Y
10	12	0	B2	T3	N	Y
11	12	0	B3	T3	N	Y
12	12	0	B3	T3	N	Y
13	12	2	B3	T3	N	Y
14	12	2	B3	T3	N	Y
15	12	0	B3	T3	N	Y
16	12	0	B4	T3	N	Y
17	12	0	B4	T3	N	Y
18	12	0	B4	T3	N	Y
19	12	0	B4	T3	N	Y
20	12	0	B4	T3	N	Y
21	12	0	B5	T3	N	Y
22	12	0	B5	T3	N	Y
23	12	0	B5	T3	N	Y
24	12	1	B5	T3	N	Y
25	12	1	B5	T3	N	Y
26	12	1	B6	T3	N	Y
27	12	0	B6	T3	N	Y
28	12	1	B6	T3	N	Y
29	12	0	B6	T3	N	Y
30	12	0	B6	T3	N	Y
31	12	2	B7	T3	N	Y
32	12	1	B7	T3	N	Y
33	12	3	B7	T3	N	Y
34	12	2	B7	T3	N	Y
35	12	0	B7	T3	N	Y
36	12	3	B8	T3	N	Y
37	12	1	B8	T3	N	Y
38	12	2	B8	T3	N	Y
39	12	2	B8	T3	N	Y
40	12	1	B8	T3	N	Y
41	12	2	B9	T3	N	Y
42	12	1	B9	T3	N	Y
43	12	0	B9	T3	N	Y
44	12	0	B9	T3	N	Y
45	12	1	B9	T3	N	Y
46	12	2	B10	T3	N	Y
47	12	0	B10	T3	N	Y
48	12	2	B10	T3	N	Y
49	12	2	B10	T3	N	Y
50	12	1	B10	T3	N	Y
51	12	0	B11	T3	N	Y
52	12	0	B11	T3	N	Y
53	12	3	B11	T3	N	Y
54	12	0	B11	T3	N	Y
55	12	1	B11	T3	N	Y
56	12	0	B12	T3	N	Y
57	12	2	B12	T3	N	Y
58	12	0	B12	T3	N	Y
59	12	0	B12	T3	N	Y
60	12	1	B12	T3	N	Y
61	12	0	B13	T3	N	Y
62	12	1	B13	T3	N	Y
63	12	1	B13	T3	N	Y
64	12	0	B13	T3	N	Y
65	12	2	B13	T3	N	Y
1	13	2	B1	T3	N	Y
2	13	3	B1	T3	N	Y
3	13	3	B1	T3	N	Y
4	13	0	B1	T3	N	Y
5	13	0	B1	T3	N	Y
6	13	0	B2	T3	N	Y
7	13	1	B2	T3	N	Y
8	13	0	B2	T3	N	Y
9	13	2	B2	T3	N	Y
10	13	1	B2	T3	N	Y
11	13	0	B3	T3	N	Y
12	13	0	B3	T3	N	Y
13	13	1	B3	T3	N	Y
14	13	0	B3	T3	N	Y
15	13	0	B3	T3	N	Y
16	13	0	B4	T3	N	Y
17	13	0	B4	T3	N	Y
18	13	0	B4	T3	N	Y
19	13	0	B4	T3	N	Y
20	13	0	B4	T3	N	Y
21	13	3	B5	T3	N	Y
22	13	0	B5	T3	N	Y
23	13	0	B5	T3	N	Y
24	13	2	B5	T3	N	Y
25	13	0	B5	T3	N	Y
26	13	0	B6	T3	N	Y
27	13	2	B6	T3	N	Y
28	13	0	B6	T3	N	Y
29	13	0	B6	T3	N	Y
30	13	0	B6	T3	N	Y
31	13	2	B7	T3	N	Y
32	13	5	B7	T3	N	Y
33	13	1	B7	T3	N	Y
34	13	0	B7	T3	N	Y
35	13	0	B7	T3	N	Y
36	13	1	B8	T3	N	Y
37	13	0	B8	T3	N	Y
38	13	0	B8	T3	N	Y
39	13	0	B8	T3	N	Y
40	13	1	B8	T3	N	Y
41	13	1	B9	T3	N	Y
42	13	1	B9	T3	N	Y
43	13	0	B9	T3	N	Y
44	13	1	B9	T3	N	Y
45	13	1	B9	T3	N	Y
46	13	1	B10	T3	N	Y
47	13	2	B10	T3	N	Y
48	13	0	B10	T3	N	Y
49	13	1	B10	T3	N	Y
50	13	1	B10	T3	N	Y
51	13	0	B11	T3	N	Y
52	13	1	B11	T3	N	Y
53	13	0	B11	T3	N	Y
54	13	0	B11	T3	N	Y
55	13	0	B11	T3	N	Y
56	13	0	B12	T3	N	Y
57	13	2	B12	T3	N	Y
58	13	1	B12	T3	N	Y
59	13	0	B12	T3	N	Y
60	13	0	B12	T3	N	Y
