year	yield	block	row	col	trt	nitro	potash	ptype
1926b	351.5	B1	4	1	a	0	0	NA
1926b	472.5	B1	3	1	k	2	1	NA
1926b	357.5	B1	2	1	e	1	0	NA
1926b	385.5	B1	1	1	n	4	0	NA
1926b	302.5	B3	8	2	j	2	0	NA
1926b	568	B3	7	2	q	4	4	NA
1926b	368	B3	6	2	c	0	2	NA
1926b	314	B3	5	2	e	1	0	NA
1926b	495.5	B1	4	2	l	2	2	NA
1926b	367.5	B1	3	2	b	0	1	NA
1926b	381.5	B1	2	2	f	1	1	NA
1926b	354	B1	1	2	h	1	4	NA
1926b	383	B3	8	3	f	1	1	NA
1926b	450	B3	7	3	o	4	1	NA
1926b	449	B3	6	3	m	2	4	NA
1926b	527	B3	5	3	p	4	2	NA
1926b	443	B1	4	3	j	2	0	NA
1926b	455.5	B1	3	3	g	1	2	NA
1926b	531	B1	2	3	q	4	4	NA
1926b	496.5	B1	1	3	p	4	2	NA
1926b	317.5	B3	8	4	a	0	0	NA
1926b	381.5	B3	7	4	d	0	4	NA
1926b	471.5	B3	6	4	l	2	2	NA
1926b	434.5	B3	5	4	g	1	2	NA
1926b	383.5	B1	4	4	c	0	2	NA
1926b	502.5	B1	3	4	o	4	1	NA
1926b	316	B1	2	4	d	0	4	NA
1926b	474.5	B1	1	4	m	2	4	NA
1926b	439	B4	8	5	d	0	4	NA
1926b	483.5	B4	7	5	l	2	2	NA
1926b	422	B4	6	5	h	1	4	NA
1926b	504	B4	5	5	m	2	4	NA
1926b	559	B2	4	5	p	4	2	NA
1926b	328.5	B2	3	5	c	0	2	NA
1926b	522	B2	2	5	n	4	0	NA
1926b	410.5	B2	1	5	f	1	1	NA
1926b	533.5	B4	8	6	o	4	1	NA
1926b	308	B4	7	6	b	0	1	NA
1926b	500	B4	6	6	p	4	2	NA
1926b	561.5	B4	5	6	q	4	4	NA
1926b	550	B2	4	6	q	4	4	NA
1926b	390.5	B2	3	6	h	1	4	NA
1926b	444	B2	2	6	m	2	4	NA
1926b	351.5	B2	1	6	g	1	2	NA
1926b	544.5	B4	8	7	k	2	1	NA
1926b	434	B4	7	7	f	1	1	NA
1926b	402	B4	6	7	g	1	2	NA
1926b	356	B4	5	7	c	0	2	NA
1926b	359	B2	4	7	b	0	1	NA
1926b	483	B2	3	7	j	2	0	NA
1926b	325	B2	2	7	a	0	0	NA
1926b	430	B2	1	7	k	2	1	NA
1926b	404.5	B4	8	8	a	0	0	NA
1926b	468	B4	7	8	n	4	0	NA
1926b	318	B4	6	8	e	1	0	NA
1926b	456	B4	5	8	j	2	0	NA
1926b	395.5	B2	4	8	e	1	0	NA
1926b	512	B2	3	8	o	4	1	NA
1926b	259	B2	2	8	d	0	4	NA
1926b	394.5	B2	1	8	l	2	2	NA
1927	333.5	B1	9	1	40	4	0	N
1927	379.5	B1	9	2	20	2	0	N
1927	382.5	B1	9	3	24	2	4	P
1927	379	B2	9	4	20	2	0	N
1927	381	B2	9	5	42	4	2	P
1927	382	B2	9	6	00	0	0	N
1927	380.5	B3	9	7	20	2	0	N
1927	335.5	B3	9	8	04	0	4	P
1927	389	B3	9	9	22	2	2	M
1927	308.5	B1	8	1	04	0	4	M
1927	421	B1	8	2	22	2	2	S
1927	430.5	B1	8	3	42	4	2	M
1927	396	B2	8	4	44	4	4	P
1927	413.5	B2	8	5	40	4	0	N
1927	424.5	B2	8	6	24	2	4	S
1927	409.5	B3	8	7	24	2	4	M
1927	436	B3	8	8	44	4	4	S
1927	348.5	B3	8	9	00	0	0	N
1927	403	B1	7	1	44	4	4	S
1927	356.5	B1	7	2	00	0	0	N
1927	365	B1	7	3	02	0	2	P
1927	401	B2	7	4	02	0	2	S
1927	420	B2	7	5	22	2	2	M
1927	364	B2	7	6	04	0	4	M
1927	399	B3	7	7	40	4	0	N
1927	408	B3	7	8	42	4	2	S
1927	354	B3	7	9	02	0	2	P
1927	404.5	B4	6	1	22	2	2	P
1927	357	B4	6	2	02	0	2	S
1927	412.5	B4	6	3	40	4	0	N
1927	408.5	B5	6	4	22	2	2	P
1927	438.5	B5	6	5	42	4	2	S
1927	428	B5	6	6	40	4	0	N
1927	412	B6	6	7	44	4	4	S
1927	411	B6	6	8	22	2	2	S
1927	361	B6	6	9	02	0	2	M
1927	440	B4	5	1	42	4	2	M
1927	323.5	B4	5	2	24	2	4	P
1927	362.5	B4	5	3	04	0	4	S
1927	403.5	B5	5	4	24	2	4	P
1927	409.5	B5	5	5	20	2	0	N
1927	360.5	B5	5	6	02	0	2	M
1927	319	B6	5	7	04	0	4	P
1927	402.5	B6	5	8	20	2	0	N
1927	369.5	B6	5	9	24	2	4	M
1927	436.5	B4	4	1	44	4	4	M
1927	394.5	B4	4	2	20	2	0	N
1927	395	B4	4	3	00	0	0	N
1927	465.5	B5	4	4	44	4	4	M
1927	366.5	B5	4	5	00	0	0	N
1927	395.5	B5	4	6	04	0	4	S
1927	349.5	B6	4	7	00	0	0	N
1927	400.5	B6	4	8	40	4	0	N
1927	358.5	B6	4	9	42	4	2	P
1927	337.5	B7	3	1	00	0	0	N
1927	345	B7	3	2	02	0	2	M
1927	440	B7	3	3	40	4	0	N
1927	446.5	B8	3	4	20	2	0	N
1927	455	B8	3	5	24	2	4	M
1927	405.5	B8	3	6	44	4	4	P
1927	333	B9	3	7	04	0	4	P
1927	405	B9	3	8	24	2	4	S
1927	390.5	B9	3	9	42	4	2	M
1927	302	B7	2	1	04	0	4	M
1927	377	B7	2	2	20	2	0	N
1927	467.5	B7	2	3	22	2	2	S
1927	473	B8	2	4	42	4	2	S
1927	395.5	B8	2	5	02	0	2	P
1927	411.5	B8	2	6	40	4	0	N
1927	351.5	B9	2	7	00	0	0	N
1927	344	B9	2	8	02	0	2	S
1927	369	B9	2	9	40	4	0	N
1927	356.5	B7	1	1	44	4	4	P
1927	388	B7	1	2	42	4	2	P
1927	463.5	B7	1	3	24	2	4	S
1927	474	B8	1	4	22	2	2	M
1927	411.5	B8	1	5	00	0	0	N
1927	401.5	B8	1	6	04	0	4	S
1927	400.5	B9	1	7	22	2	2	P
1927	389.5	B9	1	8	20	2	0	N
1927	436.5	B9	1	9	44	4	4	M
1925a	444	BNA	4	1	M	NA	NA	NA
1925a	279	BNA	3	1	O	NA	NA	NA
1925a	436	BNA	2	1	P	NA	NA	NA
1925a	453	BNA	1	1	S	NA	NA	NA
1925a	422	BNA	4	2	P	NA	NA	NA
1925a	439	BNA	3	2	S	NA	NA	NA
1925a	428	BNA	2	2	M	NA	NA	NA
1925a	237	BNA	1	2	O	NA	NA	NA
1925a	173	BNA	4	3	O	NA	NA	NA
1925a	423	BNA	3	3	M	NA	NA	NA
1925a	445	BNA	2	3	S	NA	NA	NA
1925a	410	BNA	1	3	P	NA	NA	NA
1925a	398	BNA	4	4	S	NA	NA	NA
1925a	409	BNA	3	4	P	NA	NA	NA
1925a	212	BNA	2	4	O	NA	NA	NA
1925a	393	BNA	1	4	M	NA	NA	NA
1926a	584	BNA	4	1	M	NA	NA	NA
1926a	519.5	BNA	3	1	S	NA	NA	NA
1926a	474.5	BNA	2	1	P	NA	NA	NA
1926a	464	BNA	1	1	O	NA	NA	NA
1926a	557	BNA	4	2	S	NA	NA	NA
1926a	485.5	BNA	3	2	P	NA	NA	NA
1926a	378.5	BNA	2	2	O	NA	NA	NA
1926a	511	BNA	1	2	M	NA	NA	NA
1926a	461.5	BNA	4	3	O	NA	NA	NA
1926a	477	BNA	3	3	M	NA	NA	NA
1926a	467.5	BNA	2	3	S	NA	NA	NA
1926a	507	BNA	1	3	P	NA	NA	NA
1926a	498.5	BNA	4	4	P	NA	NA	NA
1926a	389	BNA	3	4	O	NA	NA	NA
1926a	491.5	BNA	2	4	M	NA	NA	NA
1926a	492	BNA	1	4	S	NA	NA	NA
