loc	locgroup	gen	gengroup	yield
PA	Grp1	G08	W3	2.2
PI	Grp1	G08	W3	4.7
SC	Grp1	G08	W3	4.8
SE	Grp2	G08	W3	7.8
SG	Grp2	G08	W3	1.1
SJ	Grp1	G08	W3	4.8
SR	Grp2	G08	W3	1
SS	Grp1	G08	W3	4.5
TB	Grp2	G08	W3	5.5
TC	Grp1	G08	W3	2
AK	Grp2	G09	W1	5
AS	Grp1	G09	W1	3.9
BJ	Grp1	G09	W1	3.8
CA	Grp2	G09	W1	2.7
EB	Grp2	G09	W1	6.5
EG	Grp2	G09	W1	8.6
ES	Grp2	G09	W1	6.5
ID	Grp1	G09	W1	4.9
IL	Grp1	G09	W1	4.3
JM	Grp1	G09	W1	4
KN	Grp1	G09	W1	2.3
MG	Grp1	G09	W1	11.2
MM	Grp1	G09	W1	6.4
MS	Grp1	G09	W1	7.5
NB	Grp1	G09	W1	2
PA	Grp1	G09	W1	3
PI	Grp1	G09	W1	4.2
SC	Grp1	G09	W1	4.8
SE	Grp2	G09	W1	8.4
SG	Grp2	G09	W1	1.8
SJ	Grp1	G09	W1	5.5
SR	Grp2	G09	W1	1.3
SS	Grp1	G09	W1	5.8
TB	Grp2	G09	W1	5.2
TC	Grp1	G09	W1	3.6
AK	Grp2	G10	W2	6.5
AS	Grp1	G10	W2	3.8
BJ	Grp1	G10	W2	3
CA	Grp2	G10	W2	2.9
EB	Grp2	G10	W2	6.4
EG	Grp2	G10	W2	6.7
ES	Grp2	G10	W2	5
ID	Grp1	G10	W2	4.5
IL	Grp1	G10	W2	3.5
JM	Grp1	G10	W2	3.2
KN	Grp1	G10	W2	2.4
MG	Grp1	G10	W2	9.4
MM	Grp1	G10	W2	5.5
MS	Grp1	G10	W2	7.3
NB	Grp1	G10	W2	1.9
PA	Grp1	G10	W2	3.1
PI	Grp1	G10	W2	4.1
SC	Grp1	G10	W2	3.9
SE	Grp2	G10	W2	7.3
SG	Grp2	G10	W2	1.9
SJ	Grp1	G10	W2	6
SR	Grp2	G10	W2	1.3
SS	Grp1	G10	W2	5.5
TB	Grp2	G10	W2	5
TC	Grp1	G10	W2	3
AK	Grp2	G11	W3	6.5
AS	Grp1	G11	W3	3.7
BJ	Grp1	G11	W3	3.8
CA	Grp2	G11	W3	3.1
EB	Grp2	G11	W3	6.3
EG	Grp2	G11	W3	7.9
ES	Grp2	G11	W3	6.2
ID	Grp1	G11	W3	4.2
IL	Grp1	G11	W3	2.6
JM	Grp1	G11	W3	4.6
KN	Grp1	G11	W3	2.1
MG	Grp1	G11	W3	8.6
MM	Grp1	G11	W3	4
MS	Grp1	G11	W3	7.4
NB	Grp1	G11	W3	1.9
PA	Grp1	G11	W3	2
PI	Grp1	G11	W3	3.6
SC	Grp1	G11	W3	3.7
SE	Grp2	G11	W3	8.2
SG	Grp2	G11	W3	1.5
SJ	Grp1	G11	W3	5.5
SR	Grp2	G11	W3	1.4
SS	Grp1	G11	W3	4.9
TB	Grp2	G11	W3	6.1
TC	Grp1	G11	W3	2.4
AK	Grp2	G12	W2	6.1
AS	Grp1	G12	W2	3.9
BJ	Grp1	G12	W2	3.2
CA	Grp2	G12	W2	2.9
EB	Grp2	G12	W2	7.3
EG	Grp2	G12	W2	7.5
ES	Grp2	G12	W2	5.5
ID	Grp1	G12	W2	4.7
IL	Grp1	G12	W2	3.3
JM	Grp1	G12	W2	4.1
KN	Grp1	G12	W2	2.1
MG	Grp1	G12	W2	11.3
MM	Grp1	G12	W2	5.2
MS	Grp1	G12	W2	7.1
NB	Grp1	G12	W2	1.5
PA	Grp1	G12	W2	3.1
PI	Grp1	G12	W2	3.9
SC	Grp1	G12	W2	4.8
SE	Grp2	G12	W2	8.6
SG	Grp2	G12	W2	1.6
SJ	Grp1	G12	W2	6.5
SR	Grp2	G12	W2	1.2
SS	Grp1	G12	W2	5.4
TB	Grp2	G12	W2	5.6
TC	Grp1	G12	W2	1.6
AK	Grp2	G13	W3	5.3
AS	Grp1	G13	W3	3.9
BJ	Grp1	G13	W3	2.4
CA	Grp2	G13	W3	2.9
EB	Grp2	G13	W3	6.6
EG	Grp2	G13	W3	8.6
ES	Grp2	G13	W3	5.9
ID	Grp1	G13	W3	4.1
IL	Grp1	G13	W3	3.4
JM	Grp1	G13	W3	4.4
KN	Grp1	G13	W3	1.7
MG	Grp1	G13	W3	10.8
MM	Grp1	G13	W3	3.6
MS	Grp1	G13	W3	7.2
NB	Grp1	G13	W3	1.1
PA	Grp1	G13	W3	2.2
PI	Grp1	G13	W3	3.9
SC	Grp1	G13	W3	3
SE	Grp2	G13	W3	7.9
SG	Grp2	G13	W3	1.5
SJ	Grp1	G13	W3	5.1
SR	Grp2	G13	W3	1.1
SS	Grp1	G13	W3	4.9
TB	Grp2	G13	W3	5.5
TC	Grp1	G13	W3	1.1
AK	Grp2	G14	W2	6.6
AS	Grp1	G14	W2	3.9
BJ	Grp1	G14	W2	2.8
CA	Grp2	G14	W2	2.8
EB	Grp2	G14	W2	7.9
EG	Grp2	G14	W2	7.1
ES	Grp2	G14	W2	6
ID	Grp1	G14	W2	5.4
IL	Grp1	G14	W2	3.3
JM	Grp1	G14	W2	3.7
KN	Grp1	G14	W2	2
MG	Grp1	G14	W2	10.6
MM	Grp1	G14	W2	4.7
MS	Grp1	G14	W2	7.5
NB	Grp1	G14	W2	1.7
PA	Grp1	G14	W2	2.3
PI	Grp1	G14	W2	4.1
SC	Grp1	G14	W2	4.8
SE	Grp2	G14	W2	8.4
SG	Grp2	G14	W2	2
SJ	Grp1	G14	W2	5.6
SR	Grp2	G14	W2	1.1
SS	Grp1	G14	W2	4.8
TB	Grp2	G14	W2	5.8
TC	Grp1	G14	W2	3
AK	Grp2	G15	W3	6.2
AS	Grp1	G15	W3	3.7
BJ	Grp1	G15	W3	2
CA	Grp2	G15	W3	3.7
EB	Grp2	G15	W3	7.5
EG	Grp2	G15	W3	8.5
ES	Grp2	G15	W3	6.7
ID	Grp1	G15	W3	4.3
IL	Grp1	G15	W3	2.5
JM	Grp1	G15	W3	3.9
KN	Grp1	G15	W3	2.2
MG	Grp1	G15	W3	11.3
MM	Grp1	G15	W3	5.2
MS	Grp1	G15	W3	7.8
NB	Grp1	G15	W3	1.3
PA	Grp1	G15	W3	2
PI	Grp1	G15	W3	3.4
SC	Grp1	G15	W3	4.2
SE	Grp2	G15	W3	8.8
SG	Grp2	G15	W3	1.4
SJ	Grp1	G15	W3	5.5
SR	Grp2	G15	W3	1.2
SS	Grp1	G15	W3	5.4
TB	Grp2	G15	W3	6.9
TC	Grp1	G15	W3	1
AK	Grp2	G16	W2	5.4
AS	Grp1	G16	W2	4
BJ	Grp1	G16	W2	3.3
CA	Grp2	G16	W2	2.7
EB	Grp2	G16	W2	5.9
EG	Grp2	G16	W2	7.7
ES	Grp2	G16	W2	5.5
ID	Grp1	G16	W2	5.1
IL	Grp1	G16	W2	3.9
JM	Grp1	G16	W2	4.3
KN	Grp1	G16	W2	2.6
MG	Grp1	G16	W2	10.7
MM	Grp1	G16	W2	4.5
MS	Grp1	G16	W2	6.9
NB	Grp1	G16	W2	2.1
PA	Grp1	G16	W2	2.7
PI	Grp1	G16	W2	3.4
SC	Grp1	G16	W2	4
SE	Grp2	G16	W2	7.8
SG	Grp2	G16	W2	1.2
SJ	Grp1	G16	W2	4.6
SR	Grp2	G16	W2	1.5
SS	Grp1	G16	W2	5.5
TB	Grp2	G16	W2	6.1
TC	Grp1	G16	W2	3.5
AK	Grp2	G17	W2	5.2
AS	Grp1	G17	W2	3.5
BJ	Grp1	G17	W2	2.4
CA	Grp2	G17	W2	3.6
EB	Grp2	G17	W2	6.1
EG	Grp2	G17	W2	9.1
ES	Grp2	G17	W2	5
ID	Grp1	G17	W2	4.3
IL	Grp1	G17	W2	2.9
JM	Grp1	G17	W2	3.5
KN	Grp1	G17	W2	2.3
MG	Grp1	G17	W2	10.8
MM	Grp1	G17	W2	6
MS	Grp1	G17	W2	7.4
NB	Grp1	G17	W2	1.7
PA	Grp1	G17	W2	2.2
PI	Grp1	G17	W2	3.5
SC	Grp1	G17	W2	4.8
SE	Grp2	G17	W2	7.6
SG	Grp2	G17	W2	1.6
SJ	Grp1	G17	W2	5.8
SR	Grp2	G17	W2	1.5
SS	Grp1	G17	W2	5.4
TB	Grp2	G17	W2	6.6
TC	Grp1	G17	W2	2.4
AK	Grp2	G18	W2	5.6
AS	Grp1	G18	W2	3.5
BJ	Grp1	G18	W2	3.1
CA	Grp2	G18	W2	3.1
EB	Grp2	G18	W2	6.2
EG	Grp2	G18	W2	7.9
ES	Grp2	G18	W2	5.8
ID	Grp1	G18	W2	5.3
IL	Grp1	G18	W2	2.9
JM	Grp1	G18	W2	3.9
KN	Grp1	G18	W2	2.7
MG	Grp1	G18	W2	11.3
MM	Grp1	G18	W2	5.2
MS	Grp1	G18	W2	7.1
NB	Grp1	G18	W2	2.1
PA	Grp1	G18	W2	2.4
PI	Grp1	G18	W2	3.7
SC	Grp1	G18	W2	4.3
SE	Grp2	G18	W2	8.4
SG	Grp2	G18	W2	1.4
SJ	Grp1	G18	W2	6.8
SR	Grp2	G18	W2	1
SS	Grp1	G18	W2	5.1
TB	Grp2	G18	W2	5.3
TC	Grp1	G18	W2	2.4
