"animal"	"trt"	"day"	"weight"
"A5"	"A"	56	282
"A6"	"A"	56	263
"A7"	"A"	56	279
"A8"	"A"	56	302
"A9"	"A"	56	272
"A10"	"A"	56	275
"A11"	"A"	56	311
"A12"	"A"	56	282
"A13"	"A"	56	294
"A14"	"A"	56	290
"A15"	"A"	56	293
"A16"	"A"	56	272
"A17"	"A"	56	274
"A18"	"A"	56	251
"A19"	"A"	56	274
"A20"	"A"	56	280
"A21"	"A"	56	294
"A22"	"A"	56	252
"A23"	"A"	56	254
"A24"	"A"	56	289
"A25"	"A"	56	294
"A26"	"A"	56	274
"A27"	"A"	56	267
"A28"	"A"	56	292
"A29"	"A"	56	301
"A30"	"A"	56	270
"A31"	"B"	56	259
"A32"	"B"	56	277
"A33"	"B"	56	297
"A34"	"B"	56	292
"A35"	"B"	56	300
"A36"	"B"	56	271
"A37"	"B"	56	268
"A38"	"B"	56	293
"A39"	"B"	56	256
"A40"	"B"	56	294
"A41"	"B"	56	267
"A42"	"B"	56	277
"A43"	"B"	56	309
"A44"	"B"	56	273
"A45"	"B"	56	262
"A46"	"B"	56	271
"A47"	"B"	56	265
"A48"	"B"	56	248
"A49"	"B"	56	285
"A50"	"B"	56	268
"A51"	"B"	56	284
"A52"	"B"	56	256
"A53"	"B"	56	279
"A54"	"B"	56	272
"A55"	"B"	56	259
"A56"	"B"	56	294
"A57"	"B"	56	275
"A58"	"B"	56	276
"A59"	"B"	56	284
"A60"	"B"	56	282
"A1"	"A"	70	287
"A2"	"A"	70	300
"A3"	"A"	70	298
"A4"	"A"	70	309
"A5"	"A"	70	299
"A6"	"A"	70	277
"A7"	"A"	70	292
"A8"	"A"	70	321
"A9"	"A"	70	276
"A10"	"A"	70	286
"A11"	"A"	70	324
"A12"	"A"	70	304
"A13"	"A"	70	315
"A14"	"A"	70	308
"A15"	"A"	70	309
"A16"	"A"	70	277
"A17"	"A"	70	285
"A18"	"A"	70	258
"A19"	"A"	70	295
"A20"	"A"	70	298
"A21"	"A"	70	306
"A22"	"A"	70	267
"A23"	"A"	70	273
"A24"	"A"	70	308
"A25"	"A"	70	307
"A26"	"A"	70	285
"A27"	"A"	70	287
"A28"	"A"	70	307
"A29"	"A"	70	316
"A30"	"A"	70	272
"A31"	"B"	70	266
"A32"	"B"	70	293
"A33"	"B"	70	313
"A34"	"B"	70	310
"A35"	"B"	70	314
"A36"	"B"	70	288
"A37"	"B"	70	290
"A38"	"B"	70	307
"A39"	"B"	70	266
"A40"	"B"	70	313
"A41"	"B"	70	285
"A42"	"B"	70	287
"A43"	"B"	70	323
"A44"	"B"	70	282
"A45"	"B"	70	276
"A46"	"B"	70	283
"A47"	"B"	70	283
"A48"	"B"	70	262
"A49"	"B"	70	298
"A50"	"B"	70	284
"A51"	"B"	70	302
"A52"	"B"	70	267
"A53"	"B"	70	294
"A54"	"B"	70	283
"A55"	"B"	70	270
"A56"	"B"	70	304
"A57"	"B"	70	285
"A58"	"B"	70	287
"A59"	"B"	70	295
"A60"	"B"	70	294
"A1"	"A"	84	287
"A2"	"A"	84	311
"A3"	"A"	84	304
"A4"	"A"	84	327
"A5"	"A"	84	307
"A6"	"A"	84	290
"A7"	"A"	84	299
"A8"	"A"	84	322
"A9"	"A"	84	277
"A10"	"A"	84	294
"A11"	"A"	84	342
"A12"	"A"	84	318
"A13"	"A"	84	323
"A14"	"A"	84	322
"A15"	"A"	84	310
"A16"	"A"	84	273
"A17"	"A"	84	303
"A18"	"A"	84	272
"A19"	"A"	84	300
"A20"	"A"	84	308
"A21"	"A"	84	318
"A22"	"A"	84	284
"A23"	"A"	84	293
"A24"	"A"	84	313
"A25"	"A"	84	317
"A26"	"A"	84	291
"A27"	"A"	84	306
"A28"	"A"	84	312
"A29"	"A"	84	332
"A30"	"A"	84	287
"A31"	"B"	84	277
"A32"	"B"	84	300
"A33"	"B"	84	322
"A34"	"B"	84	318
"A35"	"B"	84	319
"A36"	"B"	84	300
"A37"	"B"	84	304
"A38"	"B"	84	312
"A39"	"B"	84	276
"A40"	"B"	84	320
"A41"	"B"	84	295
"A42"	"B"	84	300
"A43"	"B"	84	336
"A44"	"B"	84	292
"A45"	"B"	84	284
"A46"	"B"	84	287
"A47"	"B"	84	295
"A48"	"B"	84	276
"A49"	"B"	84	303
"A50"	"B"	84	290
"A51"	"B"	84	309
"A52"	"B"	84	281
"A53"	"B"	84	312
"A54"	"B"	84	294
"A55"	"B"	84	270
"A56"	"B"	84	317
"A57"	"B"	84	296
"A58"	"B"	84	297
"A59"	"B"	84	300
"A60"	"B"	84	295
"A1"	"A"	98	287
"A2"	"A"	98	313
"A3"	"A"	98	319
"A4"	"A"	98	324
"A5"	"A"	98	321
"A6"	"A"	98	299
"A7"	"A"	98	299
"A8"	"A"	98	334
"A9"	"A"	98	289
"A10"	"A"	98	302
"A11"	"A"	98	347
"A12"	"A"	98	327
"A13"	"A"	98	341
"A14"	"A"	98	326
"A15"	"A"	98	330
"A16"	"A"	98	295
"A17"	"A"	98	308
"A18"	"A"	98	283
"A19"	"A"	98	301
"A20"	"A"	98	319
"A21"	"A"	98	334
"A22"	"A"	98	282
"A23"	"A"	98	289
"A24"	"A"	98	324
"A25"	"A"	98	327
"A26"	"A"	98	301
"A27"	"A"	98	312
"A28"	"A"	98	323
"A29"	"A"	98	336
"A30"	"A"	98	294
"A31"	"B"	98	292
"A32"	"B"	98	323
"A33"	"B"	98	340
"A34"	"B"	98	333
"A35"	"B"	98	331
"A36"	"B"	98	316
"A37"	"B"	98	313
"A38"	"B"	98	336
"A39"	"B"	98	300
"A40"	"B"	98	347
"A41"	"B"	98	317
"A42"	"B"	98	312
"A43"	"B"	98	348
"A44"	"B"	98	307
"A45"	"B"	98	305
"A46"	"B"	98	314
"A47"	"B"	98	314
"A48"	"B"	98	294
"A49"	"B"	98	320
"A50"	"B"	98	316
"A51"	"B"	98	324
"A52"	"B"	98	295
"A53"	"B"	98	328
"A54"	"B"	98	318
"A55"	"B"	98	290
"A56"	"B"	98	335
"A57"	"B"	98	314
"A58"	"B"	98	315
"A59"	"B"	98	323
"A60"	"B"	98	310
"A1"	"A"	112	290
"A2"	"A"	112	317
"A3"	"A"	112	317
"A4"	"A"	112	327
"A5"	"A"	112	328
"A6"	"A"	112	300
"A7"	"A"	112	298
"A8"	"A"	112	323
"A9"	"A"	112	289
"A10"	"A"	112	308
"A11"	"A"	112	355
"A12"	"A"	112	336
"A13"	"A"	112	346
"A14"	"A"	112	330
"A15"	"A"	112	326
"A16"	"A"	112	292
"A17"	"A"	112	315
"A18"	"A"	112	279
"A19"	"A"	112	310
"A20"	"A"	112	318
"A21"	"A"	112	343
"A22"	"A"	112	282
"A23"	"A"	112	294
"A24"	"A"	112	327
"A25"	"A"	112	328
"A26"	"A"	112	307
"A27"	"A"	112	320
"A28"	"A"	112	318
"A29"	"A"	112	339
"A30"	"A"	112	292
"A31"	"B"	112	292
"A32"	"B"	112	327
"A33"	"B"	112	354
"A34"	"B"	112	336
"A35"	"B"	112	338
"A36"	"B"	112	319
"A37"	"B"	112	310
"A38"	"B"	112	336
"A39"	"B"	112	302
"A40"	"B"	112	348
"A41"	"B"	112	315
"A42"	"B"	112	308
"A43"	"B"	112	359
"A44"	"B"	112	306
"A45"	"B"	112	303
"A46"	"B"	112	316
"A47"	"B"	112	313
"A48"	"B"	112	291
"A49"	"B"	112	324
"A50"	"B"	112	314
"A51"	"B"	112	328
"A52"	"B"	112	301
"A53"	"B"	112	329
"A54"	"B"	112	320
"A55"	"B"	112	301
"A56"	"B"	112	333
"A57"	"B"	112	319
"A58"	"B"	112	309
"A59"	"B"	112	319
"A60"	"B"	112	320
"A1"	"A"	126	293
"A2"	"A"	126	321
"A3"	"A"	126	334
"A4"	"A"	126	336
"A5"	"A"	126	332
"A6"	"A"	126	308
"A7"	"A"	126	300
"A8"	"A"	126	337
"A9"	"A"	126	300
"A10"	"A"	126	319
"A11"	"A"	126	368
"A12"	"A"	126	349
"A13"	"A"	126	352
"A14"	"A"	126	342
"A15"	"A"	126	329
"A16"	"A"	126	305
"A17"	"A"	126	328
"A18"	"A"	126	295
"A19"	"A"	126	318
"A20"	"A"	126	336
"A21"	"A"	126	349
"A22"	"A"	126	284
"A23"	"A"	126	292
"A24"	"A"	126	347
"A25"	"A"	126	328
"A26"	"A"	126	315
"A27"	"A"	126	337
"A28"	"A"	126	328
"A29"	"A"	126	348
"A30"	"A"	126	292
"A31"	"B"	126	290
"A32"	"B"	126	340
"A33"	"B"	126	365
"A34"	"B"	126	353
"A35"	"B"	126	348
"A36"	"B"	126	333
"A37"	"B"	126	318
"A38"	"B"	126	344
"A39"	"B"	126	293
"A40"	"B"	126	362
"A41"	"B"	126	308
"A42"	"B"	126	328
"A43"	"B"	126	372
"A44"	"B"	126	317
"A45"	"B"	126	315
"A46"	"B"	126	320
"A47"	"B"	126	328
"A48"	"B"	126	311
"A49"	"B"	126	320
"A50"	"B"	126	330
"A51"	"B"	126	338
"A52"	"B"	126	309
"A53"	"B"	126	297
"A54"	"B"	126	333
"A55"	"B"	126	314
"A56"	"B"	126	319
"A57"	"B"	126	330
"A58"	"B"	126	313
"A59"	"B"	126	333
"A60"	"B"	126	327
"A1"	"A"	133	297
"A2"	"A"	133	326
"A3"	"A"	133	329
"A4"	"A"	133	341
"A5"	"A"	133	337
"A6"	"A"	133	310
"A7"	"A"	133	290
"A8"	"A"	133	337
"A9"	"A"	133	303
"A10"	"A"	133	326
"A11"	"A"	133	368
"A12"	"A"	133	353
"A13"	"A"	133	357
"A14"	"A"	133	343
"A15"	"A"	133	330
"A16"	"A"	133	306
"A17"	"A"	133	328
"A18"	"A"	133	298
"A19"	"A"	133	316
"A20"	"A"	133	333
"A21"	"A"	133	350
"A22"	"A"	133	288
"A23"	"A"	133	298
"A24"	"A"	133	344
"A25"	"A"	133	325
"A26"	"A"	133	320
"A27"	"A"	133	338
"A28"	"A"	133	329
"A29"	"A"	133	345
"A30"	"A"	133	299
"A31"	"B"	133	264
"A32"	"B"	133	343
"A33"	"B"	133	362
"A34"	"B"	133	338
"A35"	"B"	133	338
"A36"	"B"	133	330
"A37"	"B"	133	318
"A38"	"B"	133	328
"A39"	"B"	133	269
"A40"	"B"	133	352
"A41"	"B"	133	301
"A42"	"B"	133	333
"A43"	"B"	133	370
"A44"	"B"	133	318
"A45"	"B"	133	317
"A46"	"B"	133	298
"A47"	"B"	133	334
"A48"	"B"	133	310
"A49"	"B"	133	327
"A50"	"B"	133	330
"A51"	"B"	133	334
"A52"	"B"	133	289
"A53"	"B"	133	297
"A54"	"B"	133	338
"A55"	"B"	133	297
"A56"	"B"	133	307
"A57"	"B"	133	330
"A58"	"B"	133	294
"A59"	"B"	133	322
"A60"	"B"	133	326
