gen	trial	env	yield	year	loc
G20	T2	E06	4975	2003	Mieso
G21	T2	E06	4850	2003	Mieso
G22	T2	E06	4075	2003	Mieso
G23	T2	E06	4175	2003	Mieso
G24	T2	E06	5050	2003	Mieso
G25	T2	E06	4700	2003	Mieso
G26	T2	E06	4325	2003	Mieso
G27	T2	E06	4925	2003	Mieso
G28	T2	E06	4575	2003	Mieso
G01	T1	E07	7650	2003	Kobo
G02	T1	E07	6375	2003	Kobo
G03	T1	E07	6925	2003	Kobo
G04	T1	E07	7450	2003	Kobo
G05	T1	E07	6525	2003	Kobo
G06	T1	E07	7475	2003	Kobo
G07	T1	E07	7050	2003	Kobo
G08	T1	E07	5575	2003	Kobo
G09	T1	E07	6900	2003	Kobo
G10	T1	E07	5975	2003	Kobo
G11	T1	E07	6000	2003	Kobo
G12	T1	E07	4950	2003	Kobo
G13	T1	E07	6825	2003	Kobo
G14	T1	E07	6300	2003	Kobo
G15	T1	E07	6125	2003	Kobo
G16	T2	E07	4800	2003	Kobo
G17	T2	E07	5400	2003	Kobo
G18	T2	E07	4625	2003	Kobo
G19	T2	E07	4500	2003	Kobo
G20	T2	E07	4875	2003	Kobo
G21	T2	E07	5625	2003	Kobo
G22	T2	E07	5000	2003	Kobo
G23	T2	E07	5475	2003	Kobo
G24	T2	E07	5725	2003	Kobo
G25	T2	E07	4475	2003	Kobo
G26	T2	E07	3875	2003	Kobo
G27	T2	E07	4625	2003	Kobo
G28	T2	E07	5000	2003	Kobo
G01	T1	E08	4475	2003	Melkassa
G02	T1	E08	3675	2003	Melkassa
G03	T1	E08	4125	2003	Melkassa
G04	T1	E08	3225	2003	Melkassa
G05	T1	E08	4225	2003	Melkassa
G06	T1	E08	3800	2003	Melkassa
G07	T1	E08	3975	2003	Melkassa
G08	T1	E08	3200	2003	Melkassa
G09	T1	E08	3650	2003	Melkassa
G10	T1	E08	3375	2003	Melkassa
G11	T1	E08	4550	2003	Melkassa
G12	T1	E08	3875	2003	Melkassa
G13	T1	E08	3800	2003	Melkassa
G14	T1	E08	4450	2003	Melkassa
G15	T1	E08	2850	2003	Melkassa
G16	T2	E08	4250	2003	Melkassa
G17	T2	E08	3150	2003	Melkassa
G18	T2	E08	3525	2003	Melkassa
G19	T2	E08	5100	2003	Melkassa
G20	T2	E08	4500	2003	Melkassa
G21	T2	E08	4400	2003	Melkassa
G22	T2	E08	3700	2003	Melkassa
G23	T2	E08	3925	2003	Melkassa
G24	T2	E08	4450	2003	Melkassa
G25	T2	E08	4100	2003	Melkassa
G26	T2	E08	3550	2003	Melkassa
G27	T2	E08	3300	2003	Melkassa
G28	T2	E08	4100	2003	Melkassa
G01	T1	E09	6275	2004	Melkassa
G02	T1	E09	6375	2004	Melkassa
G03	T1	E09	5925	2004	Melkassa
G04	T1	E09	7125	2004	Melkassa
G05	T1	E09	6000	2004	Melkassa
G06	T1	E09	5950	2004	Melkassa
G07	T1	E09	7300	2004	Melkassa
G08	T1	E09	5325	2004	Melkassa
G09	T1	E09	4975	2004	Melkassa
G10	T1	E09	5225	2004	Melkassa
G11	T1	E09	5075	2004	Melkassa
G12	T1	E09	5300	2004	Melkassa
G13	T1	E09	4700	2004	Melkassa
G14	T1	E09	5375	2004	Melkassa
G15	T1	E09	5625	2004	Melkassa
G16	T2	E09	3332	2004	Melkassa
G17	T2	E09	4213	2004	Melkassa
G18	T2	E09	5002	2004	Melkassa
G19	T2	E09	4247	2004	Melkassa
G20	T2	E09	4968	2004	Melkassa
G21	T2	E09	5587	2004	Melkassa
G22	T2	E09	4925	2004	Melkassa
G23	T2	E09	4569	2004	Melkassa
G24	T2	E09	4205	2004	Melkassa
G25	T2	E09	3952	2004	Melkassa
G26	T2	E09	3878	2004	Melkassa
G27	T2	E09	3997	2004	Melkassa
G28	T2	E09	3398	2004	Melkassa
G01	T1	E10	3600	2004	Mieso
G02	T1	E10	3325	2004	Mieso
G03	T1	E10	4150	2004	Mieso
G04	T1	E10	2675	2004	Mieso
G05	T1	E10	3575	2004	Mieso
G06	T1	E10	3375	2004	Mieso
G07	T1	E10	2475	2004	Mieso
G08	T1	E10	3175	2004	Mieso
G09	T1	E10	3500	2004	Mieso
G10	T1	E10	3675	2004	Mieso
G11	T1	E10	4400	2004	Mieso
G12	T1	E10	4425	2004	Mieso
G13	T1	E10	3950	2004	Mieso
G14	T1	E10	3800	2004	Mieso
G15	T1	E10	3775	2004	Mieso
G16	T2	E10	3244	2004	Mieso
G17	T2	E10	3467	2004	Mieso
G18	T2	E10	3911	2004	Mieso
G19	T2	E10	3733	2004	Mieso
G20	T2	E10	3244	2004	Mieso
G21	T2	E10	4000	2004	Mieso
G22	T2	E10	3733	2004	Mieso
G23	T2	E10	3778	2004	Mieso
G24	T2	E10	2711	2004	Mieso
G25	T2	E10	3511	2004	Mieso
G26	T2	E10	3067	2004	Mieso
G27	T2	E10	3644	2004	Mieso
G28	T2	E10	3556	2004	Mieso
G01	T1	E11	5218	2004	Kobo
G02	T1	E11	5043	2004	Kobo
G03	T1	E11	4858	2004	Kobo
G04	T1	E11	5686	2004	Kobo
G05	T1	E11	4632	2004	Kobo
G06	T1	E11	5716	2004	Kobo
G07	T1	E11	5094	2004	Kobo
G08	T1	E11	4136	2004	Kobo
G09	T1	E11	4554	2004	Kobo
G10	T1	E11	5005	2004	Kobo
G11	T1	E11	5810	2004	Kobo
G12	T1	E11	4196	2004	Kobo
G13	T1	E11	4241	2004	Kobo
G14	T1	E11	4235	2004	Kobo
G15	T1	E11	4590	2004	Kobo
G16	T2	E11	3357	2004	Kobo
G17	T2	E11	3825	2004	Kobo
G18	T2	E11	3563	2004	Kobo
G19	T2	E11	3725	2004	Kobo
G20	T2	E11	3028	2004	Kobo
G21	T2	E11	4701	2004	Kobo
G22	T2	E11	3923	2004	Kobo
G23	T2	E11	4673	2004	Kobo
G24	T2	E11	3810	2004	Kobo
G25	T2	E11	3404	2004	Kobo
G26	T2	E11	3783	2004	Kobo
G27	T2	E11	3290	2004	Kobo
G28	T2	E11	3664	2004	Kobo
G01	T1	E12	4934	2005	Mieso
G02	T1	E12	4126	2005	Mieso
G03	T1	E12	4909	2005	Mieso
G04	T1	E12	3658	2005	Mieso
G05	T1	E12	4060	2005	Mieso
G06	T1	E12	3565	2005	Mieso
G07	T1	E12	4462	2005	Mieso
G08	T1	E12	3719	2005	Mieso
G09	T1	E12	3891	2005	Mieso
G10	T1	E12	3566	2005	Mieso
G11	T1	E12	5013	2005	Mieso
G12	T1	E12	3138	2005	Mieso
G13	T1	E12	3965	2005	Mieso
G14	T1	E12	4758	2005	Mieso
G15	T1	E12	4484	2005	Mieso
G16	T2	E12	2933	2005	Mieso
G17	T2	E12	3022	2005	Mieso
G18	T2	E12	2844	2005	Mieso
G19	T2	E12	2311	2005	Mieso
G20	T2	E12	3067	2005	Mieso
G21	T2	E12	3956	2005	Mieso
G22	T2	E12	2800	2005	Mieso
G23	T2	E12	3422	2005	Mieso
G24	T2	E12	2356	2005	Mieso
G25	T2	E12	3422	2005	Mieso
G26	T2	E12	3111	2005	Mieso
G27	T2	E12	2756	2005	Mieso
G28	T2	E12	3467	2005	Mieso
G01	T1	E13	3689	2005	Melkassa
G02	T1	E13	4089	2005	Melkassa
G03	T1	E13	4756	2005	Melkassa
G04	T1	E13	4267	2005	Melkassa
G05	T1	E13	3867	2005	Melkassa
G06	T1	E13	4000	2005	Melkassa
G07	T1	E13	1733	2005	Melkassa
G08	T1	E13	3911	2005	Melkassa
G09	T1	E13	3378	2005	Melkassa
G10	T1	E13	3822	2005	Melkassa
G11	T1	E13	4178	2005	Melkassa
G12	T1	E13	4044	2005	Melkassa
G13	T1	E13	3644	2005	Melkassa
G14	T1	E13	4267	2005	Melkassa
G15	T1	E13	3156	2005	Melkassa
G16	T2	E13	2836	2005	Melkassa
G17	T2	E13	2274	2005	Melkassa
G18	T2	E13	1814	2005	Melkassa
G19	T2	E13	2811	2005	Melkassa
G20	T2	E13	2747	2005	Melkassa
G21	T2	E13	1660	2005	Melkassa
G22	T2	E13	1579	2005	Melkassa
G23	T2	E13	1311	2005	Melkassa
G24	T2	E13	1269	2005	Melkassa
G25	T2	E13	1689	2005	Melkassa
G26	T2	E13	1578	2005	Melkassa
G27	T2	E13	2038	2005	Melkassa
G28	T2	E13	1967	2005	Melkassa
