year	farmer	place	district	gen	yield	income
1906	Willington	Birr	CentralPlain	Archer	175	160
1906	Luttrell	Monasterevan	CentralPlain	Archer	154	143
1906	Mulhall	Monasterevan	CentralPlain	Archer	200	186
1906	Matthews	Tullamore	CentralPlain	Archer	142	136
1906	Tennant	Bagnalstown	CentralPlain	Archer	244	227
1906	Nunn	Castlebridge	Wexford	Archer	186	179
1906	Dooley	NewRoss	Wexford	Archer	227	207
1906	Kearney	Carlingford	Louth	Archer	187	169
1906	Segrave	Dunleer	Louth	Archer	230	208
1901	McCarthy	Ballinacurra	Cork	Goldthorpe	112	102
1901	Hawkins	Whitegate	Cork	Goldthorpe	124	123
1901	Dwan	Thurles	CentralPlain	Goldthorpe	222	220
1901	Wolfe	Nenagh	CentralPlain	Goldthorpe	160	163
1902	McCarthy	Ballinacurra	Cork	Goldthorpe	190	171
1902	Hawkins	Whitegate	Cork	Goldthorpe	208	203
1902	Wolfe	Nenagh	CentralPlain	Goldthorpe	214	202
1902	Willington	Birr	CentralPlain	Goldthorpe	147	146
1902	Gorman	Enniscorthy	Wexford	Goldthorpe	190	182
1902	Nunn	Castlebridge	Wexford	Goldthorpe	180	180
1903	McCarthy	Ballinacurra	Cork	Goldthorpe	116	105
1903	Hawkins	Whitegate	Cork	Goldthorpe	117	119
1903	Wolfe	Nenagh	CentralPlain	Goldthorpe	135	131
1903	Willington	Birr	CentralPlain	Goldthorpe	128	126
1903	Gorman	Arnestown	Wexford	Goldthorpe	123	115
1903	Nunn	Castlebridge	Wexford	Goldthorpe	159	156
1903	Quinn	Carlingford	Louth	Goldthorpe	147	140
1903	Kearney	Greenore	Louth	Goldthorpe	125	119
1904	McCarthy	Ballinacurra	Cork	Goldthorpe	190	188
1904	Hawkins	Whitegate	Cork	Goldthorpe	164	164
1904	Wolfe	Nenagh	CentralPlain	Goldthorpe	184	187
1904	Willington	Birr	CentralPlain	Goldthorpe	190	184
1904	Kelly	Portarlington	CentralPlain	Goldthorpe	179	180
1904	Allardyce	Monasterevan	CentralPlain	Goldthorpe	165	167
1904	Roche	NewRoss	Wexford	Goldthorpe	112	106
1904	Nunn	Castlebridge	Wexford	Goldthorpe	100	99
1904	Kearney	Carlingford	Louth	Goldthorpe	151	149
1904	Segrave	Dunleer	Louth	Goldthorpe	183	187
1905	McCarthy	Ballinacurra	Cork	Goldthorpe	209	196
1905	Hawkins	Whitegate	Cork	Goldthorpe	181	174
1905	Wolfe	Nenagh	CentralPlain	Goldthorpe	250	203
1905	Willington	Birr	CentralPlain	Goldthorpe	216	211
1905	Luttrell	Monasterevan	CentralPlain	Goldthorpe	205	194
1905	Kelly	Portarlington	CentralPlain	Goldthorpe	168	157
1905	Matthews	Tullamore	CentralPlain	Goldthorpe	170	161
1905	Nunn	Castlebridge	Wexford	Goldthorpe	182	160
1905	Dooley	NewRoss	Wexford	Goldthorpe	218	212
1905	Kearney	Carlingford	Louth	Goldthorpe	180	152
1905	Segrave	Dunleer	Louth	Goldthorpe	200	199
1906	McCarthy	Ballinacurra	Cork	Goldthorpe	155	142
1906	Hawkins	Whitegate	Cork	Goldthorpe	142	129
1906	Wolfe	Nenagh	CentralPlain	Goldthorpe	141	131
1906	Willington	Birr	CentralPlain	Goldthorpe	159	146
1906	Luttrell	Monasterevan	CentralPlain	Goldthorpe	169	157
1906	Mulhall	Monasterevan	CentralPlain	Goldthorpe	222	207
1906	Matthews	Tullamore	CentralPlain	Goldthorpe	139	131
1906	Tennant	Bagnalstown	CentralPlain	Goldthorpe	222	209
1906	Nunn	Castlebridge	Wexford	Goldthorpe	169	158
1906	Dooley	NewRoss	Wexford	Goldthorpe	197	180
1906	Kearney	Carlingford	Louth	Goldthorpe	204	188
1906	Segrave	Dunleer	Louth	Goldthorpe	214	196
