"isle"	"site"	"block"	"plot"	"trt"	"ears"	"yield"	"N"	"P"	"K"
"Antigua"	"LFAN"	"B3"	19	"T220"	41	5	"2"	"2"	"0"
"Antigua"	"LFAN"	"B3"	20	"T202"	46	5.26	"2"	"0"	"2"
"Antigua"	"LFAN"	"B3"	21	"T000"	36	2.9	"0"	"0"	"0"
"Antigua"	"LFAN"	"B3"	22	"T111"	43	4.94	"1"	"1"	"1"
"Antigua"	"LFAN"	"B3"	23	"T113"	45	4.43	"1"	"1"	"3"
"Antigua"	"LFAN"	"B3"	24	"T311"	47	5.42	"3"	"1"	"1"
"Antigua"	"LFAN"	"B3"	25	"T022"	34	1.22	"0"	"2"	"2"
"Antigua"	"LFAN"	"B3"	26	"T111"	42	3.72	"1"	"1"	"1"
"Antigua"	"LFAN"	"B3"	27	"T131"	41	3.7	"1"	"3"	"1"
"Antigua"	"LFAN"	"B4"	28	"T131"	46	5.61	"1"	"3"	"1"
"Antigua"	"LFAN"	"B4"	29	"T111"	45	6.02	"1"	"1"	"1"
"Antigua"	"LFAN"	"B4"	30	"T020"	45	3.18	"0"	"2"	"0"
"Antigua"	"LFAN"	"B4"	31	"T311"	47	6.07	"3"	"1"	"1"
"Antigua"	"LFAN"	"B4"	32	"T002"	38	1.48	"0"	"0"	"2"
"Antigua"	"LFAN"	"B4"	33	"T222"	47	5.94	"2"	"2"	"2"
"Antigua"	"LFAN"	"B4"	34	"T111"	42	3.58	"1"	"1"	"1"
"Antigua"	"LFAN"	"B4"	35	"T200"	39	3.95	"2"	"0"	"0"
"Antigua"	"LFAN"	"B4"	36	"T113"	44	3.38	"1"	"1"	"3"
"Antigua"	"TEAN"	"B1"	1	"T113"	32	1.27	"1"	"1"	"3"
"Antigua"	"TEAN"	"B1"	2	"T111"	29	2.1	"1"	"1"	"1"
"Antigua"	"TEAN"	"B1"	3	"T022"	46	2.37	"0"	"2"	"2"
"Antigua"	"TEAN"	"B1"	4	"T202"	28	2.08	"2"	"0"	"2"
"Antigua"	"TEAN"	"B1"	5	"T000"	31	1.74	"0"	"0"	"0"
"Antigua"	"TEAN"	"B1"	6	"T131"	39	3.16	"1"	"3"	"1"
"Antigua"	"TEAN"	"B1"	7	"T220"	42	4.55	"2"	"2"	"0"
"Antigua"	"TEAN"	"B1"	8	"T111"	36	3.2	"1"	"1"	"1"
"Antigua"	"TEAN"	"B1"	9	"T311"	35	3.69	"3"	"1"	"1"
"Antigua"	"TEAN"	"B2"	10	"T200"	28	1.52	"2"	"0"	"0"
"Antigua"	"TEAN"	"B2"	11	"T311"	30	2.02	"3"	"1"	"1"
"Antigua"	"TEAN"	"B2"	12	"T222"	29	1.97	"2"	"2"	"2"
"Antigua"	"TEAN"	"B2"	13	"T020"	29	1.94	"0"	"2"	"0"
"Antigua"	"TEAN"	"B2"	14	"T131"	30	2.01	"1"	"3"	"1"
"Antigua"	"TEAN"	"B2"	15	"T111"	35	2.18	"1"	"1"	"1"
"Antigua"	"TEAN"	"B2"	16	"T002"	36	3.24	"0"	"0"	"2"
"Antigua"	"TEAN"	"B2"	17	"T113"	39	3.91	"1"	"1"	"3"
"Antigua"	"TEAN"	"B2"	18	"T111"	48	4.2	"1"	"1"	"1"
"Antigua"	"TEAN"	"B3"	19	"T111"	34	2.57	"1"	"1"	"1"
"Antigua"	"TEAN"	"B3"	20	"T202"	37	2.88	"2"	"0"	"2"
"Antigua"	"TEAN"	"B3"	21	"T220"	37	3.45	"2"	"2"	"0"
"Antigua"	"TEAN"	"B3"	22	"T000"	42	2.89	"0"	"0"	"0"
"Antigua"	"TEAN"	"B3"	23	"T111"	38	3.01	"1"	"1"	"1"
"Antigua"	"TEAN"	"B3"	24	"T113"	39	2.87	"1"	"1"	"3"
"Antigua"	"TEAN"	"B3"	25	"T311"	35	3.25	"3"	"1"	"1"
"Antigua"	"TEAN"	"B3"	26	"T131"	41	3.92	"1"	"3"	"1"
"Antigua"	"TEAN"	"B3"	27	"T022"	28	0.88	"0"	"2"	"2"
"Antigua"	"TEAN"	"B4"	28	"T311"	25	1.14	"3"	"1"	"1"
"Antigua"	"TEAN"	"B4"	29	"T111"	43	3.61	"1"	"1"	"1"
"Antigua"	"TEAN"	"B4"	30	"T113"	42	3.05	"1"	"1"	"3"
"Antigua"	"TEAN"	"B4"	31	"T002"	44	3.41	"0"	"0"	"2"
"Antigua"	"TEAN"	"B4"	32	"T222"	48	4.46	"2"	"2"	"2"
"Antigua"	"TEAN"	"B4"	33	"T200"	41	4.36	"2"	"0"	"0"
"Antigua"	"TEAN"	"B4"	34	"T111"	39	3.42	"1"	"1"	"1"
"Antigua"	"TEAN"	"B4"	35	"T131"	28	1.06	"1"	"3"	"1"
"Antigua"	"TEAN"	"B4"	36	"T020"	NA	NA	"0"	"2"	"0"
"Antigua"	"WEAN"	"B1"	1	"T000"	48	4.02	"0"	"0"	"0"
"Antigua"	"WEAN"	"B1"	2	"T311"	47	5.8	"3"	"1"	"1"
"Antigua"	"WEAN"	"B1"	3	"T202"	32	2.16	"2"	"0"	"2"
"Antigua"	"WEAN"	"B1"	4	"T220"	43	5.31	"2"	"2"	"0"
"Antigua"	"WEAN"	"B1"	5	"T111"	42	5.12	"1"	"1"	"1"
"Antigua"	"WEAN"	"B1"	6	"T131"	45	5.98	"1"	"3"	"1"
"Antigua"	"WEAN"	"B1"	7	"T113"	46	5.46	"1"	"1"	"3"
"Antigua"	"WEAN"	"B1"	8	"T022"	43	3.45	"0"	"2"	"2"
"Antigua"	"WEAN"	"B1"	9	"T111"	45	4.96	"1"	"1"	"1"
"Antigua"	"WEAN"	"B2"	10	"T111"	46	4.26	"1"	"1"	"1"
"Antigua"	"WEAN"	"B2"	11	"T131"	48	6.35	"1"	"3"	"1"
"Antigua"	"WEAN"	"B2"	12	"T020"	47	4.28	"0"	"2"	"0"
"Antigua"	"WEAN"	"B2"	13	"T111"	41	4.94	"1"	"1"	"1"
"Antigua"	"WEAN"	"B2"	14	"T311"	38	4.39	"3"	"1"	"1"
"Antigua"	"WEAN"	"B2"	15	"T002"	44	3.92	"0"	"0"	"2"
"Antigua"	"WEAN"	"B2"	16	"T113"	43	5.74	"1"	"1"	"3"
"Antigua"	"WEAN"	"B2"	17	"T200"	46	4.98	"2"	"0"	"0"
"Antigua"	"WEAN"	"B2"	18	"T222"	44	5.4	"2"	"2"	"2"
"Antigua"	"WEAN"	"B3"	19	"T111"	45	6.1	"1"	"1"	"1"
"Antigua"	"WEAN"	"B3"	20	"T113"	45	5.86	"1"	"1"	"3"
"Antigua"	"WEAN"	"B3"	21	"T022"	47	4.59	"0"	"2"	"2"
"Antigua"	"WEAN"	"B3"	22	"T311"	36	4.36	"3"	"1"	"1"
"Antigua"	"WEAN"	"B3"	23	"T000"	41	4.16	"0"	"0"	"0"
"Antigua"	"WEAN"	"B3"	24	"T111"	46	6.58	"1"	"1"	"1"
"Antigua"	"WEAN"	"B3"	25	"T220"	38	5.11	"2"	"2"	"0"
"Antigua"	"WEAN"	"B3"	26	"T131"	48	5.96	"1"	"3"	"1"
"Antigua"	"WEAN"	"B3"	27	"T202"	36	3.45	"2"	"0"	"2"
"Antigua"	"WEAN"	"B4"	28	"T020"	43	5.77	"0"	"2"	"0"
"Antigua"	"WEAN"	"B4"	29	"T111"	46	6.6	"1"	"1"	"1"
"Antigua"	"WEAN"	"B4"	30	"T200"	43	3.88	"2"	"0"	"0"
"Antigua"	"WEAN"	"B4"	31	"T222"	34	4.04	"2"	"2"	"2"
"Antigua"	"WEAN"	"B4"	32	"T002"	32	2.76	"0"	"0"	"2"
"Antigua"	"WEAN"	"B4"	33	"T311"	42	6.31	"3"	"1"	"1"
"Antigua"	"WEAN"	"B4"	34	"T131"	38	5.28	"1"	"3"	"1"
"Antigua"	"WEAN"	"B4"	35	"T113"	44	4.61	"1"	"1"	"3"
"Antigua"	"WEAN"	"B4"	36	"T111"	46	5.65	"1"	"1"	"1"
"Antigua"	"WLAN"	"B1"	1	"T000"	58	2	"0"	"0"	"0"
"Antigua"	"WLAN"	"B1"	2	"T113"	56	2.39	"1"	"1"	"3"
"Antigua"	"WLAN"	"B1"	3	"T131"	52	2.04	"1"	"3"	"1"
"Antigua"	"WLAN"	"B1"	4	"T202"	44	1.64	"2"	"0"	"2"
"Antigua"	"WLAN"	"B1"	5	"T220"	45	1.83	"2"	"2"	"0"
"Antigua"	"WLAN"	"B1"	6	"T111"	47	2.08	"1"	"1"	"1"
"Antigua"	"WLAN"	"B1"	7	"T022"	55	3.13	"0"	"2"	"2"
"Antigua"	"WLAN"	"B1"	8	"T111"	53	1.96	"1"	"1"	"1"
"Antigua"	"WLAN"	"B1"	9	"T311"	43	1.3	"3"	"1"	"1"
"Antigua"	"WLAN"	"B2"	10	"T311"	68	2.16	"3"	"1"	"1"
"Antigua"	"WLAN"	"B2"	11	"T002"	40	1.74	"0"	"0"	"2"
"Antigua"	"WLAN"	"B2"	12	"T111"	58	2.46	"1"	"1"	"1"
"Antigua"	"WLAN"	"B2"	13	"T200"	44	2.17	"2"	"0"	"0"
"Antigua"	"WLAN"	"B2"	14	"T020"	42	2.72	"0"	"2"	"0"
"Antigua"	"WLAN"	"B2"	15	"T113"	55	2.07	"1"	"1"	"3"
"Antigua"	"WLAN"	"B2"	16	"T111"	54	2.87	"1"	"1"	"1"
"Antigua"	"WLAN"	"B2"	17	"T222"	48	2.14	"2"	"2"	"2"
"Antigua"	"WLAN"	"B2"	18	"T131"	38	1.45	"1"	"3"	"1"
"Antigua"	"WLAN"	"B3"	19	"T311"	69	2.05	"3"	"1"	"1"
"Antigua"	"WLAN"	"B3"	20	"T022"	60	2.44	"0"	"2"	"2"
"Antigua"	"WLAN"	"B3"	21	"T111"	50	2.88	"1"	"1"	"1"
"Antigua"	"WLAN"	"B3"	22	"T000"	40	2.28	"0"	"0"	"0"
"Antigua"	"WLAN"	"B3"	23	"T111"	51	3.44	"1"	"1"	"1"
"Antigua"	"WLAN"	"B3"	24	"T113"	54	2.56	"1"	"1"	"3"
"Antigua"	"WLAN"	"B3"	25	"T202"	41	2.41	"2"	"0"	"2"
"Antigua"	"WLAN"	"B3"	26	"T131"	53	3.24	"1"	"3"	"1"
"Antigua"	"WLAN"	"B3"	27	"T220"	51	1.66	"2"	"2"	"0"
"Antigua"	"WLAN"	"B4"	28	"T200"	57	1.76	"2"	"0"	"0"
"Antigua"	"WLAN"	"B4"	29	"T113"	55	2.84	"1"	"1"	"3"
"Antigua"	"WLAN"	"B4"	30	"T002"	39	2.25	"0"	"0"	"2"
"Antigua"	"WLAN"	"B4"	31	"T131"	63	2.73	"1"	"3"	"1"
"Antigua"	"WLAN"	"B4"	32	"T111"	48	3.55	"1"	"1"	"1"
"Antigua"	"WLAN"	"B4"	33	"T311"	51	3.13	"3"	"1"	"1"
"Antigua"	"WLAN"	"B4"	34	"T020"	39	2.41	"0"	"2"	"0"
"Antigua"	"WLAN"	"B4"	35	"T111"	43	3.49	"1"	"1"	"1"
"Antigua"	"WLAN"	"B4"	36	"T222"	56	1.96	"2"	"2"	"2"
"Antigua"	"NSAN"	"B1"	1	"T202"	25	2.43	"2"	"0"	"2"
"Antigua"	"NSAN"	"B1"	2	"T111"	13	1.28	"1"	"1"	"1"
"Antigua"	"NSAN"	"B1"	3	"T311"	10	0.83	"3"	"1"	"1"
"Antigua"	"NSAN"	"B1"	4	"T131"	24	2.44	"1"	"3"	"1"
"Antigua"	"NSAN"	"B1"	5	"T022"	30	1.3	"0"	"2"	"2"
"Antigua"	"NSAN"	"B1"	6	"T000"	25	1.34	"0"	"0"	"0"
"Antigua"	"NSAN"	"B1"	7	"T113"	25	2.06	"1"	"1"	"3"
"Antigua"	"NSAN"	"B1"	8	"T220"	32	3.02	"2"	"2"	"0"
"Antigua"	"NSAN"	"B1"	9	"T111"	27	2.18	"1"	"1"	"1"
"Antigua"	"NSAN"	"B2"	10	"T131"	26	2.35	"1"	"3"	"1"
"Antigua"	"NSAN"	"B2"	11	"T002"	28	2.15	"0"	"0"	"2"
"Antigua"	"NSAN"	"B2"	12	"T111"	36	3.24	"1"	"1"	"1"
"Antigua"	"NSAN"	"B2"	13	"T020"	34	2.78	"0"	"2"	"0"
"Antigua"	"NSAN"	"B2"	14	"T222"	27	2.91	"2"	"2"	"2"
"Antigua"	"NSAN"	"B2"	15	"T111"	32	3.1	"1"	"1"	"1"
"Antigua"	"NSAN"	"B2"	16	"T200"	28	2.86	"2"	"0"	"0"
"Antigua"	"NSAN"	"B2"	17	"T113"	32	3.33	"1"	"1"	"3"
"Antigua"	"NSAN"	"B2"	18	"T311"	32	3	"3"	"1"	"1"
"Antigua"	"NSAN"	"B3"	19	"T022"	32	2.75	"0"	"2"	"2"
"Antigua"	"NSAN"	"B3"	20	"T131"	36	2.92	"1"	"3"	"1"
"Antigua"	"NSAN"	"B3"	21	"T000"	28	1.7	"0"	"0"	"0"
"Antigua"	"NSAN"	"B3"	22	"T220"	34	3.36	"2"	"2"	"0"
"Antigua"	"NSAN"	"B3"	23	"T111"	30	1.58	"1"	"1"	"1"
"Antigua"	"NSAN"	"B3"	24	"T202"	27	1.98	"2"	"0"	"2"
"Antigua"	"NSAN"	"B3"	25	"T311"	39	2.9	"3"	"1"	"1"
"Antigua"	"NSAN"	"B3"	26	"T113"	26	2.05	"1"	"1"	"3"
"Antigua"	"NSAN"	"B3"	27	"T111"	24	1.4	"1"	"1"	"1"
"Antigua"	"NSAN"	"B4"	28	"T002"	33	1.95	"0"	"0"	"2"
"Antigua"	"NSAN"	"B4"	29	"T111"	29	2.34	"1"	"1"	"1"
"Antigua"	"NSAN"	"B4"	30	"T200"	19	1.55	"2"	"0"	"0"
"Antigua"	"NSAN"	"B4"	31	"T222"	22	1.73	"2"	"2"	"2"
"Antigua"	"NSAN"	"B4"	32	"T020"	30	2.05	"0"	"2"	"0"
"Antigua"	"NSAN"	"B4"	33	"T131"	33	3.44	"1"	"3"	"1"
"Antigua"	"NSAN"	"B4"	34	"T113"	33	2.11	"1"	"1"	"3"
"Antigua"	"NSAN"	"B4"	35	"T311"	35	3.22	"3"	"1"	"1"
"Antigua"	"NSAN"	"B4"	36	"T111"	21	1.6	"1"	"1"	"1"
"Antigua"	"OVAN"	"B1"	1	"T111"	28	2.04	"1"	"1"	"1"
"Antigua"	"OVAN"	"B1"	2	"T113"	35	3.88	"1"	"1"	"3"
"Antigua"	"OVAN"	"B1"	3	"T311"	38	5.53	"3"	"1"	"1"
"Antigua"	"OVAN"	"B1"	4	"T131"	42	6.61	"1"	"3"	"1"
"Antigua"	"OVAN"	"B1"	5	"T000"	31	2.97	"0"	"0"	"0"
"Antigua"	"OVAN"	"B1"	6	"T111"	35	4.47	"1"	"1"	"1"
"Antigua"	"OVAN"	"B1"	7	"T220"	26	4.06	"2"	"2"	"0"
"Antigua"	"OVAN"	"B1"	8	"T022"	37	5.02	"0"	"2"	"2"
"Antigua"	"OVAN"	"B1"	9	"T202"	38	4.56	"2"	"0"	"2"
"Antigua"	"OVAN"	"B2"	10	"T111"	41	3.5	"1"	"1"	"1"
"Antigua"	"OVAN"	"B2"	11	"T020"	37	4.58	"0"	"2"	"0"
"Antigua"	"OVAN"	"B2"	12	"T131"	30	4.42	"1"	"3"	"1"
"Antigua"	"OVAN"	"B2"	13	"T200"	47	6.16	"2"	"0"	"0"
"Antigua"	"OVAN"	"B2"	14	"T311"	45	6.09	"3"	"1"	"1"
"Antigua"	"OVAN"	"B2"	15	"T113"	38	4.94	"1"	"1"	"3"
"Antigua"	"OVAN"	"B2"	16	"T222"	37	5.83	"2"	"2"	"2"
"Antigua"	"OVAN"	"B2"	17	"T111"	37	5.05	"1"	"1"	"1"
"Antigua"	"OVAN"	"B2"	18	"T002"	30	3.9	"0"	"0"	"2"
"Antigua"	"OVAN"	"B3"	19	"T131"	35	3.92	"1"	"3"	"1"
"Antigua"	"OVAN"	"B3"	20	"T022"	42	4.78	"0"	"2"	"2"
"Antigua"	"OVAN"	"B3"	21	"T111"	40	5.26	"1"	"1"	"1"
"Antigua"	"OVAN"	"B3"	22	"T220"	40	5.52	"2"	"2"	"0"
"Antigua"	"OVAN"	"B3"	23	"T111"	42	5.87	"1"	"1"	"1"
"Antigua"	"OVAN"	"B3"	24	"T311"	43	6.19	"3"	"1"	"1"
"Antigua"	"OVAN"	"B3"	25	"T000"	39	5.26	"0"	"0"	"0"
"Antigua"	"OVAN"	"B3"	26	"T202"	30	3.08	"2"	"0"	"2"
"Antigua"	"OVAN"	"B3"	27	"T113"	29	3.14	"1"	"1"	"3"
"Antigua"	"OVAN"	"B4"	28	"T222"	45	4.56	"2"	"2"	"2"
"Antigua"	"OVAN"	"B4"	29	"T113"	38	4.74	"1"	"1"	"3"
"Antigua"	"OVAN"	"B4"	30	"T311"	38	5.32	"3"	"1"	"1"
"Antigua"	"OVAN"	"B4"	31	"T111"	45	5.57	"1"	"1"	"1"
"Antigua"	"OVAN"	"B4"	32	"T002"	26	1.69	"0"	"0"	"2"
"Antigua"	"OVAN"	"B4"	33	"T020"	40	4.57	"0"	"2"	"0"
"Antigua"	"OVAN"	"B4"	34	"T131"	38	6.18	"1"	"3"	"1"
"Antigua"	"OVAN"	"B4"	35	"T111"	48	6.9	"1"	"1"	"1"
"Antigua"	"OVAN"	"B4"	36	"T200"	33	3.93	"2"	"0"	"0"
"Antigua"	"ORAN"	"B1"	1	"T113"	43	5.26	"1"	"1"	"3"
"Antigua"	"ORAN"	"B1"	2	"T111"	44	6.87	"1"	"1"	"1"
"Antigua"	"ORAN"	"B1"	3	"T202"	44	7.78	"2"	"0"	"2"
"Antigua"	"ORAN"	"B1"	4	"T311"	41	6.75	"3"	"1"	"1"
"Antigua"	"ORAN"	"B1"	5	"T022"	44	6.56	"0"	"2"	"2"
"Antigua"	"ORAN"	"B1"	6	"T131"	42	6.47	"1"	"3"	"1"
"Antigua"	"ORAN"	"B1"	7	"T111"	41	6.71	"1"	"1"	"1"
"Antigua"	"ORAN"	"B1"	8	"T220"	41	6.74	"2"	"2"	"0"
"Antigua"	"ORAN"	"B1"	9	"T000"	45	6.92	"0"	"0"	"0"
"Antigua"	"ORAN"	"B2"	10	"T002"	36	3.75	"0"	"0"	"2"
"Antigua"	"ORAN"	"B2"	11	"T020"	35	3.56	"0"	"2"	"0"
"Antigua"	"ORAN"	"B2"	12	"T113"	38	5.45	"1"	"1"	"3"
"Antigua"	"ORAN"	"B2"	13	"T311"	40	7.55	"3"	"1"	"1"
"Antigua"	"ORAN"	"B2"	14	"T111"	40	7.2	"1"	"1"	"1"
"Antigua"	"ORAN"	"B2"	15	"T222"	44	6.48	"2"	"2"	"2"
"Antigua"	"ORAN"	"B2"	16	"T200"	41	7.36	"2"	"0"	"0"
"Antigua"	"ORAN"	"B2"	17	"T131"	41	7.18	"1"	"3"	"1"
"Antigua"	"ORAN"	"B2"	18	"T111"	48	7.53	"1"	"1"	"1"
"Antigua"	"ORAN"	"B3"	19	"T000"	36	5.74	"0"	"0"	"0"
"Antigua"	"ORAN"	"B3"	20	"T311"	44	7.52	"3"	"1"	"1"
"Antigua"	"ORAN"	"B3"	21	"T220"	46	7.87	"2"	"2"	"0"
"Antigua"	"ORAN"	"B3"	22	"T111"	43	6.39	"1"	"1"	"1"
"Antigua"	"ORAN"	"B3"	23	"T113"	46	7.04	"1"	"1"	"3"
"Antigua"	"ORAN"	"B3"	24	"T111"	40	6.48	"1"	"1"	"1"
"Antigua"	"ORAN"	"B3"	25	"T131"	47	7.56	"1"	"3"	"1"
"Antigua"	"ORAN"	"B3"	26	"T202"	46	6.87	"2"	"0"	"2"
"Antigua"	"ORAN"	"B3"	27	"T022"	41	6.12	"0"	"2"	"2"
"Antigua"	"ORAN"	"B4"	28	"T200"	47	7.45	"2"	"0"	"0"
"Antigua"	"ORAN"	"B4"	29	"T111"	45	6.75	"1"	"1"	"1"
"Antigua"	"ORAN"	"B4"	30	"T131"	42	6.41	"1"	"3"	"1"
"Antigua"	"ORAN"	"B4"	31	"T020"	37	5.28	"0"	"2"	"0"
"Antigua"	"ORAN"	"B4"	32	"T311"	35	5.27	"3"	"1"	"1"
"Antigua"	"ORAN"	"B4"	33	"T002"	46	7.28	"0"	"0"	"2"
"Antigua"	"ORAN"	"B4"	34	"T111"	45	7.39	"1"	"1"	"1"
"Antigua"	"ORAN"	"B4"	35	"T222"	43	6.61	"2"	"2"	"2"
"Antigua"	"ORAN"	"B4"	36	"T113"	37	4.75	"1"	"1"	"3"
"StVincent"	"CPSV"	"B1"	1	"T022"	NA	24	"0"	"2"	"2"
"StVincent"	"CPSV"	"B1"	2	"T131"	NA	27.1	"1"	"3"	"1"
"StVincent"	"CPSV"	"B1"	3	"T111"	NA	26.5	"1"	"1"	"1"
"StVincent"	"CPSV"	"B1"	4	"T000"	NA	23.1	"0"	"0"	"0"
"StVincent"	"CPSV"	"B1"	5	"T202"	NA	22.1	"2"	"0"	"2"
"StVincent"	"CPSV"	"B1"	6	"T220"	NA	24.1	"2"	"2"	"0"
"StVincent"	"CPSV"	"B1"	7	"T111"	NA	26.1	"1"	"1"	"1"
"StVincent"	"CPSV"	"B1"	8	"T113"	NA	22.5	"1"	"1"	"3"
"StVincent"	"CPSV"	"B1"	9	"T311"	NA	23	"3"	"1"	"1"
"StVincent"	"CPSV"	"B2"	10	"T111"	NA	26.4	"1"	"1"	"1"
"StVincent"	"CPSV"	"B2"	11	"T311"	NA	24.8	"3"	"1"	"1"
"StVincent"	"CPSV"	"B2"	12	"T111"	NA	23.8	"1"	"1"	"1"
"StVincent"	"CPSV"	"B2"	13	"T222"	NA	24	"2"	"2"	"2"
"StVincent"	"CPSV"	"B2"	14	"T200"	NA	22.8	"2"	"0"	"0"
"StVincent"	"CPSV"	"B2"	15	"T131"	NA	26	"1"	"3"	"1"
"StVincent"	"CPSV"	"B2"	16	"T002"	NA	20.5	"0"	"0"	"2"
"StVincent"	"CPSV"	"B2"	17	"T113"	NA	24.4	"1"	"1"	"3"
"StVincent"	"CPSV"	"B2"	18	"T020"	NA	26	"0"	"2"	"0"
"StVincent"	"CPSV"	"B3"	19	"T220"	NA	19	"2"	"2"	"0"
"StVincent"	"CPSV"	"B3"	20	"T111"	NA	21	"1"	"1"	"1"
"StVincent"	"CPSV"	"B3"	21	"T111"	NA	24.1	"1"	"1"	"1"
"StVincent"	"CPSV"	"B3"	22	"T311"	NA	23.1	"3"	"1"	"1"
"StVincent"	"CPSV"	"B3"	23	"T131"	NA	20.1	"1"	"3"	"1"
"StVincent"	"CPSV"	"B3"	24	"T022"	NA	23.2	"0"	"2"	"2"
"StVincent"	"CPSV"	"B3"	25	"T202"	NA	19.8	"2"	"0"	"2"
"StVincent"	"CPSV"	"B3"	26	"T113"	NA	19	"1"	"1"	"3"
"StVincent"	"CPSV"	"B3"	27	"T000"	NA	22.2	"0"	"0"	"0"
"StVincent"	"CPSV"	"B4"	28	"T131"	NA	25.2	"1"	"3"	"1"
