"gen"	"region"	"loc"	"yield"
"T18"	"Atlantic"	"L02"	3744
"T19"	"Atlantic"	"L02"	3713
"T20"	"Atlantic"	"L02"	3962
"T21"	"Atlantic"	"L02"	3206
"T22"	"Atlantic"	"L02"	3792
"T23"	"Atlantic"	"L02"	3740
"T24"	"Atlantic"	"L02"	3188
"T25"	"Atlantic"	"L02"	3966
"T26"	"Atlantic"	"L02"	3809
"T27"	"Atlantic"	"L02"	3829
"T28"	"Atlantic"	"L02"	3740
"T29"	"Atlantic"	"L02"	4290
"Bruce"	"Quebec"	"L03"	3052
"Conquest"	"Quebec"	"L03"	3148
"Laurier"	"Quebec"	"L03"	3973
"Leger"	"Quebec"	"L03"	3908
"T01"	"Quebec"	"L03"	3095
"T02"	"Quebec"	"L03"	3388
"T03"	"Quebec"	"L03"	3825
"T04"	"Quebec"	"L03"	3190
"T05"	"Quebec"	"L03"	3802
"T06"	"Quebec"	"L03"	3287
"T07"	"Quebec"	"L03"	3898
"T08"	"Quebec"	"L03"	3048
"T09"	"Quebec"	"L03"	3496
"T10"	"Quebec"	"L03"	3633
"T11"	"Quebec"	"L03"	4068
"T12"	"Quebec"	"L03"	3751
"T13"	"Quebec"	"L03"	4024
"T14"	"Quebec"	"L03"	3856
"T15"	"Quebec"	"L03"	3358
"T16"	"Quebec"	"L03"	3329
"T17"	"Quebec"	"L03"	3493
"T18"	"Quebec"	"L03"	3830
"T19"	"Quebec"	"L03"	3680
"T20"	"Quebec"	"L03"	4024
"T21"	"Quebec"	"L03"	3124
"T22"	"Quebec"	"L03"	3656
"T23"	"Quebec"	"L03"	2822
"T24"	"Quebec"	"L03"	2894
"T25"	"Quebec"	"L03"	3927
"T26"	"Quebec"	"L03"	3846
"T27"	"Quebec"	"L03"	3095
"T28"	"Quebec"	"L03"	3550
"T29"	"Quebec"	"L03"	4040
"Bruce"	"Quebec"	"L04"	1935
"Conquest"	"Quebec"	"L04"	2383
"Laurier"	"Quebec"	"L04"	2450
"Leger"	"Quebec"	"L04"	2489
"T01"	"Quebec"	"L04"	2325
"T02"	"Quebec"	"L04"	1861
"T03"	"Quebec"	"L04"	2110
"T04"	"Quebec"	"L04"	1733
"T05"	"Quebec"	"L04"	2287
"T06"	"Quebec"	"L04"	2562
"T07"	"Quebec"	"L04"	2531
"T08"	"Quebec"	"L04"	1982
"T09"	"Quebec"	"L04"	1989
"T10"	"Quebec"	"L04"	2062
"T11"	"Quebec"	"L04"	2379
"T12"	"Quebec"	"L04"	2278
"T13"	"Quebec"	"L04"	2387
"T14"	"Quebec"	"L04"	2259
"T15"	"Quebec"	"L04"	2539
"T16"	"Quebec"	"L04"	2522
"T17"	"Quebec"	"L04"	2125
"T18"	"Quebec"	"L04"	2105
"T19"	"Quebec"	"L04"	2239
"T20"	"Quebec"	"L04"	2253
"T21"	"Quebec"	"L04"	2034
"T22"	"Quebec"	"L04"	2461
"T23"	"Quebec"	"L04"	2026
"T24"	"Quebec"	"L04"	1862
"T25"	"Quebec"	"L04"	2119
"T26"	"Quebec"	"L04"	2319
"T27"	"Quebec"	"L04"	2367
"T28"	"Quebec"	"L04"	2240
"T29"	"Quebec"	"L04"	2283
"Bruce"	"Quebec"	"L05"	6242
"Conquest"	"Quebec"	"L05"	5143
"Laurier"	"Quebec"	"L05"	6730
"Leger"	"Quebec"	"L05"	7004
"T01"	"Quebec"	"L05"	5642
"T02"	"Quebec"	"L05"	5404
"T03"	"Quebec"	"L05"	6448
"T04"	"Quebec"	"L05"	5451
"T05"	"Quebec"	"L05"	5778
"T06"	"Quebec"	"L05"	7005
"T07"	"Quebec"	"L05"	6381
"T08"	"Quebec"	"L05"	5104
"T09"	"Quebec"	"L05"	6013
"T10"	"Quebec"	"L05"	6253
"T11"	"Quebec"	"L05"	5600
"T12"	"Quebec"	"L05"	5660
"T13"	"Quebec"	"L05"	7084
"T14"	"Quebec"	"L05"	6711
"T15"	"Quebec"	"L05"	5324
"T16"	"Quebec"	"L05"	6097
"T17"	"Quebec"	"L05"	6030
"T18"	"Quebec"	"L05"	5701
"T19"	"Quebec"	"L05"	6378
"T20"	"Quebec"	"L05"	6355
"T21"	"Quebec"	"L05"	5569
"T22"	"Quebec"	"L05"	5667
"T23"	"Quebec"	"L05"	5919
"T24"	"Quebec"	"L05"	5103
"T25"	"Quebec"	"L05"	6361
"T26"	"Quebec"	"L05"	5711
"T27"	"Quebec"	"L05"	6399
"T28"	"Quebec"	"L05"	6287
"T29"	"Quebec"	"L05"	6126
"Bruce"	"Ontario"	"L06"	3627
"Conquest"	"Ontario"	"L06"	3240
"Laurier"	"Ontario"	"L06"	3888
"Leger"	"Ontario"	"L06"	3794
"T01"	"Ontario"	"L06"	3581
"T02"	"Ontario"	"L06"	3824
"T03"	"Ontario"	"L06"	3864
"T04"	"Ontario"	"L06"	3505
"T05"	"Ontario"	"L06"	3143
"T06"	"Ontario"	"L06"	3503
"T07"	"Ontario"	"L06"	3816
"T08"	"Ontario"	"L06"	3454
"T09"	"Ontario"	"L06"	3534
"T10"	"Ontario"	"L06"	3543
"T11"	"Ontario"	"L06"	3990
"T12"	"Ontario"	"L06"	3290
"T13"	"Ontario"	"L06"	3707
"T14"	"Ontario"	"L06"	4013
"T15"	"Ontario"	"L06"	3203
"T16"	"Ontario"	"L06"	3489
"T17"	"Ontario"	"L06"	3555
"T18"	"Ontario"	"L06"	3579
"T19"	"Ontario"	"L06"	3043
"T20"	"Ontario"	"L06"	3154
"T21"	"Ontario"	"L06"	3838
"T22"	"Ontario"	"L06"	3077
"T23"	"Ontario"	"L06"	3721
"T24"	"Ontario"	"L06"	3259
"T25"	"Ontario"	"L06"	3851
"T26"	"Ontario"	"L06"	3662
"T27"	"Ontario"	"L06"	3966
"T28"	"Ontario"	"L06"	3313
"T29"	"Ontario"	"L06"	3644
"Bruce"	"Ontario"	"L07"	3075
"Conquest"	"Ontario"	"L07"	2737
"Laurier"	"Ontario"	"L07"	2625
"Leger"	"Ontario"	"L07"	3393
"T01"	"Ontario"	"L07"	3665
"T02"	"Ontario"	"L07"	3047
"T03"	"Ontario"	"L07"	2662
"T04"	"Ontario"	"L07"	2634
"T05"	"Ontario"	"L07"	2737
"T06"	"Ontario"	"L07"	3225
"T07"	"Ontario"	"L07"	3487
"T08"	"Ontario"	"L07"	2803
"T09"	"Ontario"	"L07"	3262
"T10"	"Ontario"	"L07"	3000
"T11"	"Ontario"	"L07"	2072
"T12"	"Ontario"	"L07"	1772
"T13"	"Ontario"	"L07"	2662
"T14"	"Ontario"	"L07"	2859
"T15"	"Ontario"	"L07"	3159
"T16"	"Ontario"	"L07"	2540
"T17"	"Ontario"	"L07"	2250
"T18"	"Ontario"	"L07"	2343
"T19"	"Ontario"	"L07"	1922
"T20"	"Ontario"	"L07"	2184
"T21"	"Ontario"	"L07"	2821
"T22"	"Ontario"	"L07"	2193
"T23"	"Ontario"	"L07"	3215
"T24"	"Ontario"	"L07"	2850
"T25"	"Ontario"	"L07"	2653
"T26"	"Ontario"	"L07"	3009
"T27"	"Ontario"	"L07"	3271
"T28"	"Ontario"	"L07"	2287
"T29"	"Ontario"	"L07"	3784
"Bruce"	"Ontario"	"L08"	3641
"Conquest"	"Ontario"	"L08"	3160
"Laurier"	"Ontario"	"L08"	3136
"Leger"	"Ontario"	"L08"	3815
"T01"	"Ontario"	"L08"	4088
"T02"	"Ontario"	"L08"	3370
"T03"	"Ontario"	"L08"	3510
"T04"	"Ontario"	"L08"	2932
"T05"	"Ontario"	"L08"	3475
"T06"	"Ontario"	"L08"	3739
"T07"	"Ontario"	"L08"	4151
"T08"	"Ontario"	"L08"	3303
"T09"	"Ontario"	"L08"	3718
"T10"	"Ontario"	"L08"	3367
"T11"	"Ontario"	"L08"	3455
"T12"	"Ontario"	"L08"	2671
"T13"	"Ontario"	"L08"	3817
"T14"	"Ontario"	"L08"	3612
"T15"	"Ontario"	"L08"	3789
"T16"	"Ontario"	"L08"	2943
"T17"	"Ontario"	"L08"	3182
"T18"	"Ontario"	"L08"	3603
"T19"	"Ontario"	"L08"	2982
"T20"	"Ontario"	"L08"	3408
"T21"	"Ontario"	"L08"	4009
"T22"	"Ontario"	"L08"	3169
"T23"	"Ontario"	"L08"	3428
"T24"	"Ontario"	"L08"	3344
"T25"	"Ontario"	"L08"	3533
"T26"	"Ontario"	"L08"	3402
"T27"	"Ontario"	"L08"	3572
"T28"	"Ontario"	"L08"	3107
"T29"	"Ontario"	"L08"	3553
"Bruce"	"Ontario"	"L09"	3106
"Conquest"	"Ontario"	"L09"	3260
"Laurier"	"Ontario"	"L09"	3808
"Leger"	"Ontario"	"L09"	3800
"T01"	"Ontario"	"L09"	3823
"T02"	"Ontario"	"L09"	3208
"T03"	"Ontario"	"L09"	3975
"T04"	"Ontario"	"L09"	2921
"T05"	"Ontario"	"L09"	3967
"T06"	"Ontario"	"L09"	3538
"T07"	"Ontario"	"L09"	3677
"T08"	"Ontario"	"L09"	3629
"T09"	"Ontario"	"L09"	3833
"T10"	"Ontario"	"L09"	3958
"T11"	"Ontario"	"L09"	3535
"T12"	"Ontario"	"L09"	3314
"T13"	"Ontario"	"L09"	3818
"T14"	"Ontario"	"L09"	4295
"T15"	"Ontario"	"L09"	3226
"T16"	"Ontario"	"L09"	2538
"T17"	"Ontario"	"L09"	3381
"T18"	"Ontario"	"L09"	3311
"T19"	"Ontario"	"L09"	3888
"T20"	"Ontario"	"L09"	3875
"T21"	"Ontario"	"L09"	4006
"T22"	"Ontario"	"L09"	3291
"T23"	"Ontario"	"L09"	3577
"T24"	"Ontario"	"L09"	3003
"T25"	"Ontario"	"L09"	3771
"T26"	"Ontario"	"L09"	3296
"T27"	"Ontario"	"L09"	2889
"T28"	"Ontario"	"L09"	3453
"T29"	"Ontario"	"L09"	4021
"Bruce"	"Ontario"	"L10"	4730
"Conquest"	"Ontario"	"L10"	4393
"Laurier"	"Ontario"	"L10"	4120
"Leger"	"Ontario"	"L10"	5728
"T01"	"Ontario"	"L10"	5021
"T02"	"Ontario"	"L10"	4399
"T03"	"Ontario"	"L10"	5019
"T04"	"Ontario"	"L10"	4343
"T05"	"Ontario"	"L10"	5485
"T06"	"Ontario"	"L10"	5056
"T07"	"Ontario"	"L10"	4962
"T08"	"Ontario"	"L10"	4424
"T09"	"Ontario"	"L10"	4582
"T10"	"Ontario"	"L10"	4799
"T11"	"Ontario"	"L10"	4027
"T12"	"Ontario"	"L10"	4332
"T13"	"Ontario"	"L10"	5745
"T14"	"Ontario"	"L10"	5543
"T15"	"Ontario"	"L10"	4510
"T16"	"Ontario"	"L10"	4686
"T17"	"Ontario"	"L10"	5128
"T18"	"Ontario"	"L10"	4694
"T19"	"Ontario"	"L10"	4331
"T20"	"Ontario"	"L10"	4851
"T21"	"Ontario"	"L10"	4787
"T22"	"Ontario"	"L10"	4693
"T23"	"Ontario"	"L10"	4465
"T24"	"Ontario"	"L10"	4188
"T25"	"Ontario"	"L10"	4856
"T26"	"Ontario"	"L10"	4601
"T27"	"Ontario"	"L10"	5094
"T28"	"Ontario"	"L10"	3609
"T29"	"Ontario"	"L10"	4230
"Bruce"	"Ontario"	"L11"	3986
"Conquest"	"Ontario"	"L11"	3395
"Laurier"	"Ontario"	"L11"	4024
"Leger"	"Ontario"	"L11"	4719
"T01"	"Ontario"	"L11"	4030
"T02"	"Ontario"	"L11"	4237
"T03"	"Ontario"	"L11"	3778
"T04"	"Ontario"	"L11"	4040
"T05"	"Ontario"	"L11"	4313
"T06"	"Ontario"	"L11"	4699
"T07"	"Ontario"	"L11"	4312
"T08"	"Ontario"	"L11"	4119
"T09"	"Ontario"	"L11"	4075
"T10"	"Ontario"	"L11"	4054
"T11"	"Ontario"	"L11"	3820
"T12"	"Ontario"	"L11"	3733
"T13"	"Ontario"	"L11"	4188
"T14"	"Ontario"	"L11"	3920
"T15"	"Ontario"	"L11"	3365
"T16"	"Ontario"	"L11"	3509
"T17"	"Ontario"	"L11"	4167
"T18"	"Ontario"	"L11"	4004
"T19"	"Ontario"	"L11"	4098
"T20"	"Ontario"	"L11"	4315
"T21"	"Ontario"	"L11"	4336
"T22"	"Ontario"	"L11"	4023
"T23"	"Ontario"	"L11"	4077
"T24"	"Ontario"	"L11"	3460
"T25"	"Ontario"	"L11"	3970
"T26"	"Ontario"	"L11"	4275
"T27"	"Ontario"	"L11"	4434
"T28"	"Ontario"	"L11"	3367
"T29"	"Ontario"	"L11"	3776
"Bruce"	"Ontario"	"L12"	2739
"Conquest"	"Ontario"	"L12"	2585
"Laurier"	"Ontario"	"L12"	2357
"Leger"	"Ontario"	"L12"	3084
"T01"	"Ontario"	"L12"	2744
"T02"	"Ontario"	"L12"	2708
"T03"	"Ontario"	"L12"	3518
"T04"	"Ontario"	"L12"	2405
"T05"	"Ontario"	"L12"	3588
"T06"	"Ontario"	"L12"	2999
"T07"	"Ontario"	"L12"	2810
"T08"	"Ontario"	"L12"	2680
"T09"	"Ontario"	"L12"	2485
"T10"	"Ontario"	"L12"	2418
"T11"	"Ontario"	"L12"	2794
"T12"	"Ontario"	"L12"	2899
"T13"	"Ontario"	"L12"	2701
"T14"	"Ontario"	"L12"	3186
"T15"	"Ontario"	"L12"	2431
"T16"	"Ontario"	"L12"	2472
"T17"	"Ontario"	"L12"	2886
"T18"	"Ontario"	"L12"	2756
"T19"	"Ontario"	"L12"	3002
"T20"	"Ontario"	"L12"	3042
"T21"	"Ontario"	"L12"	2894
"T22"	"Ontario"	"L12"	2641
"T23"	"Ontario"	"L12"	2425
"T24"	"Ontario"	"L12"	2773
"T25"	"Ontario"	"L12"	3487
"T26"	"Ontario"	"L12"	3015
"T27"	"Ontario"	"L12"	2962
"T28"	"Ontario"	"L12"	2842
"T29"	"Ontario"	"L12"	2919
