env,year,loc,block,plot,ent,gen,yield,testwt
ame1997,1997,Ame,3,21,32,MN 93272,133.7,32.9
ame1997,1997,Ame,3,22,19,Pal,140.6,30.7
ame1997,1997,Ame,3,23,12,IN09201,167.7,35.7
ame1997,1997,Ame,3,24,8,Dane,144.8,32.6
ame1997,1997,Ame,3,25,39,Vista,170.9,33
ame1997,1997,Ame,3,26,26,Starter,153.3,35.6
ame1997,1997,Ame,3,27,1,Belle,175,33.3
ame1997,1997,Ame,3,28,24,Rodeo,179.1,33.6
ame1997,1997,Ame,3,29,13,Jerry,170,36.1
ame1997,1997,Ame,3,30,21,Prairie,188.5,32.1
ame1997,1997,Ame,3,31,5,Chaps,174.7,33.1
ame1997,1997,Ame,3,32,34,OH1149,169.2,35.5
ame1997,1997,Ame,3,33,40,WIX6356-1,163.1,36.1
ame1997,1997,Ame,3,34,33,Jud,166.8,34.3
ame1997,1997,Ame,3,35,4,Chairman,179.1,32.4
ame1997,1997,Ame,3,38,29,ACStewart,154.1,31.1
ame1997,1997,Ame,3,39,2,Brawn,149.7,32.6
ame1997,1997,Ame,3,40,14,Jim,127.4,34.1
cal1997,1997,Sut,1,1,30,IAN979-5-1-22,173.2,31.2
cal1997,1997,Sut,1,2,24,Rodeo,175.5,33.3
cal1997,1997,Sut,1,3,18,Ogle,160.8,32.7
cal1997,1997,Sut,1,4,32,MN 93272,170.1,33
cal1997,1997,Sut,1,5,11,HyproBlend,138.2,32.8
cal1997,1997,Sut,1,6,39,Vista,147.2,33.7
cal1997,1997,Sut,1,7,8,Dane,129.8,31.1
cal1997,1997,Sut,1,9,4,Chairman,149.4,32.6
cal1997,1997,Sut,1,10,29,ACStewart,135.4,32.9
cal1997,1997,Sut,1,11,5,Chaps,149.9,33.3
cal1997,1997,Sut,1,12,36,Jay,152.4,35.3
cal1997,1997,Sut,1,13,9,Don,145.5,34.3
cal1997,1997,Sut,1,14,27,Troy,141.7,34.9
cal1997,1997,Sut,1,15,26,Starter,125.3,35.8
cal1997,1997,Sut,1,16,12,IN09201,140.3,34.7
cal1997,1997,Sut,1,17,33,Jud,152,34.9
cal1997,1997,Sut,1,18,3,Burton,144.9,34.9
cal1997,1997,Sut,1,20,17,Newdak,146,33.7
cal1997,1997,Sut,1,21,10,Gem,133.2,33.2
cal1997,1997,Sut,1,22,13,Jerry,155.9,35.9
cal1997,1997,Sut,1,23,28,Valley,165.8,36
cal1997,1997,Sut,1,24,37,Riser,141,36
cal1997,1997,Sut,1,25,31,Blaze,170.4,35.2
cal1997,1997,Sut,1,27,40,WIX6356-1,144.4,33.4
cal1997,1997,Sut,1,28,21,Prairie,177.4,33.4
cal1997,1997,Sut,1,29,19,Pal,134.8,32.6
cal1997,1997,Sut,1,30,35,OH1087,139.6,32.6
cal1997,1997,Sut,1,31,14,Jim,139.6,34.9
cal1997,1997,Sut,1,32,15,Milton,146.6,34.5
cal1997,1997,Sut,1,33,22,Premier,138,37.4
cal1997,1997,Sut,1,34,34,OH1149,139.1,36.1
cal1997,1997,Sut,1,36,2,Brawn,158.5,31.9
cal1997,1997,Sut,1,37,25,Sheldon,135.1,35
cal1997,1997,Sut,1,38,7,Classic,126.3,34.9
cal1997,1997,Sut,1,39,1,Belle,131.3,34.7
cal1997,1997,Sut,2,1,3,Burton,139.8,34.5
cal1997,1997,Sut,2,2,27,Troy,169.2,34
cal1997,1997,Sut,2,3,21,Prairie,172.7,33.2
cal1997,1997,Sut,2,4,39,Vista,160.8,32.5
cal1997,1997,Sut,2,5,5,Chaps,165.8,32.8
cal1997,1997,Sut,2,6,34,OH1149,162.1,35.3
cal1997,1997,Sut,2,7,12,IN09201,140,33.7
cal1997,1997,Sut,2,8,22,Premier,137.9,36.4
cal1997,1997,Sut,2,9,36,Jay,136,34.3
cal1997,1997,Sut,2,10,40,WIX6356-1,148.4,32.2
cal1997,1997,Sut,2,11,31,Blaze,166.8,34.1
cal1997,1997,Sut,2,12,33,Jud,165.8,34
cal1997,1997,Sut,2,13,1,Belle,148.9,33.9
cal1997,1997,Sut,2,14,30,IAN979-5-1-22,152.2,34.1
cal1997,1997,Sut,2,16,17,Newdak,152.4,32.5
cal1997,1997,Sut,2,17,2,Brawn,159.2,33.3
cal1997,1997,Sut,2,18,11,HyproBlend,120.1,33.2
cal1997,1997,Sut,2,19,7,Classic,146.1,34.9
cal1997,1997,Sut,2,20,26,Starter,140.5,34.8
cal1997,1997,Sut,2,21,24,Rodeo,166.6,33
cal1997,1997,Sut,2,22,4,Chairman,153.6,32
cal1997,1997,Sut,2,23,14,Jim,149.3,34.8
cal1997,1997,Sut,2,24,25,Sheldon,150,34.4
cal1997,1997,Sut,2,25,28,Valley,173.3,36.1
cal1997,1997,Sut,2,27,8,Dane,138.7,32
cal1997,1997,Sut,2,28,35,OH1087,149.5,33.6
cal1997,1997,Sut,2,29,19,Pal,136.2,31.4
cal1997,1997,Sut,2,30,15,Milton,156.3,35.6
cal1997,1997,Sut,2,31,32,MN 93272,161.8,34.2
cal1997,1997,Sut,2,33,29,ACStewart,135.2,32.8
cal1997,1997,Sut,2,35,9,Don,139.3,34.4
cal1997,1997,Sut,2,37,37,Riser,130.2,36.1
cal1997,1997,Sut,2,38,13,Jerry,144.4,36.9
cal1997,1997,Sut,2,39,18,Ogle,144.5,33.6
cal1997,1997,Sut,2,40,10,Gem,133,35
cal1997,1997,Sut,3,1,8,Dane,135.1,31.3
cal1997,1997,Sut,3,2,36,Jay,151.6,35.3
cal1997,1997,Sut,3,3,15,Milton,145.1,34.8
cal1997,1997,Sut,3,4,18,Ogle,164.2,32.8
cal1997,1997,Sut,3,5,37,Riser,137.3,36.5
cal1997,1997,Sut,3,6,40,WIX6356-1,157,32.7
cal1997,1997,Sut,3,7,24,Rodeo,169,35
cal1997,1997,Sut,3,9,26,Starter,142,36.1
cal1997,1997,Sut,3,10,31,Blaze,215.7,34
cal1997,1997,Sut,3,11,25,Sheldon,164.2,34.4
cal1997,1997,Sut,3,12,19,Pal,151.4,31.8
cal1997,1997,Sut,3,13,5,Chaps,152.8,32.4
cal1997,1997,Sut,3,14,30,IAN979-5-1-22,136.4,31.6
cal1997,1997,Sut,3,15,4,Chairman,147.8,31.4
cal1997,1997,Sut,3,16,34,OH1149,143,35.9
cal1997,1997,Sut,3,17,28,Valley,167.7,35
cal1997,1997,Sut,3,18,27,Troy,178.5,34.9
cal1997,1997,Sut,3,19,7,Classic,161.2,33.4
cal1997,1997,Sut,3,20,32,MN 93272,168.7,34.9
cal1997,1997,Sut,3,21,22,Premier,158.1,37
cal1997,1997,Sut,3,22,12,IN09201,147.5,35.1
cal1997,1997,Sut,3,24,13,Jerry,170.3,37.7
cal1997,1997,Sut,3,25,3,Burton,165.8,36.4
cal1997,1997,Sut,3,26,10,Gem,150.7,34.6
cal1997,1997,Sut,3,27,14,Jim,161.3,34.6
cal1997,1997,Sut,3,28,1,Belle,153.5,34.7
cal1997,1997,Sut,3,29,39,Vista,152.9,34
cal1997,1997,Sut,3,30,11,HyproBlend,127.6,34.5
cal1997,1997,Sut,3,31,9,Don,141.2,35.2
cal1997,1997,Sut,3,32,29,ACStewart,158.7,33.5
cal1997,1997,Sut,3,33,2,Brawn,171.2,33.7
cal1997,1997,Sut,3,34,21,Prairie,176,33.8
cal1997,1997,Sut,3,37,33,Jud,125.8,34.1
cal1997,1997,Sut,3,39,17,Newdak,145.7,33.2
cal1997,1997,Sut,3,40,35,OH1087,142.4,33.2
cra1997,1997,Cra,1,2,14,Jim,168.1,35.2
cra1997,1997,Cra,1,3,4,Chairman,146.1,34.1
cra1997,1997,Cra,1,4,19,Pal,112.1,30.2
cra1997,1997,Cra,1,5,28,Valley,143.9,35.1
cra1997,1997,Cra,1,7,12,IN09201,151.3,36.8
cra1997,1997,Cra,1,8,27,Troy,118.1,36
cra1997,1997,Cra,1,9,8,Dane,138.7,33.4
cra1997,1997,Cra,1,10,11,Hazel,121.1,34.3
cra1997,1997,Cra,1,11,36,Jay,144.4,36.9
cra1997,1997,Cra,1,12,7,Classic,137,35.8
cra1997,1997,Cra,1,13,24,Rodeo,156.6,33.6
cra1997,1997,Cra,1,14,5,Chaps,146.7,34.1
cra1997,1997,Cra,1,15,39,Vista,132.3,34.2
cra1997,1997,Cra,1,16,30,IAN979-5-1-22,142.6,33.6
cra1997,1997,Cra,1,17,29,Webster,150.4,34
cra1997,1997,Cra,1,18,18,Ogle,151.7,33.2
cra1997,1997,Cra,1,20,15,Milton,127.5,34.5
cra1997,1997,Cra,1,21,17,Newdak,134,33.7
cra1997,1997,Cra,1,22,1,Belle,156.7,34.3
cra1997,1997,Cra,1,24,9,Don,153.6,33.7
cra1997,1997,Cra,1,25,13,Jerry,151.2,37.9
cra1997,1997,Cra,1,26,21,Prairie,134.7,30.4
cra1997,1997,Cra,1,27,25,Sheldon,132.8,34.7
cra1997,1997,Cra,1,28,32,MN 93272,104.9,33.6
cra1997,1997,Cra,1,29,2,Brawn,152.8,33
cra1997,1997,Cra,1,30,35,OH1087,135,34.4
cra1997,1997,Cra,1,31,37,Riser,112.8,35.6
cra1997,1997,Cra,1,32,10,Gem,116.9,34.7
cra1997,1997,Cra,1,33,26,Starter,121.8,36.6
cra1997,1997,Cra,1,34,34,OH1149,122.5,36.3
cra1997,1997,Cra,1,35,33,Jud,145,36.1
cra1997,1997,Cra,1,36,40,WIX6356-1,134.4,36.4
cra1997,1997,Cra,1,37,3,Burton,137.8,32.9
cra1997,1997,Cra,1,39,31,Blaze,140.4,33.1
cra1997,1997,Cra,1,40,22,Premier,132.3,38.4
cra1997,1997,Cra,2,1,21,Prairie,136.3,32.4
cra1997,1997,Cra,2,2,31,Blaze,144.5,35.6
cra1997,1997,Cra,2,3,13,Jerry,159.3,38.4
cra1997,1997,Cra,2,4,14,Jim,156.2,35.4
cra1997,1997,Cra,2,6,32,MN 93272,118.8,36
cra1997,1997,Cra,2,7,34,OH1149,133.2,38
cra1997,1997,Cra,2,8,24,Rodeo,154.5,34.1
cra1997,1997,Cra,2,11,25,Sheldon,130,35.7
cra1997,1997,Cra,2,12,30,IAN979-5-1-22,140.6,34
cra1997,1997,Cra,2,13,37,Riser,118.3,34.7
cra1997,1997,Cra,2,14,35,OH1087,147.8,35.2
cra1997,1997,Cra,2,15,19,Pal,115.8,29.7
cra1997,1997,Cra,2,16,33,Jud,145.6,36
cra1997,1997,Cra,2,17,15,Milton,132,35.1
cra1997,1997,Cra,2,18,36,Jay,145.8,36.9
cra1997,1997,Cra,2,19,27,Troy,115.3,36
cra1997,1997,Cra,2,20,40,WIX6356-1,123.5,36.8
cra1997,1997,Cra,2,21,9,Don,141.2,35.4
cra1997,1997,Cra,2,22,12,IN09201,144.6,36.2
cra1997,1997,Cra,2,23,26,Starter,133.3,37.4
cra1997,1997,Cra,2,24,28,Valley,151.5,36.9
cra1997,1997,Cra,2,25,7,Classic,148.7,35.8
cra1997,1997,Cra,2,26,22,Premier,147.3,37.8
cra1997,1997,Cra,2,27,29,Webster,145,33.6
cra1997,1997,Cra,2,28,4,Chairman,142.6,33.1
cra1997,1997,Cra,2,29,2,Brawn,159.4,35.5
cra1997,1997,Cra,2,30,17,Newdak,130.9,33.8
cra1997,1997,Cra,2,31,3,Burton,131.2,34.4
cra1997,1997,Cra,2,32,11,Hazel,132.7,35.5
cra1997,1997,Cra,2,33,5,Chaps,153.6,34.2
cra1997,1997,Cra,2,34,18,Ogle,139,33.3
cra1997,1997,Cra,2,35,8,Dane,150.1,31.3
cra1997,1997,Cra,2,37,10,Gem,137,34.7
cra1997,1997,Cra,2,38,39,Vista,118.4,32.7
cra1997,1997,Cra,2,39,1,Belle,141.6,33
cra1997,1997,Cra,3,2,5,Chaps,155.8,34.3
cra1997,1997,Cra,3,3,22,Premier,152.5,38.1
cra1997,1997,Cra,3,4,14,Jim,153.3,34.4
cra1997,1997,Cra,3,5,27,Troy,125,34.3
cra1997,1997,Cra,3,6,1,Belle,133.5,34.8
cra1997,1997,Cra,3,7,34,OH1149,144.9,38
cra1997,1997,Cra,3,9,7,Classic,157.4,34.4
cra1997,1997,Cra,3,10,18,Ogle,146.9,33.6
cra1997,1997,Cra,3,12,15,Milton,131.9,34.7
cra1997,1997,Cra,3,13,39,Vista,127.9,33.2
cra1997,1997,Cra,3,14,24,Rodeo,157.8,33.6
cra1997,1997,Cra,3,15,17,Newdak,149,34
cra1997,1997,Cra,3,16,21,Prairie,150.4,30.9
cra1997,1997,Cra,3,17,9,Don,156.3,35.1
cra1997,1997,Cra,3,18,19,Pal,127,29.4
cra1997,1997,Cra,3,19,28,Valley,166.3,35.8
cra1997,1997,Cra,3,20,29,Webster,133.4,34
cra1997,1997,Cra,3,22,37,Riser,126.1,35.5
cra1997,1997,Cra,3,23,4,Chairman,140.2,32.4
cra1997,1997,Cra,3,24,30,IAN979-5-1-22,126.8,32.2
cra1997,1997,Cra,3,25,11,Hazel,124.1,35.7
cra1997,1997,Cra,3,26,26,Starter,132.1,39
cra1997,1997,Cra,3,27,2,Brawn,138.5,31.8
cra1997,1997,Cra,3,28,33,Jud,166.9,35.6
cra1997,1997,Cra,3,29,25,Sheldon,146,35.3
cra1997,1997,Cra,3,30,10,Gem,135,35.7
cra1997,1997,Cra,3,31,36,Jay,159,37
cra1997,1997,Cra,3,32,31,Blaze,163.7,34.8
cra1997,1997,Cra,3,33,40,WIX6356-1,153.1,36.8
cra1997,1997,Cra,3,35,13,Jerry,149.3,38.5
cra1997,1997,Cra,3,36,8,Dane,136.9,32.3
cra1997,1997,Cra,3,37,3,Burton,139.3,33.1
cra1997,1997,Cra,3,38,35,OH1087,149.8,33.1
cra1997,1997,Cra,3,39,12,IN09201,162.3,35.7
cra1997,1997,Cra,3,40,32,MN 93272,145.9,34.5
lew1997,1997,Lew,1,1,21,Prairie,169.1,31.7
lew1997,1997,Lew,1,2,15,Milton,171.6,32
lew1997,1997,Lew,1,3,12,IN09201,181.9,35.4
lew1997,1997,Lew,1,4,22,Premier,147.1,34.7
lew1997,1997,Lew,1,5,31,Blaze,163.3,32.4
lew1997,1997,Lew,1,6,1,Belle,200,31.7
lew1997,1997,Lew,1,7,2,Brawn,188.6,31.8
lew1997,1997,Lew,1,8,18,Ogle,175.7,31.9
lew1997,1997,Lew,1,9,28,Valley,172.9,35.3
lew1997,1997,Lew,1,10,34,OH1149,156.4,34.9
lew1997,1997,Lew,1,11,4,Chairman,151.2,30.5
lew1997,1997,Lew,1,12,7,Classic,177.5,33.8
lew1997,1997,Lew,1,13,24,Rodeo,184.4,32.9
lew1997,1997,Lew,1,14,8,Dane,158,29.2
lew1997,1997,Lew,1,15,11,Hazel,152.7,33.8
lew1997,1997,Lew,1,16,26,Starter,171.2,35.4
lew1997,1997,Lew,1,17,39,Vista,142.2,31.7
lew1997,1997,Lew,1,21,30,IAN979-5-1-22,143.5,32.7
lew1997,1997,Lew,1,22,9,Don,149.7,33.5
lew1997,1997,Lew,1,23,35,OH1087,145.7,32.1
lew1997,1997,Lew,1,24,10,Gem,168.9,33.6
lew1997,1997,Lew,1,25,27,Troy,155.6,33.8
lew1997,1997,Lew,1,27,13,Jerry,177.8,35.5
lew1997,1997,Lew,1,28,19,Pal,131.5,31
lew1997,1997,Lew,1,29,14,Jim,184.7,35.3
lew1997,1997,Lew,1,30,17,Newdak,159,31.8
lew1997,1997,Lew,1,31,37,Riser,152,34.3
lew1997,1997,Lew,1,32,25,Sheldon,168.6,35.3
lew1997,1997,Lew,1,33,36,Jay,170.9,34.6
lew1997,1997,Lew,1,34,29,Webster,170.5,31.9
lew1997,1997,Lew,1,35,40,WIX6356-1,157.7,35
lew1997,1997,Lew,1,36,3,Burton,140.8,32
lew1997,1997,Lew,1,37,32,MN 93272,158.7,31.7
lew1997,1997,Lew,1,39,5,Chaps,173.3,31.8
lew1997,1997,Lew,1,40,33,Jud,147.8,33
lew1997,1997,Lew,2,2,5,Chaps,171.3,32.3
lew1997,1997,Lew,2,3,34,OH1149,147.3,35.7
lew1997,1997,Lew,2,4,17,Newdak,160.4,31.9
lew1997,1997,Lew,2,5,10,Gem,172.7,33.5
lew1997,1997,Lew,2,6,15,Milton,160.1,33
lew1997,1997,Lew,2,7,21,Prairie,179.2,30.8
lew1997,1997,Lew,2,8,39,Vista,145.1,33.1
lew1997,1997,Lew,2,9,24,Rodeo,173.1,33.3
lew1997,1997,Lew,2,10,14,Jim,177.8,33.5
lew1997,1997,Lew,2,11,1,Belle,161.6,34.1
lew1997,1997,Lew,2,13,3,Burton,154.1,34.4
lew1997,1997,Lew,2,14,19,Pal,148.5,32.4
lew1997,1997,Lew,2,15,37,Riser,146.8,35.7
lew1997,1997,Lew,2,16,18,Ogle,154.4,31.7
lew1997,1997,Lew,2,19,25,Sheldon,155.8,34.7
lew1997,1997,Lew,2,20,27,Troy,142.2,30.6
lew1997,1997,Lew,2,21,30,IAN979-5-1-22,155.3,31.7
lew1997,1997,Lew,2,22,8,Dane,150.3,30.9
lew1997,1997,Lew,2,23,2,Brawn,184.9,31.7
lew1997,1997,Lew,2,24,31,Blaze,195.6,33.4
lew1997,1997,Lew,2,25,11,Hazel,145.5,35.2
lew1997,1997,Lew,2,26,32,MN 93272,158.8,31.3
lew1997,1997,Lew,2,27,12,IN09201,166.5,35.5
lew1997,1997,Lew,2,28,40,WIX6356-1,163.3,34.9
lew1997,1997,Lew,2,29,33,Jud,161.7,33.5
lew1997,1997,Lew,2,30,22,Premier,158.4,35.8
lew1997,1997,Lew,2,31,13,Jerry,157.6,36.2
lew1997,1997,Lew,2,33,4,Chairman,149.6,31.2
lew1997,1997,Lew,2,34,28,Valley,163.3,34
lew1997,1997,Lew,2,35,36,Jay,151.7,36.1
lew1997,1997,Lew,2,36,9,Don,168.8,36.1
lew1997,1997,Lew,2,37,26,Starter,156.8,36.4
lew1997,1997,Lew,2,38,35,OH1087,134.5,30.9
lew1997,1997,Lew,2,39,29,Webster,159.3,31.8
lew1997,1997,Lew,2,40,7,Classic,159.1,33.9
lew1997,1997,Lew,3,3,25,Sheldon,157.8,34
lew1997,1997,Lew,3,4,24,Rodeo,164,33.3
lew1997,1997,Lew,3,5,29,Webster,150.5,32.7
lew1997,1997,Lew,3,6,40,WIX6356-1,151.2,35.1
lew1997,1997,Lew,3,9,19,Pal,74.7,31.3
lew1997,1997,Lew,3,11,17,Newdak,146.9,32.6
lew1997,1997,Lew,3,12,33,Jud,168,33.9
lew1997,1997,Lew,3,13,11,Hazel,157.2,35.2
lew1997,1997,Lew,3,14,27,Troy,150.3,33.9
lew1997,1997,Lew,3,15,39,Vista,131.9,32
lew1997,1997,Lew,3,16,36,Jay,166.2,35
lew1997,1997,Lew,3,17,15,Milton,143.8,32.9
lew1997,1997,Lew,3,18,37,Riser,140.1,34.6
lew1997,1997,Lew,3,19,3,Burton,151.7,34
lew1997,1997,Lew,3,20,26,Starter,160.5,35.4
lew1997,1997,Lew,3,21,10,Gem,159.7,34.7
lew1997,1997,Lew,3,22,30,IAN979-5-1-22,168,31.4
lew1997,1997,Lew,3,23,35,OH1087,161.7,32
lew1997,1997,Lew,3,24,4,Chairman,139.7,30.5
lew1997,1997,Lew,3,25,5,Chaps,172.8,32.2
lew1997,1997,Lew,3,26,28,Valley,151.9,34.4
lew1997,1997,Lew,3,27,2,Brawn,179.7,32.4
lew1997,1997,Lew,3,28,32,MN 93272,145.5,33.3
lew1997,1997,Lew,3,29,1,Belle,157.9,35.1
lew1997,1997,Lew,3,30,7,Classic,166.7,36
lew1997,1997,Lew,3,31,18,Ogle,171.5,32.6
lew1997,1997,Lew,3,32,12,IN09201,165.8,35.2
lew1997,1997,Lew,3,33,9,Don,152.9,34.2
lew1997,1997,Lew,3,34,14,Jim,176,34.3
lew1997,1997,Lew,3,35,8,Dane,145.8,30.3
lew1997,1997,Lew,3,36,31,Blaze,172.7,32.2
lew1997,1997,Lew,3,37,34,OH1149,143.8,34.7
lew1997,1997,Lew,3,38,13,Jerry,159.9,35.4
lew1997,1997,Lew,3,39,22,Premier,149.2,35.3
lew1997,1997,Lew,3,40,21,Prairie,169.8,30.1
nas1997,1997,Nas,1,1,29,Webster,163.46979,32.33325
nas1997,1997,Nas,1,2,17,Newdak,157.073455,32.262
nas1997,1997,Nas,1,3,7,Classic,155.02861,34.656
nas1997,1997,Nas,1,4,19,Pal,131.835935,31.236
nas1997,1997,Nas,1,5,30,IAN979-5-1-22,159.089315,32.04825
nas1997,1997,Nas,1,6,15,Milton,164.88912,34.81275
nas1997,1997,Nas,1,7,34,OH1149,141.13638,30.723
nas1997,1997,Nas,1,8,32,MN 93272,157.589575,32.604
nas1997,1997,Nas,1,9,10,Gem,142.270535,34.41375
nas1997,1997,Nas,1,10,3,Burton,141.010155,35.52525
nas1997,1997,Nas,1,11,35,OH1087,140.95686,28.5855
nas1997,1997,Nas,1,12,31,Blaze,167.49216,35.35425
nas1997,1997,Nas,1,13,37,Riser,141.991905,35.6535
nas1997,1997,Nas,1,16,22,Premier,139.996615,37.6485
nas1997,1997,Nas,1,17,2,Brawn,159.334285,31.90575
nas1997,1997,Nas,1,18,27,Troy,136.3604,33.95775
nas1997,1997,Nas,1,20,8,Dane,157.784055,31.10775
nas1997,1997,Nas,1,21,21,Prairie,171.369605,32.775
nas1997,1997,Nas,1,22,12,IN09201,153.39423,34.07175
nas1997,1997,Nas,1,24,26,Starter,139.514155,34.9125
nas1997,1997,Nas,1,25,4,Chairman,149.475645,32.262
nas1997,1997,Nas,1,26,36,Jay,158.29737,35.21175
nas1997,1997,Nas,1,27,28,Valley,185.61246,34.72725
nas1997,1997,Nas,1,29,14,Jim,175.115215,35.06925
nas1997,1997,Nas,1,30,11,Hazel,129.851865,35.568
nas1997,1997,Nas,1,31,13,Jerry,152.79209,35.9955
nas1997,1997,Nas,1,32,1,Belle,145.24477,33.4875
nas1997,1997,Nas,1,33,18,Ogle,147.90204,32.78925
nas1997,1997,Nas,1,34,5,Chaps,164.98262,33.87225
nas1997,1997,Nas,1,35,40,WIX6356-1,132.96635,34.2
nas1997,1997,Nas,1,36,33,Jud,155.633555,32.5755
nas1997,1997,Nas,1,37,39,Vista,176.91696,33.58725
nas1997,1997,Nas,1,38,9,Don,134.854115,33.64425
nas1997,1997,Nas,1,39,24,Rodeo,159.66247,33.288
nas1997,1997,Nas,1,40,25,Sheldon,150.20962,34.41375
nas1997,1997,Nas,2,1,35,OH1087,153.733635,29.11275
