amb,rep,gen,prod
1,2,37,5.0578
1,2,38,6.9499
1,2,39,6.1633
1,2,40,5.4278
1,2,41,4.8837
1,2,42,4.7049
1,2,43,5.0749
1,2,44,5.972
1,2,45,5.972
1,2,46,5.2195
1,2,47,4.5307
1,2,48,5.5087
1,2,49,7.1412
1,2,50,6.1166
1,2,51,6.5162
1,2,52,6.597
1,2,53,4.9474
1,2,54,5.7807
1,2,55,6.0357
1,3,1,5.1557
1,3,2,6.2612
1,3,3,6.4524
1,3,4,8.3678
1,3,5,2.7083
1,3,6,6.5566
1,3,7,6.0357
1,3,8,6.3249
1,3,9,6.3078
1,3,10,6.3078
1,3,11,7.7662
1,3,12,7.0945
1,3,13,6.597
1,3,14,4.9941
1,3,15,7.0945
1,3,16,6.6141
1,3,17,7.222
1,3,18,8.1999
1,3,19,6.0528
1,3,20,7.0307
1,3,21,6.2612
1,3,22,4.4903
1,3,23,6.6778
1,3,24,6.9499
1,3,25,5.2832
1,3,26,6.1803
1,3,27,7.9107
1,3,28,5.8445
1,3,29,4.7857
1,3,30,5.2662
1,3,31,4.5603
1,3,32,5.5087
1,3,33,4.8028
1,3,34,7.3028
1,3,35,6.7757
1,3,36,7.2917
1,3,37,5.6828
1,3,38,5.2832
1,3,39,6.8691
1,3,40,5.5257
1,3,41,6.1166
1,3,42,7.3666
1,3,43,5.8616
1,3,44,4.5074
1,3,45,6.3078
1,3,46,7.4303
1,3,47,5.6532
1,3,48,6.3249
1,3,49,6.2037
1,3,50,6.597
1,3,51,7.0307
1,3,52,7.0774
1,3,53,5.2195
1,3,54,6.4524
1,3,55,5.0578
2,4,1,5.1983
2,4,2,5.1545
2,4,3,4.5321
2,4,4,4.4682
2,4,5,3.5327
2,4,6,4.5998
2,4,7,3.4628
2,4,8,3.84
2,4,9,3.3791
2,4,10,5.8347
2,4,11,5.9582
2,4,12,3.6344
2,4,13,3.8598
2,4,14,4.6178
2,4,15,4.3604
2,4,16,5.1046
2,4,17,3.3032
2,4,18,5.1085
2,4,19,3.8339
2,4,20,5.2941
2,4,21,4.9469
2,4,22,4.3166
2,4,23,5.9203
2,4,24,5.725
2,4,25,4.4842
2,4,26,4.3046
2,4,27,5.3479
2,4,28,3.7162
2,4,29,4.2051
2,4,30,3.8119
2,4,31,4.5181
2,4,32,3.8857
2,4,33,3.792
2,4,34,4.7993
2,4,35,5.1625
2,4,36,4.9709
2,4,37,3.0499
2,4,38,4.0891
2,4,39,3.6184
2,4,40,4.4842
2,4,41,4.5679
2,4,42,4.1391
2,4,43,4.4104
2,4,44,4.0254
2,4,45,4.3506
2,4,46,4.7834
2,4,47,3.6404
2,4,48,5.2643
2,4,49,4.6838
2,4,50,3.6165
2,4,51,4.3009
2,4,52,4.0116
2,4,53,4.4803
2,4,54,3.77
2,4,55,4.3288
2,5,1,4.5281
2,5,2,5.352
2,5,3,4.6679
2,5,4,4.3127
2,5,5,2.8047
2,5,6,5.2883
2,5,7,5.4818
2,5,8,4.195
2,5,9,3.2195
2,5,10,4.9749
2,5,11,5.4538
2,5,12,4.6758
2,5,13,4.9712
2,5,14,4.5341
2,5,15,4.2311
2,5,16,3.838
2,5,17,4.4325
2,5,18,4.4785
2,5,19,4.5402
2,5,20,4.8492
2,5,21,4.3305
2,5,22,3.8021
2,5,23,5.7808
2,5,24,4.5521
2,5,25,4.7476
2,5,26,4.2867
2,5,27,5.0209
2,5,28,4.8592
2,5,29,3.9996
2,5,30,5.1007
2,5,31,4.4005
2,5,32,5.1364
2,5,33,5.1465
2,5,34,6.7024
2,5,35,5.1507
2,5,36,5.1146
2,5,37,4.5639
2,5,38,3.796
2,5,39,4.6439
2,5,40,4.2868
2,5,41,5.2262
2,5,42,4.1353
2,5,43,4.219
2,5,44,3.8898
2,5,45,4.6819
2,5,46,5.4039
2,5,47,4.9669
2,5,48,4.61
2,5,49,6.1458
2,5,50,3.2635
2,5,51,4.604
2,5,52,4.7835
2,5,53,4.8095
2,5,54,5.017
2,5,55,5.2022
2,6,1,5.0308
2,6,2,4.5801
2,6,3,4.9153
2,6,4,3.6863
2,6,5,3.1537
2,6,6,5.4397
2,6,7,4.7376
2,6,8,4.7256
2,6,9,4.0814
2,6,10,4.0097
2,6,11,5.5973
2,6,12,4.7914
2,6,13,4.6219
2,6,14,3.3132
2,6,15,5.0349
2,6,16,4.8412
2,6,17,5.1145
2,6,18,5.4517
2,6,19,3.7103
2,6,20,4.3069
2,6,21,5.2662
2,6,22,4.7017
2,6,23,5.2704
2,6,24,5.6691
2,6,25,4.9531
2,6,26,4.3326
2,6,27,5.4097
2,6,28,4.542
2,6,29,3.5668
2,6,30,3.8839
2,6,31,4.947
2,6,32,4.6778
2,6,33,5.5414
2,6,34,4.4981
2,6,35,4.7556
2,6,36,5.8028
2,6,37,3.6704
2,6,38,3.072
2,6,39,3.6325
2,6,40,4.0454
2,6,41,4.927
2,6,42,4.5302
2,6,43,3.8619
2,6,44,4.2368
2,6,45,3.5587
2,6,46,5.0766
2,6,47,4.2987
2,6,48,4.7038
2,6,49,6.5667
2,6,50,3.7461
2,6,51,5.4496
2,6,52,3.9318
2,6,53,3.3872
2,6,54,4.0912
2,6,55,5.0448
3,7,1,6.5
3,7,2,5.6475
3,7,3,4.8
3,7,4,6.405
3,7,5,5.5743
3,7,6,6.5013
3,7,7,5.3665
3,7,8,5.3588
3,7,9,5.2419
3,7,10,6.0059
3,7,11,5.1864
3,7,12,5.0388
3,7,13,4.3269
3,7,14,5.2813
3,7,15,4.7874
3,7,16,4.4872
3,7,17,6.5349
3,7,18,4.5623
3,7,19,3.8118
3,7,20,5.4456
3,7,21,5.7684
3,7,22,4.722
3,7,23,5.0522
3,7,24,4.4236
3,7,25,6.8717
3,7,26,6.5635
3,7,27,5.1116
3,7,28,6.1
3,7,29,4.1
3,7,30,5.4322
3,7,31,5.3591
3,7,32,4.3266
3,7,33,4.9466
3,7,34,5.9855
3,7,35,4.43
3,7,36,6.2744
3,7,37,5
3,7,38,5.8
3,7,39,6.0322
3,7,40,3.6316
3,7,41,4.7291
3,7,42,5.2095
3,7,43,5.15
3,7,44,4.6828
3,7,45,4.6
3,7,46,5.7
3,7,47,4.6
3,7,48,6
3,7,49,4.5315
3,7,50,3.8
3,7,51,4.15
3,7,52,3.5457
3,7,53,4.8
3,7,54,5.1563
3,7,55,4.7868
3,8,1,6.4209
3,8,2,5.3931
3,8,3,5.4
3,8,4,5.7153
3,8,5,5.7292
3,8,6,6.9863
3,8,7,6.2481
3,8,8,7.047
3,8,9,6.4
3,8,10,5.5594
3,8,11,5.9
3,8,12,5.1858
3,8,13,3.1457
3,8,14,5.0676
3,8,15,5.2254
3,8,16,5.6647
3,8,17,5.5959
3,8,18,4.8
3,8,19,3.8355
3,8,20,5.4788
3,8,21,5.042
3,8,22,5.2481
3,8,23,5.5849
3,8,24,5.3416
3,8,25,5.0842
3,8,26,4.0147
3,8,27,5.7899
3,8,28,5.5
3,8,29,3.9
3,8,30,4.4938
3,8,31,5.9825
3,8,32,5.9
3,8,33,4.4313
3,8,34,4.6
3,8,35,4.4414
3,8,36,5.1136
3,8,37,4.3192
3,8,38,5.3873
3,8,39,5.9012
3,8,40,3.3
3,8,41,4.6255
3,8,42,3.7354
3,8,43,5.8671
3,8,44,4.9
3,8,45,5.4
3,8,46,6.2731
3,8,47,5.036
3,8,48,5.2813
3,8,49,5.2932
3,8,50,4.048
3,8,51,5.2
3,8,52,5.1475
3,8,53,4.3033
3,8,54,5.8063
3,8,55,5.6757
3,9,1,7.5809
3,9,2,5.6269
3,9,3,6.1327
3,9,4,5.3828
3,9,5,4.3
3,9,6,5.4452
3,9,7,6.2212
3,9,8,6.0897
3,9,9,5.1128
3,9,10,6.2791
3,9,11,5.6681
3,9,12,4.1314
3,9,13,3.3958
3,9,14,5.1
3,9,15,5.7115
3,9,16,4.4211
3,9,17,4.7195
3,9,18,4.4422
3,9,19,3.5045
3,9,20,3.6799
3,9,21,6.3114
3,9,22,4.3584
3,9,23,4.6958
3,9,24,6.7342
3,9,25,5.263
3,9,26,4.3829
3,9,27,4.4734
3,9,28,5.5874
3,9,29,5.231
3,9,30,5.4752
3,9,31,5.7476
3,9,32,4.775
3,9,33,5.2521
3,9,34,5.3954
3,9,35,4.6191
3,9,36,5.5849
3,9,37,4.2
3,9,38,4.0513
3,9,39,5.4706
3,9,40,3.8542
3,9,41,4.844
3,9,42,3.5494
3,9,43,4.7564
3,9,44,5.1546
3,9,45,5.2184
3,9,46,5.197
3,9,47,6.701
3,9,48,4.302
3,9,49,4.9712
3,9,50,4.3891
3,9,51,5.5582
3,9,52,5.5187
3,9,53,4.5224
3,9,54,5.1298
3,9,55,4.898
4,10,1,9.1174
4,10,2,8.3246
4,10,3,3.1713
4,10,4,5.1533
4,10,5,4.5647
4,10,6,5.1533
4,10,7,6.5407
4,10,8,6.5407
4,10,9,4.7569
4,10,10,4.9551
4,10,11,7.1353
4,10,12,5.7479
4,10,13,4.1623
4,10,14,5.5657
4,10,15,6.5507
4,10,16,5.9741
4,10,17,5.3775
4,10,18,6.7449
4,10,19,5.3515
4,10,20,6.9431
4,10,21,5.9581
4,10,22,5.3515
4,10,23,5.5537
4,10,24,4.9551
4,10,25,4.7569
4,10,26,5.3495
4,10,27,5.3655
4,10,28,3.9641
4,10,29,5.9541
4,10,30,7.1353
4,10,31,8.3246
4,10,32,8.717
4,10,33,4.9671
4,10,34,4.7569
4,10,35,6.9471
4,10,36,5.5457
4,10,37,4.7609
4,10,38,4.9551
4,10,39,7.9342
4,10,40,4.3605
4,10,41,7.5277
4,10,42,7.1353
4,10,43,5.3555
4,10,44,5.5657
4,10,45,6.1703
4,10,46,7.1493
4,10,47,6.3505
4,10,48,5.3495
4,10,49,6.7389
4,10,50,5.9461
4,10,51,6.7389
4,10,52,6.3445
4,10,53,4.3645
4,10,54,5.9481
4,10,55,6.3425
4,11,1,7.3335
4,11,2,6.1443
4,11,3,4.3605
4,11,4,6.5407
4,11,5,3.5697
4,11,6,8.721
4,11,7,5.7479
4,11,8,5.9621
4,11,9,6.9371
4,11,10,7.5317
4,11,11,4.5587
4,11,12,6.1443
4,11,13,3.5697
4,11,14,6.5287
4,11,15,7.9301
4,11,16,9.706
4,11,17,7.7259
4,11,18,6.5547
4,11,19,4.5647
4,11,20,6.7349
4,11,21,5.9501
4,11,22,8.3406
4,11,23,7.7339
4,11,24,4.7569
4,11,25,6.7549
4,11,26,6.3705
4,11,27,5.1573
4,11,28,6.3425
4,11,29,3.7639
4,11,30,8.721
4,11,31,6.3425
4,11,32,8.5328
4,11,33,3.5737
4,11,34,5.3595
4,11,35,9.724
4,11,36,7.7379
4,11,37,3.1673
4,11,38,4.3605
4,11,39,5.3535
4,11,40,6.1443
4,11,41,9.1214
4,11,42,5.3515
4,11,43,7.5357
4,11,44,5.5657
4,11,45,4.3645
4,11,46,6.7449
4,11,47,4.9531
4,11,48,5.5517
4,11,49,5.9461
4,11,50,4.1623
4,11,51,8.1264
4,11,52,8.1264
4,11,53,3.1713
4,11,54,7.1473
4,11,55,6.5447
4,12,1,7.5317
4,12,2,6.1443
4,12,3,6.3425
4,12,4,4.1623
4,12,5,5.3515
4,12,6,9.5138
4,12,7,7.5317
4,12,8,6.9351
4,12,9,4.7569
4,12,10,6.1443
4,12,11,8.721
4,12,12,6.1443
4,12,13,4.5567
4,12,14,5.3495
4,12,15,8.719
4,12,16,4.1583
4,12,17,9.704
4,12,18,6.5387
4,12,19,5.9461
4,12,20,7.5297
4,12,21,6.5387
4,12,22,9.5338
4,12,23,3.5637
4,12,24,6.7389
4,12,25,6.5467
4,12,26,7.3315
4,12,27,4.1703
4,12,28,7.7299
4,12,29,4.9571
4,12,30,6.9371
4,12,31,5.9461
4,12,32,8.3246
4,12,33,6.7329
4,12,34,6.7469
4,12,35,7.7439
4,12,36,6.7449
4,12,37,4.9791
4,12,38,6.7389
4,12,39,5.3475
4,12,40,7.5317
4,12,41,5.7499
4,12,42,4.1623
4,12,43,5.1593
4,12,44,8.5288
4,12,45,5.9461
4,12,46,8.1244
4,12,47,6.5407
4,12,48,7.3395
4,12,49,5.9461
4,12,50,7.9282
4,12,51,5.9461
4,12,52,5.5757
4,12,53,7.5357
4,12,54,6.1523
4,12,55,7.3355
5,13,1,7.8224
5,13,2,11.241
5,13,3,8.2492
5,13,4,9.2333
5,13,5,7.0303
5,13,6,9.6327
5,13,7,9.2843
5,13,8,7.2615
5,13,9,9.508
5,13,10,7.9406
5,13,11,9.2147
5,13,12,7.3146
5,13,13,6.7289
5,13,14,8.6467
5,13,15,9.5692
5,13,16,7.5954
5,13,17,7.6414
5,13,18,9.8222
5,13,19,6.1021
5,13,20,7.3007
5,13,21,7.0046
5,13,22,9.4516
5,13,23,9.2318
5,13,24,8.0208
5,13,25,9.2731
5,13,26,8.5465
5,13,27,7.9716
5,13,28,6.9229
5,13,29,4.6198
5,13,30,6.2688
5,13,31,6.1813
5,13,32,7.6244
5,13,33,7.4912
5,13,34,8.438
5,13,35,7.5101
5,13,36,8.8379
5,13,37,7.7888
5,13,38,7.0558
5,13,39,8.6779
5,13,40,4.8613
5,13,41,7.2966
5,13,42,8.1487
5,13,43,6.7425
5,13,44,8.318
5,13,45,6.8866
5,13,46,8.8522
5,13,47,7.6801
5,13,48,8.8522
5,13,49,9.3558
5,13,50,5.0805
5,13,51,7.623
5,13,52,6.8173
5,13,53,7.3827
5,13,54,7.4071
5,13,55,6.6782
5,14,1,7.3921
5,14,2,10.9118
5,14,3,7.873
5,14,4,9.9057
5,14,5,7.7795
5,14,6,8.9746
5,14,7,8.049
5,14,8,6.8433
5,14,9,9.7859
5,14,10,8.3078
5,14,11,10.0449
5,14,12,8.5362
5,14,13,5.8011
5,14,14,7.4872
5,14,15,9.2707
5,14,16,7.6966
5,14,17,6.8536
5,14,18,8.0781
5,14,19,5.4325
5,14,20,8.4466
5,14,21,9.6595
5,14,22,8.7094
5,14,23,10.4671
5,14,24,8.9314
5,14,25,7.178
5,14,26,8.2782
5,14,27,8.0113
5,14,28,6.2007
5,14,29,6.9533
5,14,30,9.3529
5,14,31,5.3315
5,14,32,8.3981
5,14,33,6.6185
5,14,34,7.3207
5,14,35,6.0971
5,14,36,8.3167
5,14,37,7.8193
5,14,38,6.4275
5,14,39,8.2086
5,14,40,4.0745
5,14,41,9.4264
5,14,42,9.7236
5,14,43,8.7305
5,14,44,8.3477
5,14,45,8.1987
5,14,46,8.9224
5,14,47,8.2569
5,14,48,8.0986
5,14,49,8.069
5,14,50,9.9497
5,14,51,8.0284
5,14,52,7.5743
5,14,53,8.6897
5,14,54,8.7396
5,14,55,8.418
5,15,1,8.6283
5,15,2,11.7763
5,15,3,6.3613
5,15,4,8.8979
5,15,5,7.9832
5,15,6,10.0734
5,15,7,9.8798
5,15,8,8.6494
5,15,9,9.4464
5,15,10,8.4782
5,15,11,9.3216
5,15,12,7.2123
5,15,13,5.0513
5,15,14,8.9272
5,15,15,9.4323
5,15,16,8.7397
5,15,17,9.2619
5,15,18,8.4674
5,15,19,2.3481
5,15,20,9.6843
5,15,21,10.3718
5,15,22,9.5502
5,15,23,9.8023
5,15,24,10.0904
5,15,25,9.1714
5,15,26,9.389
5,15,27,8.3578
5,15,28,7.9509
5,15,29,7.3738
5,15,30,8.0407
5,15,31,7.3957
5,15,32,7.267
5,15,33,8.6542
5,15,34,7.5401
5,15,35,7.5419
5,15,36,8.368
5,15,37,6.2731
5,15,38,7.6054
5,15,39,8.7098
5,15,40,3.5065
5,15,41,9.2017
5,15,42,8.0684
5,15,43,8.7507
5,15,44,7.8792
5,15,45,8.0172
5,15,46,8.8261
5,15,47,9.9201
5,15,48,9.7209
5,15,49,8.773
5,15,50,6.5497
5,15,51,9.4315
5,15,52,7.0698
5,15,53,6.7892
5,15,54,8.0484
5,15,55,8.2974
6,16,1,11.7067
6,16,2,14.5208
6,16,3,9.6806
6,16,4,14.6487
6,16,5,12.2772
6,16,6,15.3088
6,16,7,13.5078
6,16,8,11.5417
6,16,9,15.3088
6,16,10,13.5537
6,16,11,13.793
6,16,12,15.1591
6,16,13,10.5811
6,16,14,14.1832
6,16,15,13.958
6,16,16,10.1308
6,16,17,14.5733
6,16,18,13.2826
6,16,19,8.8401
6,16,20,13.0575
6,16,21,11.9319
6,16,22,11.4816
6,16,23,15.5339
6,16,24,15.5339
6,16,25,14.8585
6,16,26,13.5679
6,16,27,16.6596
6,16,28,13.0575
6,16,29,10.356
6,16,30,15.8793
6,16,31,18.4606
6,16,32,12.6072
6,16,33,14.5208
6,16,34,12.8324
6,16,35,9.6806
6,16,36,14.6487
6,16,37,12.6072
6,16,38,13.9132
6,16,39,15.5339
6,16,40,10.5811
6,16,41,13.5078
6,16,42,13.5078
6,16,43,13.2826
6,16,44,13.4182
6,16,45,12.157
6,16,46,16.2093
6,16,47,15.5339
6,16,48,10.8062
6,16,49,15.0837
6,16,50,13.5078
6,16,51,14.4083
6,16,52,15.7591
6,16,53,12.3821
6,16,54,15.5339
6,16,55,12.8324
6,17,1,13.958
6,17,2,17.1098
6,17,3,13.0575
6,17,4,12.7723
6,17,5,11.4368
6,17,6,17.335
6,17,7,14.6334
6,17,8,14.5285
6,17,9,13.2826
6,17,10,13.5679
6,17,11,13.4477
6,17,12,13.4477
6,17,13,9.9057
6,17,14,12.6072
6,17,15,14.6334
6,17,16,12.3821
6,17,17,12.7275
6,17,18,12.157
6,17,19,11.3614
6,17,20,13.0575
6,17,21,16.2093
6,17,22,12.3821
6,17,23,12.6072
6,17,24,15.7591
6,17,25,14.8585
6,17,26,12.487
6,17,27,13.958
6,17,28,13.5078
6,17,29,11.9319
6,17,30,13.463
6,17,31,12.6072
6,17,32,14.6334
6,17,33,11.0313
6,17,34,13.7329
6,17,35,6.5288
6,17,36,13.4477
6,17,37,12.157
6,17,38,12.3821
6,17,39,15.5339
6,17,40,12.3821
6,17,41,14.1832
6,17,42,14.1985
6,17,43,10.356
6,17,44,12.5471
6,17,45,12.6072
6,17,46,15.0837
6,17,47,15.3241
6,17,48,13.5078
6,17,49,12.3821
6,17,50,12.8324
6,17,51,13.958
6,17,52,13.5078
6,17,53,13.2826
6,17,54,13.7329
6,17,55,12.8324
6,18,1,11.9319
6,18,2,15.3088
6,18,3,13.0575
6,18,4,13.5078
6,18,5,11.5417
6,18,6,13.2826
6,18,7,12.157
6,18,8,12.3821
6,18,9,14.4083
6,18,10,16.1492
6,18,11,10.4161
6,18,12,13.0127
6,18,13,9.2303
6,18,14,12.3821
6,18,15,12.157
6,18,16,13.0575
6,18,17,12.7723
6,18,18,12.8324
6,18,19,9.7713
6,18,20,13.5078
6,18,21,13.7329
6,18,22,14.8585
6,18,23,12.3821
6,18,24,12.8324
6,18,25,12.6072
6,18,26,15.9394
6,18,27,16.2093
6,18,28,11.0313
6,18,29,11.2565
6,18,30,13.463
6,18,31,12.3821
6,18,32,12.157
6,18,33,9.4554
6,18,34,12.3821
6,18,35,8.78
6,18,36,12.2619
6,18,37,10.8062
6,18,38,11.5417
6,18,39,12.8324
6,18,40,11.4816
6,18,41,13.7329
6,18,42,14.1832
6,18,43,11.2565
6,18,44,12.2324
6,18,45,13.5078
6,18,46,15.3088
6,18,47,14.4083
6,18,48,12.157
6,18,49,15.5339
6,18,50,15.5339
6,18,51,13.0575
6,18,52,13.5078
6,18,53,11.9319
6,18,54,13.7329
6,18,55,14.1832
7,19,1,7.7554
7,19,2,6.2669
7,19,3,8.3558
7,19,4,10.318
7,19,5,7.2987
7,19,6,10.1742
7,19,7,10.6479
7,19,8,7.0704
7,19,9,8.2713
7,19,10,8.0007
7,19,11,8.7872
7,19,12,8.3558
7,19,13,8.3558
7,19,14,9.9881
7,19,15,9.0578
7,19,16,7.1127
7,19,17,7.0704
7,19,18,5.768
7,19,19,8.3558
7,19,20,9.3284
7,19,21,9.8443
7,19,22,7.7806
7,19,23,8.1445
7,19,24,9.8613
7,19,25,7.0704
7,19,26,8.728
7,19,27,7.6708
7,19,28,10.2335
7,19,29,8.3728
7,19,30,9.5315
7,19,31,10.0474
7,19,32,8.5166
7,19,33,9.0578
7,19,34,10.1319
7,19,35,9.6413
7,19,36,8.5589
7,19,37,8.043
7,19,38,8.8718
7,19,39,8.229
7,19,40,8.745
7,19,41,8.4574
7,19,42,10.1319
7,19,43,8.745
7,19,44,9.8021
7,19,45,10.4195
7,19,46,10.6479
7,19,47,7.6116
7,19,48,8.1698
7,19,49,8.6857
7,19,50,8.0852
7,19,51,8.1275
7,19,52,8.4574
7,19,53,7.4848
7,19,54,7.8992
7,19,55,6.656
7,20,1,7.2142
7,20,2,7.5271
7,20,3,11.1045
7,20,4,12.1364
7,20,5,8.229
7,20,6,9.7598
7,20,7,11.2483
7,20,8,9.5737
7,20,9,9.6753
7,20,10,8.8295
7,20,11,8.9733
7,20,12,10.9777
7,20,13,7.4678
7,20,14,9.3877
7,20,15,9.9881
7,20,16,8.4574
7,20,17,6.5545
7,20,18,10.1742
7,20,19,7.7554
7,20,20,9.616
7,20,21,11.7642
7,20,22,8.8295
7,20,23,9.0578
7,20,24,9.616
7,20,25,5.5226
7,20,26,8.5166
7,20,27,8.2713
7,20,28,7.8992
7,20,29,5.9963
7,20,30,8.6857
7,20,31,8.1868
7,20,32,7.341
7,20,33,8.7872
7,20,34,9.7175
7,20,35,6.3261
7,20,36,6.9266
7,20,37,8.1445
7,20,38,8.7872
7,20,39,9.5315
7,20,40,8.8295
7,20,41,9.5315
7,20,42,9.2439
7,20,43,5.954
7,20,44,8.8295
7,20,45,9.9459
7,20,46,8.1868
7,20,47,7.6708
7,20,48,8.7872
7,20,49,8.8295
7,20,50,7.6286
7,20,51,8.2713
7,20,52,11.02
7,20,53,8.2713
7,20,54,8.4574
7,20,55,6.5545
7,21,1,10.9777
7,21,2,7.4848
7,21,3,10.5293
7,21,4,11.5359
7,21,5,8.4574
7,21,6,11.7472
7,21,7,11.3921
7,21,8,8.1022
7,21,9,9.1171
7,21,10,11.4344
7,21,11,9.2439
7,21,12,8.5842
7,21,13,7.341
7,21,14,9.9881
7,21,15,9.9459
7,21,16,9.3032
7,21,17,10.0474
7,21,18,9.4892
7,21,19,9.1001
7,21,20,11.3921
7,21,21,11.189
7,21,22,9.5315
7,21,23,9.1001
7,21,24,11.5359
7,21,25,7.8992
7,21,26,8.3136
7,21,27,9.0156
7,21,28,9.1171
7,21,29,8.0852
7,21,30,9.4299
7,21,31,10.0897
7,21,32,8.8718
7,21,33,8.6434
7,21,34,9.9036
7,21,35,10.7154
7,21,36,10.9777
7,21,37,8.6012
7,21,38,8.1698
7,21,39,9.1001
7,21,40,8.4996
7,21,41,9.3454
7,21,42,9.3454
7,21,43,8.4151
7,21,44,8.4574
7,21,45,10.4618
7,21,46,9.1594
7,21,47,7.7976
7,21,48,9.616
7,21,49,9.1171
7,21,50,7.6708
7,21,51,8.5842
7,21,52,11.2906
7,21,53,7.8146
7,21,54,8.931
7,21,55,8.4151
8,22,1,9.3163
8,22,2,6.93
8,22,3,9.4802
8,22,4,8.7573
8,22,5,8.9324
8,22,6,9.6081
8,22,7,8.9437
8,22,8,10.0616
8,22,9,11.0516
8,22,10,9.8753
8,22,11,8.5598
8,22,12,10.4343
8,22,13,7.5114
8,22,14,10.0616
8,22,15,7.5002
8,22,16,7.2667
8,22,17,8.1984
8,22,18,7.0804
8,22,19,5.6953
8,22,20,6.4293
8,22,21,8.3622
8,22,22,8.6877
8,22,23,8.3038
8,22,24,9.8057
8,22,25,8.571
8,22,26,8.6765
8,22,27,10.2255
8,22,28,8.9437
8,22,29,8.1871
8,22,30,8.6877
8,22,31,8.7573
8,22,32,6.8941
8,22,33,9.689
8,22,34,7.0804
8,22,35,9.8999
8,22,36,5.6503
8,22,37,6.4764
8,22,38,6.8941
8,22,39,7.7561
8,22,40,7.8032
8,22,41,9.689
8,22,42,9.689
8,22,43,8.6877
8,22,44,10.0616
8,22,45,9.9337
8,22,46,10.248
8,22,47,7.022
8,22,48,9.689
8,22,49,9.689
8,22,50,8.9437
8,22,51,7.4531
8,22,52,8.1871
8,22,53,8.6181
8,22,54,7.536
8,22,55,5.0779
8,23,1,10.9933
8,23,2,6.9637
8,23,3,6.8941
8,23,4,10.6206
8,23,5,8.4318
8,23,6,8.2096
8,23,7,8.9437
8,23,8,8.3847
8,23,9,10.5622
8,23,10,10.4343
8,23,11,10.1783
8,23,12,11.1796
8,23,13,7.1275
8,23,14,11.1796
8,23,15,7.8728
8,23,16,8.3847
8,23,17,10.8069
8,23,18,8.7573
8,23,19,7.7673
8,23,20,8.1759
8,23,21,9.689
8,23,22,7.2555
8,23,23,8.6877
8,23,24,8.2455
8,23,25,7.8032
8,23,26,8.2096
8,23,27,10.2367
8,23,28,9.3163
8,23,29,7.3026
8,23,30,8.0704
8,23,31,9.3163
8,23,32,10.6206
8,23,33,8.012
8,23,34,8.012
8,23,35,8.9212
8,23,36,6.3463
8,23,37,7.278
8,23,38,10.0616
8,23,39,10.1783
8,23,40,7.2442
8,23,41,8.4677
8,23,42,9.13
8,23,43,6.1263
8,23,44,7.8257
8,23,45,8.6765
8,23,46,10.2838
8,23,47,10.3063
8,23,48,8.6765
8,23,49,10.8069
8,23,50,7.8257
8,23,51,8.1984
8,23,52,7.6977
8,23,53,8.8741
8,23,54,6.674
8,23,55,9.0716
8,24,1,10.0616
8,24,2,12.4501
8,24,3,9.6777
8,24,4,12.1112
8,24,5,8.3734
8,24,6,9.0133
8,24,7,7.6394
8,24,8,8.3847
8,24,9,8.1288
8,24,10,10.248
8,24,11,9.5026
8,24,12,8.571
8,24,13,9.2467
8,24,14,6.5214
8,24,15,10.6206
8,24,16,7.6394
8,24,17,11.1796
8,24,18,8.1984
8,24,19,8.1175
