Trials	Rows	Columns	Replications	Group1	Group2	Hybrids	Hybrid_Checks	GY
1	4	15	3	5	7	44	1	7292.73
1	4	16	3	NA	NA	NA	4	5882.98
1	4	17	3	4	7	36	1	7030.38
1	4	18	3	6	10	54	1	7897.10
1	5	1	1	1	5	4	1	7147.29
1	5	2	1	2	5	15	1	5754.57
1	5	3	1	1	3	2	1	7439.60
1	5	4	1	NA	NA	NA	2	9030.80
1	5	5	1	4	6	35	1	5492.24
1	5	6	1	6	7	51	1	6376.84
1	5	7	2	6	8	52	1	7360.45
1	5	8	2	3	11	31	1	8903.50
1	5	9	2	4	6	35	1	NA
1	5	10	2	7	9	59	1	8462.07
1	5	11	2	NA	NA	NA	5	8908.15
1	5	12	2	4	8	37	1	7278.93
1	5	13	3	2	13	23	1	9123.15
1	5	14	3	4	12	41	1	7948.94
1	5	15	3	3	7	27	1	9215.04
1	5	16	3	8	10	65	1	8193.77
1	5	17	3	NA	NA	NA	2	9417.67
1	5	18	3	8	13	68	1	7500.19
1	6	1	1	8	13	68	1	7632.64
1	6	2	1	6	10	54	1	6777.03
1	6	3	1	8	11	66	1	8290.90
1	6	4	1	2	8	18	1	6608.17
1	6	5	1	12	13	78	1	6463.66
1	6	6	1	9	11	70	1	6735.56
1	6	7	2	10	11	73	1	7871.48
1	6	8	2	3	5	25	1	3689.77
1	6	9	2	3	12	32	1	6156.62
1	6	10	2	1	13	12	1	7113.47
1	6	11	2	1	4	3	1	8534.05
1	6	12	2	3	13	33	1	4241.48
1	6	13	3	8	11	66	1	7212.41
1	6	14	3	NA	NA	NA	6	11115.25
1	6	15	3	1	11	10	1	9519.54
1	6	16	3	11	13	77	1	8027.82
1	6	17	3	2	10	20	1	9204.66
1	6	18	3	9	10	69	1	8105.67
1	7	1	1	NA	NA	NA	3	12331.24
1	7	2	1	5	7	44	1	7300.89
1	7	3	1	8	12	67	1	7818.51
1	7	4	1	5	12	49	1	7321.07
1	7	5	1	1	9	8	1	7159.69
1	7	6	1	2	7	17	1	5953.10
1	7	7	2	3	7	27	1	5425.12
1	7	8	2	1	6	5	1	6379.73
1	7	9	2	NA	NA	NA	7	8229.63
1	7	10	2	4	11	40	1	5434.79
1	7	11	2	2	6	16	1	6467.78
1	7	12	2	2	11	21	1	8292.07
1	7	13	3	1	6	5	1	8412.59
1	7	14	3	1	8	7	1	8209.43
1	7	15	3	1	13	12	1	7973.33
1	7	16	3	4	9	38	1	8722.17
1	7	17	3	1	4	3	1	9529.14
1	7	18	3	4	5	34	1	7339.91
1	8	1	1	3	8	28	1	7679.13
1	8	2	1	4	7	36	1	8048.12
1	8	3	1	3	12	32	1	8996.30
1	8	4	1	4	12	41	1	6796.09
1	8	5	1	9	13	72	1	6948.81
1	8	6	1	4	9	38	1	6567.43
1	8	7	2	2	3	13	1	7878.62
1	8	8	2	8	9	64	1	7054.04
1	8	9	2	1	11	10	1	8628.05
1	8	10	2	5	11	48	1	5993.90
1	8	11	2	2	7	17	1	5808.41
1	8	12	2	5	13	50	1	6018.28
1	8	13	3	2	8	18	1	5415.03
1	8	14	3	5	12	49	1	NA
1	8	15	3	3	4	24	1	7619.03
1	8	16	3	9	12	71	1	7018.85
1	8	17	3	5	8	45	1	8341.38
1	8	18	3	2	6	16	1	9830.48
1	9	1	1	1	8	7	1	9981.66
1	9	2	1	5	11	48	1	7202.64
1	9	3	1	9	12	71	1	7909.89
1	9	4	1	2	9	19	1	7495.19
1	9	5	1	2	12	22	1	8351.72
1	9	6	1	1	7	6	1	7258.10
1	9	7	2	9	13	72	1	6984.60
1	9	8	2	NA	NA	NA	2	8697.79
1	9	9	2	1	5	4	1	7916.22
1	9	10	2	8	13	68	1	7731.34
1	9	11	2	NA	NA	NA	4	5653.64
1	9	12	2	1	7	6	1	9228.34
1	9	13	3	2	11	21	1	9749.91
1	9	14	3	10	13	75	1	8308.05
1	9	15	3	3	8	28	1	9311.11
1	9	16	3	7	11	61	1	7728.92
1	9	17	3	3	11	31	1	8014.69
1	9	18	3	2	7	17	1	7282.46
1	10	1	1	4	8	37	1	6188.62
1	10	2	1	3	11	31	1	6910.52
1	10	3	1	5	9	46	1	7069.92
1	10	4	1	4	11	40	1	6231.55
1	10	5	1	7	10	60	1	10033.33
1	10	6	1	10	12	74	1	9648.24
1	10	7	2	2	4	14	1	8446.51
1	10	8	2	6	10	54	1	6987.13
1	10	9	2	9	10	69	1	6834.69
1	10	10	2	3	8	28	1	6571.65
1	10	11	2	7	13	63	1	5833.69
1	10	12	2	1	8	7	1	8928.89
1	10	13	3	7	12	62	1	7517.11
1	10	14	3	2	5	15	1	6812.09
1	10	15	3	2	9	19	1	8443.83
1	10	16	3	5	10	47	1	9182.47
1	10	17	3	4	13	42	1	9148.02
1	10	18	3	11	12	76	1	8228.93
1	11	1	1	1	10	9	1	8901.26
1	11	2	1	3	4	24	1	6698.39
1	11	3	1	NA	NA	NA	7	8826.97
1	11	4	1	6	11	55	1	7285.00
1	11	5	1	7	8	58	1	7908.03
1	11	6	1	NA	NA	NA	6	10121.48
1	11	7	2	12	13	78	1	6156.74
1	11	8	2	7	12	62	1	8075.89
1	11	9	2	8	11	66	1	6547.32
1	11	10	2	2	8	18	1	5218.28
1	11	11	2	9	11	70	1	7117.27
1	11	12	2	5	8	45	1	9507.60
1	11	13	3	4	8	37	1	7360.78
1	11	14	3	6	12	56	1	8959.70
1	11	15	3	3	9	29	1	7253.56
1	11	16	3	8	9	64	1	6302.68
1	11	17	3	5	13	50	1	6520.69
1	11	18	3	1	12	11	1	9400.74
1	12	1	1	7	9	59	1	5445.21
1	12	2	1	1	13	12	1	5795.29
1	12	3	1	6	8	52	1	6402.33
1	12	4	1	7	12	62	1	7903.84
1	12	5	1	2	3	13	1	5923.79
1	12	6	1	6	13	57	1	6771.45
1	12	7	2	1	10	9	1	8172.24
1	12	8	2	4	9	38	1	6545.06
1	12	9	2	1	12	11	1	9399.52
1	12	10	2	6	12	56	1	8946.42
1	12	11	2	2	9	19	1	7394.16
1	12	12	2	10	12	74	1	8596.88
1	12	13	3	3	6	26	1	5946.93
1	12	14	3	NA	NA	NA	5	9193.36
1	12	15	3	5	6	43	1	6263.73
1	12	16	3	10	12	74	1	10136.24
1	12	17	3	4	6	35	1	7782.07
1	12	18	3	NA	NA	NA	3	10871.38
1	13	1	1	7	11	61	1	8657.47
1	13	2	1	1	4	3	1	NA
1	13	3	1	2	10	20	1	9897.41
1	13	4	1	11	12	76	1	6656.90
1	13	5	1	5	8	45	1	8244.73
1	13	6	1	8	9	64	1	6173.18
1	13	7	2	4	10	39	1	8130.40
1	13	8	2	NA	NA	NA	3	9794.57
1	13	9	2	5	9	46	1	5812.87
1	13	10	2	11	13	77	1	8024.52
1	13	11	2	8	10	65	1	8244.44
1	13	12	2	5	7	44	1	7695.10
1	13	13	3	12	13	78	1	7259.26
1	13	14	3	NA	NA	NA	7	8903.26
1	13	15	3	1	9	8	1	7595.08
1	13	16	3	6	9	53	1	7232.87
1	13	17	3	1	2	1	1	8263.91
1	13	18	3	7	13	63	1	7503.87
1	14	1	1	10	11	73	1	7845.77
1	14	2	1	9	10	69	1	8373.47
1	14	3	1	5	6	43	1	4112.48
1	14	4	1	10	13	75	1	7881.99
1	14	5	1	3	6	26	1	4614.61
1	14	6	1	6	9	53	1	6477.34
1	14	7	2	7	8	58	1	NA
1	14	8	2	3	6	26	1	5664.06
1	14	9	2	NA	NA	NA	6	10050.86
1	14	10	2	5	12	49	1	6441.12
1	14	11	2	5	6	43	1	8491.19
1	14	12	2	4	13	42	1	8337.98
1	14	13	3	3	10	30	1	7124.74
1	14	14	3	9	13	72	1	6997.02
1	14	15	3	2	3	13	1	7754.18
1	14	16	3	1	3	2	1	8148.16
1	14	17	3	1	10	9	1	8000.84
1	14	18	3	5	11	48	1	7248.62
2	1	1	1	NA	NA	NA	5	8779.73
2	1	2	1	1	8	7	1	10008.01
2	1	3	1	3	9	29	1	5548.81
2	1	4	1	NA	NA	NA	7	7130.08
2	1	5	1	4	8	37	1	7568.62
2	1	6	1	6	13	57	1	7467.29
2	1	7	2	3	8	28	1	8739.78
2	1	8	2	9	11	70	1	7558.25
2	1	9	2	5	6	43	1	8565.93
2	1	10	2	3	5	25	1	5073.03
2	1	11	2	8	11	66	1	7359.83
2	1	12	2	10	13	75	1	5545.31
2	1	13	3	9	10	69	1	7732.54
2	1	14	3	4	6	35	1	7724.81
2	1	15	3	5	11	48	1	7064.52
2	1	16	3	7	9	59	1	8581.42
2	1	17	3	11	12	76	1	8527.54
2	1	18	3	4	10	39	1	7204.83
2	2	1	1	7	10	60	1	8472.67
2	2	2	1	3	11	31	1	6333.13
2	2	3	1	3	8	28	1	7871.67
2	2	4	1	3	13	33	1	6398.34
2	2	5	1	6	8	52	1	7843.24
2	2	6	1	1	6	5	1	8151.80
2	2	7	2	4	12	41	1	7764.61
2	2	8	2	9	13	72	1	7788.71
2	2	9	2	2	7	17	1	8316.08
2	2	10	2	7	12	62	1	8613.56
2	2	11	2	7	13	63	1	8218.17
2	2	12	2	3	7	27	1	7792.53
2	2	13	3	3	10	30	1	7985.72
2	2	14	3	6	10	54	1	9361.28
2	2	15	3	2	11	21	1	8173.54
2	2	16	3	2	8	18	1	6675.41
2	2	17	3	6	9	53	1	7946.90
2	2	18	3	4	9	38	1	8068.45
2	3	1	1	1	9	8	1	8763.95
2	3	2	1	5	11	48	1	7404.42
2	3	3	1	6	7	51	1	7128.67
2	3	4	1	1	13	12	1	7618.08
2	3	5	1	1	10	9	1	8186.43
2	3	6	1	4	13	42	1	7302.45
2	3	7	2	NA	NA	NA	5	8841.72
2	3	8	2	5	7	44	1	6147.38
2	3	9	2	3	9	29	1	6384.69
2	3	10	2	6	11	55	1	9011.62
2	3	11	2	1	3	2	1	8829.12
2	3	12	2	1	7	6	1	8306.51
2	3	13	3	10	11	73	1	9016.32
2	3	14	3	8	11	66	1	8466.49
2	3	15	3	9	11	70	1	7051.37
2	3	16	3	2	13	23	1	7222.91
2	3	17	3	5	7	44	1	6543.70
2	3	18	3	2	12	22	1	7793.80
2	4	1	1	10	12	74	1	7362.85
2	4	2	1	1	4	3	1	7383.17
2	4	3	1	1	2	1	1	7167.10
2	4	4	1	6	9	53	1	5538.03
2	4	5	1	7	8	58	1	6614.72
2	4	6	1	9	11	70	1	7473.18
2	4	7	2	1	2	1	1	11748.94
2	4	8	2	5	8	45	1	7115.74
2	4	9	2	2	12	22	1	7728.86
2	4	10	2	6	7	51	1	8940.92
2	4	11	2	4	6	35	1	7427.11
2	4	12	2	4	8	37	1	7423.60
2	4	13	3	4	8	37	1	8482.04
2	4	14	3	2	7	17	1	7595.46
2	4	15	3	3	4	24	1	7880.17
2	4	16	3	4	7	36	1	7308.05
2	4	17	3	12	13	78	1	7479.36
2	4	18	3	6	7	51	1	7894.55
2	5	1	1	10	11	73	1	6683.67
2	5	2	1	11	13	77	1	4388.45
2	5	3	1	2	11	21	1	7531.48
2	5	4	1	4	9	38	1	7043.20
2	5	5	1	1	11	10	1	8821.56
2	5	6	1	2	4	14	1	8309.61
2	5	7	2	7	11	61	1	8185.00
2	5	8	2	1	8	7	1	8740.00
2	5	9	2	2	4	14	1	6706.97
2	5	10	2	6	12	56	1	8340.73
2	5	11	2	5	13	50	1	6859.46
2	5	12	2	5	9	46	1	6943.45
2	5	13	3	7	11	61	1	7124.03
2	5	14	3	4	12	41	1	6706.77
2	5	15	3	8	10	65	1	9425.31
2	5	16	3	9	12	71	1	8257.98
2	5	17	3	5	12	49	1	7874.47
2	5	18	3	3	12	32	1	9050.35
2	6	1	1	9	13	72	1	6295.18
2	6	2	1	6	12	56	1	8771.69
2	6	3	1	NA	NA	NA	6	9010.34
2	6	4	1	7	12	62	1	8483.79
2	6	5	1	11	12	76	1	6724.01
2	6	6	1	5	8	45	1	7981.03
2	6	7	2	4	7	36	1	7625.06
2	6	8	2	3	13	33	1	5972.62
2	6	9	2	1	13	12	1	6529.20
2	6	10	2	11	13	77	1	7368.11
2	6	11	2	9	10	69	1	6824.32
2	6	12	2	12	13	78	1	6065.75
2	6	13	3	7	13	63	1	6928.02
2	6	14	3	4	13	42	1	6317.40
2	6	15	3	3	7	27	1	7053.63
2	6	16	3	NA	NA	NA	6	9824.72
2	6	17	3	NA	NA	NA	7	8462.07
2	6	18	3	1	7	6	1	9176.21
2	7	1	1	5	10	47	1	7529.20
2	7	2	1	7	13	63	1	6216.76
2	7	3	1	2	7	17	1	7223.50
2	7	4	1	8	12	67	1	7973.61
2	7	5	1	9	12	71	1	8440.08
2	7	6	1	1	12	11	1	7662.87
2	7	7	2	NA	NA	NA	7	8973.63
2	7	8	2	1	4	3	1	8384.06
2	7	9	2	4	5	34	1	9087.04
2	7	10	2	3	11	31	1	9261.26
2	7	11	2	6	10	54	1	8330.00
2	7	12	2	4	10	39	1	6540.31
2	7	13	3	7	10	60	1	7803.27
2	7	14	3	1	5	4	1	7859.27
2	7	15	3	1	2	1	1	8580.77
2	7	16	3	NA	NA	NA	2	8378.85
2	7	17	3	9	13	72	1	7666.51
2	7	18	3	3	8	28	1	9442.30
2	8	1	1	2	10	20	1	10916.48
2	8	2	1	1	5	4	1	7635.25
2	8	3	1	2	5	15	1	8786.21
2	8	4	1	2	12	22	1	8475.63
2	8	5	1	4	7	36	1	7530.81
2	8	6	1	5	12	49	1	8464.50
2	8	7	2	NA	NA	NA	6	13007.03
2	8	8	2	4	11	40	1	6260.23
2	8	9	2	2	8	18	1	7343.41
2	8	10	2	10	12	74	1	7215.27
2	8	11	2	8	12	67	1	9261.49
2	8	12	2	5	12	49	1	7643.68
2	8	13	3	5	8	45	1	9211.35
2	8	14	3	6	12	56	1	8396.32
2	8	15	3	1	4	3	1	8908.42
2	8	16	3	2	10	20	1	7900.33
2	8	17	3	10	13	75	1	8379.30
2	8	18	3	4	11	40	1	6785.76
2	9	1	1	3	6	26	1	7735.40
2	9	2	1	6	10	54	1	7918.10
2	9	3	1	4	6	35	1	7637.60
2	9	4	1	2	6	16	1	7445.47
2	9	5	1	8	10	65	1	8286.37
2	9	6	1	1	3	2	1	8101.79
2	9	7	2	1	12	11	1	10849.21
2	9	8	2	7	10	60	1	7974.66
2	9	9	2	3	4	24	1	8640.20
2	9	10	2	6	9	53	1	7384.90
2	9	11	2	9	12	71	1	9411.65
2	9	12	2	NA	NA	NA	3	11230.85
2	9	13	3	8	13	68	1	7897.19
2	9	14	3	NA	NA	NA	3	11066.45
2	9	15	3	1	12	11	1	8827.53
2	9	16	3	8	12	67	1	6960.36
2	9	17	3	1	13	12	1	8265.90
2	9	18	3	7	8	58	1	8919.69
2	10	1	1	4	11	40	1	6699.72
2	10	2	1	NA	NA	NA	3	10823.09
2	10	3	1	NA	NA	NA	2	8040.05
2	10	4	1	3	4	24	1	6823.01
2	10	5	1	8	13	68	1	7034.48
2	10	6	1	8	11	66	1	8080.59
2	10	7	2	NA	NA	NA	2	9445.86
2	10	8	2	2	11	21	1	8648.28
2	10	9	2	1	11	10	1	8581.67
2	10	10	2	8	13	68	1	8004.14
2	10	11	2	5	10	47	1	7140.95
2	10	12	2	4	9	38	1	5299.31
2	10	13	3	NA	NA	NA	4	8725.86
2	10	14	3	1	6	5	1	7762.13
2	10	15	3	3	11	31	1	7208.02
2	10	16	3	2	6	16	1	9020.23
2	10	17	3	1	9	8	1	8250.27
2	10	18	3	1	11	10	1	8567.53
2	11	1	1	5	6	43	1	8047.09
2	11	2	1	4	12	41	1	6471.11
2	11	3	1	5	9	46	1	6784.16
2	11	4	1	7	11	61	1	6297.06
2	11	5	1	12	13	78	1	7639.95
2	11	6	1	8	9	64	1	6630.46
2	11	7	2	3	10	30	1	9028.35
2	11	8	2	3	6	26	1	9365.33
2	11	9	2	7	8	58	1	7166.42
2	11	10	2	5	11	48	1	7256.93
2	11	11	2	1	10	9	1	9252.87
2	11	12	2	6	13	57	1	8418.24
2	11	13	3	11	13	77	1	7059.77
2	11	14	3	NA	NA	NA	5	9328.66
2	11	15	3	7	12	62	1	7512.99
2	11	16	3	8	9	64	1	6726.95
2	11	17	3	3	5	25	1	6153.49
2	11	18	3	1	8	7	1	10055.45
2	12	1	1	5	13	50	1	8649.62
2	12	2	1	10	13	75	1	9190.38
2	12	3	1	9	10	69	1	8576.86
2	12	4	1	4	10	39	1	6032.63
2	12	5	1	5	7	44	1	5879.31
2	12	6	1	3	12	32	1	7381.38
2	12	7	2	4	13	42	1	7397.16
2	12	8	2	11	12	76	1	7722.38
2	12	9	2	8	9	64	1	8545.44
2	12	10	2	3	12	32	1	7902.36
2	12	11	2	2	13	23	1	7363.68
2	12	12	2	10	11	73	1	7798.85
2	12	13	3	3	13	33	1	6258.62
2	12	14	3	5	10	47	1	7065.52
2	12	15	3	6	8	52	1	6289.66
2	12	16	3	10	12	74	1	7720.82
2	12	17	3	6	11	55	1	9258.05
2	12	18	3	2	5	15	1	8607.05
2	13	1	1	3	7	27	1	7126.36
2	13	2	1	2	3	13	1	8384.64
2	13	3	1	NA	NA	NA	4	8220.50
2	13	4	1	2	9	19	1	7033.79
2	13	5	1	4	5	34	1	6871.26
2	13	6	1	7	9	59	1	7519.13
2	13	7	2	2	9	19	1	8431.11
2	13	8	2	1	9	8	1	8934.87
2	13	9	2	8	10	65	1	8643.56
2	13	10	2	2	6	16	1	6981.72
2	13	11	2	7	9	59	1	6799.73
2	13	12	2	2	10	20	1	9887.85
2	13	13	3	6	13	57	1	6704.98
2	13	14	3	3	6	26	1	7022.32
2	13	15	3	4	5	34	1	8591.49
2	13	16	3	2	9	19	1	7143.52
2	13	17	3	5	13	50	1	7551.37
2	13	18	3	3	9	29	1	8769.04
2	14	1	1	2	13	23	1	6841.14
2	14	2	1	2	8	18	1	6857.32
2	14	3	1	3	10	30	1	7588.84
2	14	4	1	6	11	55	1	6810.83
2	14	5	1	3	5	25	1	5149.07
2	14	6	1	1	7	6	1	8141.00
2	14	7	2	2	3	13	1	8051.34
2	14	8	2	1	6	5	1	7644.16
2	14	9	2	NA	NA	NA	4	8645.08
2	14	10	2	2	5	15	1	7160.95
2	14	11	2	6	8	52	1	7500.46
2	14	12	2	1	5	4	1	7437.16
2	14	13	3	2	3	13	1	6933.98
2	14	14	3	1	10	9	1	7703.35
2	14	15	3	2	4	14	1	7414.92
2	14	16	3	1	3	2	1	7615.40
2	14	17	3	5	9	46	1	6028.75
2	14	18	3	5	6	43	1	7663.60
3	1	1	1	1	10	9	1	7340.61
3	1	2	1	8	9	64	1	7009.88
3	1	3	1	2	9	19	1	6745.02
3	1	4	1	9	11	70	1	8090.92
3	1	5	1	10	13	75	1	8209.72
3	1	6	1	NA	NA	NA	5	7709.83
3	1	7	2	9	13	72	1	5795.72
3	1	8	2	1	9	8	1	8827.59
3	1	9	2	4	6	35	1	10169.73
3	1	10	2	3	10	30	1	8839.16
3	1	11	2	5	9	46	1	7186.44
3	1	12	2	1	12	11	1	7202.49
3	1	13	3	2	11	21	1	7696.50
3	1	14	3	5	8	45	1	7255.89
3	1	15	3	9	10	69	1	7481.90
3	1	16	3	2	8	18	1	5049.30
3	1	17	3	7	12	62	1	9061.48
3	1	18	3	NA	NA	NA	6	8188.59
3	2	1	1	1	11	10	1	6674.16
3	2	2	1	8	12	67	1	8176.15
3	2	3	1	NA	NA	NA	7	7799.95
3	2	4	1	3	12	32	1	7759.44
3	2	5	1	3	9	29	1	7478.35
3	2	6	1	1	4	3	1	6516.60
3	2	7	2	5	8	45	1	8483.08
3	2	8	2	10	12	74	1	7389.45
3	2	9	2	11	13	77	1	7411.88
3	2	10	2	5	11	48	1	8864.94
3	2	11	2	1	2	1	1	7812.52
3	2	12	2	6	12	56	1	7589.34
3	2	13	3	6	10	54	1	6718.01
3	2	14	3	NA	NA	NA	4	7086.21
3	2	15	3	8	10	65	1	7646.42
3	2	16	3	4	7	36	1	6307.09
3	2	17	3	4	13	42	1	7547.01
3	2	18	3	8	11	66	1	8955.89
3	3	1	1	2	5	15	1	6071.30
3	3	2	1	9	10	69	1	6219.99
3	3	3	1	11	13	77	1	7221.03
3	3	4	1	6	11	55	1	6581.46
3	3	5	1	7	11	61	1	6525.00
3	3	6	1	1	5	4	1	6150.45
3	3	7	2	11	12	76	1	5308.27
3	3	8	2	7	13	63	1	5137.55
3	3	9	2	7	9	59	1	5166.39
3	3	10	2	3	7	27	1	7145.63
3	3	11	2	5	12	49	1	7382.99
3	3	12	2	2	6	16	1	6444.14
3	3	13	3	7	11	61	1	3756.58
3	3	14	3	3	8	28	1	6791.97
3	3	15	3	5	10	47	1	7708.91
3	3	16	3	6	9	53	1	5455.68
3	3	17	3	12	13	78	1	6390.54
3	3	18	3	NA	NA	NA	5	8235.34
3	4	1	1	4	11	40	1	5167.26
3	4	2	1	4	13	42	1	5723.18
3	4	3	1	3	10	30	1	6039.31
3	4	4	1	1	12	11	1	7456.70
3	4	5	1	4	10	39	1	7432.95
3	4	6	1	7	10	60	1	6932.84
3	4	7	2	4	10	39	1	8422.61
3	4	8	2	4	13	42	1	5697.97
3	4	9	2	6	7	51	1	7912.84
3	4	10	2	1	10	9	1	7206.90
3	4	11	2	4	8	37	1	7980.00
3	4	12	2	NA	NA	NA	6	6947.62
3	4	13	3	2	6	16	1	7481.23
3	4	14	3	6	7	51	1	7212.72
3	4	15	3	5	9	46	1	7273.83
3	4	16	3	7	9	59	1	7544.81
3	4	17	3	4	10	39	1	7838.01
3	4	18	3	9	11	70	1	6958.96
3	5	1	1	7	8	58	1	7970.17
3	5	2	1	3	11	31	1	6640.97
3	5	3	1	6	10	54	1	7690.61
3	5	4	1	5	11	48	1	7520.45
3	5	5	1	4	6	35	1	7569.36
3	5	6	1	4	7	36	1	6045.98
3	5	7	2	3	5	25	1	5915.13
3	5	8	2	4	12	41	1	6867.77
3	5	9	2	7	10	60	1	9492.95
3	5	10	2	3	6	26	1	11241.02
3	5	11	2	5	7	44	1	7845.70
3	5	12	2	1	13	12	1	7734.52
3	5	13	3	1	3	2	1	8256.25
3	5	14	3	10	12	74	1	8865.03
3	5	15	3	5	7	44	1	8681.02
3	5	16	3	2	13	23	1	7655.48
3	5	17	3	3	6	26	1	9271.84
3	5	18	3	8	9	64	1	7442.53
3	6	1	1	5	10	47	1	7234.42
3	6	2	1	2	6	16	1	8137.91
3	6	3	1	5	8	45	1	7255.17
3	6	4	1	4	8	37	1	8283.40
3	6	5	1	1	3	2	1	6181.03
3	6	6	1	4	5	34	1	6575.12
3	6	7	2	NA	NA	NA	3	9445.42
3	6	8	2	NA	NA	NA	2	10256.16
3	6	9	2	3	4	24	1	8233.33
3	6	10	2	8	11	66	1	8453.22
3	6	11	2	10	13	75	1	8213.79
3	6	12	2	2	11	21	1	9028.98
3	6	13	3	2	9	19	1	9439.34
3	6	14	3	6	13	57	1	8403.48
3	6	15	3	6	8	52	1	9475.00
3	6	16	3	7	8	58	1	9955.21
3	6	17	3	1	11	10	1	6232.95
3	6	18	3	4	11	40	1	6803.63
3	7	1	1	3	7	27	1	6600.00
3	7	2	1	2	4	14	1	7114.07
3	7	3	1	NA	NA	NA	6	7062.07
3	7	4	1	3	13	33	1	7511.11
3	7	5	1	2	12	22	1	7777.03
3	7	6	1	5	13	50	1	7126.95
3	7	7	2	NA	NA	NA	7	8166.90
3	7	8	2	2	13	23	1	6603.83
3	7	9	2	3	9	29	1	8254.71
3	7	10	2	8	10	65	1	10142.32
3	7	11	2	3	12	32	1	10417.93
3	7	12	2	4	7	36	1	9341.38
3	7	13	3	1	7	6	1	9239.54
3	7	14	3	5	13	50	1	7655.94
3	7	15	3	3	10	30	1	7733.21
3	7	16	3	2	7	17	1	8120.80
3	7	17	3	1	5	4	1	7431.51
3	7	18	3	2	12	22	1	8343.37
3	8	1	1	3	5	25	1	5524.07
3	8	2	1	9	13	72	1	5231.90
3	8	3	1	11	12	76	1	5173.08
3	8	4	1	1	13	12	1	6137.61
3	8	5	1	2	11	21	1	6870.84
3	8	6	1	1	9	8	1	7064.52
3	8	7	2	9	12	71	1	6692.86
3	8	8	2	1	8	7	1	7222.34
3	8	9	2	5	10	47	1	NA
3	8	10	2	5	6	43	1	6714.56
3	8	11	2	6	11	55	1	8124.14
3	8	12	2	6	9	53	1	6412.98
3	8	13	3	4	9	38	1	8140.96
3	8	14	3	4	5	34	1	7395.54
3	8	15	3	4	8	37	1	5779.37
3	8	16	3	3	11	31	1	7485.83
3	8	17	3	8	13	68	1	7713.47
3	8	18	3	3	4	24	1	7119.78
3	9	1	1	7	13	63	1	6592.01
3	9	2	1	6	13	57	1	5889.57
3	9	3	1	7	9	59	1	5887.16
3	9	4	1	4	12	41	1	6022.99
3	9	5	1	NA	NA	NA	3	7972.22
3	9	6	1	6	8	52	1	6478.48
3	9	7	2	7	11	61	1	6864.75
3	9	8	2	3	11	31	1	7529.31
