rows,rowwidth,length,year,loc,yearloc,rep,hyb,brand,plot,daystoflower,pltht,earht,pop,numplants,lodged,erect,plotweight,mst,tstwt,yield
2,36,25,2000,BA,2000BA,2,TR1106,CroplanGenetics,220,79,94,32,23522,81,0,100,22.46,10.3,60.09,7.76450408
2,36,25,2000,BA,2000BA,3,TR1106,CroplanGenetics,331,79,94,31,24103,83,0,100,27.05,10.7,60.34,9.309583156
2,36,25,2000,BA,2000BA,4,TR1106,CroplanGenetics,433,78,95,29,24684,85,0,100,25.92,10.7,59.25,8.92068034
2,36,25,2000,BA,2000BA,1,TR1167CL,CroplanGenetics,135,80,93,35,24684,85,0,100,25.62,11.1,59.26,8.77793594
2,36,25,2000,BA,2000BA,2,TR1167CL,CroplanGenetics,233,79,95,35,26426,91,0,100,29.23,11.1,61.1,10.01479576
2,36,25,2000,BA,2000BA,3,TR1167CL,CroplanGenetics,336,80,95,38,25555,88,0,100,25.51,11.1,60.58,8.740247776
2,36,25,2000,BA,2000BA,4,TR1167CL,CroplanGenetics,422,79,98,35,25265,87,0,100,31.02,10.7,62.45,10.67590706
2,36,25,2000,BA,2000BA,1,TR1157,CroplanGenetics,133,80,95,33,24394,84,1,98.7,25.32,10.9,59.25,8.69466628
2,36,25,2000,BA,2000BA,2,TR1157,CroplanGenetics,227,79,97,39,25265,87,3,96.4,27.5,10.6,60.63,9.475054876
2,36,25,2000,BA,2000BA,3,TR1157,CroplanGenetics,334,80,100,35,24394,84,0,100,26.51,10.9,59.3,9.103302112
2,36,25,2000,BA,2000BA,4,TR1157,CroplanGenetics,417,79,100,38,25846,89,0,100,26.37,10.5,60.62,9.095879152
2,36,25,2000,BA,2000BA,1,TR702,CroplanGenetics,114,81,91,32,23813,82,0,100,24.7,10.7,64.84,8.50080268
2,36,25,2000,BA,2000BA,2,TR702,CroplanGenetics,226,80,93,30,23813,82,0,100,24.32,10.7,59.81,8.370021052
2,36,25,2000,BA,2000BA,3,TR702,CroplanGenetics,316,82,89,34,26717,92,0,100,25,11.5,61.65,8.52697144
2,36,25,2000,BA,2000BA,4,TR702,CroplanGenetics,411,81,90,31,25846,89,0,100,26.73,10.8,61.93,9.189149712
2,36,25,2000,BA,2000BA,1,RX897,Monsanto,112,80,94,36,25846,89,0,100,28.48,10.8,60.88,9.790759268
2,36,25,2000,BA,2000BA,2,RX897,Monsanto,204,80,95,35,23813,82,0,100,27.59,10.8,60.31,9.484797668
2,36,25,2000,BA,2000BA,3,RX897,Monsanto,307,80,95,36,24684,85,0,100,26.59,11,60.86,9.12052564
2,36,25,2000,BA,2000BA,4,RX897,Monsanto,414,81,95,37,25555,88,0,100,27.03,10.6,62.46,9.31311754
2,36,25,2000,BA,2000BA,1,RX889,Monsanto,132,78,83,25,23522,81,0,100,26.37,12.1,59.02,8.933271112
2,36,25,2000,BA,2000BA,2,RX889,Monsanto,214,80,86,29,24394,84,0,100,27.05,11.5,63.52,9.226182872
2,36,25,2000,BA,2000BA,3,RX889,Monsanto,325,79,85,25,24684,85,0,100,26.78,11.8,61.4,9.103128784
2,36,25,2000,BA,2000BA,4,RX889,Monsanto,402,78,84,28,22651,78,0,100,24.17,12.4,57.94,8.160039832
2,36,25,2000,BA,2000BA,1,DK679BtY,Monsanto,110,77,98,37,23813,82,0,100,29.63,10.8,63.01,10.18610222
2,36,25,2000,BA,2000BA,2,DK679BtY,Monsanto,216,77,99,37,24684,85,0,100,30,10.5,63.24,10.34798555
2,36,25,2000,BA,2000BA,3,DK679BtY,Monsanto,332,78,95,37,24103,83,0,100,31.67,11.3,61.67,10.82637837
2,36,25,2000,BA,2000BA,4,DK679BtY,Monsanto,434,77,96,35,25265,87,0,100,31.95,12.1,60.89,10.82358816
2,36,25,2000,BA,2000BA,1,DK668,Monsanto,130,80,91,40,25846,89,0,100,28.14,10.7,61.39,9.684720212
2,36,25,2000,BA,2000BA,2,DK668,Monsanto,206,.,91,32,.,.,.,100,.,10.8,59.81,.
2,36,25,2000,BA,2000BA,3,DK668,Monsanto,318,80,94,37,23813,82,0,100,23.68,10.8,61.11,8.140630864
2,36,25,2000,BA,2000BA,4,DK668,Monsanto,435,80,93,35,25846,89,0,100,25.92,12.8,59.79,8.710899452
2,36,25,2000,BA,2000BA,1,DK697,Monsanto,129,82,96,39,27588,95,0,100,28.28,11.1,62.46,9.689306496
2,36,25,2000,BA,2000BA,2,DK697,Monsanto,229,82,97,35,24394,84,0,100,31.34,11.5,64.02,10.68941094
2,36,25,2000,BA,2000BA,3,DK697,Monsanto,315,82,94,33,27298,94,2,97.6,31.02,12.7,63.51,10.43680485
2,36,25,2000,BA,2000BA,4,DK697,Monsanto,413,82,95,33,26717,92,3,96.3,28.61,12.5,63.78,9.648002936
2,36,25,2000,BA,2000BA,1,DK611,Monsanto,106,77,89,34,21199,73,0,100,25.6,10.4,61.13,8.840146876
2,36,25,2000,BA,2000BA,2,DK611,Monsanto,211,79,90,34,24684,85,1,98.9,32.02,10.2,63.52,11.08177152
2,36,25,2000,BA,2000BA,3,DK611,Monsanto,313,77,92,34,24394,84,0,100,29.9,.,.,.
2,36,25,2000,BA,2000BA,4,DK611,Monsanto,426,78,92,36,23522,81,0,100,28.34,10.1,62.72,9.819085836
2,36,25,2000,BA,2000BA,1,32P76,Pioneer,109,76,95,36,24684,85,0,100,29.05,10.5,61.13,10.02029955
2,36,25,2000,BA,2000BA,2,32P76,Pioneer,218,78,99,35,24394,84,0,100,27.35,10.2,19.3,9.465535652
2,36,25,2000,BA,2000BA,3,32P76,Pioneer,302,78,94,35,25846,89,0,100,27.97,10.8,60.05,9.615432972
2,36,25,2000,BA,2000BA,4,32P76,Pioneer,432,78,93,35,26136,90,0,100,34.96,11.3,62.19,11.95106357
2,36,25,2000,BA,2000BA,1,3223,Pioneer,113,81,99,40,24684,85,0,100,28.15,10.7,62.46,9.688161652
2,36,25,2000,BA,2000BA,2,3223,Pioneer,221,80,101,43,26426,91,0,100,30.33,10.8,63.5,10.42674554
2,36,25,2000,BA,2000BA,3,3223,Pioneer,327,80,100,40,24394,84,0,100,31.11,11.2,62.74,10.64693239
2,36,25,2000,BA,2000BA,4,3223,Pioneer,410,80,104,42,24974,86,0,100,28.75,10.8,62.48,9.883578924
2,36,25,2000,BA,2000BA,1,31R88,Pioneer,104,79,103,39,25265,87,0,100,33.85,12.8,62.95,11.37592358
2,36,25,2000,BA,2000BA,2,31R88,Pioneer,223,79,102,35,24394,84,0,100,31.87,12.2,65.64,10.7842044
2,36,25,2000,BA,2000BA,3,31R88,Pioneer,317,79,105,39,23813,82,0,100,30.18,11.7,63,10.27049726
2,36,25,2000,BA,2000BA,4,31R88,Pioneer,424,79,98,38,27588,95,0,100,34.06,12.2,.,11.52525884
2,36,25,2000,BA,2000BA,1,33K81,Pioneer,108,77,91,30,25265,87,0,100,25.63,10.3,62.19,8.860384804
2,36,25,2000,BA,2000BA,2,33K81,Pioneer,225,79,87,34,22651,78,1,98.8,27.3,10.4,62.2,9.427188088
2,36,25,2000,BA,2000BA,3,33K81,Pioneer,314,78,90,30,23232,80,0,100,26.97,10.5,.,9.302839064
2,36,25,2000,BA,2000BA,4,33K81,Pioneer,420,78,89,31,24394,84,0,100,29.68,10.5,62.74,10.23760702
2,36,25,2000,BA,2000BA,1,1866Bt,TriumphSeed,122,78,97,35,24103,83,1,98.8,31.37,10.9,64.3,10.77218322
2,36,25,2000,BA,2000BA,2,1866Bt,TriumphSeed,235,78,95,32,24974,86,2,97.8,28.63,11.1,61.11,9.809223724
2,36,25,2000,BA,2000BA,3,1866Bt,TriumphSeed,319,79,98,40,23813,82,0,100,28.44,11,62.7,9.755086356
2,36,25,2000,BA,2000BA,4,1866Bt,TriumphSeed,425,79,92,30,23522,81,0,100,28.75,11.6,62.46,9.794936724
2,36,25,2000,BA,2000BA,1,99202Y,TexasAgrilife(JB),127,79,98,44,24394,84,0,100,31.3,10.8,61.95,10.76020915
2,36,25,2000,BA,2000BA,2,99202Y,TexasAgrilife(JB),219,78,98,38,22651,78,0,100,27.24,10.6,61.38,9.38547256
2,36,25,2000,BA,2000BA,3,99202Y,TexasAgrilife(JB),329,79,103,45,23813,82,0,100,29.73,10.8,62.16,10.22047957
2,36,25,2000,BA,2000BA,4,99202Y,TexasAgrilife(JB),409,79,97,44,26426,91,0,100,34.25,12,61.92,11.61595084
2,36,25,2000,BA,2000BA,1,2K207Y,TexasAgrilife(JB),134,82,94,27,26136,90,0,100,22.35,11,57.45,7.666180632
2,36,25,2000,BA,2000BA,2,2K207Y,TexasAgrilife(JB),202,82,95,31,24394,84,1,98.7,22.89,10.8,58.2,7.86904724
2,36,25,2000,BA,2000BA,3,2K207Y,TexasAgrilife(JB),312,82,93,31,22070,76,0,100,24.02,10.4,60.08,8.294544244
2,36,25,2000,BA,2000BA,4,2K207Y,TexasAgrilife(JB),408,82,94,31,25846,89,0,100,23.55,10.5,60.84,8.123168696
2,36,25,2000,BA,2000BA,1,2K208Y,TexasAgrilife(JB),125,82,101,42,24684,85,0,100,27.82,11.3,62.99,9.510257416
2,36,25,2000,BA,2000BA,2,2K208Y,TexasAgrilife(JB),207,83,95,37,24974,86,0,100,29.07,13,61.12,9.747108872
2,36,25,2000,BA,2000BA,3,2K208Y,TexasAgrilife(JB),330,82,105,36,26717,92,0,100,28.2,12.8,61.67,9.477136068
2,36,25,2000,BA,2000BA,4,2K208Y,TexasAgrilife(JB),412,83,103,37,25846,89,0,100,30.01,12.7,62.46,10.09698588
2,36,25,2000,BA,2000BA,1,2K213Y,TexasAgrilife(JB),126,77,93,30,21490,74,0,100,26.7,11.3,58.75,9.127385912
2,36,25,2000,BA,2000BA,2,2K213Y,TexasAgrilife(JB),209,77,94,39,23232,80,0,100,28.28,11.1,61.93,9.689306496
2,36,25,2000,BA,2000BA,3,2K213Y,TexasAgrilife(JB),310,78,89,39,25555,88,0,100,26.89,12.5,61.42,9.067976484
2,36,25,2000,BA,2000BA,4,2K213Y,TexasAgrilife(JB),430,78,94,35,24684,85,4,95.5,27.22,12.1,.,9.221222928
2,36,25,2000,BA,2000BA,1,2K103Y,TexasAgrilife(JB),120,79,93,27,22070,76,0,100,25.52,13.4,61.92,8.517459752
2,36,25,2000,BA,2000BA,2,2K103Y,TexasAgrilife(JB),208,80,95,31,21490,74,0,100,24.4,13.4,60.87,8.1436528
2,36,25,2000,BA,2000BA,3,2K103Y,TexasAgrilife(JB),321,80,95,31,25265,87,0,100,25.68,13.1,62.18,8.600551688
2,36,25,2000,BA,2000BA,4,2K103Y,TexasAgrilife(JB),418,82,94,30,22651,78,0,100,22.15,13.7,60.85,7.367091236
2,36,25,2000,BA,2000BA,1,31B13,Pioneer,121,80,102,44,24394,84,0,100,31.84,10.8,63.76,10.94584846
2,36,25,2000,BA,2000BA,2,31B13,Pioneer,236,81,100,41,25555,88,0,100,29.59,11.3,62.42,10.11533102
2,36,25,2000,BA,2000BA,3,31B13,Pioneer,309,79,99,37,22651,78,0,100,31.98,10.9,61.66,10.981652
2,36,25,2000,BA,2000BA,4,31B13,Pioneer,406,80,101,40,25555,88,0,100,29.87,11.2,62.99,10.22256076
2,36,25,2000,BA,2000BA,1,DK687,Monsanto,123,81,100,40,24394,84,1,98.8,32.01,10.9,64.58,10.99195371
2,36,25,2000,BA,2000BA,2,DK687,Monsanto,215,81,97,45,24684,85,0,100,31.84,12.3,62.72,10.76178166
2,36,25,2000,BA,2000BA,3,DK687,Monsanto,335,81,99,40,25265,87,0,100,29.92,12.6,60.32,10.07823632
2,36,25,2000,BA,2000BA,4,DK687,Monsanto,404,81,99,37,23522,81,0,100,31.61,11.5,61.63,10.78150274
2,36,25,2000,BA,2000BA,1,DK679,Monsanto,131,78,95,33,22361,77,0,100,23.2,11,60.6,7.957735912
2,36,25,2000,BA,2000BA,2,DK679,Monsanto,222,78,95,41,27007,93,0,100,31.24,11.8,63.77,10.61918358
2,36,25,2000,BA,2000BA,3,DK679,Monsanto,320,78,98,37,24974,86,0,100,29.82,11.4,63.53,10.18246422
2,36,25,2000,BA,2000BA,4,DK679,Monsanto,405,79,94,38,24684,85,0,100,25.08,12.5,60.87,8.45759942
2,36,25,2000,BA,2000BA,1,3223,Pioneer,115,82,105,40,26426,91,0,100,30.61,10.9,62.19,10.51120589
2,36,25,2000,BA,2000BA,2,3223,Pioneer,210,80,97,41,24103,83,2,97.6,28.02,11.1,62.21,9.600224696
2,36,25,2000,BA,2000BA,3,3223,Pioneer,324,81,103,44,26426,91,0,100,26.97,0.7,.,10.3214739
2,36,25,2000,BA,2000BA,4,3223,Pioneer,419,81,100,40,25265,87,0,100,28.39,10.7,62.44,9.770760608
2,36,25,2000,BA,2000BA,1,31B13,Pioneer,136,81,99,38,23522,81,0,100,29.2,11.2,61.89,9.99326352
2,36,25,2000,BA,2000BA,2,31B13,Pioneer,230,80,99,35,24394,84,0,100,28.01,10.9,61.65,9.618388968
2,36,25,2000,BA,2000BA,3,31B13,Pioneer,322,80,101,41,25265,87,0,100,30.85,10.8,63.51,10.60550951
2,36,25,2000,BA,2000BA,4,31B13,Pioneer,415,81,106,45,26717,92,0,100,31.98,11.1,63.51,10.95700174
2,36,25,2000,CA,2000CA,1,F3175,FrontierHybrids,103,68,107,47,26717,92,0,100,33.48,11.5,61.52,11.41931964
2,36,25,2000,CA,2000CA,2,F3175,FrontierHybrids,212,67,104,46,26717,92,0,100,32.01,11.3,61.13,10.94260735
2,36,25,2000,CA,2000CA,3,F3175,FrontierHybrids,321,68,107,41,25846,89,0,100,27.31,11.3,59.59,9.33591394
2,36,25,2000,CA,2000CA,4,F3175,FrontierHybrids,427,68,107,47,26717,92,0,100,27.04,11.4,60.52,9.233193236
2,36,25,2000,CA,2000CA,1,F3190,FrontierHybrids,108,68,108,47,27007,93,0,100,27.82,11.6,58.82,9.478091884
2,36,25,2000,CA,2000CA,2,F3190,FrontierHybrids,221,68,106,48,30492,105,1,99.05,31.99,11.3,58.56,10.93577032
2,36,25,2000,CA,2000CA,3,F3190,FrontierHybrids,319,68,102,46,29911,103,1,99.03,32.48,11,59.87,11.1408299
2,36,25,2000,CA,2000CA,4,F3190,FrontierHybrids,430,68,105,50,28459,98,1,98.98,26.32,10.7,57.84,9.058344848
2,36,25,2000,CA,2000CA,1,9909,GarstSeed,123,69,105,49,25846,89,0,100,28.53,11.3,61.58,9.752970624
2,36,25,2000,CA,2000CA,2,9909,GarstSeed,210,68,107,50,25846,89,0,100,26.68,11.5,59.56,9.09998376
2,36,25,2000,CA,2000CA,3,9909,GarstSeed,313,69,101,46,25265,87,0,100,29.9,11.1,59.87,10.24435174
2,36,25,2000,CA,2000CA,4,9909,GarstSeed,418,69,107,47,26717,92,2,97.83,29.19,11.2,60.37,9.98984092
2,36,25,2000,CA,2000CA,1,9939,GarstSeed,114,72,100,39,24394,84,1,98.81,22.84,11,54.86,7.834253528
2,36,25,2000,CA,2000CA,2,9939,GarstSeed,202,72,94,36,24394,84,0,100,29.33,11.3,57.6,10.02645018
2,36,25,2000,CA,2000CA,3,9939,GarstSeed,320,70,94,41,28750,99,1,98.99,30.35,11.3,59.58,10.37513713
2,36,25,2000,CA,2000CA,4,9939,GarstSeed,410,70,102,44,24684,85,3,96.47,28.83,11.4,58.58,9.844414332
2,36,25,2000,CA,2000CA,1,8251IT,GarstSeed,101,69,108,49,27878,96,0,100,29.14,10.6,56.58,10.04011295
2,36,25,2000,CA,2000CA,2,8251IT,GarstSeed,209,69,109,53,26426,91,0,100,28.96,11.5,60.07,9.877643696
2,36,25,2000,CA,2000CA,3,8251IT,GarstSeed,314,68,100,46,28169,97,0,100,27.94,10.9,55.61,9.59435164
2,36,25,2000,CA,2000CA,4,8251IT,GarstSeed,426,69,106,46,27007,93,1,98.92,28.64,11.7,57.83,9.746422468
2,36,25,2000,CA,2000CA,1,2888IMI,GoldenAcresGenetics,126,69,107,51,29040,100,1,99,29.41,12,59.37,9.974456176
2,36,25,2000,CA,2000CA,2,2888IMI,GoldenAcresGenetics,204,68,102,43,25846,89,0,100,26.73,11.5,59.74,9.117037728
2,36,25,2000,CA,2000CA,3,2888IMI,GoldenAcresGenetics,330,68,105,47,26717,92,0,100,25.28,10.8,58.6,8.690673456
2,36,25,2000,CA,2000CA,4,2888IMI,GoldenAcresGenetics,412,67,110,47,24974,86,0,100,29.71,11.4,60.62,10.14490291
2,36,25,2000,CA,2000CA,1,8460,GoldenAcresGenetics,115,72,95,46,27588,95,1,98.95,26.37,11,59.44,9.045064532
2,36,25,2000,CA,2000CA,2,8460,GoldenAcresGenetics,203,72,95,47,27007,93,1,98.92,32.58,11.4,59.74,11.12490508
2,36,25,2000,CA,2000CA,3,8460,GoldenAcresGenetics,310,71,92,45,27878,96,0,100,30.18,11.5,59.08,10.29375964
2,36,25,2000,CA,2000CA,4,8460,GoldenAcresGenetics,428,73,106,51,25846,89,0,100,28.67,11.3,59.49,9.800829248
2,36,25,2000,CA,2000CA,1,TR1106,CroplanGenetics,127,69,103,41,26426,91,1,98.9,23.94,11.1,56.95,8.202333748
2,36,25,2000,CA,2000CA,2,TR1106,CroplanGenetics,228,69,100,41,27007,93,1,98.92,22.88,10.8,56.69,7.865609568
2,36,25,2000,CA,2000CA,3,TR1106,CroplanGenetics,305,68,107,41,27588,95,0,100,26.54,11.5,56.57,9.052232524
2,36,25,2000,CA,2000CA,4,TR1106,CroplanGenetics,411,68,104,36,25846,89,0,100,25.79,11,56.33,8.84612104
2,36,25,2000,CA,2000CA,1,TR1167CL,CroplanGenetics,107,68,101,47,28169,97,0,100,30.8,11.7,61.14,10.48148768
2,36,25,2000,CA,2000CA,2,TR1167CL,CroplanGenetics,219,68,106,46,28459,98,0,100,29.52,11,59.62,10.12553288
2,36,25,2000,CA,2000CA,3,TR1167CL,CroplanGenetics,304,68,103,47,27588,95,0,100,28.73,11.3,59,9.821340356
2,36,25,2000,CA,2000CA,4,TR1167CL,CroplanGenetics,425,67,103,46,26717,92,0,100,31.51,11.5,59.37,10.74739481
2,36,25,2000,CA,2000CA,1,TR1157,CroplanGenetics,128,69,100,44,27298,94,0,100,26.71,11.1,58.22,9.151392468
2,36,25,2000,CA,2000CA,2,TR1157,CroplanGenetics,220,69,105,40,25265,87,0,100,26.22,10.9,56.57,9.003718268
2,36,25,2000,CA,2000CA,3,TR1157,CroplanGenetics,329,69,103,41,26426,91,0,100,25.53,11.1,56.36,8.747099884
2,36,25,2000,CA,2000CA,4,TR1157,CroplanGenetics,417,68,101,45,29040,100,1,99,28.46,10.8,54.61,9.783883296
2,36,25,2000,CA,2000CA,1,TR702,CroplanGenetics,102,72,103,41,26717,92,1,98.91,29.17,11.5,57.6,9.949270236
2,36,25,2000,CA,2000CA,2,TR702,CroplanGenetics,218,70,95,45,27007,93,0,100,29.65,10.9,60.62,10.18155048
2,36,25,2000,CA,2000CA,3,TR702,CroplanGenetics,328,69,97,40,25846,89,0,100,30.23,11.3,59.74,10.33411492
2,36,25,2000,CA,2000CA,4,TR702,CroplanGenetics,406,69,94,41,25555,88,1,98.86,23.86,11.4,58.1,8.147337276
2,36,25,2000,CA,2000CA,1,RX897,Monsanto,113,68,105,47,27298,94,0,100,30.47,11,59.62,10.45138826
2,36,25,2000,CA,2000CA,2,RX897,Monsanto,227,69,100,49,27588,95,0,100,28.51,11.3,59.5,9.746133588
2,36,25,2000,CA,2000CA,3,RX897,Monsanto,303,67,100,48,26136,90,0,100,30.12,11.3,59.49,10.29651153
2,36,25,2000,CA,2000CA,4,RX897,Monsanto,405,69,101,47,27298,94,0,100,29.3,11.7,58.09,9.97102604
2,36,25,2000,CA,2000CA,1,RX889,Monsanto,122,69,95,32,27007,93,0,100,30.21,11.7,60.82,10.28070603
2,36,25,2000,CA,2000CA,2,RX889,Monsanto,201,69,95,34,27007,93,0,100,25.45,10.9,58.85,8.739307032
2,36,25,2000,CA,2000CA,3,RX889,Monsanto,316,69,87,31,27007,93,5,94.62,28.89,11.1,60.17,9.898304896
2,36,25,2000,CA,2000CA,4,RX889,Monsanto,423,69,97,35,25846,89,0,100,27.82,11.7,60.83,9.46737004
2,36,25,2000,CA,2000CA,1,DK679BtY,Monsanto,112,68,104,50,29040,100,1,99,33.7,11.3,61.38,11.52033344
2,36,25,2000,CA,2000CA,2,DK679BtY,Monsanto,208,67,107,46,28459,98,4,95.92,32.39,11.2,60.6,11.08499316
2,36,25,2000,CA,2000CA,3,DK679BtY,Monsanto,317,68,99,49,27007,93,1,98.92,31.69,11.2,57.62,10.84542875
2,36,25,2000,CA,2000CA,4,DK679BtY,Monsanto,424,68,106,46,28169,97,0,100,31.79,11.9,62.65,10.79388942
2,36,25,2000,CA,2000CA,1,DK650,Monsanto,121,71,100,40,28750,99,1,98.99,31.34,11.3,59.06,10.71356822
2,36,25,2000,CA,2000CA,2,DK650,Monsanto,229,71,99,41,25555,88,1,98.86,27.69,11.4,58.1,9.455145392
2,36,25,2000,CA,2000CA,3,DK650,Monsanto,318,72,105,44,28459,98,1,98.98,29.55,10.9,59.12,10.14721144
2,36,25,2000,CA,2000CA,4,DK650,Monsanto,404,72,101,41,27298,94,1,98.94,32.45,11.5,60.78,11.0680089
2,36,25,2000,CA,2000CA,1,DK697,Monsanto,106,71,105,53,26717,92,0,100,31.11,11.7,61.64,10.58698351
2,36,25,2000,CA,2000CA,2,DK697,Monsanto,216,71,111,50,28459,98,0,100,27.89,11.1,58.85,9.555684424
2,36,25,2000,CA,2000CA,3,DK697,Monsanto,315,69,104,46,29330,101,0,100,33.07,11.2,59.85,11.31771301
2,36,25,2000,CA,2000CA,4,DK697,Monsanto,421,70,106,52,30492,105,0,100,30.81,11.4,59.33,10.52051348
