Broadbalk wheat experiment. ,,,"Rothamsted Research, Harpenden, Herts. AL5 2JQ, UK",,,,,,,,,,
Annual yields (bushels/acre of dressed wheat grain) used by R.A. Fisher in his 1921 paper 'Studies on Crop Variation'. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
1882,32.75,10.94,12.47,23.09,35.78,37,24.87,29.88,34.63,32.16,34.69,15.59,31.03
1883,35.25,13.6,15.69,27.63,36.09,41.81,17.91,25.06,30.72,34.06,33.09,15.59,38.22
1884,32.5,13.07,15.47,26.13,38.41,43.47,26.06,32.81,35.75,33,36.16,13.13,33.84
1885,40.13,14.1,15.19,22,31.56,36.72,24.53,21.62,27.37,27.19,26.87,12.78,33
1886,36.5,9.25,11.28,22.16,35.25,42.34,13,16.94,26.47,37.37,31,13.31,37.78
1887,34.75,14.41,14.53,23.31,29.53,34.47,21.88,22.06,30.09,26.34,28.81,10.62,30.72
1888,38,10.25,12,23.56,35.91,35.31,11.94,12.31,23.69,33.38,26.34,13.09,31.97
1889,40.5,12.56,15.16,22.97,30.69,35.47,12.28,16.13,24.22,26.03,24.72,10.25,23.34
1890,43,14.47,14.53,28.66,35.97,37.63,19.31,25.5,32.12,34.78,33.38,19.91,36.88
1891,48.5,12.75,11.31,26.13,40.66,39.97,21.87,23.12,35.66,37.91,36.53,14.38,31.81
1892,33.37,9.51,10.34,22.09,31.97,38.09,11.5,15.38,24.13,28.88,24.12,12.31,28.97
1893,34.25,10.75,14.25,19.38,20.31,21.81,8.34,7.5,11.44,16.47,12.84,12.31,20.37
1894,45.5,17.91,22.41,37.94,48.38,49.03,30.13,39,47.25,47.75,44.25,27.25,37.13
1895,43.88,10.63,15.13,21.16,32.22,40,10.19,15.87,23.25,28.75,22,12.56,29
1896,44,16.5,20.25,29.91,37.19,44.16,22.34,24,34,27.81,29.38,17,35.81
1897,37.25,9.31,12.89,19.38,28.63,36.94,16.97,15.94,21.87,27.75,19.5,10.94,30.56
1898,38,12.5,13,20.75,28.41,29.34,20.75,16.88,24.87,26.81,24.25,14.94,26.12
1899,42.5,12,12.88,18.72,31.28,39.16,22.87,21.25,28.81,28.12,28.25,13.75,26.88
1900,33.25,12.25,12.87,19.31,29.75,44,19.75,18.25,24.75,29.5,23.25,11.81,29.12
1901,39.62,11.75,14.5,22.25,29.56,42.38,20.62,20.37,26.75,29.5,22.5,17.75,28.62
1902,41.5,13.3,15.51,26.23,38.23,45.19,23.69,22.99,33.4,39.33,32.43,20.17,36.85
1903,29.7,7.6,8.7,17.75,26.62,35.77,13.49,15.64,17.42,26.5,17.01,5.93,25.73
1904,22.3,4.2,7.02,11.48,19.49,24.86,10.39,12.44,15.92,21.03,17.22,3.6,20.79
1905,38.5,18,24.01,32.34,40.71,40.5,16.7,18.87,30.5,39.4,25.97,25.6,31.54
1906,43.6,15.2,17.1,27.71,37.69,47.48,22.79,16.03,29.84,40.92,30.59,29.5,43.5
1907,36.1,9.1,11.52,23.89,33.64,34.69,27.62,32.09,41.59,34.71,36.58,10.85,30.98
1908,39.8,12.4,16.23,22,33.32,47.51,21.81,21.04,32.86,35.97,26.14,14.74,33.21
1909,33.8,9.1,10.38,17.4,28.94,32.3,10.46,6.22,19.59,27.78,16.11,9.06,29.94
1910,29.1,7.5,10,17.58,25.61,27.7,14.22,19.96,26.33,25.34,23.76,9.96,26.36
1911,36.7,12.4,14.75,17.15,25.62,36.4,22.81,20.13,27.03,29.7,24.07,13.79,27.25
1912,18.13,4.47,5.53,2.43,7.12,10.48,2.42,2.95,5.12,6.13,2.82,5.92,6.81
1913,22.18,5.12,6.9,11.22,16.34,25.15,9.58,11.46,17.68,18.22,15.56,7.08,19.08
1914,30.39,5.79,9.76,16.91,23.37,27.68,12.02,14.86,22.74,19.21,14.62,5.29,15.85
1915,35.11,12.13,15.83,26.71,33.91,37.51,19.33,28.2,32.95,33.22,30.46,16.1,24.11
1916,27.25,10.87,13,11.11,20.81,15.75,18.14,15.89,17.25,19.54,15.44,5.65,18.85
1917,16.47,8.25,9.4,19.14,24.2,29.67,12.41,13.61,17.73,26.68,18.35,14.31,21.54
1918,35.26,10.73,9.07,14.85,24.13,27.58,14.81,17.24,22.57,21.61,23.08,14.52,19.65
,,,,,,,,,,,,,
Mean,34.549,12.269,14.18,22.574,31.37,35.729,19.504,22.045,28.445,30.209,27.979,14.51,29.007
Table 1 Fisher,34.549,12.269,14.18,22.581,31.367,35.694,19.504,22.046,28.319,30.209,27.765,14.51,29.006
,,,,,,,,,,,,,
"Original paper:  Fisher, R. A. (1921) ""Studies in crop variation. 1. An examination of the yield of dressed grain from Broadbalk"", Journal of Agricultural Science, 11 (part 2), 107-135",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Data assembled by Margaret Glendining, Rothamsted Research, August 2018. ",,,,,,,,,,,,,
© Rothamsted Research 2018,,,,,,,,,,,,,
